Longitude,Latitude,PB_Cetin_Uncorr_Strain,PB_IandY_Uncorr_Strain,PB_Seismic_Slope_Disp_RandS,PB_Seismic_Slope_Disp_BandT
-117.618,43.527,0,0,0.5,0.5
-117.372,43.515,0,0,0.5,0.5
-117.126,43.503,0,0,0.5,0.5
-116.88,43.49,0,0,0.5,0.5
-120.576,43.808,0,0,0.5,0.5
-120.328,43.803,0,0,0.5,0.5
-120.08,43.797,0,0,0.5,0.5
-119.831,43.79,0,0,0.5,0.5
-119.583,43.783,0,0,0.5,0.5
-119.335,43.775,0,0,0.5,0.5
-119.087,43.767,0,0,0.5,0.5
-118.839,43.758,0,0,0.5,0.5
-118.592,43.749,0,0,0.5,0.5
-118.344,43.739,0,0,0.5,0.5
-118.097,43.729,0,0,0.5,0.5
-117.849,43.718,0,0,0.5,0.5
-117.602,43.706,0,0,0.5,0.5
-117.355,43.694,0,0,0.5,0.5
-117.108,43.682,0,0,0.5,0.5
-116.861,43.669,0,0,0.5,0.5
-121.068,43.998,0,0,0.5,0.5
-120.818,43.993,0,0,0.5,0.5
-120.569,43.988,0,0,0.5,0.5
-120.32,43.982,0,0,0.5,0.5
-120.071,43.976,0,0,0.5,0.5
-119.822,43.97,0,0,0.5,0.5
-119.573,43.962,0,0,0.5,0.5
-119.324,43.955,0,0,0.5,0.5
-119.075,43.946,0,0,0.5,0.5
-118.827,43.938,0,0,0.5,0.5
-118.578,43.928,0,0,0.5,0.5
-118.33,43.918,0,0,0.5,0.5
-118.082,43.908,0,0,0.5,0.5
-117.834,43.897,0,0,0.5,0.5
-117.586,43.885,0,0,0.5,0.5
-117.338,43.873,0,0,0.5,0.5
-117.09,43.861,0,0,0.5,0.5
-116.843,43.848,0,0,0.5,0.5
-121.062,44.178,0,0,0.5,0.5
-120.812,44.173,0,0,0.5,0.5
-120.562,44.168,0,0,0.5,0.5
-120.312,44.162,0,0,0.5,0.5
-120.062,44.156,0,0,0.5,0.5
-119.812,44.149,0,0,0.5,0.5
-119.563,44.142,0,0,0.5,0.5
-119.313,44.134,0,0,0.5,0.5
-119.064,44.126,0,0,0.5,0.5
-118.814,44.117,0,0,0.5,0.5
-118.565,44.108,0,0,0.5,0.5
-118.316,44.098,0,0,0.5,0.5
-118.067,44.087,0,0,0.5,0.5
-117.818,44.076,0,0,0.5,0.5
-117.569,44.065,0,0,0.5,0.5
-117.321,44.053,0,0,0.5,0.5
-117.073,44.04,0,0,0.5,0.5
-116.824,44.027,0,0,0.5,0.5
-121.056,44.357,0,0,0.5,0.5
-120.805,44.353,0,0,0.5,0.5
-120.554,44.348,0,0,0.5,0.5
-120.304,44.342,0,0,0.5,0.5
-120.053,44.336,0,0,0.5,0.5
-119.803,44.329,0,0,0.5,0.5
-119.552,44.322,0,0,0.5,0.5
-119.302,44.314,0,0,0.5,0.5
-119.052,44.306,0,0,0.5,0.5
-118.801,44.297,0,0,0.5,0.5
-118.552,44.287,0,0,0.5,0.5
-118.302,44.277,0,0,0.5,0.5
-118.052,44.267,0,0,0.5,0.5
