Longitude,Latitude,CSR,State
-80.496,32.385,0.154045667,Georgia
-80.557,32.336,0.135944125,Georgia
-80.591,32.397,0.146868468,Georgia
-80.673,32.469,0.150259628,Georgia
-80.694,32.354,0.126321942,Georgia
-80.715,32.238,0.108235448,Georgia
-80.79,32.602,0.15177747,Georgia
-80.811,32.486,0.131892281,Georgia
-80.831,32.371,0.115242257,Georgia
-80.852,32.256,0.101525891,Georgia
-80.873,32.14,0.091021984,Georgia
-80.893,32.025,0.082616275,Georgia
-80.907,32.734,0.139459998,Georgia
-80.928,32.619,0.128393494,Georgia
-80.948,32.504,0.116250735,Georgia
-80.969,32.388,0.104586013,Georgia
-80.989,32.273,0.094658212,Georgia
-81.004,32.982,0.127359339,Georgia
-81.005,31.907,0.0,Georgia
-81.009,32.157,0.086496402,Georgia
-81.025,32.867,0.124301916,Georgia
-81.03,32.042,0.079487466,Georgia
-81.045,32.751,0.119248586,Georgia
-81.066,32.636,0.112071108,Georgia
-81.086,32.521,0.103894422,Georgia
-81.102,33.229,0.111917667,Georgia
-81.106,32.405,0.09611688,Georgia
-81.122,33.114,0.112970606,Georgia
-81.126,32.29,0.088532552,Georgia
-81.143,32.999,0.111752898,Georgia
-81.147,32.175,0.08212187,Georgia
-81.163,32.883,0.109618078,Georgia
-81.167,32.059,0.0,Georgia
-81.183,32.768,0.10547251,Georgia
-81.203,32.653,0.100707651,Georgia
-81.215,31.934,0.0,Georgia
-81.221,33.361,0.102811194,Georgia
-81.224,32.538,0.094703575,Georgia
-81.241,33.246,0.103319629,Georgia
-81.244,32.422,0.088953044,Georgia
-81.246,31.756,0.0,Georgia
-81.261,33.131,0.102942544,Georgia
-81.264,32.307,0.083051669,Georgia
-81.276,31.578,0.0,Georgia
-81.281,33.016,0.101776822,Georgia
-81.284,32.191,0.077679715,Georgia
-81.301,32.9,0.099752251,Georgia
-81.321,32.785,0.096120802,Georgia
-81.337,31.222,0.0,Georgia
-81.341,32.67,0.092178123,Georgia
-81.36,33.378,0.096488036,Georgia
-81.361,32.554,0.087679169,Georgia
-81.38,33.263,0.096146605,Georgia
-81.381,32.439,0.082974698,Georgia
-81.395,32.137,0.0,Georgia
-81.4,33.148,0.095632281,Georgia
-81.42,33.032,0.093845704,Georgia
-81.426,31.959,0.0,Georgia
-81.44,32.917,0.091835535,Georgia
-81.456,31.782,0.0,Georgia
-81.46,32.802,0.088935099,Georgia
-81.479,33.51,0.091082357,Georgia
-81.479,32.686,0.085686633,Georgia
-81.486,31.604,0.0,Georgia
-81.499,33.395,0.091280424,Georgia
-81.499,32.571,0.08188313,Georgia
-81.516,31.426,0.0,Georgia
-81.519,33.279,0.090317873,Georgia
-81.539,33.164,0.08928819,Georgia
-81.546,31.248,0.0,Georgia
-81.546,32.518,0.078732614,Georgia
-81.558,33.049,0.087673943,Georgia
-81.576,32.34,0.0,Georgia
-81.578,32.933,0.085667657,Georgia
-81.599,33.642,0.08747044,Georgia
-81.604,31.092,0.0,Georgia
-81.606,32.162,0.0,Georgia
-81.618,33.526,0.086546055,Georgia
