Longitude,Latitude,CSR,State
-114.499,38.748,0.109578868,Utah
-114.488,37.506,0.175313801,Utah
-114.483,36.915,0.16611207,Utah
-114.475,39.167,0.110300938,Utah
-114.469,40.394,0.108488163,Utah
-114.468,41.42,0.116211685,Utah
-114.464,37.984,0.128388261,Utah
-114.462,40.828,0.126043868,Utah
-114.458,37.392,0.179249876,Utah
-114.453,36.801,0.155714998,Utah
-114.451,38.574,0.10704869,Utah
-114.445,39.053,0.10983395,Utah
-114.436,41.306,0.120566045,Utah
-114.434,37.87,0.135482034,Utah
-114.43,40.714,0.120736512,Utah
-114.428,37.279,0.179025726,Utah
-114.421,40.219,0.101364496,Utah
-114.404,38.399,0.106945701,Utah
-114.404,41.193,0.123133461,Utah
-114.403,37.757,0.143463158,Utah
-114.398,37.165,0.173441917,Utah
-114.389,41.866,0.10033971,Utah
-114.388,39.417,0.104089983,Utah
-114.373,37.643,0.151459141,Utah
-114.373,40.044,0.097961918,Utah
-114.372,41.079,0.123373183,Utah
-114.368,37.052,0.163490789,Utah
-114.358,38.224,0.110198322,Utah
-114.357,39.304,0.10545512,Utah
-114.346,41.557,0.111579652,Utah
-114.343,37.53,0.158928775,Utah
-114.341,40.965,0.12098809,Utah
-114.34,41.691,0.107413147,Utah
-114.338,36.938,0.153481814,Utah
-114.325,39.869,0.096294255,Utah
-114.318,38.959,0.10595779,Utah
-114.314,41.444,0.115407744,Utah
-114.313,37.416,0.164908775,Utah
-114.311,38.049,0.116731799,Utah
-114.309,40.852,0.117606751,Utah
-114.309,36.824,0.143554866,Utah
-114.287,37.894,0.126003845,Utah
-114.284,40.605,0.10895361,Utah
-114.283,37.302,0.165066259,Utah
-114.282,41.33,0.118398166,Utah
-114.279,36.711,0.134522727,Utah
-114.278,39.694,0.096605587,Utah
-114.271,38.785,0.103456846,Utah
-114.257,37.78,0.133102595,Utah
-114.253,37.189,0.161375931,Utah
-114.251,41.216,0.119438796,Utah
-114.236,40.43,0.101299135,Utah
-114.23,39.52,0.097452952,Utah
-114.227,37.667,0.14122641,Utah
-114.224,38.61,0.101621283,Utah
-114.224,37.075,0.153522027,Utah
-114.223,41.695,0.109826544,Utah
-114.22,41.102,0.118513793,Utah
-114.198,37.553,0.148444775,Utah
-114.194,36.961,0.143822254,Utah
-114.192,41.581,0.113509092,Utah
-114.189,40.255,0.096151637,Utah
-114.188,40.989,0.116323467,Utah
-114.183,39.345,0.098981056,Utah
-114.178,38.435,0.101568248,Utah
-114.168,37.439,0.153613125,Utah
-114.165,36.848,0.13459196,Utah
-114.16,41.467,0.116631494,Utah
-114.151,41.902,0.104503812,Utah
-114.141,40.08,0.093186312,Utah
-114.138,37.326,0.155424037,Utah
-114.136,39.17,0.099966509,Utah
-114.135,36.734,0.127022629,Utah
-114.132,38.26,0.104621392,Utah
-114.129,41.353,0.118018541,Utah
-114.111,37.803,0.12813428,Utah
-114.109,37.212,0.153256743,Utah
-114.098,40.815,0.109536635,Utah
-114.098,41.239,0.118418642,Utah
-114.094,39.905,0.091293758,Utah
-114.09,38.995,0.099709456,Utah
-114.086,38.085,0.111270687,Utah
-114.082,37.69,0.135366213,Utah
-114.079,37.098,0.146244014,Utah
-114.069,41.718,0.112532371,Utah
-114.067,41.126,0.116847056,Utah
-114.051,40.64,0.102852596,Utah
-114.438,42.041,0.0,Utah
-114.249,42.252,0.0,Utah
-114.2,42.077,0.0,Utah
-114.052,37.576,0.107532923,Utah
-114.05,36.985,0.104424822,Utah
