Longitude,Latitude,CSR,State
-115.243,32.731,1.156904939,Arizona
-115.234,32.696,1.226225886,Arizona
-115.21,32.774,0.957307608,Arizona
-115.202,32.828,0.869693621,Arizona
-115.201,32.739,0.994235673,Arizona
-115.192,32.704,1.052878161,Arizona
-115.188,32.776,0.912059599,Arizona
-115.174,32.723,0.951753702,Arizona
-115.167,33.353,0.493398695,Arizona
-115.161,36.089,0.24734843,Arizona
-115.144,32.828,0.764274951,Arizona
-115.137,33.239,0.523826067,Arizona
-115.13,35.976,0.225635903,Arizona
-115.108,33.126,0.550219932,Arizona
-115.099,35.862,0.220260055,Arizona
-115.088,33.605,0.388794555,Arizona
-115.079,36.34,0.289615127,Arizona
-115.078,33.012,0.576197157,Arizona
-115.069,35.749,0.203127142,Arizona
-115.066,34.822,0.199140226,Arizona
-115.059,33.491,0.40135144,Arizona
-115.049,32.898,0.614952548,Arizona
-115.049,36.227,0.303484545,Arizona
-115.035,35.558,0.1864895,Arizona
-115.029,33.378,0.413296264,Arizona
-115.029,32.766,0.667966676,Arizona
-115.02,34.647,0.207954458,Arizona
-115.02,32.784,0.647682495,Arizona
-115.018,36.113,0.255197159,Arizona
-115.0,33.264,0.431383917,Arizona
-114.989,35.383,0.176758111,Arizona
-114.988,36.0,0.246790905,Arizona
-114.98,33.743,0.32149215,Arizona
-114.971,33.15,0.456424875,Arizona
-114.967,36.478,0.272178654,Arizona
-114.957,35.886,0.274769089,Arizona
-114.95,33.63,0.329847152,Arizona
-114.942,35.208,0.171325193,Arizona
-114.941,33.036,0.473701782,Arizona
-114.936,36.365,0.296458913,Arizona
-114.927,35.773,0.217231247,Arizona
-114.921,33.516,0.340094062,Arizona
-114.912,32.922,0.499712611,Arizona
-114.906,36.251,0.268496991,Arizona
-114.897,35.659,0.191538152,Arizona
-114.896,35.034,0.168966552,Arizona
-114.892,33.402,0.353565114,Arizona
-114.883,32.808,0.525181584,Arizona
-114.883,34.122,0.241025409,Arizona
-114.876,36.138,0.241080795,Arizona
-114.863,33.288,0.365863415,Arizona
-114.85,34.859,0.170547516,Arizona
-114.845,36.024,0.238498741,Arizona
-114.838,33.947,0.252217682,Arizona
-114.834,33.174,0.382592564,Arizona
-114.823,36.502,0.322096606,Arizona
-114.817,35.595,0.182483398,Arizona
-114.815,35.911,0.252803117,Arizona
-114.805,34.684,0.175697352,Arizona
-114.804,33.06,0.399947013,Arizona
-114.793,33.772,0.263773222,Arizona
-114.793,36.389,0.345956941,Arizona
-114.785,35.797,0.217760117,Arizona
-114.783,33.54,0.291045852,Arizona
-114.776,32.946,0.415190261,Arizona
-114.771,35.42,0.168158617,Arizona
-114.763,36.275,0.271604248,Arizona
-114.759,34.509,0.180850422,Arizona
-114.755,35.683,0.188995901,Arizona
-114.754,33.426,0.2967807,Arizona
-114.748,33.596,0.273230216,Arizona
-114.747,32.832,0.427469847,Arizona
-114.733,36.162,0.23037377,Arizona
-114.726,35.246,0.159173997,Arizona
-114.725,33.312,0.305805356,Arizona
-114.714,34.334,0.189003263,Arizona
-114.703,33.421,0.281013365,Arizona
-114.696,33.198,0.321980907,Arizona
-114.68,36.526,0.352830148,Arizona
-114.68,35.071,0.153507163,Arizona
-114.669,34.159,0.198165165,Arizona
-114.65,36.413,0.304223896,Arizona
-114.639,32.97,0.352461377,Arizona
-114.624,33.984,0.2064732,Arizona
-114.62,36.299,0.246010377,Arizona
-114.61,32.856,0.361139634,Arizona
-114.59,36.186,0.218588695,Arizona
-114.589,34.721,0.151026558,Arizona
-114.581,32.742,0.364557826,Arizona
-114.58,33.808,0.212866714,Arizona
-114.545,34.546,0.154530983,Arizona
-114.537,36.55,0.261014954,Arizona
-114.535,33.633,0.218035105,Arizona
-114.507,36.436,0.232009523,Arizona
-114.502,32.994,0.293891693,Arizona
-114.5,34.37,0.160717908,Arizona
-114.483,36.915,0.253214297,Arizona
-114.477,36.323,0.214400464,Arizona
-114.473,32.88,0.301373334,Arizona
-114.455,34.195,0.166588911,Arizona
-114.453,36.801,0.238270321,Arizona
-114.447,36.209,0.201126881,Arizona
-114.423,36.687,0.228012579,Arizona
-114.398,37.165,0.265980783,Arizona
-114.393,36.574,0.216686557,Arizona
-114.368,37.052,0.24963556,Arizona
-114.363,36.46,0.202906525,Arizona
-114.338,36.938,0.234372331,Arizona
-114.334,36.346,0.193857885,Arizona
-114.309,36.824,0.219650268,Arizona
-114.304,36.233,0.186383451,Arizona
-114.283,37.302,0.254802679,Arizona
-114.279,36.711,0.205921777,Arizona
-114.253,37.189,0.248494291,Arizona
-114.253,36.054,0.17579727,Arizona
-114.25,36.597,0.195655291,Arizona
-114.241,34.232,0.142304111,Arizona
-114.224,37.075,0.235929799,Arizona
-114.22,36.483,0.187818101,Arizona
-114.194,36.961,0.220642896,Arizona
-114.165,36.848,0.205919007,Arizona
-114.138,37.326,0.240622824,Arizona
-114.135,36.734,0.194780192,Arizona
-114.123,36.44,0.178321015,Arizona
-114.109,37.212,0.237263356,Arizona
-114.079,37.098,0.225853934,Arizona
