Longitude,Latitude,CSR,State
-89.22,36.027,1.115413318,Arkansas
-89.223,35.991,1.026251984,Arkansas
-89.226,35.956,0.942746949,Arkansas
-89.229,35.92,0.887517134,Arkansas
-89.231,35.884,0.818822503,Arkansas
-89.234,35.849,0.757450567,Arkansas
-89.237,35.813,0.707369088,Arkansas
-89.239,35.777,0.667955665,Arkansas
-89.242,35.742,0.625757999,Arkansas
-89.245,35.706,0.58904879,Arkansas
-89.257,36.136,1.503687813,Arkansas
-89.26,36.1,1.42911983,Arkansas
-89.262,36.065,1.315154057,Arkansas
-89.265,36.029,1.220941747,Arkansas
-89.268,35.993,1.111252969,Arkansas
-89.271,35.958,1.012163736,Arkansas
-89.273,35.922,0.942034891,Arkansas
-89.276,35.886,0.87712632,Arkansas
-89.279,35.851,0.799461263,Arkansas
-89.281,35.815,0.752573485,Arkansas
-89.284,35.779,0.698234198,Arkansas
-89.287,35.744,0.646428864,Arkansas
-89.289,35.708,0.618064747,Arkansas
-89.292,35.672,0.581978311,Arkansas
-89.299,36.174,1.743856349,Arkansas
-89.302,36.138,1.643552761,Arkansas
-89.304,36.102,1.532320473,Arkansas
-89.307,36.067,1.432035555,Arkansas
-89.31,36.031,1.302966068,Arkansas
-89.313,35.996,1.185717333,Arkansas
-89.315,35.96,1.101891544,Arkansas
-89.318,35.924,0.998416867,Arkansas
-89.319,35.6,0.537689096,Arkansas
-89.321,35.889,0.920771879,Arkansas
-89.323,35.853,0.848263179,Arkansas
-89.326,35.817,0.785265715,Arkansas
-89.329,35.782,0.738976386,Arkansas
-89.331,35.746,0.679631555,Arkansas
-89.334,35.71,0.636652877,Arkansas
-89.337,35.675,0.610705257,Arkansas
-89.339,35.639,0.571750027,Arkansas
-89.341,36.212,1.852032792,Arkansas
-89.344,36.176,1.828681287,Arkansas
-89.347,36.14,1.733597356,Arkansas
-89.349,36.105,1.635403691,Arkansas
-89.352,36.069,1.475617535,Arkansas
-89.355,36.033,1.383034986,Arkansas
-89.357,35.998,1.254846238,Arkansas
-89.36,35.962,1.139985124,Arkansas
-89.363,35.926,1.084290453,Arkansas
-89.365,35.891,0.969261797,Arkansas
-89.368,35.855,0.892624993,Arkansas
-89.37,35.819,0.828669028,Arkansas
-89.373,35.784,0.7676829,Arkansas
-89.376,35.748,0.711849904,Arkansas
-89.378,35.712,0.66894425,Arkansas
-89.381,35.677,0.63142862,Arkansas
-89.383,36.249,1.9121632,Arkansas
-89.384,35.641,0.595620194,Arkansas
-89.386,35.603,0.563071184,Arkansas
-89.386,36.214,1.915019665,Arkansas
-89.386,35.605,0.564047168,Arkansas
-89.389,36.178,1.869246459,Arkansas
-89.39,35.55,0.53242803,Arkansas
-89.391,36.142,1.799941292,Arkansas
-89.394,35.496,0.502018687,Arkansas
-89.394,36.107,1.685968113,Arkansas
-89.397,36.071,1.558613173,Arkansas
-89.399,36.035,1.436043617,Arkansas
-89.402,36.0,1.330760339,Arkansas
-89.405,35.964,1.204884676,Arkansas
-89.407,35.928,1.11297213,Arkansas
-89.41,35.893,1.02125108,Arkansas
-89.412,35.857,0.938272164,Arkansas
-89.415,35.821,0.870371937,Arkansas
