Longitude,Latitude,CSR,State
-86.899,41.561,0.0,Illinois
-87.095,39.495,0.109124705,Illinois
-87.114,39.317,0.121094556,Illinois
-87.149,39.162,0.133000558,Illinois
-87.161,39.047,0.141589759,Illinois
-87.174,38.931,0.151690534,Illinois
-87.186,38.815,0.160527422,Illinois
-87.198,38.7,0.171744589,Illinois
-87.211,38.584,0.18065773,Illinois
-87.223,38.469,0.190415809,Illinois
-87.235,38.353,0.198443683,Illinois
-87.261,41.584,0.0,Illinois
-87.272,40.043,0.082034817,Illinois
-87.29,41.316,0.0,Illinois
-87.291,39.865,0.090687192,Illinois
-87.3,39.172,0.139173877,Illinois
-87.31,39.687,0.101015734,Illinois
-87.312,39.056,0.150115126,Illinois
-87.319,41.049,0.0,Illinois
-87.325,38.94,0.162106603,Illinois
-87.329,39.509,0.113466747,Illinois
-87.337,38.825,0.176192043,Illinois
-87.348,39.331,0.127673008,Illinois
-87.348,40.782,0.0,Illinois
-87.349,38.709,0.187181841,Illinois
-87.361,38.594,0.198229327,Illinois
-87.373,38.478,0.211179488,Illinois
-87.377,40.515,0.0,Illinois
-87.385,38.362,0.219220973,Illinois
-87.397,38.247,0.227340315,Illinois
-87.405,40.248,0.0,Illinois
-87.409,38.131,0.23458489,Illinois
-87.439,39.297,0.133227157,Illinois
-87.451,39.181,0.145048348,Illinois
-87.463,39.065,0.158017721,Illinois
-87.475,38.95,0.171847696,Illinois
-87.487,38.834,0.18755173,Illinois
-87.499,38.718,0.203375894,Illinois
-87.507,40.057,0.08305948,Illinois
-87.511,38.603,0.218779147,Illinois
-87.523,38.487,0.231663508,Illinois
-87.526,39.879,0.091977794,Illinois
-87.535,38.372,0.245148506,Illinois
-87.544,39.701,0.102762972,Illinois
-87.547,38.256,0.250414613,Illinois
-87.558,38.14,0.256699706,Illinois
-87.563,39.523,0.116895953,Illinois
-87.57,38.025,0.262084617,Illinois
-87.582,37.909,0.266167182,Illinois
-87.591,39.306,0.136775324,Illinois
-87.593,37.793,0.271331245,Illinois
-87.603,39.19,0.149235003,Illinois
-87.605,37.678,0.272199017,Illinois
-87.615,39.074,0.163295727,Illinois
-87.616,37.562,0.270462224,Illinois
-87.622,41.605,0.0,Illinois
-87.626,38.959,0.18037323,Illinois
-87.628,37.446,0.270989383,Illinois
-87.638,38.843,0.198718413,Illinois
-87.65,38.728,0.219274039,Illinois
-87.65,41.338,0.0,Illinois
-87.661,38.612,0.234632828,Illinois
-87.673,38.496,0.249008101,Illinois
-87.678,41.071,0.0,Illinois
-87.685,38.381,0.262545042,Illinois
-87.696,38.265,0.271140186,Illinois
-87.705,40.803,0.0,Illinois
-87.708,38.149,0.276936118,Illinois
-87.719,38.034,0.281334348,Illinois
-87.731,37.918,0.288315971,Illinois
-87.733,40.536,0.0,Illinois
-87.742,37.802,0.288444448,Illinois
-87.743,39.315,0.13853962,Illinois
-87.743,40.071,0.083791392,Illinois
-87.753,37.687,0.293167153,Illinois
-87.754,39.199,0.151967688,Illinois
-87.76,40.269,0.0,Illinois
-87.761,39.893,0.092810283,Illinois
-87.765,37.571,0.295586611,Illinois
-87.766,39.083,0.168935847,Illinois
-87.776,37.455,0.293911825,Illinois
-87.777,38.968,0.186350675,Illinois
-87.779,39.715,0.104068308,Illinois
-87.787,37.34,0.297408915,Illinois
-87.789,38.852,0.207871006,Illinois
-87.797,39.537,0.118082554,Illinois
-87.798,37.224,0.302523914,Illinois
-87.8,38.736,0.228020307,Illinois
-87.812,38.621,0.248038115,Illinois
-87.815,39.359,0.135412596,Illinois
-87.823,38.505,0.265066986,Illinois
-87.834,38.389,0.277808767,Illinois
-87.846,38.274,0.291868895,Illinois
-87.857,38.158,0.288917182,Illinois
-87.868,38.042,0.293644824,Illinois
-87.875,42.695,0.0,Illinois
-87.879,37.927,0.300560812,Illinois
-87.891,37.811,0.310813125,Illinois
-87.894,39.323,0.139721983,Illinois
-87.902,37.695,0.314842265,Illinois
-87.902,42.428,0.0,Illinois
-87.906,39.208,0.153503044,Illinois
-87.913,37.58,0.31566485,Illinois
-87.917,39.092,0.169518291,Illinois
-87.924,37.464,0.320739347,Illinois
-87.928,38.976,0.188328665,Illinois
-87.93,42.16,0.0,Illinois
-87.935,37.348,0.323575393,Illinois
-87.94,38.861,0.209400919,Illinois
-87.946,37.233,0.331261575,Illinois
-87.951,38.745,0.23132744,Illinois
-87.957,41.893,0.0,Illinois
-87.957,37.117,0.340083458,Illinois
-87.962,38.629,0.257299588,Illinois
-87.973,38.514,0.274222966,Illinois
-87.979,40.084,0.084400367,Illinois
-87.984,41.625,0.0,Illinois
-87.984,38.398,0.286484678,Illinois
-87.995,38.282,0.294046941,Illinois
-87.996,39.906,0.093368498,Illinois
-88.006,38.167,0.300426074,Illinois
-88.01,41.358,0.0,Illinois
-88.014,39.728,0.104512323,Illinois
-88.017,38.051,0.305318982,Illinois
-88.028,37.935,0.315638715,Illinois
-88.031,39.55,0.118406806,Illinois
-88.037,41.091,0.0,Illinois
-88.039,37.82,0.32421396,Illinois
-88.048,39.372,0.135643413,Illinois
-88.05,37.704,0.331948595,Illinois
-88.057,39.216,0.153092701,Illinois
-88.061,37.588,0.337826753,Illinois
-88.063,40.823,0.0,Illinois
-88.068,39.101,0.168242693,Illinois
-88.072,37.473,0.346031582,Illinois
-88.079,38.985,0.18688179,Illinois
-88.083,37.357,0.354471083,Illinois
-88.089,40.556,0.0,Illinois
-88.09,38.869,0.206634123,Illinois
-88.093,37.241,0.362806778,Illinois
-88.101,38.754,0.227074183,Illinois
-88.104,37.126,0.374338238,Illinois
-88.112,38.638,0.24808888,Illinois
-88.115,37.01,0.380743244,Illinois
-88.115,40.289,0.0,Illinois
-88.123,38.522,0.26729866,Illinois
-88.132,36.978,0.389824771,Illinois
-88.134,38.407,0.279223725,Illinois
-88.139,36.897,0.391697825,Illinois
-88.145,38.291,0.292417416,Illinois
-88.146,36.817,0.394915263,Illinois
-88.156,38.175,0.304670354,Illinois
-88.167,38.059,0.311550551,Illinois
-88.177,37.944,0.323749404,Illinois
-88.188,37.828,0.338573672,Illinois
-88.199,37.712,0.355108008,Illinois
-88.204,37.304,0.386004576,Illinois
-88.209,39.225,0.151997707,Illinois
-88.209,37.597,0.366289206,Illinois
-88.212,37.224,0.393857615,Illinois
-88.215,40.097,0.084887346,Illinois
-88.219,37.144,0.401168715,Illinois
-88.22,39.109,0.167028794,Illinois
-88.226,37.063,0.41087058,Illinois
-88.231,38.993,0.183930305,Illinois
-88.232,39.919,0.093643938,Illinois
-88.233,36.983,0.417908313,Illinois
-88.241,36.903,0.417210903,Illinois
-88.241,38.878,0.203233777,Illinois
-88.242,42.715,0.0,Illinois
-88.248,36.823,0.425746468,Illinois
-88.249,39.741,0.104535616,Illinois
-88.252,38.762,0.222953276,Illinois
-88.255,36.743,0.420217891,Illinois
-88.263,38.646,0.238705539,Illinois
-88.265,39.563,0.118298304,Illinois
-88.268,42.447,0.0,Illinois
-88.27,37.71,0.361328155,Illinois
-88.273,38.531,0.260030645,Illinois
-88.277,37.63,0.372419242,Illinois
-88.282,39.385,0.134520138,Illinois
-88.284,38.415,0.27374964,Illinois
-88.285,37.55,0.380958541,Illinois
-88.292,37.47,0.390154423,Illinois
-88.294,42.179,0.0,Illinois
-88.295,38.299,0.289522122,Illinois
-88.299,37.39,0.399560029,Illinois
-88.305,38.183,0.302192905,Illinois
-88.306,37.309,0.410351313,Illinois
-88.314,37.229,0.419166013,Illinois
-88.316,38.068,0.317489824,Illinois
-88.32,41.912,0.0,Illinois
-88.321,37.149,0.43062475,Illinois
-88.326,37.952,0.333745046,Illinois
-88.328,37.069,0.445635041,Illinois
-88.335,36.989,0.447315579,Illinois
-88.337,37.836,0.355671578,Illinois
-88.342,36.909,0.451152607,Illinois
-88.345,41.644,0.0,Illinois
-88.349,36.829,0.45523665,Illinois
-88.357,36.749,0.450999675,Illinois
-88.361,39.233,0.151075966,Illinois
-88.364,36.668,0.453168327,Illinois
-88.366,37.796,0.361978529,Illinois
-88.371,41.377,0.0,Illinois
-88.371,39.117,0.16612025,Illinois
-88.373,37.716,0.377519727,Illinois
-88.38,37.636,0.38864792,Illinois
-88.382,39.001,0.181619728,Illinois
-88.387,37.555,0.401987452,Illinois
-88.392,38.886,0.199059222,Illinois
-88.394,37.475,0.41394466,Illinois
-88.396,41.11,0.0,Illinois
-88.402,37.395,0.428816247,Illinois
-88.403,38.77,0.216455417,Illinois
-88.404,36.895,0.475672365,Illinois
-88.408,36.842,0.471788528,Illinois
-88.409,37.315,0.444021788,Illinois
-88.413,38.654,0.23439578,Illinois
-88.416,37.235,0.456199783,Illinois
-88.421,40.842,0.0,Illinois
