Longitude,Latitude,CSR,State
-81.548,37.575,0.0,Kentucky
-81.58,37.398,0.080905903,Kentucky
-81.743,37.777,0.0,Kentucky
-81.775,37.6,0.0,Kentucky
-81.806,37.423,0.078758767,Kentucky
-81.838,37.246,0.084637853,Kentucky
-81.869,37.07,0.090145152,Kentucky
-81.938,37.978,0.0,Kentucky
-81.97,37.801,0.0,Kentucky
-82.001,37.624,0.0,Kentucky
-82.032,37.448,0.0,Kentucky
-82.063,37.271,0.083282141,Kentucky
-82.094,37.094,0.088959453,Kentucky
-82.125,36.917,0.093647746,Kentucky
-82.135,38.179,0.0,Kentucky
-82.166,38.002,0.0,Kentucky
-82.197,37.825,0.0,Kentucky
-82.228,37.649,0.0,Kentucky
-82.258,37.472,0.0,Kentucky
-82.289,37.295,0.081558472,Kentucky
-82.304,38.755,0.0,Kentucky
-82.319,37.118,0.087705038,Kentucky
-82.349,36.941,0.094072626,Kentucky
-82.35,38.49,0.0,Kentucky
-82.364,38.203,0.0,Kentucky
-82.379,36.764,0.099536092,Kentucky
-82.394,38.026,0.0,Kentucky
-82.424,37.849,0.0,Kentucky
-82.455,37.672,0.0,Kentucky
-82.485,37.495,0.0,Kentucky
-82.515,37.318,0.080476536,Kentucky
-82.536,36.677,0.106027424,Kentucky
-82.544,37.141,0.087474963,Kentucky
-82.574,36.965,0.095320215,Kentucky
-82.592,38.226,0.0,Kentucky
-82.604,39.056,0.0,Kentucky
-82.622,38.049,0.0,Kentucky
-82.649,38.79,0.0,Kentucky
-82.652,37.872,0.0,Kentucky
-82.663,36.807,0.103986196,Kentucky
-82.682,37.696,0.0,Kentucky
-82.682,36.692,0.109657632,Kentucky
-82.694,38.525,0.0,Kentucky
-82.701,36.577,0.115478422,Kentucky
-82.711,37.519,0.0,Kentucky
-82.741,37.342,0.080973276,Kentucky
-82.77,37.165,0.088933634,Kentucky
-82.791,38.426,0.0,Kentucky
-82.799,36.988,0.098667909,Kentucky
-82.809,36.822,0.108293919,Kentucky
-82.821,38.249,0.0,Kentucky
-82.828,36.707,0.115157428,Kentucky
-82.846,36.592,0.121972816,Kentucky
-82.85,38.072,0.0,Kentucky
-82.865,36.477,0.128823965,Kentucky
-82.88,37.895,0.0,Kentucky
-82.909,37.718,0.0,Kentucky
-82.936,36.952,0.104458162,Kentucky
-82.938,37.541,0.0,Kentucky
-82.951,39.09,0.0,Kentucky
-82.955,36.837,0.113753834,Kentucky
-82.967,37.364,0.082207963,Kentucky
-82.973,36.722,0.121618539,Kentucky
-82.992,38.626,0.0,Kentucky
-82.992,36.607,0.131267656,Kentucky
-82.995,38.825,0.0,Kentucky
-82.995,37.187,0.091500223,Kentucky
-83.01,36.491,0.138758948,Kentucky
-83.021,38.449,0.0,Kentucky
-83.029,36.376,0.143247189,Kentucky
-83.05,38.272,0.0,Kentucky
-83.079,38.095,0.0,Kentucky
-83.082,36.967,0.108636186,Kentucky
-83.101,36.851,0.118551065,Kentucky
-83.107,37.918,0.0,Kentucky
-83.119,36.736,0.128350308,Kentucky
-83.136,37.741,0.0,Kentucky
-83.137,36.621,0.139854616,Kentucky
-83.156,36.506,0.147517215,Kentucky
-83.164,37.564,0.0,Kentucky
-83.174,36.391,0.154337837,Kentucky
-83.192,36.276,0.159488977,Kentucky
-83.193,37.387,0.083419387,Kentucky
-83.221,37.21,0.093623382,Kentucky
-83.222,38.648,0.0,Kentucky
-83.229,36.981,0.111249583,Kentucky
-83.247,36.866,0.123137097,Kentucky
-83.25,38.471,0.0,Kentucky
-83.265,36.751,0.134039531,Kentucky
-83.279,38.294,0.0,Kentucky
-83.283,36.636,0.146565089,Kentucky
-83.301,36.52,0.158076379,Kentucky
-83.307,38.117,0.0,Kentucky
-83.319,36.405,0.166672457,Kentucky
-83.335,37.94,0.0,Kentucky
-83.337,36.29,0.172058799,Kentucky
-83.341,38.858,0.0,Kentucky
-83.357,37.11,0.103206957,Kentucky
-83.363,37.763,0.0,Kentucky
-83.375,36.995,0.113629428,Kentucky
-83.391,37.586,0.077750482,Kentucky
-83.393,36.88,0.125745699,Kentucky
-83.411,36.765,0.139194998,Kentucky
-83.419,37.409,0.084278353,Kentucky
-83.429,36.65,0.151628362,Kentucky
-83.446,36.535,0.164983125,Kentucky
-83.447,37.231,0.094918187,Kentucky
-83.452,38.67,0.0,Kentucky
-83.464,36.419,0.175569372,Kentucky
-83.48,38.493,0.0,Kentucky
-83.482,36.304,0.179193486,Kentucky
-83.5,36.189,0.18722669,Kentucky
-83.504,37.124,0.103588442,Kentucky
-83.508,38.316,0.0,Kentucky
-83.521,37.009,0.114860264,Kentucky
-83.536,38.139,0.0,Kentucky
-83.539,36.894,0.126602306,Kentucky
-83.557,36.779,0.141005302,Kentucky
-83.563,37.962,0.0,Kentucky
-83.574,36.664,0.154437268,Kentucky
-83.591,37.784,0.0,Kentucky
-83.592,36.549,0.168513189,Kentucky
-83.609,36.433,0.17640423,Kentucky
-83.618,37.607,0.07870489,Kentucky
-83.627,36.318,0.185878324,Kentucky
-83.644,36.203,0.191047469,Kentucky
-83.646,37.43,0.084354782,Kentucky
-83.668,37.023,0.113917539,Kentucky
-83.673,37.253,0.094105354,Kentucky
-83.682,38.692,0.0,Kentucky
-83.685,36.908,0.125214326,Kentucky
-83.688,38.89,0.0,Kentucky
-83.703,36.793,0.139064734,Kentucky
-83.71,38.514,0.0,Kentucky
-83.72,36.678,0.151569429,Kentucky
-83.737,38.337,0.0,Kentucky
-83.737,36.562,0.162743105,Kentucky
-83.755,36.447,0.173390777,Kentucky
-83.765,38.16,0.0,Kentucky
-83.772,36.332,0.185862314,Kentucky
-83.789,36.217,0.192817999,Kentucky
-83.792,37.983,0.0,Kentucky
-83.814,37.037,0.110562005,Kentucky
-83.819,37.806,0.0,Kentucky
-83.832,36.922,0.122290037,Kentucky
-83.846,37.628,0.078896071,Kentucky
-83.849,36.806,0.132951913,Kentucky
-83.866,36.691,0.144488959,Kentucky
-83.872,37.451,0.083344253,Kentucky
-83.883,36.576,0.155467439,Kentucky
-83.899,37.274,0.09151182,Kentucky
-83.9,36.461,0.166005109,Kentucky
-83.913,38.713,0.0,Kentucky
-83.917,36.345,0.175198445,Kentucky
-83.925,37.097,0.103718169,Kentucky
-83.934,36.23,0.190875716,Kentucky
-83.94,38.535,0.0,Kentucky
-83.961,37.05,0.10616625,Kentucky
-83.967,38.358,0.0,Kentucky
-83.978,36.935,0.115344347,Kentucky
-83.993,38.181,0.0,Kentucky
-83.994,39.187,0.0,Kentucky
-83.995,36.82,0.125524205,Kentucky
-84.012,36.705,0.135667922,Kentucky
-84.02,38.004,0.0,Kentucky
-84.029,36.589,0.143874065,Kentucky
-84.035,38.921,0.0,Kentucky
-84.046,36.474,0.156868489,Kentucky
-84.046,37.826,0.0,Kentucky
-84.062,36.359,0.164688168,Kentucky
-84.073,37.649,0.078963104,Kentucky
-84.079,36.244,0.17794835,Kentucky
-84.099,37.472,0.082274783,Kentucky
-84.124,36.949,0.109686901,Kentucky
-84.125,37.294,0.088568819,Kentucky
-84.141,36.833,0.117859423,Kentucky
-84.144,38.733,0.0,Kentucky
-84.151,37.117,0.097651671,Kentucky
-84.158,36.718,0.126282551,Kentucky
-84.17,38.556,0.0,Kentucky
-84.174,36.603,0.132903211,Kentucky
-84.177,36.94,0.107891429,Kentucky
-84.191,36.487,0.143107126,Kentucky
-84.196,38.379,0.0,Kentucky
-84.208,36.372,0.150972596,Kentucky
-84.222,38.201,0.0,Kentucky
-84.224,36.257,0.163628137,Kentucky
-84.248,38.024,0.0,Kentucky
-84.274,37.847,0.0,Kentucky
-84.3,37.669,0.078811468,Kentucky
-84.303,39.484,0.0,Kentucky
-84.304,36.731,0.116113478,Kentucky
-84.32,36.616,0.122461205,Kentucky
-84.326,37.492,0.081429364,Kentucky
-84.337,36.5,0.129481472,Kentucky
-84.343,39.218,0.0,Kentucky
-84.351,37.315,0.085682294,Kentucky
-84.353,36.385,0.138720351,Kentucky
-84.369,36.27,0.150057216,Kentucky
-84.377,37.137,0.091968951,Kentucky
-84.382,38.952,0.0,Kentucky
-84.386,36.154,0.162679232,Kentucky
-84.4,38.576,0.0,Kentucky
-84.402,36.96,0.099552446,Kentucky
-84.42,38.686,0.0,Kentucky
-84.426,38.399,0.0,Kentucky
-84.427,36.782,0.107050655,Kentucky
-84.452,38.221,0.0,Kentucky
-84.477,38.044,0.0,Kentucky
-84.482,36.513,0.120047422,Kentucky
-84.498,36.398,0.127966488,Kentucky
-84.502,37.867,0.0,Kentucky
-84.514,36.283,0.135868919,Kentucky
-84.528,37.689,0.078835966,Kentucky
-84.531,36.167,0.147552596,Kentucky
-84.553,37.512,0.081015412,Kentucky
-84.578,37.334,0.084201086,Kentucky
-84.603,37.157,0.088553857,Kentucky
-84.627,36.98,0.093567813,Kentucky
-84.652,36.802,0.099293816,Kentucky
-84.653,39.513,0.0,Kentucky
-84.66,36.295,0.125049904,Kentucky
-84.675,36.18,0.134409037,Kentucky
-84.677,36.625,0.105471487,Kentucky
-84.681,38.241,0.0,Kentucky
-84.691,39.247,0.0,Kentucky
-84.701,36.447,0.113671161,Kentucky
-84.706,38.063,0.0,Kentucky
-84.729,38.981,0.0,Kentucky
-84.731,37.886,0.078372766,Kentucky
-84.755,37.709,0.079589,Kentucky
-84.767,38.715,0.0,Kentucky
-84.78,37.531,0.081444577,Kentucky
-84.804,38.449,0.0,Kentucky
-84.804,37.354,0.083950045,Kentucky
-84.82,36.192,0.125098513,Kentucky
-84.829,37.176,0.087033459,Kentucky
-84.841,38.183,0.0,Kentucky
-84.853,36.999,0.090831562,Kentucky
-84.877,36.821,0.095359818,Kentucky
-84.878,37.917,0.079285275,Kentucky
-84.901,36.644,0.100535106,Kentucky
-84.914,37.651,0.081294462,Kentucky
-84.925,36.466,0.106179011,Kentucky
-84.949,36.289,0.113925786,Kentucky
-85.031,37.373,0.085014628,Kentucky
-85.04,39.276,0.0,Kentucky
