Longitude,Latitude,CSR,State
-116.453,48.547,0.114223624,Montana
-116.393,48.37,0.118730216,Montana
-116.333,48.193,0.123559167,Montana
-116.311,48.942,0.107929557,Montana
-116.274,48.016,0.127589644,Montana
-116.262,47.837,0.129057938,Montana
-116.251,48.765,0.111336776,Montana
-116.224,47.722,0.129541311,Montana
-116.191,48.588,0.116009133,Montana
-116.186,47.607,0.12886076,Montana
-116.132,48.41,0.121375829,Montana
-116.132,47.978,0.130966464,Montana
-116.094,47.863,0.132774104,Montana
-116.073,48.233,0.127244101,Montana
-116.056,47.748,0.13395859,Montana
-116.047,48.983,0.108253841,Montana
-116.041,47.31,0.124062084,Montana
-116.018,47.633,0.134271071,Montana
-116.001,48.119,0.131942384,Montana
-115.988,48.805,0.112850573,Montana
-115.983,47.133,0.11801844,Montana
-115.981,47.518,0.132868479,Montana
-115.963,48.004,0.135680748,Montana
-115.943,47.403,0.130118015,Montana
-115.93,48.628,0.118505722,Montana
-115.926,47.889,0.138482376,Montana
-115.888,47.774,0.140108404,Montana
-115.871,48.45,0.126041169,Montana
-115.87,48.26,0.132398625,Montana
-115.851,47.659,0.140598374,Montana
-115.832,48.145,0.137628717,Montana
-115.813,47.544,0.13922858,Montana
-115.795,48.029,0.142204446,Montana
-115.776,47.429,0.136246732,Montana
-115.757,47.914,0.145862578,Montana
-115.739,47.314,0.131566001,Montana
-115.727,47.172,0.124181495,Montana
-115.726,48.845,0.115061163,Montana
-115.72,47.799,0.148823797,Montana
-115.701,48.285,0.138304913,Montana
-115.683,47.684,0.149440297,Montana
-115.67,46.996,0.116764211,Montana
-115.667,48.667,0.122795085,Montana
-115.663,48.17,0.144503272,Montana
-115.646,47.569,0.147611222,Montana
-115.626,48.055,0.150481893,Montana
-115.61,48.49,0.131933073,Montana
-115.609,47.454,0.14347402,Montana
-115.589,47.94,0.156305299,Montana
-115.572,47.34,0.13872265,Montana
-115.569,48.426,0.136945584,Montana
-115.552,47.825,0.15973502,Montana
-115.531,48.311,0.144847899,Montana
-115.515,47.71,0.161125932,Montana
-115.494,48.195,0.153809535,Montana
-115.478,47.595,0.159503697,Montana
-115.471,47.211,0.133130785,Montana
-115.463,48.884,0.119357756,Montana
-115.457,48.08,0.161838227,Montana
-115.441,47.48,0.154596775,Montana
-115.42,47.965,0.168573071,Montana
-115.415,47.035,0.122698199,Montana
-115.405,48.706,0.128971174,Montana
-115.405,47.365,0.147259428,Montana
-115.399,48.451,0.143982688,Montana
-115.383,47.85,0.174977945,Montana
-115.369,47.25,0.139176019,Montana
-115.362,48.336,0.15453299,Montana
-115.359,46.858,0.114458043,Montana
-115.347,47.735,0.177849114,Montana
-115.325,48.221,0.165904364,Montana
-115.31,47.62,0.176306573,Montana
-115.304,46.682,0.108444558,Montana
-115.288,48.105,0.177004939,Montana
-115.274,47.505,0.168708015,Montana
-115.265,48.592,0.14176992,Montana
-115.251,47.99,0.186954055,Montana
-115.238,47.39,0.158389754,Montana
-115.229,48.476,0.153500026,Montana
-115.215,47.875,0.195442729,Montana
-115.202,47.275,0.148963427,Montana
-115.199,48.923,0.123858533,Montana
-115.192,48.361,0.166937664,Montana
-115.179,47.76,0.205975218,Montana
-115.166,47.16,0.139303647,Montana
-115.159,47.073,0.132248814,Montana
-115.155,48.246,0.182583563,Montana
-115.142,47.645,0.203396672,Montana
-115.132,48.732,0.136706106,Montana
-115.119,48.13,0.199062504,Montana
-115.106,47.53,0.18699091,Montana
-115.104,46.896,0.121452124,Montana
-115.095,48.617,0.147806088,Montana
-115.083,48.015,0.212343245,Montana
-115.07,47.414,0.173567166,Montana
-115.058,48.501,0.162364445,Montana
-115.049,46.72,0.113112636,Montana
-115.046,47.9,0.22468881,Montana
-115.035,47.299,0.161026413,Montana
-115.022,48.386,0.181521526,Montana
-115.01,47.784,0.243218919,Montana
-114.999,47.185,0.149603441,Montana
-114.994,46.543,0.107699078,Montana
-114.986,48.27,0.20325311,Montana
-114.977,45.624,0.117852107,Montana
-114.974,47.669,0.239236156,Montana
-114.966,45.391,0.138218318,Montana
-114.961,48.757,0.140685217,Montana
-114.95,48.155,0.225794537,Montana
-114.94,46.367,0.10429485,Montana
-114.939,47.554,0.211244622,Montana
-114.935,48.961,0.12710482,Montana
-114.924,45.448,0.132501809,Montana
-114.924,48.641,0.153876547,Montana
-114.914,48.04,0.247327928,Montana
-114.903,47.439,0.191855873,Montana
-114.888,48.526,0.171640062,Montana
-114.886,46.19,0.102952841,Montana
-114.878,47.924,0.261925488,Montana
-114.867,47.324,0.176025021,Montana
-114.852,48.41,0.197521604,Montana
-114.848,46.934,0.130523965,Montana
-114.842,47.809,0.268486455,Montana
-114.833,46.014,0.104173025,Montana
-114.832,47.209,0.160767056,Montana
-114.816,48.295,0.227731561,Montana
