Longitude,Latitude,CSR,State
-120.446,39.262,0.528457815,Nevada
-120.441,40.313,0.721187283,Nevada
-120.44,39.702,0.661560388,Nevada
-120.437,41.43,0.342987767,Nevada
-120.434,40.224,0.896689288,Nevada
-120.434,39.481,0.658443235,Nevada
-120.424,39.834,0.592655562,Nevada
-120.422,40.952,0.418235728,Nevada
-120.422,40.189,0.788196948,Nevada
-120.422,39.65,0.714219279,Nevada
-120.408,40.473,0.445766742,Nevada
-120.406,39.151,0.487617537,Nevada
-120.405,40.088,0.577538589,Nevada
-120.403,39.599,0.747793263,Nevada
-120.396,39.757,0.614213213,Nevada
-120.395,41.318,0.352073552,Nevada
-120.394,39.995,0.556372955,Nevada
-120.389,40.233,0.820289372,Nevada
-120.387,40.341,0.560713492,Nevada
-120.385,40.158,0.729021378,Nevada
-120.384,39.547,0.744092105,Nevada
-120.382,42.164,0.296548565,Nevada
-120.381,40.84,0.376552674,Nevada
-120.377,40.01,0.553602795,Nevada
-120.376,40.199,0.879558409,Nevada
-120.368,39.679,0.649295079,Nevada
-120.367,40.361,0.524290887,Nevada
-120.366,39.495,0.759966692,Nevada
-120.366,39.039,0.459674731,Nevada
-120.364,40.164,0.771232158,Nevada
-120.358,39.348,0.617517374,Nevada
-120.354,40.275,0.630072431,Nevada
-120.354,41.206,0.368150391,Nevada
-120.35,41.766,0.48963437,Nevada
-120.349,39.933,0.557476077,Nevada
-120.347,39.444,0.699864468,Nevada
-120.341,42.052,0.302455805,Nevada
-120.34,40.728,0.374648559,Nevada
-120.335,39.613,0.679913214,Nevada
-120.33,40.208,0.816364559,Nevada
-120.33,39.271,0.574783794,Nevada
-120.329,39.392,0.668886246,Nevada
-120.327,41.573,0.417520714,Nevada
-120.326,38.927,0.437587305,Nevada
-120.322,41.688,0.511099958,Nevada
-120.321,39.855,0.56616581,Nevada
-120.318,40.174,0.86593248,Nevada
-120.316,39.561,0.721036214,Nevada
-120.313,41.094,0.391583444,Nevada
-120.305,40.139,0.768628276,Nevada
-120.299,40.616,0.397736253,Nevada
-120.299,41.94,0.365949658,Nevada
-120.298,39.51,0.762402408,Nevada
-120.298,40.12,0.726393158,Nevada
-120.293,39.778,0.610230012,Nevada
-120.286,38.815,0.423179714,Nevada
-120.285,41.461,0.367249421,Nevada
-120.279,39.458,0.75280345,Nevada
-120.279,40.068,0.645132268,Nevada
-120.275,40.031,0.607371319,Nevada
-120.272,40.183,0.824697448,Nevada
-120.272,40.982,0.434917364,Nevada
-120.271,42.307,0.323391479,Nevada
-120.267,39.627,0.693988355,Nevada
-120.267,40.238,0.630907068,Nevada
-120.265,39.7,0.650502735,Nevada
-120.264,39.482,0.779427946,Nevada
-120.261,39.406,0.755550219,Nevada
-120.26,40.148,0.875496996,Nevada
-120.258,40.504,0.42452077,Nevada
-120.258,41.828,0.420311058,Nevada
-120.256,40.285,0.540449452,Nevada
-120.252,39.447,0.774868728,Nevada
-120.248,39.575,0.747779017,Nevada
-120.247,40.114,0.815159502,Nevada
-120.247,39.954,0.57443814,Nevada
-120.246,38.703,0.410617981,Nevada
-120.244,41.349,0.386396407,Nevada
-120.242,39.355,0.739640141,Nevada
-120.24,39.413,0.786267419,Nevada
-120.235,40.08,0.756565242,Nevada
-120.231,40.87,0.457601112,Nevada
-120.23,39.524,0.777543945,Nevada
-120.23,42.195,0.289174238,Nevada
-120.227,39.378,0.78876883,Nevada
-120.224,39.303,0.679457434,Nevada
-120.219,39.491,0.780828989,Nevada
-120.219,39.876,0.58222605,Nevada
-120.218,40.392,0.46164861,Nevada
-120.217,41.709,0.490387245,Nevada
-120.214,40.158,0.813216253,Nevada
-120.207,39.457,0.781938805,Nevada
-120.203,41.237,0.403966982,Nevada
-120.202,40.123,0.901243823,Nevada
-120.201,39.214,0.632778388,Nevada
-120.199,39.641,0.744127333,Nevada
-120.194,39.422,0.816062953,Nevada
-120.192,40.031,0.738387432,Nevada
-120.191,39.799,0.622934238,Nevada
-120.19,40.758,0.377949422,Nevada
-120.189,40.089,0.90538082,Nevada
-120.188,41.631,0.502601895,Nevada
-120.188,42.083,0.295825766,Nevada
-120.182,39.388,0.816211162,Nevada
-120.18,38.957,0.538257549,Nevada
-120.177,40.28,0.529973521,Nevada
-120.177,40.055,0.840923977,Nevada
-120.174,39.137,0.626934656,Nevada
-120.173,39.979,0.658119841,Nevada
-120.17,39.353,0.770766712,Nevada
-120.168,41.885,0.485866329,Nevada
