Longitude,Latitude,CSR,State
-73.523,41.162,0.081220846,New Jersey
-73.619,41.229,0.08342452,New Jersey
-73.654,41.116,0.08709555,New Jersey
-73.683,40.64,0.081440903,New Jersey
-73.689,41.003,0.089924135,New Jersey
-73.704,41.376,0.080552926,New Jersey
-73.772,41.255,0.087482974,New Jersey
-73.792,40.663,0.08511765,New Jersey
-73.806,41.142,0.091236698,New Jersey
-73.841,41.028,0.093881909,New Jersey
-73.875,40.915,0.093516043,New Jersey
-73.909,40.802,0.092895609,New Jersey
-73.924,41.28,0.088367351,New Jersey
-73.939,41.416,0.0805642,New Jersey
-73.943,40.689,0.089267944,New Jersey
-73.959,41.167,0.092196713,New Jersey
-73.977,40.575,0.085425044,New Jersey
-73.993,41.054,0.094310586,New Jersey
-74.02,40.331,0.0,New Jersey
-74.027,40.941,0.093626681,New Jersey
-74.061,40.827,0.093570939,New Jersey
-74.072,40.157,0.0,New Jersey
-74.077,41.306,0.084852782,New Jersey
-74.095,40.714,0.090999197,New Jersey
-74.111,41.193,0.089249807,New Jersey
-74.124,39.983,0.0,New Jersey
-74.129,40.601,0.087755574,New Jersey
-74.145,41.079,0.091154953,New Jersey
-74.174,41.455,0.0,New Jersey
-74.175,39.808,0.0,New Jersey
-74.179,40.966,0.091637283,New Jersey
-74.213,40.853,0.091798656,New Jersey
-74.226,41.28,0.0818337,New Jersey
-74.246,40.739,0.089731557,New Jersey
-74.252,40.37,0.078300242,New Jersey
-74.28,40.626,0.085986761,New Jersey
-74.297,41.104,0.086115366,New Jersey
-74.303,40.196,0.0,New Jersey
-74.313,40.513,0.083479424,New Jersey
-74.331,40.991,0.086843806,New Jersey
-74.354,40.021,0.0,New Jersey
-74.358,41.668,0.0,New Jersey
-74.364,40.878,0.087495457,New Jersey
-74.398,40.764,0.085772736,New Jersey
-74.405,39.847,0.0,New Jersey
-74.41,41.493,0.0,New Jersey
-74.431,40.651,0.083310696,New Jersey
-74.461,41.319,0.0,New Jersey
-74.484,40.408,0.0,New Jersey
-74.513,41.144,0.0,New Jersey
-74.535,40.234,0.0,New Jersey
-74.564,40.97,0.078996485,New Jersey
-74.585,40.06,0.0,New Jersey
-74.594,41.706,0.0,New Jersey
-74.615,40.795,0.079234573,New Jersey
-74.626,39.628,0.0,New Jersey
-74.636,39.885,0.0,New Jersey
-74.645,41.532,0.0,New Jersey
-74.666,40.621,0.0,New Jersey
-74.686,39.711,0.0,New Jersey
-74.697,41.357,0.0,New Jersey
-74.701,39.367,0.0,New Jersey
-74.716,40.446,0.0,New Jersey
-74.748,41.182,0.0,New Jersey
-74.767,40.272,0.0,New Jersey
-74.798,41.008,0.0,New Jersey
-74.817,40.097,0.0,New Jersey
-74.849,40.833,0.0,New Jersey
-74.866,39.923,0.0,New Jersey
-74.882,41.569,0.0,New Jersey
-74.899,40.659,0.0,New Jersey
-74.916,39.748,0.0,New Jersey
-74.932,41.395,0.0,New Jersey
-74.949,40.484,0.0,New Jersey
-74.965,39.574,0.0,New Jersey
-74.983,41.22,0.0,New Jersey
-74.999,40.309,0.0,New Jersey
-75.033,41.045,0.0,New Jersey
-75.045,39.423,0.0,New Jersey
-75.048,40.135,0.0,New Jersey
-75.083,40.871,0.0,New Jersey
-75.097,39.96,0.0,New Jersey
-75.132,40.696,0.0,New Jersey
-75.146,39.786,0.0,New Jersey
-75.182,40.521,0.0,New Jersey
-75.195,39.611,0.0,New Jersey
-75.218,41.257,0.0,New Jersey
-75.224,41.368,0.0,New Jersey
-75.231,40.346,0.0,New Jersey
-75.262,38.637,0.0,New Jersey
-75.267,41.082,0.0,New Jersey
-75.28,40.172,0.0,New Jersey
-75.317,40.907,0.0,New Jersey
-75.328,39.997,0.0,New Jersey
-75.366,40.733,0.0,New Jersey
-75.377,39.822,0.0,New Jersey
-75.415,40.558,0.0,New Jersey
-75.425,39.648,0.0,New Jersey
-75.461,39.216,0.0,New Jersey
-75.463,40.383,0.0,New Jersey
-75.473,39.473,0.0,New Jersey
-75.512,40.208,0.0,New Jersey
-75.532,38.954,0.0,New Jersey
-75.56,40.034,0.0,New Jersey
-75.6,40.769,0.0,New Jersey
-75.608,39.859,0.0,New Jersey
-75.648,40.594,0.0,New Jersey
-75.655,39.684,0.0,New Jersey
-75.703,39.509,0.0,New Jersey
-75.791,40.07,0.0,New Jersey
-75.804,39.27,0.0,New Jersey
-75.839,39.895,0.0,New Jersey
-75.886,39.72,0.0,New Jersey
-75.933,39.545,0.0,New Jersey
-75.98,39.37,0.0,New Jersey
