Longitude,Latitude,CSR,State
-80.093,40.946,0.0,Ohio
-80.149,40.681,0.0,Ohio
-80.204,40.417,0.0,Ohio
-80.225,42.047,0.0,Ohio
-80.259,40.152,0.0,Ohio
-80.281,41.782,0.0,Ohio
-80.314,39.888,0.0,Ohio
-80.337,41.517,0.0,Ohio
-80.393,41.252,0.0,Ohio
-80.448,40.987,0.0,Ohio
-80.502,40.723,0.0,Ohio
-80.557,40.458,0.0,Ohio
-80.61,40.193,0.0,Ohio
-80.641,41.823,0.0,Ohio
-80.664,39.928,0.0,Ohio
-80.695,41.558,0.0,Ohio
-80.717,39.664,0.0,Ohio
-80.749,41.293,0.0,Ohio
-80.77,39.399,0.0,Ohio
-80.803,41.028,0.0,Ohio
-80.822,39.134,0.0,Ohio
-80.857,40.763,0.0,Ohio
-80.909,40.498,0.0,Ohio
-80.962,40.233,0.0,Ohio
-80.967,41.84,0.0,Ohio
-81.003,41.664,0.0,Ohio
-81.014,39.968,0.0,Ohio
-81.038,41.487,0.0,Ohio
-81.066,39.703,0.0,Ohio
-81.107,41.332,0.0,Ohio
-81.117,39.439,0.0,Ohio
-81.159,41.067,0.0,Ohio
-81.168,39.174,0.0,Ohio
-81.211,40.802,0.0,Ohio
-81.242,41.69,0.0,Ohio
-81.263,40.537,0.0,Ohio
-81.277,41.513,0.0,Ohio
-81.314,40.272,0.0,Ohio
-81.365,40.007,0.0,Ohio
-81.415,39.742,0.0,Ohio
-81.464,41.371,0.0,Ohio
-81.466,39.477,0.0,Ohio
-81.515,39.212,0.0,Ohio
-81.515,41.106,0.0,Ohio
-81.516,41.538,0.0,Ohio
-81.565,38.947,0.0,Ohio
-81.566,40.84,0.0,Ohio
-81.614,38.682,0.0,Ohio
-81.616,40.575,0.0,Ohio
-81.666,40.31,0.0,Ohio
-81.716,40.045,0.0,Ohio
-81.765,39.78,0.0,Ohio
-81.814,39.515,0.0,Ohio
-81.822,41.408,0.0,Ohio
-81.863,39.249,0.0,Ohio
-81.872,41.143,0.0,Ohio
-81.911,38.984,0.0,Ohio
-81.921,40.878,0.0,Ohio
-81.959,38.719,0.0,Ohio
-81.97,40.612,0.0,Ohio
-82.006,38.454,0.0,Ohio
-82.019,40.347,0.0,Ohio
-82.067,40.082,0.0,Ohio
-82.115,39.816,0.0,Ohio
-82.135,38.179,0.0,Ohio
-82.163,39.551,0.0,Ohio
-82.18,41.445,0.0,Ohio
-82.21,39.286,0.0,Ohio
-82.229,41.179,0.0,Ohio
-82.257,39.021,0.0,Ohio
-82.277,40.914,0.0,Ohio
-82.304,38.755,0.0,Ohio
-82.325,40.648,0.0,Ohio
-82.35,38.49,0.0,Ohio
-82.364,38.203,0.0,Ohio
