Longitude,Latitude,CSR,State
-124.42,42.403,0.945917804,California
-124.407,42.255,0.90266026,California
-124.405,42.369,0.948912304,California
-124.391,40.458,1.05872784,California
-124.39,42.334,0.963948061,California
-124.377,40.424,1.062501177,California
-124.375,42.3,0.962781469,California
-124.373,42.413,0.96593587,California
-124.362,40.39,1.076577456,California
-124.362,42.153,0.951461205,California
-124.36,40.503,1.056957792,California
-124.36,42.266,0.939343323,California
-124.359,42.379,0.975508479,California
-124.348,40.356,1.108339268,California
-124.348,42.119,0.926125944,California
-124.346,40.469,1.060327692,California
-124.346,42.232,0.954064303,California
-124.344,40.582,0.988854483,California
-124.344,42.345,0.970841675,California
-124.333,40.322,1.148282578,California
-124.332,40.435,1.049101136,California
-124.331,42.198,0.959370071,California
-124.33,40.548,1.013412769,California
-124.329,42.311,0.96891241,California
-124.327,42.424,0.875941436,California
-124.319,40.288,1.18963453,California
-124.317,40.401,1.047329102,California
-124.316,42.164,0.929175206,California
-124.315,40.514,1.04409709,California
-124.314,42.277,0.965137366,California
-124.313,40.627,0.95262455,California
-124.312,42.39,0.877685536,California
-124.305,40.254,1.235982354,California
-124.303,40.367,1.054116194,California
-124.301,40.48,1.052623768,California
-124.301,42.13,0.868597122,California
-124.299,40.593,0.972078958,California
-124.299,42.243,0.937061653,California
-124.297,42.356,0.861920155,California
-124.29,40.22,1.315040379,California
-124.288,40.333,1.07046945,California
-124.286,40.446,1.034831739,California
-124.286,42.096,0.816060244,California
-124.284,40.559,1.001835094,California
-124.284,42.209,0.898831364,California
-124.282,40.672,0.960123971,California
-124.282,42.322,0.86098707,California
-124.28,42.435,0.775219716,California
-124.274,40.299,1.095272681,California
-124.272,40.412,1.024630515,California
-124.272,42.062,0.788749163,California
-124.27,40.525,1.027813463,California
-124.27,42.175,0.846275807,California
-124.268,40.638,0.960723855,California
-124.267,42.288,0.860464025,California
-124.265,42.401,0.771991342,California
-124.259,40.265,1.115382786,California
-124.257,40.378,1.018202269,California
-124.255,40.491,1.039478662,California
-124.255,42.141,0.797125047,California
-124.253,40.604,0.976606315,California
-124.253,42.254,0.833667728,California
-124.251,42.367,0.764065493,California
-124.245,40.231,1.146580304,California
-124.243,40.344,1.024296642,California
-124.241,40.457,1.03381834,California
-124.24,42.107,0.764840643,California
-124.239,40.57,0.997736103,California
-124.238,42.22,0.79391517,California
-124.237,40.683,1.010077636,California
-124.236,42.333,0.761777009,California
-124.234,42.446,0.713305257,California
-124.231,40.197,1.177098328,California
-124.229,40.31,1.034394238,California
-124.226,40.423,1.022093542,California
-124.225,42.073,0.746140865,California
-124.224,40.536,1.019634603,California
-124.223,42.186,0.763880237,California
-124.222,40.649,1.011841339,California
-124.221,42.299,0.759591886,California
-124.219,42.412,0.70751379,California
-124.216,40.163,1.2039418,California
-124.215,41.812,0.7569103,California
-124.214,40.276,1.047808872,California
-124.212,40.389,1.023211424,California
-124.211,42.039,0.73398314,California
-124.21,40.502,1.038791444,California
-124.208,40.615,1.011529293,California
-124.208,42.152,0.740525383,California
-124.206,40.727,1.091317482,California
-124.206,42.265,0.747710718,California
-124.204,42.378,0.697387698,California
-124.2,41.778,0.752591761,California
-124.2,40.242,1.059306557,California
-124.198,41.891,0.734094526,California
-124.198,40.355,1.014392945,California
-124.196,40.468,1.036091724,California
-124.196,42.004,0.720680918,California
-124.194,42.118,0.719568283,California
-124.193,40.581,1.008751419,California
-124.191,40.693,1.094521717,California
-124.191,42.231,0.7262679,California
-124.189,42.344,0.692744322,California
-124.186,40.208,1.090136697,California
-124.183,41.857,0.722211207,California
-124.183,40.321,1.017353754,California
-124.181,41.97,0.70798739,California
-124.181,40.434,1.02587694,California
-124.179,40.546,1.020021712,California
-124.179,42.083,0.697734655,California
-124.177,40.659,1.085813378,California
-124.177,42.197,0.703193959,California
-124.175,40.772,1.143060337,California
-124.174,42.31,0.688121258,California
-124.172,42.423,0.648428882,California
-124.171,40.174,1.10802281,California
-124.169,40.287,1.011036439,California
-124.169,41.823,0.714843422,California
-124.167,41.936,0.695421518,California
-124.167,40.4,1.027842695,California
-124.165,40.512,1.031491789,California
-124.164,42.049,0.680878443,California
-124.162,40.625,1.064612971,California
-124.162,42.162,0.682631266,California
-124.16,40.738,1.141165629,California
-124.16,42.276,0.679315123,California
-124.157,40.14,1.137286531,California
-124.157,42.389,0.641078845,California
-124.155,40.253,1.007584887,California
-124.154,41.789,0.708422462,California
-124.153,41.077,1.047404088,California
-124.152,40.365,1.02813976,California
-124.152,41.902,0.684280661,California
-124.15,40.478,1.028352007,California
-124.15,42.015,0.671375218,California
-124.148,40.591,1.039729397,California
-124.147,42.128,0.665494411,California
-124.146,40.704,1.149439967,California
-124.145,42.241,0.66286323,California
-124.143,40.817,1.140082732,California
-124.143,42.355,0.636911968,California
-124.14,40.219,1.011066098,California
-124.14,41.755,0.705847026,California
-124.138,40.331,1.021912087,California
-124.137,41.868,0.675620925,California
-124.137,41.156,1.018969601,California
-124.136,40.444,1.013915309,California
-124.135,41.981,0.66211605,California
-124.134,40.557,1.036437642,California
-124.133,42.094,0.651812619,California
-124.131,40.67,1.148112426,California
-124.13,42.207,0.647147182,California
-124.129,40.783,1.149379015,California
-124.128,42.32,0.632458376,California
-124.127,40.896,1.101071442,California
-124.126,40.185,1.027237065,California
-124.125,41.721,0.707336401,California
-124.125,42.434,0.60294868,California
-124.124,40.297,1.006341966,California
-124.123,41.834,0.670356587,California
-124.122,41.122,1.033175206,California
-124.121,40.41,1.014488483,California
-124.12,41.947,0.652180502,California
-124.119,40.523,1.028241207,California
-124.118,42.06,0.640107985,California
-124.117,40.636,1.133948569,California
-124.115,40.749,1.160542154,California
-124.115,42.173,0.63349146,California
-124.113,42.286,0.625348672,California
-124.112,40.862,1.118317488,California
-124.112,40.15,1.050911346,California
-124.111,42.399,0.596921611,California
-124.11,41.687,0.715904996,California
-124.11,40.975,1.073351799,California
-124.109,40.263,0.987408592,California
-124.108,41.8,0.666093694,California
-124.108,41.088,1.034754442,California
-124.107,40.376,1.022191108,California
-124.106,41.913,0.645670375,California
-124.105,41.201,0.99364216,California
-124.105,40.489,1.021576691,California
-124.103,42.026,0.632515665,California
-124.102,40.602,1.094609709,California
-124.101,42.139,0.622704446,California
-124.1,40.715,1.166914137,California
-124.098,42.252,0.615165442,California
-124.097,40.116,1.087541682,California
-124.096,41.653,0.725576899,California
-124.096,42.365,0.590658323,California
-124.095,40.941,1.103121483,California
-124.095,40.229,0.982087612,California
-124.093,41.766,0.662705372,California
-124.093,41.054,1.037718825,California
-124.093,40.342,1.010460606,California
-124.091,41.879,0.639270017,California
-124.091,41.167,1.002100232,California
-124.09,40.455,0.995825943,California
-124.089,41.992,0.625616297,California
-124.088,41.28,0.947922235,California
-124.088,40.568,1.066384918,California
-124.086,40.681,1.162952056,California
-124.086,42.105,0.613171367,California
-124.084,42.218,0.602914073,California
-124.083,40.794,1.144372688,California
-124.083,40.082,1.098138837,California
-124.081,41.619,0.736254744,California
-124.081,40.907,1.127550736,California
-124.081,40.195,0.980690126,California
-124.081,42.331,0.585293989,California
-124.079,41.732,0.664123839,California
-124.079,41.02,1.054470192,California
-124.079,40.308,0.999992441,California
-124.079,42.444,0.5635354,California
-124.076,41.845,0.633721549,California
-124.076,41.133,1.010039129,California
-124.076,40.421,0.990988898,California
-124.074,41.958,0.618021497,California
-124.074,41.246,0.949307668,California
-124.074,40.534,1.034723643,California
-124.071,41.359,0.864184848,California
-124.071,40.647,1.153051211,California
-124.071,42.071,0.602360793,California
-124.069,40.76,1.155094976,California
-124.069,40.048,1.105954577,California
-124.069,42.184,0.591105937,California
-124.067,41.585,0.743085031,California
-124.067,40.161,0.982048186,California
-124.067,40.873,1.142084212,California
-124.067,42.297,0.57945806,California
-124.064,40.274,0.977676815,California
-124.064,40.986,1.078127136,California
-124.064,41.698,0.667840865,California
-124.064,42.41,0.558036873,California
-124.062,41.811,0.630621783,California
-124.062,40.387,0.983118024,California
-124.062,41.099,1.008109527,California
-124.059,40.5,1.013607457,California
-124.059,41.212,0.954021801,California
-124.059,41.924,0.610706659,California
-124.057,40.613,1.141110219,California
-124.057,41.325,0.874784598,California
-124.057,42.037,0.595319852,California
-124.055,40.726,1.159659502,California
-124.054,41.438,0.792227944,California
-124.054,42.15,0.580719744,California
-124.052,40.127,0.982203523,California
-124.052,40.839,1.144166807,California
-124.052,41.551,0.745887484,California
-124.052,42.263,0.570915688,California
-124.05,41.664,0.672865365,California
-124.05,40.24,0.968017935,California
-124.05,40.952,1.114149459,California
-124.049,42.376,0.553037514,California
-124.048,40.353,0.96961304,California
-124.047,41.065,1.021761229,California
-124.047,41.777,0.627696474,California
-124.045,40.466,0.996460526,California
-124.045,41.89,0.605475699,California
-124.045,41.178,0.962509681,California
-124.043,40.579,1.081589272,California
-124.042,41.291,0.881699174,California
-124.042,42.003,0.58782449,California
-124.04,40.692,1.161515524,California
-124.04,41.404,0.791936435,California
-124.04,42.116,0.573206835,California
-124.038,40.093,0.976186088,California
-124.038,40.805,1.142846625,California
-124.037,41.517,0.744948557,California
-124.037,42.229,0.562206039,California
-124.036,40.206,0.960527231,California
-124.035,40.918,1.140797275,California
-124.035,41.63,0.678474266,California
-124.035,42.342,0.548830377,California
-124.033,40.319,0.958005551,California
-124.033,41.743,0.628258271,California
-124.033,41.031,1.04667268,California
-124.031,40.432,0.978600107,California
-124.03,41.143,0.967375643,California
-124.03,41.856,0.599884796,California
-124.028,40.545,1.052951671,California
-124.028,41.969,0.580830225,California
-124.028,41.256,0.889204719,California
-124.026,40.658,1.15896738,California
-124.025,41.369,0.79437967,California
-124.025,42.082,0.566704591,California
-124.024,40.059,0.9740853,California
-124.023,40.771,1.150601231,California
-124.023,41.482,0.743976142,California
-124.023,42.195,0.555262075,California
-124.021,40.172,0.952499713,California
-124.021,40.884,1.162765753,California
-124.02,41.595,0.684452101,California
-124.02,42.308,0.544402751,California
-124.019,40.285,0.947985812,California
-124.018,40.996,1.06571645,California
-124.018,41.708,0.630800068,California
-124.017,40.398,0.962699571,California
-124.017,42.421,0.529058743,California
-124.016,41.109,0.973111252,California
-124.015,41.821,0.596607986,California
-124.014,40.511,1.021554223,California
-124.013,41.222,0.896276106,California
-124.013,41.935,0.574717353,California
-124.012,40.624,1.1464027,California
-124.011,41.335,0.800516234,California
-124.01,40.025,0.966330951,California
-124.01,42.048,0.56064257,California
-124.009,40.737,1.148517227,California
-124.008,41.448,0.741940729,California
-124.008,42.161,0.54804162,California
-124.007,40.138,0.937244668,California
-124.007,40.849,1.144880181,California
-124.006,41.561,0.68709621,California
-124.005,40.251,0.943117092,California
-124.005,42.274,0.538326432,California
-124.004,40.962,1.096833302,California
-124.003,41.674,0.632466493,California
-124.003,42.387,0.525811737,California
-124.002,40.364,0.936076474,California
-124.002,41.075,0.996171005,California
-124.001,41.787,0.594322395,California
-124.0,40.477,0.996471797,California
-123.999,41.188,0.903334085,California
-123.998,41.9,0.571124499,California
-123.997,40.59,1.122647948,California
-123.997,41.301,0.806410016,California
-123.996,42.013,0.55628153,California
-123.995,39.991,0.949774843,California
-123.995,40.702,1.156156691,California
-123.994,41.414,0.743500226,California
-123.993,40.104,0.923502857,California
-123.993,42.127,0.542173971,California
-123.992,40.815,1.142556071,California
-123.991,41.527,0.684893954,California
-123.991,42.24,0.532808039,California
-123.99,40.217,0.941922306,California
-123.99,40.928,1.117641085,California
-123.989,41.64,0.635375547,California
-123.988,40.33,0.922645536,California
-123.988,42.353,0.520933426,California
-123.987,41.041,1.016172063,California
-123.986,41.753,0.592429878,California
-123.985,40.443,0.972473059,California
-123.985,41.154,0.908287966,California
-123.984,41.866,0.566788519,California
-123.983,40.555,1.099013629,California
-123.982,41.267,0.810586988,California
-123.981,41.979,0.550496155,California
-123.98,40.668,1.149884621,California
-123.979,41.38,0.744434702,California
-123.979,40.07,0.910386642,California
-123.979,42.092,0.537999718,California
-123.978,40.781,1.141705301,California
-123.977,41.493,0.683938339,California
-123.976,40.183,0.936340587,California
-123.976,42.206,0.527315569,California
-123.975,40.894,1.119650012,California
-123.974,41.606,0.637835966,California
-123.974,40.296,0.913387751,California
-123.973,41.007,1.035588029,California
-123.973,42.319,0.515609878,California
-123.972,41.719,0.594370483,California
-123.971,40.408,0.948890478,California
-123.971,42.432,0.501033868,California
-123.97,41.12,0.923236032,California
-123.969,41.832,0.564089854,California
-123.969,40.521,1.026128758,California
-123.968,41.233,0.820408161,California
-123.967,41.945,0.546614082,California
-123.966,40.634,1.139677791,California
-123.965,41.346,0.748481094,California
-123.965,40.036,0.894714512,California
-123.964,40.747,1.145034692,California
-123.964,42.058,0.533239532,California
-123.962,41.459,0.68230357,California
-123.962,40.149,0.92133954,California
-123.961,40.86,1.112967185,California
-123.961,42.171,0.52117721,California
-123.96,41.572,0.639699055,California
-123.959,40.262,0.906819116,California
-123.959,42.285,0.510467071,California
-123.958,40.973,1.064031909,California
-123.957,41.685,0.595272789,California
-123.957,40.374,0.923357844,California
-123.956,41.086,0.949635693,California
-123.956,42.398,0.496664899,California
-123.955,41.798,0.562481824,California
-123.954,40.487,0.97599979,California
-123.953,41.199,0.830114107,California
-123.952,41.911,0.543058589,California
-123.952,40.6,1.12328118,California
-123.951,41.312,0.751827721,California
-123.95,40.002,0.872752355,California
-123.949,40.713,1.147630936,California
-123.949,42.024,0.529707495,California
-123.948,41.425,0.68394977,California
-123.948,40.115,0.903671586,California
-123.947,40.826,1.108383333,California
-123.947,42.137,0.515619059,California
-123.945,41.538,0.637982485,California
-123.945,40.227,0.905242807,California
-123.944,40.939,1.07834361,California
-123.944,42.25,0.504474254,California
-123.943,41.651,0.597186289,California
-123.943,40.34,0.901666956,California
-123.941,41.052,0.975112385,California
-123.941,42.363,0.492021367,California
-123.94,41.764,0.561195094,California
-123.94,40.453,0.950403471,California
-123.939,41.165,0.843371436,California
-123.937,40.566,1.107087317,California
-123.937,41.877,0.53997272,California
-123.936,39.968,0.845422276,California
-123.936,41.278,0.754886734,California
-123.935,41.99,0.526236477,California
-123.935,40.679,1.142109352,California
-123.934,40.081,0.887174876,California
-123.934,41.391,0.686601021,California
-123.932,40.792,1.099141563,California
-123.932,42.103,0.511140076,California
-123.931,40.193,0.902297243,California
-123.931,41.504,0.637881642,California
-123.93,40.905,1.072974711,California
-123.929,42.216,0.498911896,California
-123.928,40.306,0.890437248,California
-123.928,41.617,0.599956545,California
-123.927,41.018,0.993147846,California
-123.927,42.329,0.487790171,California
-123.926,41.73,0.562074281,California
-123.926,40.419,0.937466702,California
-123.924,41.131,0.867027313,California
-123.924,42.442,0.474021514,California
-123.923,40.532,0.997543545,California
-123.923,41.843,0.537904285,California
-123.922,39.934,0.819553214,California
-123.922,41.244,0.760741242,California
-123.921,40.645,1.132508172,California
-123.92,41.956,0.522051193,California
-123.919,40.046,0.853471887,California
-123.919,41.357,0.689317253,California
-123.918,40.758,1.123515377,California
-123.918,42.069,0.507237283,California
-123.917,40.159,0.898490535,California
-123.916,41.47,0.636449394,California
-123.915,40.871,1.054931042,California
-123.915,42.182,0.493478665,California
-123.914,40.272,0.879968219,California
-123.914,41.583,0.600789085,California
-123.913,40.984,1.011903968,California
-123.912,40.385,0.916677315,California
-123.912,42.295,0.482706747,California
-123.911,41.696,0.562725161,California
-123.91,41.097,0.893585408,California
-123.909,40.498,0.93874829,California
-123.909,42.408,0.470170793,California
-123.908,41.809,0.536453324,California
-123.908,39.9,0.795373614,California
-123.907,41.21,0.768254726,California
-123.906,40.611,1.123804229,California
-123.906,41.922,0.519149973,California
-123.905,40.012,0.825388909,California
-123.905,41.323,0.694895007,California
-123.904,40.724,1.136160025,California
-123.903,40.125,0.89256101,California
-123.903,42.035,0.503118685,California
-123.902,41.436,0.636657664,California
-123.901,40.837,1.047558249,California
-123.9,40.238,0.868805856,California
-123.9,42.148,0.488068671,California
-123.899,41.549,0.599193207,California
-123.898,40.95,1.015965312,California
-123.898,42.261,0.477901747,California
-123.897,40.351,0.896589834,California
-123.897,41.662,0.563515522,California
-123.896,41.063,0.909835147,California
-123.895,40.464,0.917994561,California
-123.895,42.374,0.466549178,California
-123.894,41.775,0.535833633,California
-123.894,39.865,0.77746721,California
-123.893,41.176,0.779336699,California
-123.892,40.577,1.079391525,California
-123.891,41.888,0.516286989,California
-123.891,39.978,0.799457006,California
-123.89,41.289,0.699893826,California
-123.889,40.69,1.133262707,California
-123.888,40.091,0.875697396,California
-123.888,41.402,0.639799077,California
-123.888,42.001,0.499635078,California
-123.887,40.803,1.055528523,California
-123.886,40.204,0.860527224,California
-123.886,42.114,0.484993162,California
-123.885,41.515,0.599420036,California
-123.884,40.916,1.010822764,California
-123.883,40.317,0.882456089,California
-123.883,42.227,0.472814617,California
-123.882,41.628,0.564182188,California
-123.881,41.029,0.928809821,California
-123.88,40.43,0.912084442,California
-123.88,42.34,0.462664618,California
-123.879,41.741,0.535478694,California
-123.879,41.142,0.798190316,California
-123.878,40.543,0.958592863,California
-123.877,41.854,0.513505317,California
-123.877,39.944,0.777939406,California
-123.876,41.255,0.706633576,California
-123.875,40.656,1.128376742,California
-123.874,40.057,0.841681568,California
-123.874,41.967,0.496215155,California
-123.873,41.368,0.640683552,California
-123.872,40.769,1.082501097,California
-123.872,40.17,0.855842129,California
-123.871,42.08,0.480688984,California
-123.87,41.48,0.598344745,California
-123.87,40.882,1.008480049,California
-123.869,40.283,0.860521641,California
-123.868,41.593,0.565322579,California
-123.868,42.193,0.467953481,California
-123.867,40.995,0.951489774,California
-123.866,40.396,0.902742132,California
-123.866,42.306,0.459097041,California
-123.865,41.707,0.535508304,California
-123.864,41.107,0.82127479,California
-123.864,40.509,0.90577609,California
-123.863,39.91,0.762669014,California
-123.863,42.419,0.44764772,California
-123.862,41.82,0.512036512,California
-123.861,41.22,0.719005066,California
-123.861,40.622,1.119853261,California
-123.86,40.023,0.806603495,California
-123.859,41.933,0.493358908,California
-123.859,41.333,0.643745805,California
-123.858,40.735,1.09350296,California
-123.857,40.136,0.853827727,California
-123.857,42.046,0.477954802,California
-123.856,41.446,0.599219084,California
-123.855,40.847,1.003557906,California
-123.855,40.249,0.841897299,California
-123.854,42.159,0.463989674,California
-123.853,41.559,0.563598457,California
-123.853,40.96,0.963085849,California
-123.852,40.362,0.89018438,California
-123.851,42.272,0.455199927,California
-123.85,41.672,0.536135834,California
-123.85,41.073,0.842444223,California
-123.849,40.475,0.878091791,California
-123.849,39.876,0.755083583,California
-123.848,41.785,0.511239956,California
-123.848,42.385,0.443394647,California
-123.847,41.186,0.733664237,California
-123.847,40.588,1.035423516,California
-123.846,39.989,0.779829342,California
-123.845,41.898,0.491610269,California
-123.844,41.299,0.647530708,California
-123.844,40.7,1.11099384,California
-123.843,40.102,0.850051051,California
-123.842,41.412,0.601576377,California
-123.842,42.012,0.475277216,California
-123.841,40.813,0.999706807,California
-123.841,40.215,0.828419913,California
-123.839,41.525,0.564497242,California
-123.839,42.125,0.461105472,California
-123.838,40.926,0.959426217,California
-123.838,40.328,0.873066892,California
-123.836,41.638,0.536856276,California
-123.836,42.238,0.450474061,California
