Longitude,Latitude,CSR,State
-75.262,38.637,0.0,Maryland
-75.334,38.376,0.0,Maryland
-75.377,39.822,0.0,Maryland
-75.405,38.114,0.0,Maryland
-75.425,39.648,0.0,Maryland
-75.461,39.216,0.0,Maryland
-75.473,39.473,0.0,Maryland
-75.532,38.954,0.0,Maryland
-75.56,40.034,0.0,Maryland
-75.603,38.692,0.0,Maryland
-75.608,39.859,0.0,Maryland
-75.655,39.684,0.0,Maryland
-75.673,38.43,0.0,Maryland
-75.703,39.509,0.0,Maryland
-75.743,38.168,0.0,Maryland
-75.791,40.07,0.0,Maryland
-75.804,39.27,0.0,Maryland
-75.839,39.895,0.0,Maryland
-75.875,39.008,0.0,Maryland
-75.881,37.643,0.0,Maryland
-75.886,39.72,0.0,Maryland
-75.933,39.545,0.0,Maryland
-75.944,38.746,0.0,Maryland
-75.98,39.37,0.0,Maryland
-76.013,38.484,0.0,Maryland
-76.023,40.105,0.0,Maryland
-76.07,39.93,0.0,Maryland
-76.117,39.755,0.0,Maryland
-76.148,39.324,0.0,Maryland
-76.163,39.58,0.0,Maryland
-76.209,39.405,0.0,Maryland
-76.217,39.061,0.0,Maryland
-76.255,40.14,0.0,Maryland
-76.286,38.799,0.0,Maryland
-76.302,39.965,0.0,Maryland
-76.348,39.79,0.0,Maryland
-76.394,39.615,0.0,Maryland
-76.421,38.274,0.0,Maryland
-76.439,39.44,0.0,Maryland
-76.488,38.011,0.0,Maryland
-76.493,39.376,0.0,Maryland
-76.533,40.0,0.0,Maryland
-76.555,37.749,0.0,Maryland
-76.561,39.113,0.0,Maryland
-76.579,39.825,0.0,Maryland
-76.624,39.65,0.0,Maryland
-76.628,38.851,0.0,Maryland
-76.695,38.588,0.0,Maryland
-76.761,38.325,0.0,Maryland
-76.765,40.034,0.0,Maryland
-76.81,39.859,0.0,Maryland
-76.827,38.063,0.0,Maryland
-76.838,39.427,0.0,Maryland
-76.855,39.684,0.0,Maryland
-76.892,37.8,0.0,Maryland
-76.905,39.164,0.0,Maryland
-76.971,38.902,0.0,Maryland
-77.022,38.073,0.0,Maryland
-77.036,38.639,0.0,Maryland
-77.051,40.004,0.0,Maryland
-77.066,37.898,0.0,Maryland
-77.118,39.741,0.0,Maryland
-77.184,39.478,0.0,Maryland
-77.206,38.282,0.0,Maryland
-77.249,38.106,0.0,Maryland
-77.249,39.215,0.0,Maryland
-77.291,37.931,0.0,Maryland
-77.314,38.952,0.0,Maryland
-77.378,38.689,0.0,Maryland
-77.39,38.49,0.0,Maryland
-77.4,40.053,0.0,Maryland
-77.433,38.315,0.0,Maryland
-77.465,39.79,0.0,Maryland
-77.475,38.139,0.0,Maryland
-77.517,37.964,0.0,Maryland
-77.53,39.527,0.0,Maryland
-77.594,39.264,0.0,Maryland
-77.618,38.523,0.0,Maryland
-77.657,39.001,0.0,Maryland
-77.66,38.347,0.0,Maryland
-77.701,38.172,0.0,Maryland
-77.721,38.737,0.0,Maryland
-77.749,40.102,0.0,Maryland
-77.813,39.839,0.0,Maryland
-77.876,39.576,0.0,Maryland
-77.939,39.312,0.0,Maryland
-78.002,39.049,0.0,Maryland
-78.098,40.15,0.0,Maryland
-78.161,39.887,0.0,Maryland
-78.223,39.623,0.0,Maryland
-78.285,39.359,0.0,Maryland
-78.346,39.096,0.0,Maryland
-78.51,39.933,0.0,Maryland
-78.57,39.67,0.0,Maryland
-78.631,39.406,0.0,Maryland
-78.691,39.142,0.0,Maryland
-78.859,39.979,0.0,Maryland
-78.918,39.715,0.0,Maryland
-78.978,39.451,0.0,Maryland
-79.036,39.187,0.0,Maryland
-79.095,38.923,0.0,Maryland
-79.208,40.024,0.0,Maryland
-79.267,39.76,0.0,Maryland
-79.325,39.496,0.0,Maryland
-79.382,39.232,0.0,Maryland
-79.439,38.968,0.0,Maryland
-79.558,40.068,0.0,Maryland
-79.615,39.803,0.0,Maryland
-79.672,39.539,0.0,Maryland
-79.728,39.275,0.0,Maryland
-79.784,39.011,0.0,Maryland
