Longitude,Latitude,CSR,State
-124.687,48.164,0.410269077,Washington
-124.672,48.015,0.418277785,Washington
-124.671,48.13,0.413269608,Washington
-124.669,48.244,0.40744814,Washington
-124.667,48.359,0.400757145,Washington
-124.656,47.98,0.421505873,Washington
-124.654,48.095,0.416892257,Washington
-124.653,48.21,0.410860769,Washington
-124.651,48.325,0.40401553,Washington
-124.639,47.946,0.4247901,Washington
-124.638,48.06,0.421033296,Washington
-124.636,48.175,0.414852429,Washington
-124.634,48.29,0.407679499,Washington
-124.623,47.911,0.428605028,Washington
-124.622,48.026,0.424296172,Washington
-124.62,48.141,0.418807235,Washington
-124.618,48.255,0.411432086,Washington
-124.605,47.991,0.428056403,Washington
-124.603,48.106,0.422891352,Washington
-124.602,48.221,0.415609269,Washington
-124.6,48.336,0.40780321,Washington
-124.589,47.957,0.431454642,Washington
-124.587,48.072,0.426521812,Washington
-124.585,48.186,0.419844936,Washington
-124.584,48.301,0.412030016,Washington
-124.573,47.922,0.435339286,Washington
-124.571,48.037,0.430160032,Washington
-124.569,48.152,0.423519034,Washington
-124.567,48.267,0.4157039,Washington
-124.556,47.888,0.438908538,Washington
-124.555,48.003,0.43359418,Washington
-124.553,48.117,0.427240015,Washington
-124.551,48.232,0.419406141,Washington
-124.549,48.347,0.41158123,Washington
-124.54,47.853,0.442501178,Washington
-124.538,47.968,0.437132853,Washington
-124.537,48.083,0.431281938,Washington
-124.535,48.197,0.424128384,Washington
-124.533,48.312,0.415822494,Washington
-124.522,47.933,0.441728039,Washington
-124.52,48.048,0.435840255,Washington
-124.518,48.163,0.428455277,Washington
-124.516,48.278,0.420322276,Washington
-124.506,47.899,0.445973817,Washington
-124.504,48.014,0.440120809,Washington
-124.502,48.128,0.432881662,Washington
-124.5,48.243,0.424334855,Washington
-124.49,47.864,0.450330402,Washington
-124.488,47.979,0.444043058,Washington
-124.486,48.094,0.436909827,Washington
-124.484,48.209,0.428928738,Washington
-124.482,48.323,0.420256922,Washington
-124.473,47.83,0.454251543,Washington
-124.472,47.945,0.448174086,Washington
-124.47,48.059,0.441328346,Washington
-124.468,48.174,0.433457401,Washington
-124.466,48.289,0.424781734,Washington
-124.457,47.795,0.458185429,Washington
-124.455,47.91,0.45300643,Washington
-124.453,48.025,0.445298346,Washington
-124.451,48.139,0.437805216,Washington
-124.449,48.254,0.42913629,Washington
-124.441,47.761,0.462411549,Washington
-124.439,47.875,0.456921001,Washington
-124.437,47.99,0.449936016,Washington
-124.435,48.105,0.442239729,Washington
-124.433,48.22,0.434101788,Washington
-124.423,47.841,0.460619762,Washington
-124.421,47.956,0.454590164,Washington
-124.419,48.07,0.447612746,Washington
-124.417,48.185,0.439266485,Washington
-124.415,48.3,0.430413366,Washington
-124.409,47.692,0.469667604,Washington
-124.407,47.806,0.465189757,Washington
-124.405,47.921,0.459442179,Washington
-124.403,48.036,0.452530228,Washington
-124.401,48.15,0.44429259,Washington
-124.399,48.265,0.435555257,Washington
-124.391,47.772,0.469598032,Washington
-124.389,47.887,0.463920042,Washington
-124.387,48.001,0.457151883,Washington
-124.384,48.116,0.449413665,Washington
-124.382,48.231,0.440484493,Washington
-124.377,47.623,0.479316395,Washington
-124.375,47.737,0.474269715,Washington
-124.372,47.852,0.468156627,Washington
-124.37,47.967,0.461288706,Washington
-124.368,48.081,0.45435342,Washington
-124.366,48.196,0.445764921,Washington
-124.361,47.588,0.483940712,Washington
-124.359,47.703,0.47830815,Washington
-124.356,47.817,0.472287369,Washington
-124.354,47.932,0.465443326,Washington
-124.352,48.047,0.458282894,Washington
-124.35,48.162,0.4507494,Washington
-124.348,48.276,0.441006901,Washington
-124.345,47.554,0.48763524,Washington
-124.342,47.668,0.482574898,Washington
-124.34,47.783,0.476586309,Washington
-124.338,47.898,0.469572104,Washington
-124.336,48.012,0.462316483,Washington
-124.334,48.127,0.455368023,Washington
-124.331,48.242,0.446546254,Washington
-124.331,47.405,0.495722842,Washington
-124.329,47.519,0.492215867,Washington
-124.326,47.634,0.487285689,Washington
-124.324,47.748,0.481084341,Washington
-124.322,47.863,0.473817589,Washington
-124.32,47.978,0.466446944,Washington
-124.318,48.092,0.45943702,Washington
-124.315,48.207,0.452161083,Washington
-124.315,47.37,0.498890146,Washington
-124.313,47.485,0.49631828,Washington
-124.31,47.599,0.492147911,Washington
-124.308,47.714,0.485495727,Washington
-124.306,47.828,0.478209355,Washington
-124.304,47.943,0.470531492,Washington
-124.301,48.058,0.463436971,Washington
-124.299,48.173,0.45641496,Washington
-124.297,47.45,0.500269631,Washington
-124.294,47.565,0.496677501,Washington
-124.292,47.679,0.490264065,Washington
-124.29,47.794,0.482944411,Washington
-124.287,47.909,0.475410789,Washington
-124.285,48.023,0.467830475,Washington
-124.283,48.138,0.460512375,Washington
-124.281,48.253,0.451263498,Washington
-124.281,47.416,0.504632557,Washington
-124.278,47.53,0.50106363,Washington
-124.276,47.645,0.49503292,Washington
-124.274,47.759,0.488013207,Washington
-124.271,47.874,0.480245787,Washington
-124.269,47.989,0.472065099,Washington
-124.267,48.103,0.464590869,Washington
-124.265,47.381,0.50850404,Washington
-124.264,48.218,0.456686189,Washington
-124.262,47.496,0.50551696,Washington
-124.26,47.61,0.500411262,Washington
-124.258,47.725,0.493030758,Washington
-124.255,47.839,0.484801763,Washington
-124.253,47.954,0.47635357,Washington
-124.251,48.069,0.468148305,Washington
-124.249,47.347,0.512062601,Washington
-124.248,48.184,0.460798185,Washington
-124.246,47.461,0.509977183,Washington
-124.244,47.576,0.504590513,Washington
-124.242,47.69,0.4981909,Washington
-124.239,47.805,0.489514476,Washington
-124.237,47.92,0.480702492,Washington
-124.235,48.034,0.472593716,Washington
-124.233,47.312,0.514962327,Washington
-124.232,48.149,0.465140892,Washington
-124.23,47.427,0.513733192,Washington
-124.228,47.541,0.508804961,Washington
-124.226,47.656,0.502601251,Washington
-124.223,47.77,0.49446082,Washington
-124.221,47.885,0.485622946,Washington
-124.218,48.0,0.477474242,Washington
-124.217,47.278,0.517745911,Washington
-124.216,48.114,0.46960856,Washington
-124.214,47.392,0.517188495,Washington
-124.214,48.229,0.45972091,Washington
-124.212,47.507,0.513652726,Washington
-124.21,47.621,0.50814312,Washington
-124.207,47.736,0.499729157,Washington
-124.205,47.85,0.490610269,Washington
-124.202,47.965,0.481974977,Washington
-124.201,47.243,0.519852766,Washington
-124.2,48.08,0.473816531,Washington
-124.198,47.358,0.520774053,Washington
-124.197,48.195,0.464499786,Washington
-124.196,47.472,0.51796905,Washington
-124.194,47.587,0.512828632,Washington
-124.191,47.701,0.505423277,Washington
-124.189,47.816,0.495992032,Washington
-124.186,47.93,0.486784179,Washington
-124.185,47.209,0.521625524,Washington
-124.184,48.045,0.478147513,Washington
-124.183,47.323,0.523850807,Washington
-124.181,48.16,0.468936586,Washington
-124.18,47.438,0.52210366,Washington
-124.178,47.552,0.517685536,Washington
-124.175,47.667,0.510467222,Washington
-124.173,47.781,0.501243459,Washington
-124.172,47.06,0.514727299,Washington
-124.17,47.896,0.491964144,Washington
-124.169,47.174,0.523263228,Washington
-124.168,48.011,0.483095909,Washington
-124.167,47.289,0.526328853,Washington
-124.165,48.125,0.473718801,Washington
-124.164,47.403,0.525972939,Washington
-124.162,47.518,0.522330912,Washington
