Longitude,Latitude,Qreq,State
-84.584,31.07,0.0,Alabama
-84.603,32.498,0.0,Alabama
-84.638,32.23,0.0,Alabama
-84.672,31.963,0.0,Alabama
-84.707,31.695,0.0,Alabama
-84.741,31.427,0.0,Alabama
-84.819,33.329,0.0,Alabama
-84.853,33.061,0.0,Alabama
-84.884,33.406,0.0,Alabama
-84.888,32.794,0.0,Alabama
-84.922,32.527,0.0,Alabama
-84.956,32.259,0.0,Alabama
-84.989,31.991,0.0,Alabama
-85.023,31.724,0.0,Alabama
-85.031,33.959,0.0,Alabama
-85.049,34.46,33.19950373,Alabama
-85.054,33.781,0.0,Alabama
-85.056,31.456,0.0,Alabama
-85.064,34.344,25.40525654,Alabama
-85.077,33.603,0.0,Alabama
-85.079,34.229,17.85621691,Alabama
-85.094,34.113,11.75076444,Alabama
-85.099,33.425,0.0,Alabama
-85.106,31.118,0.0,Alabama
-85.147,34.819,55.34863984,Alabama
-85.161,30.671,0.0,Alabama
-85.162,34.703,48.73348032,Alabama
-85.175,33.09,0.0,Alabama
-85.176,34.588,43.0055034,Alabama
-85.191,34.472,36.10993985,Alabama
-85.206,34.356,29.58612079,Alabama
-85.208,32.822,0.0,Alabama
-85.22,34.241,21.15570293,Alabama
-85.235,34.125,14.18755936,Alabama
-85.241,32.555,0.0,Alabama
-85.245,35.177,47.12922781,Alabama
-85.248,33.978,7.118072855,Alabama
-85.249,34.009,8.137247179,Alabama
-85.26,35.062,48.34842716,Alabama
-85.27,33.8,0.0,Alabama
-85.274,32.287,0.0,Alabama
-85.275,34.946,49.31112887,Alabama
-85.289,34.831,49.27591022,Alabama
-85.292,33.621,0.0,Alabama
-85.304,34.715,47.72828637,Alabama
-85.307,32.019,0.0,Alabama
-85.315,33.443,0.0,Alabama
-85.318,34.599,42.72413331,Alabama
-85.333,34.484,37.0047844,Alabama
-85.337,33.265,0.0,Alabama
-85.339,31.751,0.0,Alabama
-85.347,34.368,30.01415017,Alabama
-85.362,34.252,22.14742384,Alabama
-85.371,31.483,0.0,Alabama
-85.374,35.305,36.4394074,Alabama
-85.376,34.137,15.96781056,Alabama
-85.388,35.189,39.99646589,Alabama
-85.391,34.021,10.24292971,Alabama
-85.403,35.074,41.95725394,Alabama
-85.417,34.958,43.67483771,Alabama
-85.432,34.842,43.99617316,Alabama
-85.446,34.727,44.94637163,Alabama
-85.461,34.611,39.89894632,Alabama
-85.475,34.495,35.12023736,Alabama
-85.487,33.818,0.0,Alabama
-85.489,34.38,29.32420406,Alabama
-85.503,34.264,22.72342151,Alabama
-85.508,33.639,0.0,Alabama
-85.517,35.316,32.11899275,Alabama
-85.518,34.148,16.75977824,Alabama
-85.529,32.849,0.0,Alabama
-85.53,33.461,0.0,Alabama
-85.532,35.201,33.69609537,Alabama
-85.532,34.033,11.65472936,Alabama
-85.546,35.085,36.45327074,Alabama
-85.552,33.283,0.0,Alabama
-85.56,34.97,39.30809709,Alabama
-85.561,32.582,0.0,Alabama
-85.573,33.105,0.0,Alabama
-85.574,34.854,38.5973848,Alabama
-85.589,34.738,38.32053813,Alabama
-85.593,32.314,0.0,Alabama
-85.603,34.623,36.81210444,Alabama
-85.617,34.507,32.49682765,Alabama
-85.624,32.046,0.0,Alabama
-85.63,31.164,0.0,Alabama
-85.631,34.391,27.00284474,Alabama
-85.645,34.276,22.8071442,Alabama
-85.656,31.778,0.0,Alabama
-85.659,34.16,16.84599113,Alabama
-85.661,35.328,29.01750399,Alabama
-85.673,34.044,12.41858376,Alabama
-85.675,35.212,30.1526903,Alabama
-85.681,30.716,0.0,Alabama
-85.687,31.51,0.0,Alabama
-85.689,35.097,31.95358521,Alabama
-85.703,33.835,5.685543559,Alabama
-85.703,34.981,33.07869761,Alabama
-85.717,34.865,33.69005987,Alabama
-85.725,33.657,0.0,Alabama
-85.731,34.75,33.01007878,Alabama
-85.745,34.634,31.85153689,Alabama
-85.746,33.479,0.0,Alabama
-85.759,34.518,29.31146331,Alabama
-85.767,33.301,0.0,Alabama
-85.773,34.403,24.61908285,Alabama
-85.787,34.287,21.17400247,Alabama
-85.788,33.122,0.0,Alabama
-85.8,34.171,16.65474731,Alabama
-85.804,35.339,26.50139738,Alabama
-85.808,32.944,0.0,Alabama
-85.814,34.055,12.85442148,Alabama
-85.818,35.224,27.72282423,Alabama
-85.832,35.108,28.52070079,Alabama
-85.846,34.992,29.41205523,Alabama
-85.86,34.877,29.97979989,Alabama
-85.874,34.761,29.44605212,Alabama
-85.881,32.608,0.0,Alabama
-85.887,34.645,27.62715276,Alabama
-85.901,34.53,25.97553215,Alabama
-85.911,32.34,0.0,Alabama
-85.915,34.414,22.8724248,Alabama
-85.92,33.853,8.080726962,Alabama
-85.928,34.298,19.29423862,Alabama
-85.941,33.674,0.0,Alabama
-85.942,32.072,0.0,Alabama
-85.942,34.182,16.6574003,Alabama
-85.955,34.067,13.5395412,Alabama
-85.961,33.496,0.0,Alabama
-85.971,35.294,26.09417956,Alabama
-85.972,31.804,0.0,Alabama
-85.975,35.119,27.05276294,Alabama
-85.982,33.318,0.0,Alabama
-85.989,35.003,27.4109331,Alabama
-86.002,31.536,0.0,Alabama
-86.002,33.139,0.0,Alabama
-86.003,34.888,27.45730971,Alabama
-86.016,34.772,26.70625962,Alabama
-86.023,32.961,0.0,Alabama
-86.03,34.656,25.2797662,Alabama
-86.032,31.268,0.0,Alabama
-86.043,32.783,0.0,Alabama
-86.043,34.541,23.42760563,Alabama
-86.057,34.425,21.6288676,Alabama
-86.07,34.309,18.55594115,Alabama
-86.096,34.226,16.83790677,Alabama
-86.116,34.048,13.39647002,Alabama
-86.137,33.869,10.5015946,Alabama
-86.145,34.899,26.31895752,Alabama
-86.157,33.691,7.720620916,Alabama
-86.159,34.783,25.61601679,Alabama
-86.172,34.667,24.17441743,Alabama
-86.177,33.513,5.053999393,Alabama
-86.185,34.551,22.63151123,Alabama
-86.192,35.311,27.16751654,Alabama
-86.197,33.335,0.0,Alabama
-86.201,32.633,0.0,Alabama
-86.202,30.759,0.0,Alabama
-86.213,35.133,27.07175597,Alabama
-86.217,33.156,0.0,Alabama
-86.23,32.365,0.0,Alabama
-86.233,34.955,26.57971649,Alabama
-86.237,32.978,0.0,Alabama
-86.253,34.777,25.61667058,Alabama
-86.257,32.799,0.0,Alabama
-86.26,32.097,0.0,Alabama
-86.274,34.599,22.82726265,Alabama
-86.276,32.621,0.0,Alabama
-86.289,31.829,0.0,Alabama
-86.294,34.42,20.0743866,Alabama
-86.314,34.242,16.9240998,Alabama
-86.318,31.561,0.0,Alabama
-86.334,34.064,14.47510447,Alabama
-86.347,31.293,0.0,Alabama
-86.354,33.886,12.46058501,Alabama
