Longitude,Latitude,Qreq,State
-130.04,55.96,0,Alaska
-130.202,55.375,0,Alaska
-130.266,55.739,0,Alaska
-130.313,55.607,0,Alaska
-130.349,55.227,0,Alaska
-130.435,56.087,0,Alaska
-130.461,55.459,0,Alaska
-130.495,55.079,0,Alaska
-130.608,55.311,0,Alaska
-130.64,54.931,0,Alaska
-130.66,55.865,0,Alaska
-130.723,55.542,0,Alaska
-130.754,55.162,0,Alaska
-130.834,56.214,0,Alaska
-130.869,55.394,0,Alaska
-130.883,55.642,0,Alaska
-130.899,55.014,0,Alaska
-130.954,56.007,0,Alaska
-130.985,55.626,0,Alaska
-131.072,56.239,0,Alaska
-131.131,55.477,0,Alaska
-131.221,56.09,0,Alaska
-131.249,55.708,0,Alaska
-131.276,55.327,0,Alaska
-131.298,54.945,0,Alaska
-131.34,56.322,0,Alaska
-131.395,55.559,0,Alaska
-131.419,55.178,0,Alaska
-131.488,56.173,0,Alaska
-131.539,55.409,0,Alaska
-131.561,55.028,0,Alaska
-131.61,56.405,0,Alaska
-131.636,56.023,0,Alaska
-131.659,55.641,0,Alaska
-131.758,56.255,0,Alaska
-131.808,55.308,0,Alaska
-131.881,56.487,0,Alaska
-131.904,56.104,0,Alaska
-131.925,55.722,0,Alaska
-132.006,56.719,0,Alaska
-132.028,56.336,0,Alaska
-132.068,55.571,0,Alaska
-132.086,55.189,27.41314241,Alaska
-132.102,54.808,49.96285142,Alaska
-132.132,56.952,0,Alaska
-132.154,56.569,0,Alaska
-132.174,56.186,0,Alaska
-132.225,55.038,38.74539966,Alaska
-132.259,57.185,0,Alaska
-132.281,56.801,0,Alaska
-132.301,56.418,0,Alaska
-132.319,56.035,0,Alaska
-132.343,55.147,35.85062751,Alaska
-132.352,54.898,53.44914863,Alaska
-132.409,57.034,0,Alaska
-132.425,55.297,30.28079556,Alaska
-132.428,56.65,0,Alaska
-132.433,55.048,45.13546908,Alaska
-132.446,56.266,0,Alaska
-132.515,55.198,38.1431632,Alaska
-132.523,54.95,56.62137986,Alaska
-132.538,57.266,0,Alaska
-132.557,56.882,0,Alaska
-132.59,56.115,0,Alaska
-132.604,55.732,89.46770552,Alaska
-132.616,55.349,97.17104954,Alaska
-132.669,57.499,0,Alaska
-132.687,57.114,0,Alaska
-132.688,55.25,101.7449784,Alaska
-132.719,56.346,0,Alaska
-132.732,55.963,0,Alaska
-132.744,55.58,95.49922092,Alaska
-132.771,55.4,100.2945827,Alaska
-132.775,56.689,0,Alaska
-132.801,57.732,0,Alaska
-132.819,57.347,0,Alaska
-132.835,56.963,0,Alaska
-132.849,56.578,0,Alaska
-132.861,55.301,105.468285,Alaska
-132.871,54.803,78.47332212,Alaska
-132.873,55.811,94.70907273,Alaska
-132.945,55.451,103.9512872,Alaska
-132.951,57.58,0,Alaska
-132.955,54.953,120.1674617,Alaska
-132.967,57.195,0,Alaska
-133.013,55.659,101.1635682,Alaska
-133.035,55.352,109.3006892,Alaska
-133.039,55.103,117.4157428,Alaska
-133.062,56.711,0,Alaska
-133.086,57.813,0,Alaska
-133.101,57.427,0,Alaska
-133.119,55.502,107.8765021,Alaska
-133.127,55.004,125.0804301,Alaska
-133.135,56.274,0,Alaska
-133.144,55.89,100.8505705,Alaska
-133.222,58.045,0,Alaska
-133.236,57.66,0,Alaska
-133.248,57.275,0,Alaska
-133.259,56.89,0,Alaska
-133.269,56.505,0,Alaska
-133.283,55.737,107.4149664,Alaska
-133.384,57.507,0,Alaska
-133.403,56.737,0,Alaska
-133.456,57.793,0,Alaska
-133.464,56.102,106.8288286,Alaska
-133.51,58.125,89.73729847,Alaska
-133.539,56.969,0,Alaska
-133.546,56.584,0,Alaska
-133.552,56.253,107.0131281,Alaska
-133.555,56.003,111.3017823,Alaska
-133.65,58.358,92.42867921,Alaska
-133.66,57.972,93.5751588,Alaska
-133.682,56.815,105.7540846,Alaska
-133.791,58.591,95.48945384,Alaska
-133.801,58.205,96.7448045,Alaska
-133.82,57.047,106.4618079,Alaska
-133.824,56.662,111.4545989,Alaska
-133.91,56.604,115.0765732,Alaska
-133.911,56.354,117.2505583,Alaska
-133.943,58.438,100.0004385,Alaska
-133.95,58.051,101.3181878,Alaska
-133.975,58.763,88.30619268,Alaska
-134.001,56.754,115.236458,Alaska
-134.001,56.504,119.9017343,Alaska
-134.001,56.254,122.5531986,Alaska
-134.074,58.663,102.5401373,Alaska
-134.078,58.411,103.7483215,Alaska
-134.085,57.908,105.7402569,Alaska
-134.087,57.657,106.0832111,Alaska
-134.089,57.406,111.5793753,Alaska
-134.092,56.654,120.1360408,Alaska
-134.168,58.814,104.3363907,Alaska
-134.172,58.562,105.9161449,Alaska
-134.175,58.311,106.9421786,Alaska
-134.178,58.059,108.1663443,Alaska
-134.18,56.053,134.0727103,Alaska
-134.182,57.557,113.3278893,Alaska
-134.183,57.306,115.2247233,Alaska
-134.183,56.805,120.5796189,Alaska
-134.183,56.554,125.8224688,Alaska
-134.266,58.714,107.7196548,Alaska
-134.269,58.462,109.2998399,Alaska
-134.274,57.708,112.5718274,Alaska
-134.274,56.704,126.406648,Alaska
-134.275,57.457,117.292359,Alaska
-134.275,57.206,119.0274651,Alaska
-134.362,58.865,109.5312377,Alaska
-134.364,58.613,111.473389,Alaska
-134.366,58.362,112.924636,Alaska
-134.367,58.11,114.5844112,Alaska
-134.367,57.105,123.7532272,Alaska
-134.368,57.859,115.9509654,Alaska
-134.368,57.607,119.9973958,Alaska
-134.458,59.016,103.9899379,Alaska
-134.46,58.764,113.3525486,Alaska
-134.461,58.513,115.5959049,Alaska
-134.461,57.256,127.0126939,Alaska
-134.462,58.261,117.0762602,Alaska
-134.462,58.01,119.3160025,Alaska
-134.462,57.758,120.5977696,Alaska
-134.462,57.507,125.0196744,Alaska
-134.552,57.155,132.7376059,Alaska
-134.556,58.916,115.2506541,Alaska
