Longitude,Latitude,Qreq,State
-89.22,36.027,170.9570135,Arkansas
-89.223,35.991,168.8342036,Arkansas
-89.226,35.956,166.4317018,Arkansas
-89.229,35.92,164.2575896,Arkansas
-89.231,35.884,162.0627975,Arkansas
-89.234,35.849,159.3735063,Arkansas
-89.237,35.813,156.6598512,Arkansas
-89.239,35.777,155.0602954,Arkansas
-89.242,35.742,140.4297752,Arkansas
-89.245,35.706,137.0403194,Arkansas
-89.257,36.136,179.4926549,Arkansas
-89.26,36.1,177.860087,Arkansas
-89.262,36.065,175.7358592,Arkansas
-89.265,36.029,174.2758056,Arkansas
-89.268,35.993,171.0123133,Arkansas
-89.271,35.958,168.6487976,Arkansas
-89.273,35.922,166.6394407,Arkansas
-89.276,35.886,164.1112655,Arkansas
-89.279,35.851,161.38109,Arkansas
-89.281,35.815,159.2228921,Arkansas
-89.284,35.779,156.3815341,Arkansas
-89.287,35.744,142.636195,Arkansas
-89.289,35.708,139.5786947,Arkansas
-89.292,35.672,136.494169,Arkansas
-89.299,36.174,182.7039395,Arkansas
-89.302,36.138,181.5817957,Arkansas
-89.304,36.102,180.2808505,Arkansas
-89.307,36.067,178.2677088,Arkansas
-89.31,36.031,175.7602714,Arkansas
-89.313,35.996,173.3367871,Arkansas
-89.315,35.96,170.9305933,Arkansas
-89.318,35.924,168.4424473,Arkansas
-89.319,35.6,131.8626446,Arkansas
-89.321,35.889,165.9641159,Arkansas
-89.323,35.853,163.2545741,Arkansas
-89.326,35.817,160.857132,Arkansas
-89.329,35.782,158.3186907,Arkansas
-89.331,35.746,155.6149494,Arkansas
-89.334,35.71,141.7123234,Arkansas
-89.337,35.675,138.8840218,Arkansas
-89.339,35.639,135.6274716,Arkansas
-89.341,36.212,184.8541984,Arkansas
-89.344,36.176,184.6212148,Arkansas
-89.347,36.14,182.5436352,Arkansas
-89.349,36.105,181.649317,Arkansas
-89.352,36.069,179.1205011,Arkansas
-89.355,36.033,177.0358571,Arkansas
-89.357,35.998,175.1034963,Arkansas
-89.36,35.962,172.1196311,Arkansas
-89.363,35.926,170.7337872,Arkansas
-89.365,35.891,167.6086734,Arkansas
-89.368,35.855,164.868266,Arkansas
-89.37,35.819,162.6126125,Arkansas
-89.373,35.784,160.1868023,Arkansas
-89.376,35.748,157.0188281,Arkansas
-89.378,35.712,155.156283,Arkansas
-89.381,35.677,141.1964272,Arkansas
-89.383,36.249,185.6748761,Arkansas
-89.384,35.641,137.7154398,Arkansas
-89.386,35.603,134.8710124,Arkansas
-89.386,36.214,185.8474149,Arkansas
-89.386,35.605,134.973095,Arkansas
-89.389,36.178,185.2123608,Arkansas
-89.39,35.55,131.2629217,Arkansas
-89.391,36.142,183.738437,Arkansas
-89.394,35.496,128.0040827,Arkansas
-89.394,36.107,182.1073641,Arkansas
-89.397,36.071,180.7449557,Arkansas
-89.399,36.035,178.4453153,Arkansas
-89.402,36.0,176.3425989,Arkansas
-89.405,35.964,174.0347907,Arkansas
-89.407,35.928,171.430275,Arkansas
-89.41,35.893,169.2638429,Arkansas
-89.412,35.857,166.6542544,Arkansas
-89.415,35.821,164.0697923,Arkansas
-89.418,35.786,161.6460745,Arkansas
-89.42,35.75,158.7509927,Arkansas
-89.423,35.714,156.4054003,Arkansas
-89.423,36.323,186.5753272,Arkansas
-89.426,35.679,143.5507887,Arkansas
-89.426,36.287,186.8005993,Arkansas
-89.428,35.643,139.8791212,Arkansas
-89.428,36.251,186.2785693,Arkansas
-89.431,35.607,136.7640001,Arkansas
-89.431,36.216,186.1109517,Arkansas
-89.434,36.18,185.5209553,Arkansas
-89.436,36.144,183.7290506,Arkansas
-89.439,36.109,182.3382408,Arkansas
-89.441,36.073,181.1131036,Arkansas
-89.444,36.038,178.8481951,Arkansas
-89.447,36.002,177.1559465,Arkansas
-89.449,35.966,174.4854502,Arkansas
-89.452,35.931,172.4131354,Arkansas
-89.454,35.895,170.595998,Arkansas
-89.456,35.553,133.9063946,Arkansas
-89.457,35.859,167.3750169,Arkansas
-89.46,35.824,165.4108919,Arkansas
-89.46,35.499,130.5461918,Arkansas
-89.462,35.788,162.7442366,Arkansas
-89.464,35.446,127.1010363,Arkansas
-89.465,35.752,160.1690997,Arkansas
-89.465,36.36,186.4562688,Arkansas
-89.467,35.717,149.6032423,Arkansas
-89.468,36.325,187.0240909,Arkansas
-89.47,35.681,155.8123474,Arkansas
-89.47,36.289,186.8949712,Arkansas
-89.473,35.645,142.2024505,Arkansas
-89.473,36.254,186.5021854,Arkansas
-89.475,35.61,138.8968362,Arkansas
-89.476,36.218,186.1730261,Arkansas
-89.478,35.574,136.4613838,Arkansas
-89.478,36.182,185.4268677,Arkansas
-89.481,36.147,183.9289413,Arkansas
-89.484,36.111,182.3581105,Arkansas
-89.486,36.075,180.9401919,Arkansas
-89.489,36.04,179.2939361,Arkansas
-89.491,36.004,177.4397586,Arkansas
-89.494,35.968,175.5752125,Arkansas
-89.496,35.933,173.3284178,Arkansas
-89.499,35.897,171.3936859,Arkansas
-89.502,35.861,168.862651,Arkansas
-89.504,35.826,166.5193423,Arkansas
-89.507,35.79,164.1844384,Arkansas
-89.509,35.754,161.493443,Arkansas
-89.51,36.363,186.6125342,Arkansas
-89.512,35.719,159.4316809,Arkansas
-89.513,36.327,186.700152,Arkansas
-89.515,35.683,157.0175322,Arkansas
-89.515,36.291,186.586565,Arkansas
-89.517,35.647,155.04504,Arkansas
-89.518,36.256,186.1487849,Arkansas
-89.52,35.612,141.8897716,Arkansas
-89.521,36.22,185.960079,Arkansas
-89.522,35.576,138.661121,Arkansas
-89.523,36.184,185.2199033,Arkansas
-89.525,35.54,136.3879952,Arkansas
-89.526,36.149,183.6203248,Arkansas
-89.527,35.503,133.4496706,Arkansas
-89.528,36.113,182.4656466,Arkansas
-89.531,35.449,130.1463219,Arkansas
-89.531,36.077,181.0634069,Arkansas
-89.533,36.042,179.4211869,Arkansas
-89.535,35.396,126.8516207,Arkansas
-89.536,36.006,177.5139864,Arkansas
-89.539,35.97,176.2886922,Arkansas
-89.541,35.935,174.1421377,Arkansas
-89.544,35.899,171.6414483,Arkansas
-89.546,35.863,169.5279279,Arkansas
-89.549,35.828,167.6775666,Arkansas
-89.551,35.792,165.5527711,Arkansas
-89.552,36.4,186.2694068,Arkansas
-89.554,35.756,162.8423388,Arkansas
-89.555,36.365,185.6448456,Arkansas
-89.557,35.721,161.0887957,Arkansas
-89.558,36.329,185.8667324,Arkansas
-89.559,35.685,158.6231424,Arkansas
-89.56,36.293,185.5143426,Arkansas
-89.562,35.649,156.3652271,Arkansas
-89.563,36.258,185.3743688,Arkansas
-89.564,35.614,144.0767792,Arkansas
-89.565,36.222,185.3102265,Arkansas
-89.567,35.578,141.3028406,Arkansas
-89.568,36.186,184.9157514,Arkansas
-89.569,35.542,138.1106735,Arkansas
-89.57,36.151,183.4503839,Arkansas
-89.572,35.507,135.6265339,Arkansas
-89.573,36.115,182.5234712,Arkansas
-89.576,36.079,181.1763908,Arkansas
-89.578,36.044,179.7256392,Arkansas
-89.581,36.008,177.9590858,Arkansas
-89.583,35.972,176.4140069,Arkansas
-89.584,35.281,122.7983857,Arkansas
-89.586,35.937,174.7606624,Arkansas
-89.588,35.901,172.3891421,Arkansas
-89.591,35.865,170.5591569,Arkansas
-89.593,35.83,168.4927842,Arkansas
-89.596,35.794,166.6342661,Arkansas
-89.597,35.452,132.7533764,Arkansas
-89.597,36.402,185.2977039,Arkansas
-89.599,35.758,164.3527524,Arkansas
-89.6,36.367,185.0150764,Arkansas
-89.601,35.723,162.6687149,Arkansas
-89.601,35.399,130.527298,Arkansas
-89.603,36.331,184.5569695,Arkansas
-89.604,35.687,160.6031867,Arkansas
-89.605,35.345,126.5406578,Arkansas
-89.605,36.295,184.4747919,Arkansas
-89.606,35.651,157.6957235,Arkansas
-89.608,36.26,184.0351327,Arkansas
-89.609,35.616,156.2770672,Arkansas
-89.61,36.224,184.2922383,Arkansas
-89.611,35.58,143.770619,Arkansas
-89.613,36.188,184.1155669,Arkansas
-89.614,35.544,140.7300011,Arkansas
-89.615,36.153,183.2290454,Arkansas
-89.616,35.509,137.912582,Arkansas
-89.618,36.117,182.6155891,Arkansas
-89.619,35.473,135.6574304,Arkansas
-89.62,36.081,181.4362411,Arkansas
-89.623,36.046,180.1002377,Arkansas
-89.625,36.01,178.3890107,Arkansas
-89.628,35.974,176.9939323,Arkansas
-89.63,35.939,175.3092012,Arkansas
-89.633,35.903,173.1440803,Arkansas
-89.635,36.511,186.6588722,Arkansas
-89.636,35.867,171.6157981,Arkansas
-89.637,36.476,186.0817436,Arkansas
-89.638,35.832,170.1455037,Arkansas
-89.64,36.44,185.0191688,Arkansas
-89.641,35.796,167.6987922,Arkansas
-89.642,36.404,183.9219996,Arkansas
-89.643,35.76,165.7713684,Arkansas
-89.645,36.369,182.7728736,Arkansas
-89.646,35.725,164.4955647,Arkansas
-89.647,36.333,182.5381024,Arkansas
-89.648,35.689,162.3311165,Arkansas
-89.65,36.297,182.6166905,Arkansas
-89.651,35.653,160.1327151,Arkansas
-89.652,36.262,182.5846634,Arkansas
-89.653,35.618,149.5573751,Arkansas
-89.655,36.226,183.1966303,Arkansas
-89.656,35.582,156.2749893,Arkansas
-89.658,36.19,182.8260986,Arkansas
-89.658,35.546,143.1251201,Arkansas
-89.66,36.155,182.6624801,Arkansas
-89.661,35.511,140.4406894,Arkansas
-89.663,36.119,182.541982,Arkansas
-89.663,35.475,137.9339716,Arkansas
-89.665,36.083,181.7270152,Arkansas
-89.666,35.439,135.3317719,Arkansas
-89.668,35.402,132.7830612,Arkansas
-89.668,36.048,180.4562222,Arkansas
-89.67,36.012,179.0871107,Arkansas
-89.671,35.348,129.5965252,Arkansas
-89.673,35.976,177.7648093,Arkansas
-89.675,36.585,186.0504353,Arkansas
-89.675,35.295,126.4041733,Arkansas
-89.675,35.941,176.0284047,Arkansas
-89.677,36.549,186.0801859,Arkansas
-89.678,35.905,174.3039902,Arkansas
-89.679,35.241,124.4068429,Arkansas
-89.68,36.513,185.7984503,Arkansas
-89.68,35.869,172.7486071,Arkansas
-89.682,36.478,185.1706079,Arkansas
-89.683,35.834,171.0955918,Arkansas
-89.685,36.442,184.2417407,Arkansas
-89.685,35.798,169.0158379,Arkansas
-89.687,36.406,182.7476668,Arkansas
-89.688,35.762,167.3565048,Arkansas
-89.689,35.205,122.7101904,Arkansas
-89.69,36.371,182.029407,Arkansas
-89.69,35.727,165.5862167,Arkansas
-89.692,36.335,181.2972717,Arkansas
-89.693,35.691,163.8183201,Arkansas
-89.695,35.125,120.4103979,Arkansas
-89.695,36.299,181.2296103,Arkansas
-89.695,35.655,161.4940848,Arkansas
-89.697,36.264,181.288387,Arkansas
-89.698,35.62,160.1307554,Arkansas
-89.7,36.228,181.8268334,Arkansas
-89.7,35.584,149.586227,Arkansas
-89.7,35.044,116.1918103,Arkansas
-89.702,36.192,181.9751162,Arkansas
-89.703,35.548,155.4954177,Arkansas
-89.705,36.157,182.0862421,Arkansas
-89.705,35.513,143.6314323,Arkansas
-89.707,36.121,182.3785571,Arkansas
-89.708,35.477,140.4682877,Arkansas
-89.71,36.085,181.7543982,Arkansas
-89.71,35.441,137.6995368,Arkansas
-89.712,36.05,180.8602143,Arkansas
-89.712,35.406,135.3248708,Arkansas
-89.715,36.658,182.3508617,Arkansas
-89.715,36.014,180.2874721,Arkansas
-89.717,36.622,183.4636173,Arkansas
-89.717,35.978,178.7822733,Arkansas
-89.72,36.587,184.3674783,Arkansas
-89.72,35.943,177.0446227,Arkansas
-89.722,36.551,184.1892352,Arkansas
-89.722,35.907,175.6274191,Arkansas
-89.725,36.515,184.2097678,Arkansas
-89.725,35.871,174.3420169,Arkansas
-89.727,35.836,172.7433223,Arkansas
-89.727,36.48,183.5607727,Arkansas
-89.73,35.8,170.5743649,Arkansas
-89.73,36.444,182.3442012,Arkansas
-89.732,35.764,169.146499,Arkansas
-89.732,36.408,181.4775458,Arkansas
