Longitude,Latitude,Qreq,State
-67.112,44.744,0.0,Maine
-67.208,45.14,0.0,Maine
-67.282,44.968,0.0,Maine
-67.354,44.796,0.0,Maine
-67.452,45.192,0.0,Maine
-67.525,45.019,0.0,Maine
-67.551,45.588,0.0,Maine
-67.597,44.847,0.0,Maine
-67.624,45.415,0.0,Maine
-67.669,44.675,0.0,Maine
-67.697,45.243,0.0,Maine
-67.741,44.503,0.0,Maine
-67.769,45.07,0.0,Maine
-67.797,45.639,0.0,Maine
-67.826,46.208,0.0,Maine
-67.84,44.898,0.0,Maine
-67.856,46.778,7.588921719,Maine
-67.869,45.466,0.0,Maine
-67.899,46.035,0.0,Maine
-67.912,44.725,0.0,Maine
-67.929,46.605,0.0,Maine
-67.941,45.293,0.0,Maine
-67.96,47.176,13.13907174,Maine
-67.971,45.862,0.0,Maine
-67.983,44.553,0.0,Maine
-68.002,46.432,0.0,Maine
-68.013,45.121,0.0,Maine
-68.033,47.002,12.09681597,Maine
-68.043,45.689,0.0,Maine
-68.053,44.381,0.0,Maine
-68.075,46.259,0.0,Maine
-68.084,44.948,0.0,Maine
-68.106,46.829,10.33152103,Maine
-68.115,45.517,0.0,Maine
-68.147,46.086,0.0,Maine
-68.155,44.776,0.0,Maine
-68.179,46.656,7.851793938,Maine
-68.186,45.344,0.0,Maine
-68.212,47.227,17.6103182,Maine
-68.219,45.913,0.0,Maine
-68.225,44.603,0.0,Maine
-68.251,46.482,5.288979493,Maine
-68.257,45.171,0.0,Maine
-68.285,47.053,16.92205224,Maine
-68.29,45.74,0.0,Maine
-68.295,44.431,0.0,Maine
-68.323,46.309,0.0,Maine
-68.328,44.998,0.0,Maine
-68.357,46.879,15.09472216,Maine
-68.361,45.567,0.0,Maine
-68.365,44.258,0.0,Maine
-68.395,46.136,0.0,Maine
-68.398,44.826,0.0,Maine
-68.429,46.706,12.32374854,Maine
-68.432,45.394,0.0,Maine
-68.464,47.277,23.92824035,Maine
-68.466,45.962,0.0,Maine
-68.468,44.653,0.0,Maine
-68.501,46.532,9.298638166,Maine
-68.502,45.221,0.0,Maine
-68.537,47.103,22.89463687,Maine
