Longitude,Latitude,Qreq,State
-87.719,35.007,61.2952918,Mississippi
-87.729,34.891,57.52760764,Mississippi
-87.74,34.775,54.0776709,Mississippi
-87.825,34.525,46.97072828,Mississippi
-87.84,35.248,73.05918337,Mississippi
-87.841,34.347,42.00570556,Mississippi
-87.851,35.132,69.92120541,Mississippi
-87.858,34.168,37.9451367,Mississippi
-87.862,35.016,66.22396935,Mississippi
-87.873,34.9,62.20753918,Mississippi
-87.874,33.99,33.60674898,Mississippi
-87.883,34.784,58.30789502,Mississippi
-87.89,33.811,29.93708381,Mississippi
-87.894,34.668,54.10489421,Mississippi
-87.906,33.633,25.77446348,Mississippi
-87.923,33.454,21.83495672,Mississippi
-87.939,33.276,18.05717111,Mississippi
-87.955,33.097,13.66557055,Mississippi
-87.971,30.866,0.0,Mississippi
-87.971,32.918,8.760259853,Mississippi
-87.973,35.372,81.9393732,Mississippi
-87.984,35.256,78.39809138,Mississippi
-87.986,32.739,0.0,Mississippi
-87.994,35.14,74.80935663,Mississippi
-88.002,32.561,0.0,Mississippi
-88.005,35.024,70.92398944,Mississippi
-88.016,34.909,66.77103778,Mississippi
-88.018,32.382,0.0,Mississippi
-88.026,34.793,62.39459772,Mississippi
-88.034,32.203,0.0,Mississippi
-88.037,34.677,58.12810295,Mississippi
-88.044,34.538,52.42750484,Mississippi
-88.06,34.36,45.81938469,Mississippi
-88.076,34.181,40.22799697,Mississippi
-88.091,34.003,35.18500655,Mississippi
-88.107,33.824,30.20973454,Mississippi
-88.117,35.381,87.39075875,Mississippi
-88.123,33.646,25.58920143,Mississippi
-88.128,35.265,83.73547155,Mississippi
-88.138,35.149,79.56295166,Mississippi
-88.139,33.467,21.23771486,Mississippi
-88.148,35.033,75.42567043,Mississippi
-88.154,33.289,16.94067921,Mississippi
-88.159,34.917,71.21977305,Mississippi
-88.169,34.801,66.50089923,Mississippi
-88.17,33.11,12.66120609,Mississippi
-88.179,34.685,62.00542341,Mississippi
-88.185,32.931,8.384095077,Mississippi
-88.189,34.569,57.19246516,Mississippi
-88.194,31.961,0.0,Mississippi
-88.201,32.752,0.0,Mississippi
-88.216,32.574,0.0,Mississippi
-88.217,31.692,0.0,Mississippi
-88.231,32.395,0.0,Mississippi
-88.24,31.424,0.0,Mississippi
-88.246,32.216,0.0,Mississippi
-88.261,32.037,0.0,Mississippi
-88.261,35.389,92.17822875,Mississippi
-88.262,31.155,0.0,Mississippi
-88.271,35.273,88.55476536,Mississippi
-88.278,34.373,49.85928708,Mississippi
-88.281,35.157,84.41176558,Mississippi
-88.284,30.886,0.0,Mississippi
-88.292,35.041,79.98970473,Mississippi
-88.294,34.194,43.06020133,Mississippi
-88.302,34.925,75.45612135,Mississippi
-88.306,30.616,0.0,Mississippi
-88.309,34.016,36.54961037,Mississippi
-88.312,34.809,70.79870158,Mississippi
-88.322,34.693,65.91979527,Mississippi
-88.324,33.837,30.64595018,Mississippi
-88.332,34.578,61.07885895,Mississippi
-88.34,33.659,25.19716061,Mississippi
-88.342,34.462,55.94616258,Mississippi
-88.355,33.48,20.45238014,Mississippi
-88.37,33.301,15.75496387,Mississippi
-88.385,33.123,11.64624077,Mississippi
-88.4,32.944,7.701105841,Mississippi
-88.405,35.397,96.92935294,Mississippi
-88.415,32.765,0.0,Mississippi
-88.415,35.281,92.84751973,Mississippi
-88.425,35.165,88.95440456,Mississippi
-88.43,32.586,0.0,Mississippi
-88.435,35.049,84.42022534,Mississippi
-88.444,32.407,0.0,Mississippi
-88.445,34.933,79.71541064,Mississippi
-88.455,34.817,75.00503209,Mississippi
-88.459,32.228,0.0,Mississippi
-88.465,34.702,70.07148496,Mississippi
-88.474,34.586,65.07466365,Mississippi
-88.484,34.47,59.67898547,Mississippi
-88.497,34.385,55.76478908,Mississippi
