Longitude,Latitude,Qreq,State
-120.446,39.262,132.5990644,Nevada
-120.441,40.313,161.3273026,Nevada
-120.44,39.702,161.09738,Nevada
-120.437,41.43,106.1413794,Nevada
-120.434,40.224,166.8317018,Nevada
-120.434,39.481,160.7224172,Nevada
-120.424,39.834,157.3636908,Nevada
-120.422,40.952,116.052412,Nevada
-120.422,40.189,164.078034,Nevada
-120.422,39.65,162.749468,Nevada
-120.408,40.473,122.9555324,Nevada
-120.406,39.151,128.4807811,Nevada
-120.405,40.088,155.8249312,Nevada
-120.403,39.599,163.9781813,Nevada
-120.396,39.757,141.7952109,Nevada
-120.395,41.318,107.5657322,Nevada
-120.394,39.995,136.6883852,Nevada
-120.389,40.233,165.0394933,Nevada
-120.387,40.341,137.3341278,Nevada
-120.385,40.158,161.7260888,Nevada
-120.384,39.547,163.8106931,Nevada
-120.382,42.164,96.75046719,Nevada
-120.381,40.84,111.9095087,Nevada
-120.377,40.01,136.7024813,Nevada
-120.376,40.199,166.1372912,Nevada
-120.368,39.679,145.9226251,Nevada
-120.367,40.361,132.8973305,Nevada
-120.366,39.495,164.8035037,Nevada
-120.366,39.039,125.105021,Nevada
-120.364,40.164,163.3716511,Nevada
-120.358,39.348,142.4287949,Nevada
-120.354,40.275,157.5106019,Nevada
-120.354,41.206,110.447518,Nevada
-120.35,41.766,125.4168257,Nevada
-120.349,39.933,155.2610592,Nevada
-120.347,39.444,162.6230172,Nevada
-120.341,42.052,98.55648609,Nevada
-120.34,40.728,111.9921975,Nevada
-120.335,39.613,148.8633263,Nevada
-120.33,40.208,164.7578788,Nevada
-120.33,39.271,156.2402475,Nevada
-120.329,39.392,147.9332831,Nevada
-120.327,41.573,117.0911325,Nevada
-120.326,38.927,122.362312,Nevada
-120.322,41.688,127.6104784,Nevada
-120.321,39.855,155.9260499,Nevada
-120.318,40.174,165.868179,Nevada
-120.316,39.561,163.8873531,Nevada
-120.313,41.094,113.2733423,Nevada
-120.305,40.139,163.4663436,Nevada
-120.299,40.616,115.3002266,Nevada
-120.299,41.94,109.9680713,Nevada
-120.298,39.51,165.500868,Nevada
-120.298,40.12,161.9375198,Nevada
-120.293,39.778,141.6567953,Nevada
-120.286,38.815,120.6049257,Nevada
-120.285,41.461,110.0777947,Nevada
-120.279,39.458,165.1391516,Nevada
