Longitude,Latitude,Qreq,State
-71.658,41.565,0.0,New York
-71.716,41.392,0.0,New York
-71.892,41.608,0.0,New York
-71.95,41.435,0.0,New York
-72.008,41.261,0.0,New York
-72.127,41.651,0.0,New York
-72.185,41.477,0.0,New York
-72.242,41.304,0.0,New York
-72.356,40.957,0.0,New York
-72.419,41.52,0.0,New York
-72.476,41.346,0.0,New York
-72.644,40.825,0.0,New York
-72.654,41.562,0.0,New York
-72.71,41.388,0.0,New York
-72.8,43.426,0.0,New York
-72.857,43.252,0.0,New York
-72.877,40.866,0.0,New York
-72.878,44.569,6.694869599,New York
-72.914,43.078,0.0,New York
-72.916,44.455,6.022350951,New York
-72.924,44.936,11.82032286,New York
-72.927,43.817,0.0,New York
-72.945,41.429,0.0,New York
-72.953,44.342,5.348485573,New York
-72.962,44.823,12.89146193,New York
-72.971,42.904,0.0,New York
-72.984,43.642,0.0,New York
-72.991,44.228,0.0,New York
-73.0,44.709,12.97864724,New York
-73.0,41.255,0.0,New York
-73.027,42.729,0.0,New York
-73.037,44.596,12.25660191,New York
-73.041,43.468,0.0,New York
-73.069,41.818,0.0,New York
-73.075,44.482,11.82532943,New York
-73.083,42.555,0.0,New York
-73.085,44.963,19.08322317,New York
-73.098,43.293,0.0,New York
-73.11,40.907,0.0,New York
-73.112,44.368,10.71721874,New York
-73.122,44.85,19.74649283,New York
-73.124,41.644,0.0,New York
-73.139,42.381,0.0,New York
-73.15,44.255,9.040606778,New York
-73.155,43.119,0.0,New York
-73.16,44.736,20.66179558,New York
-73.164,40.733,0.0,New York
-73.17,43.858,0.0,New York
-73.179,41.47,0.0,New York
-73.187,44.141,7.478100092,New York
-73.195,42.207,0.0,New York
-73.197,44.622,19.89867611,New York
-73.211,42.945,0.0,New York
-73.224,44.028,5.362728951,New York
-73.227,43.683,0.0,New York
-73.234,41.296,0.0,New York
-73.235,44.509,18.97153411,New York
-73.245,44.99,27.77771717,New York
-73.25,42.033,0.0,New York
-73.261,43.914,0.0,New York
-73.267,42.77,0.0,New York
-73.272,44.395,17.14453441,New York
-73.283,44.876,29.53652633,New York
-73.283,43.508,0.0,New York
-73.305,41.859,0.0,New York
-73.309,44.281,14.87674055,New York
-73.32,44.762,29.26029691,New York
-73.322,42.596,0.0,New York
-73.339,43.334,0.0,New York
-73.346,44.168,13.17873129,New York
-73.357,44.649,27.95742905,New York
-73.36,41.684,0.0,New York
-73.377,42.422,0.0,New York
-73.382,44.054,10.78398848,New York
-73.394,44.535,26.46663522,New York
-73.395,43.159,0.0,New York
-73.397,40.774,0.0,New York
-73.415,41.51,0.0,New York
-73.419,43.941,8.241339468,New York
-73.431,44.421,24.42000441,New York
-73.433,42.247,0.0,New York
-73.443,44.902,38.74455266,New York
-73.451,42.985,0.0,New York
-73.456,43.827,6.082438592,New York
-73.468,44.308,21.76839166,New York
-73.469,41.336,0.0,New York
-73.48,44.789,39.01103718,New York
-73.487,42.073,0.0,New York
-73.492,43.713,0.0,New York
-73.505,44.194,19.82032322,New York
-73.506,42.811,0.0,New York
-73.517,44.675,37.02453022,New York
-73.523,41.162,0.0,New York
-73.525,43.549,0.0,New York
-73.541,44.08,16.88508164,New York
-73.542,41.899,0.0,New York
-73.554,44.561,35.15115614,New York
-73.561,42.636,0.0,New York
-73.577,43.967,14.58655594,New York
-73.581,43.374,0.0,New York
-73.591,44.447,31.6911945,New York
-73.596,41.725,0.0,New York
-73.604,44.929,49.76463849,New York
-73.614,43.853,11.39468703,New York
-73.616,42.462,0.0,New York
-73.619,41.229,0.0,New York
-73.627,44.334,29.23512965,New York
-73.636,43.2,0.0,New York
-73.641,44.815,48.89601084,New York
-73.65,43.739,7.704875161,New York
-73.65,41.55,0.0,New York
-73.654,41.116,0.0,New York
-73.664,44.22,26.37742308,New York
-73.67,42.287,0.0,New York
-73.677,44.701,46.03733855,New York
-73.683,40.64,0.0,New York
-73.686,43.626,0.0,New York
-73.689,41.003,0.0,New York
-73.691,43.025,0.0,New York
-73.7,44.106,24.37815516,New York
-73.704,41.376,0.0,New York
-73.714,44.587,42.9004006,New York
-73.722,43.512,0.0,New York
-73.725,42.113,0.0,New York
-73.736,43.993,20.82461796,New York
-73.746,42.85,0.0,New York
-73.75,44.473,40.40151727,New York
-73.765,44.955,58.35970147,New York
-73.772,41.255,0.0,New York
-73.772,43.879,18.42041722,New York
-73.778,41.939,0.0,New York
-73.787,44.36,35.16181471,New York
-73.792,40.663,0.0,New York
-73.8,42.676,0.0,New York
-73.801,44.841,56.04220809,New York
-73.806,41.142,0.0,New York
-73.808,43.765,14.28481276,New York
-73.823,44.246,32.21944825,New York
-73.823,43.414,0.0,New York
-73.832,41.764,0.0,New York
-73.838,44.727,52.50781921,New York
-73.841,41.028,0.0,New York
-73.844,43.652,9.000562937,New York
-73.855,42.501,0.0,New York
-73.859,44.132,30.99992228,New York
-73.874,44.613,47.22481902,New York
-73.875,40.915,0.0,New York
-73.878,43.239,0.0,New York
-73.879,43.538,0.0,New York
-73.886,41.59,0.0,New York
-73.895,44.018,28.66265284,New York
-73.908,42.327,0.0,New York
-73.909,40.802,0.0,New York
-73.91,44.499,43.91005273,New York
-73.924,41.28,0.0,New York
-73.926,44.98,61.72408704,New York
-73.93,43.905,27.32600736,New York
-73.932,43.065,0.0,New York
-73.939,41.416,0.0,New York
-73.943,40.689,0.0,New York
-73.946,44.385,40.11826625,New York
-73.959,41.167,0.0,New York
-73.962,44.866,59.13209175,New York
-73.962,42.152,0.0,New York
-73.966,43.791,23.26435708,New York
-73.977,40.575,0.0,New York
-73.982,44.272,37.78409745,New York
-73.986,42.89,0.0,New York
-73.993,41.054,0.0,New York
-73.998,44.753,56.04958398,New York
-74.002,43.677,16.48432692,New York
-74.015,41.978,0.0,New York
-74.018,44.158,36.56914215,New York
-74.02,40.331,0.0,New York
-74.027,40.941,0.0,New York
-74.034,44.639,50.57897612,New York
-74.037,43.564,8.566443028,New York
-74.04,42.715,0.0,New York
-74.053,44.044,36.5739156,New York
-74.061,40.827,0.0,New York
-74.069,41.804,0.0,New York
-74.07,44.525,46.21586215,New York
-74.072,40.157,0.0,New York
-74.072,43.45,0.0,New York
-74.077,41.306,0.0,New York
-74.089,43.93,36.65218542,New York
-74.094,42.541,0.0,New York
-74.095,40.714,0.0,New York
-74.106,44.411,44.28754035,New York
-74.111,41.193,0.0,New York
-74.119,43.279,0.0,New York
-74.121,41.629,0.0,New York
-74.123,44.892,57.99315722,New York
-74.124,43.816,33.53058738,New York
-74.129,40.601,0.0,New York
-74.141,44.297,39.96307481,New York
-74.145,41.079,0.0,New York
-74.147,42.366,0.0,New York
-74.159,44.778,55.48005513,New York
-74.16,43.703,24.51954323,New York
-74.173,43.104,0.0,New York
-74.174,41.455,0.0,New York
-74.177,44.183,40.78650431,New York
-74.179,40.966,0.0,New York
-74.194,44.664,49.83198085,New York
-74.195,43.589,14.90715933,New York
-74.2,42.192,0.0,New York
-74.212,44.069,41.40389241,New York
-74.213,40.853,0.0,New York
-74.226,41.28,0.0,New York
-74.226,42.929,0.0,New York
-74.23,43.475,0.0,New York
-74.23,44.55,47.67763277,New York
-74.246,40.739,0.0,New York
-74.248,43.956,43.23136893,New York
-74.252,40.37,0.0,New York
-74.253,42.017,0.0,New York
-74.266,44.436,44.42592698,New York
-74.28,42.754,0.0,New York
-74.28,40.626,0.0,New York
-74.283,43.842,41.3869238,New York
-74.284,44.917,56.46164447,New York
-74.297,41.104,0.0,New York
-74.301,44.322,40.66373622,New York
-74.303,40.196,0.0,New York
-74.305,41.842,0.0,New York
-74.313,40.513,0.0,New York
-74.318,43.728,31.22041363,New York
-74.319,44.803,53.04317127,New York
-74.331,40.991,0.0,New York
-74.333,42.58,0.0,New York
-74.336,44.208,39.7615812,New York
-74.353,43.614,16.98155154,New York
-74.355,44.689,48.119884,New York
-74.358,41.668,0.0,New York
-74.361,43.317,0.0,New York
-74.364,40.878,0.0,New York
-74.371,44.095,40.73735846,New York
-74.386,42.405,0.0,New York
-74.388,43.5,5.931622061,New York
-74.39,44.575,44.80911542,New York
-74.398,40.764,0.0,New York
-74.406,43.981,42.35453663,New York
-74.41,41.493,0.0,New York
-74.414,43.142,0.0,New York
-74.422,43.387,0.0,New York
-74.425,44.461,41.54510277,New York
-74.431,40.651,0.0,New York
-74.438,42.23,0.0,New York
-74.441,43.867,41.92754629,New York
-74.445,44.943,50.96400171,New York
-74.461,44.347,38.52197816,New York
-74.461,41.319,0.0,New York
-74.467,42.968,0.0,New York
-74.476,43.753,30.10308074,New York
-74.48,44.828,48.11021161,New York
-74.484,40.408,0.0,New York
-74.49,42.055,0.0,New York
-74.496,44.234,36.58005005,New York
-74.511,43.639,17.70284994,New York
-74.513,41.144,0.0,New York
-74.515,44.714,46.20456865,New York
-74.52,42.793,0.0,New York
-74.53,44.12,35.79607622,New York
-74.535,40.234,0.0,New York
-74.542,41.881,0.0,New York
-74.545,43.525,6.267018324,New York
-74.55,44.6,41.49037681,New York
-74.564,40.97,0.0,New York
-74.565,44.006,34.70447897,New York
-74.572,42.618,0.0,New York
-74.58,43.412,0.0,New York
-74.585,44.486,38.55270125,New York
-74.594,41.706,0.0,New York
-74.6,43.892,32.53916313,New York
-74.603,43.356,0.0,New York
-74.606,44.968,47.03302261,New York
-74.615,40.795,0.0,New York
-74.62,44.372,33.5173963,New York
-74.624,42.443,0.0,New York
-74.634,43.778,24.47660847,New York
-74.641,42.098,0.0,New York
-74.641,44.853,43.80106925,New York
-74.645,41.532,0.0,New York
-74.655,44.258,30.31659309,New York
-74.656,43.181,0.0,New York
-74.666,40.621,0.0,New York
-74.669,43.664,13.27612257,New York
-74.676,44.739,40.46038961,New York
-74.676,42.268,0.0,New York
-74.69,44.144,28.23089853,New York
-74.697,41.357,0.0,New York
-74.703,43.55,0.0,New York
-74.708,43.006,0.0,New York
-74.711,44.625,36.49378951,New York
-74.718,41.836,0.0,New York
-74.724,44.03,26.13876571,New York
-74.746,44.511,32.29627874,New York
-74.748,41.182,0.0,New York
-74.759,43.917,21.58777867,New York
-74.76,42.831,0.0,New York
-74.767,44.992,42.4193582,New York
-74.78,44.397,28.7012507,New York
-74.793,43.803,15.44939202,New York
-74.798,41.008,0.0,New York
-74.802,44.878,38.814235,New York
-74.812,42.656,0.0,New York
-74.815,44.283,24.34908096,New York
-74.827,43.689,6.966674652,New York
-74.837,44.764,35.89006595,New York
-74.845,43.394,0.0,New York
-74.849,44.169,20.06236704,New York
-74.861,43.575,0.0,New York
-74.864,42.481,0.0,New York
-74.871,44.65,31.8280457,New York
-74.882,41.569,0.0,New York
-74.883,44.055,16.32461504,New York
-74.897,43.219,0.0,New York
-74.906,44.536,26.45260354,New York
-74.917,43.941,12.16873103,New York
-74.932,41.395,0.0,New York
-74.94,44.422,22.28292511,New York
-74.949,43.043,0.0,New York
-74.952,43.827,7.442068063,New York
-74.963,44.903,33.66728028,New York
-74.974,44.308,17.27693074,New York
-74.983,41.22,0.0,New York
-74.985,43.713,0.0,New York
