Longitude,Latitude,Qreq,State
-124.521,42.867,193.7561151,Oregon
-124.506,42.833,194.2320445,Oregon
-124.491,42.799,194.3135484,Oregon
-124.489,42.913,193.0076849,Oregon
-124.476,42.765,193.9126063,Oregon
-124.474,42.878,193.1311201,Oregon
-124.461,42.731,193.5352331,Oregon
-124.459,42.844,193.3684887,Oregon
-124.457,42.958,192.4602209,Oregon
-124.446,42.697,193.210999,Oregon
-124.444,42.81,193.3660752,Oregon
-124.442,42.923,192.435543,Oregon
-124.441,43.037,192.2095288,Oregon
-124.429,42.776,193.1044302,Oregon
-124.427,42.889,192.4328937,Oregon
-124.426,43.003,191.943611,Oregon
-124.424,43.116,192.1271126,Oregon
-124.42,42.403,194.818408,Oregon
-124.414,42.742,192.8313433,Oregon
-124.412,42.855,192.4758548,Oregon
-124.41,42.968,191.7634708,Oregon
-124.409,43.082,191.9228015,Oregon
-124.407,42.255,194.2364823,Oregon
-124.405,42.369,194.8058894,Oregon
-124.403,42.482,194.6437851,Oregon
-124.399,42.708,192.5994237,Oregon
-124.397,42.821,192.4316117,Oregon
-124.395,42.934,191.675868,Oregon
-124.394,43.048,191.5189552,Oregon
-124.392,43.161,191.6143444,Oregon
-124.39,42.334,195.0104311,Oregon
-124.388,42.448,194.7213461,Oregon
-124.386,42.561,192.866289,Oregon
-124.384,42.674,192.3948049,Oregon
-124.382,42.787,192.2395149,Oregon
-124.38,42.9,191.6499888,Oregon
-124.379,43.013,191.2100774,Oregon
-124.377,43.127,191.3780513,Oregon
-124.375,42.3,194.938294,Oregon
-124.375,43.24,191.711476,Oregon
-124.373,42.413,194.9383553,Oregon
-124.371,42.527,193.0171018,Oregon
-124.369,42.64,192.2067647,Oregon
-124.367,42.753,192.0016334,Oregon
-124.366,42.866,191.6234883,Oregon
-124.364,42.979,190.9983029,Oregon
-124.362,42.153,194.9683946,Oregon
-124.362,43.093,191.1066377,Oregon
-124.36,42.266,194.448875,Oregon
-124.36,43.206,191.635282,Oregon
-124.359,42.379,195.0227856,Oregon
-124.358,43.319,191.1404299,Oregon
-124.357,42.493,193.0401929,Oregon
-124.355,42.606,192.0767714,Oregon
-124.353,42.719,191.8092506,Oregon
-124.351,42.832,191.5695875,Oregon
-124.349,42.945,190.8799709,Oregon
-124.348,42.119,194.5215502,Oregon
-124.347,43.058,190.7405036,Oregon
-124.346,42.232,194.6836275,Oregon
-124.344,42.345,194.8692283,Oregon
-124.344,43.172,191.0850812,Oregon
-124.342,42.458,192.9512551,Oregon
