Longitude,Latitude,Qreq,State
-114.499,38.748,47.93142551,Utah
-114.488,37.506,87.35392769,Utah
-114.483,36.915,83.96274191,Utah
-114.475,39.167,48.52849823,Utah
-114.469,40.394,47.73599891,Utah
-114.468,41.42,54.73472222,Utah
-114.464,37.984,64.63156271,Utah
-114.462,40.828,63.60259188,Utah
-114.458,37.392,88.80271065,Utah
-114.453,36.801,80.04969843,Utah
-114.451,38.574,45.5335113,Utah
-114.445,39.053,48.06695388,Utah
-114.436,41.306,58.72078619,Utah
-114.434,37.87,69.06076158,Utah
-114.43,40.714,59.54259716,Utah
-114.428,37.279,88.65052742,Utah
-114.421,40.219,40.54916024,Utah
-114.404,38.399,45.50281788,Utah
-114.404,41.193,60.92353085,Utah
-114.403,37.757,73.49847301,Utah
-114.398,37.165,86.54479117,Utah
-114.389,41.866,38.26920938,Utah
-114.388,39.417,42.60555211,Utah
-114.373,37.643,77.42763021,Utah
-114.373,40.044,36.8685341,Utah
-114.372,41.079,61.13909373,Utah
-114.368,37.052,82.63607017,Utah
-114.358,38.224,48.62114881,Utah
-114.357,39.304,43.86402214,Utah
-114.346,41.557,49.35552885,Utah
-114.343,37.53,80.79818316,Utah
-114.341,40.965,59.24172909,Utah
-114.34,41.691,45.20449092,Utah
-114.338,36.938,78.39665349,Utah
-114.325,39.869,35.14985582,Utah
-114.318,38.959,44.3297133,Utah
-114.314,41.444,53.42446663,Utah
-114.313,37.416,83.25889321,Utah
-114.311,38.049,55.28233657,Utah
-114.309,40.852,56.2702348,Utah
-114.309,36.824,73.85156144,Utah
-114.287,37.894,62.7806056,Utah
-114.284,40.605,47.64531562,Utah
-114.283,37.302,83.31618254,Utah
-114.282,41.33,56.38559367,Utah
-114.279,36.711,68.99098927,Utah
-114.278,39.694,35.48837683,Utah
-114.271,38.785,41.88210875,Utah
-114.257,37.78,67.5523162,Utah
-114.253,37.189,81.74138609,Utah
-114.251,41.216,57.33918843,Utah
-114.236,40.43,40.16169403,Utah
-114.23,39.52,36.31384156,Utah
-114.227,37.667,72.22785218,Utah
-114.224,38.61,40.19611847,Utah
-114.224,37.075,78.30996822,Utah
-114.223,41.695,47.39504309,Utah
-114.22,41.102,56.5895297,Utah
-114.198,37.553,76.00331214,Utah
-114.194,36.961,73.75416677,Utah
-114.192,41.581,51.07827692,Utah
-114.189,40.255,35.01402019,Utah
-114.188,40.989,54.6532929,Utah
