Longitude,Latitude,Qreq,State
-71.104,44.604,0.0,Vermont
-71.161,45.171,0.0,Vermont
-71.167,44.43,0.0,Vermont
-71.224,44.997,0.0,Vermont
-71.229,44.256,0.0,Vermont
-71.286,44.822,0.0,Vermont
-71.328,44.177,0.0,Vermont
-71.349,44.648,0.0,Vermont
-71.411,44.474,0.0,Vermont
-71.47,45.041,0.0,Vermont
-71.473,44.3,0.0,Vermont
-71.526,44.093,0.0,Vermont
-71.532,44.867,0.0,Vermont
-71.534,44.126,0.0,Vermont
-71.566,43.98,0.0,Vermont
-71.594,44.692,0.0,Vermont
-71.655,44.518,0.0,Vermont
-71.716,44.344,0.0,Vermont
-71.724,44.008,0.0,Vermont
-71.763,43.895,0.0,Vermont
-71.777,44.17,0.0,Vermont
-71.778,44.91,0.0,Vermont
-71.803,43.782,0.0,Vermont
-71.838,43.996,0.0,Vermont
-71.839,44.736,0.0,Vermont
-71.842,43.669,0.0,Vermont
-71.881,43.556,0.0,Vermont
-71.9,44.562,0.0,Vermont
-71.92,43.443,5.8953834,Vermont
-71.958,43.33,6.689975846,Vermont
-71.96,43.81,0.0,Vermont
-71.961,44.387,0.0,Vermont
-71.997,43.217,5.406331869,Vermont
-71.999,43.697,0.0,Vermont
-72.021,44.213,0.0,Vermont
-72.024,44.954,0.0,Vermont
-72.035,43.104,0.0,Vermont
-72.038,43.584,0.0,Vermont
-72.073,42.562,0.0,Vermont
-72.074,42.991,0.0,Vermont
-72.076,43.471,0.0,Vermont
-72.081,44.039,0.0,Vermont
-72.085,44.779,0.0,Vermont
-72.112,42.878,0.0,Vermont
-72.115,43.357,0.0,Vermont
-72.14,43.865,0.0,Vermont
-72.145,44.605,0.0,Vermont
-72.153,43.244,0.0,Vermont
-72.191,43.131,0.0,Vermont
-72.195,42.952,0.0,Vermont
-72.2,43.691,0.0,Vermont
-72.205,44.43,0.0,Vermont
-72.253,42.778,0.0,Vermont
-72.259,43.517,0.0,Vermont
-72.265,44.256,0.0,Vermont
-72.271,44.996,0.0,Vermont
-72.311,42.604,0.0,Vermont
-72.318,43.343,0.0,Vermont
-72.324,44.082,0.0,Vermont
-72.331,44.822,0.0,Vermont
-72.369,42.431,0.0,Vermont
-72.376,43.169,0.0,Vermont
-72.383,43.907,0.0,Vermont
-72.39,44.647,0.0,Vermont
-72.434,42.994,0.0,Vermont
-72.442,43.733,0.0,Vermont
-72.45,44.473,0.0,Vermont
-72.492,42.82,0.0,Vermont
-72.5,43.559,0.0,Vermont
-72.509,44.298,0.0,Vermont
-72.55,42.647,0.0,Vermont
-72.559,43.385,0.0,Vermont
-72.568,44.124,0.0,Vermont
-72.577,44.864,0.0,Vermont
-72.607,42.473,0.0,Vermont
-72.616,43.211,0.0,Vermont
-72.626,43.949,0.0,Vermont
-72.636,44.689,0.0,Vermont
-72.664,42.299,0.0,Vermont
-72.674,43.036,0.0,Vermont
-72.684,43.775,0.0,Vermont
-72.695,44.515,0.0,Vermont
-72.731,42.862,0.0,Vermont
-72.742,43.601,0.0,Vermont
-72.753,44.34,0.0,Vermont
-72.788,42.688,0.0,Vermont
-72.8,43.426,0.0,Vermont
-72.802,44.796,6.642381005,Vermont
-72.812,44.166,0.0,Vermont
-72.84,44.682,6.782066884,Vermont
-72.845,42.514,0.0,Vermont
-72.857,43.252,0.0,Vermont
-72.869,43.991,0.0,Vermont
-72.878,44.569,6.694869599,Vermont
-72.901,42.34,0.0,Vermont
-72.914,43.078,0.0,Vermont
-72.916,44.455,6.022350951,Vermont
-72.924,44.936,11.82032286,Vermont
-72.927,43.817,0.0,Vermont
-72.953,44.342,5.348485573,Vermont
-72.962,44.823,12.89146193,Vermont
-72.971,42.904,0.0,Vermont
-72.984,43.642,0.0,Vermont
-72.991,44.228,0.0,Vermont
-73.0,44.709,12.97864724,Vermont
-73.027,42.729,0.0,Vermont
-73.037,44.596,12.25660191,Vermont
-73.041,43.468,0.0,Vermont
-73.075,44.482,11.82532943,Vermont
-73.083,42.555,0.0,Vermont
-73.085,44.963,19.08322317,Vermont
-73.098,43.293,0.0,Vermont
-73.112,44.368,10.71721874,Vermont
-73.122,44.85,19.74649283,Vermont
-73.139,42.381,0.0,Vermont
-73.15,44.255,9.040606778,Vermont
-73.155,43.119,0.0,Vermont
-73.16,44.736,20.66179558,Vermont
-73.17,43.858,0.0,Vermont
-73.187,44.141,7.478100092,Vermont
-73.197,44.622,19.89867611,Vermont
-73.211,42.945,0.0,Vermont
-73.224,44.028,5.362728951,Vermont
-73.227,43.683,0.0,Vermont
-73.235,44.509,18.97153411,Vermont
-73.245,44.99,27.77771717,Vermont
-73.261,43.914,0.0,Vermont
-73.267,42.77,0.0,Vermont
-73.272,44.395,17.14453441,Vermont
-73.283,44.876,29.53652633,Vermont
-73.283,43.508,0.0,Vermont
-73.309,44.281,14.87674055,Vermont
-73.32,44.762,29.26029691,Vermont
-73.322,42.596,0.0,Vermont
-73.339,43.334,0.0,Vermont
-73.346,44.168,13.17873129,Vermont
-73.357,44.649,27.95742905,Vermont
-73.377,42.422,0.0,Vermont
-73.382,44.054,10.78398848,Vermont
-73.394,44.535,26.46663522,Vermont
-73.395,43.159,0.0,Vermont
-73.419,43.941,8.241339468,Vermont
-73.431,44.421,24.42000441,Vermont
-73.443,44.902,38.74455266,Vermont
-73.451,42.985,0.0,Vermont
-73.456,43.827,6.082438592,Vermont
-73.468,44.308,21.76839166,Vermont
-73.48,44.789,39.01103718,Vermont
-73.492,43.713,0.0,Vermont
-73.505,44.194,19.82032322,Vermont
-73.506,42.811,0.0,Vermont
-73.517,44.675,37.02453022,Vermont
-73.525,43.549,0.0,Vermont
-73.541,44.08,16.88508164,Vermont
-73.554,44.561,35.15115614,Vermont
-73.561,42.636,0.0,Vermont
-73.577,43.967,14.58655594,Vermont
-73.581,43.374,0.0,Vermont
-73.591,44.447,31.6911945,Vermont
-73.604,44.929,49.76463849,Vermont
-73.614,43.853,11.39468703,Vermont
-73.616,42.462,0.0,Vermont
-73.627,44.334,29.23512965,Vermont
-73.636,43.2,0.0,Vermont
-73.641,44.815,48.89601084,Vermont
-73.65,43.739,7.704875161,Vermont
-73.664,44.22,26.37742308,Vermont
-73.677,44.701,46.03733855,Vermont
-73.686,43.626,0.0,Vermont
-73.691,43.025,0.0,Vermont
-73.7,44.106,24.37815516,Vermont
-73.714,44.587,42.9004006,Vermont
-73.722,43.512,0.0,Vermont
-73.736,43.993,20.82461796,Vermont
-73.75,44.473,40.40151727,Vermont
-73.765,44.955,58.35970147,Vermont
-73.772,43.879,18.42041722,Vermont
-73.787,44.36,35.16181471,Vermont
-73.801,44.841,56.04220809,Vermont
-73.808,43.765,14.28481276,Vermont
-73.823,44.246,32.21944825,Vermont
-73.823,43.414,0.0,Vermont
-73.844,43.652,9.000562937,Vermont
-73.859,44.132,30.99992228,Vermont
