Longitude,Latitude,Qreq,State
-124.42,42.403,203.2354647,California
-124.407,42.255,203.0898753,California
-124.405,42.369,203.1920563,California
-124.391,40.458,202.6847935,California
-124.39,42.334,203.2589713,California
-124.377,40.424,202.4837338,California
-124.375,42.3,203.175119,California
-124.373,42.413,203.0783329,California
-124.362,40.39,202.3902792,California
-124.362,42.153,203.2920668,California
-124.36,40.503,202.7587979,California
-124.36,42.266,202.8934859,California
-124.359,42.379,203.0889369,California
-124.348,40.356,202.488171,California
-124.348,42.119,203.0565156,California
-124.346,40.469,202.6585742,California
-124.346,42.232,202.9641572,California
-124.344,40.582,202.3783971,California
-124.344,42.345,202.949419,California
-124.333,40.322,202.6910667,California
-124.332,40.435,202.3679134,California
-124.331,42.198,202.9804173,California
-124.33,40.548,202.4810222,California
-124.329,42.311,202.8313662,California
-124.327,42.424,201.966279,California
-124.319,40.288,202.7493036,California
-124.317,40.401,202.1468663,California
-124.316,42.164,202.6578716,California
-124.315,40.514,202.5573865,California
-124.314,42.277,202.7176949,California
-124.313,40.627,201.9767693,California
-124.312,42.39,201.8732958,California
-124.305,40.254,202.8020262,California
-124.303,40.367,202.057871,California
-124.301,40.48,202.5180896,California
-124.301,42.13,202.1653501,California
-124.299,40.593,201.9942924,California
-124.299,42.243,202.3864499,California
-124.297,42.356,201.6937885,California
-124.29,40.22,203.224984,California
-124.288,40.333,202.025865,California
-124.286,40.446,202.2297585,California
-124.286,42.096,201.9349595,California
-124.284,40.559,202.2315907,California
-124.284,42.209,201.9850718,California
-124.282,40.672,202.0264633,California
-124.282,42.322,201.5682041,California
-124.28,42.435,201.1224229,California
-124.274,40.299,201.8982452,California
-124.272,40.412,201.9227039,California
-124.272,42.062,201.8182712,California
-124.27,40.525,202.3528468,California
-124.27,42.175,201.6483823,California
-124.268,40.638,201.8914421,California
-124.267,42.288,201.4740744,California
-124.265,42.401,200.999458,California
-124.259,40.265,201.8096429,California
-124.257,40.378,201.7626966,California
-124.255,40.491,202.2812414,California
-124.255,42.141,201.3852161,California
-124.253,40.604,201.8779844,California
-124.253,42.254,201.2810466,California
-124.251,42.367,200.8706941,California
-124.245,40.231,201.8192856,California
-124.243,40.344,201.718324,California
-124.241,40.457,202.1730013,California
-124.24,42.107,201.2069098,California
-124.239,40.57,202.0295865,California
-124.238,42.22,201.0391103,California
-124.237,40.683,202.2652386,California
-124.236,42.333,200.7506365,California
-124.234,42.446,200.4686221,California
-124.231,40.197,202.0285502,California
-124.229,40.31,201.5632512,California
-124.226,40.423,201.9030069,California
-124.225,42.073,201.1013803,California
-124.224,40.536,202.1585867,California
-124.223,42.186,200.8403412,California
-124.222,40.649,202.1302936,California
-124.221,42.299,200.6364467,California
-124.219,42.412,200.3481381,California
-124.216,40.163,202.3662671,California
-124.215,41.812,201.8037239,California
-124.214,40.276,201.3400887,California
-124.212,40.389,201.772448,California
-124.211,42.039,201.0174505,California
-124.21,40.502,202.1219545,California
-124.208,40.615,201.9911521,California
-124.208,42.152,200.6781743,California
-124.206,40.727,203.0838106,California
-124.206,42.265,200.4959805,California
-124.204,42.378,200.2196884,California
-124.2,41.778,201.6592352,California
-124.2,40.242,201.0951901,California
-124.198,41.891,201.2975219,California
-124.198,40.355,201.6209963,California
-124.196,40.468,202.0663446,California
-124.196,42.004,200.9229844,California
-124.194,42.118,200.5591776,California
-124.193,40.581,201.9060453,California
-124.191,40.693,202.97107,California
-124.191,42.231,200.3336013,California
-124.189,42.344,200.1113009,California
-124.186,40.208,201.0715449,California
-124.183,41.857,201.1383421,California
-124.183,40.321,201.4611256,California
-124.181,41.97,200.8325553,California
-124.181,40.434,201.9259702,California
-124.179,40.546,201.9816528,California
-124.179,42.083,200.4473593,California
-124.177,40.659,202.7089743,California
-124.177,42.197,200.2099288,California
-124.175,40.772,203.9844284,California
-124.174,42.31,199.9986863,California
-124.172,42.423,199.5120887,California
-124.171,40.174,201.114135,California
-124.169,40.287,201.1601192,California
-124.169,41.823,201.0336252,California
-124.167,41.936,200.7142078,California
-124.167,40.4,201.8321841,California
-124.165,40.512,202.0103971,California
-124.164,42.049,200.3397029,California
-124.162,40.625,202.3505155,California
-124.162,42.162,200.080497,California
-124.16,40.738,203.8698079,California
-124.16,42.276,199.7560061,California
-124.157,40.14,201.4173014,California
-124.157,42.389,199.2582265,California
-124.155,40.253,200.8355757,California
-124.154,41.789,200.90916,California
-124.153,41.077,203.4666026,California
-124.152,40.365,201.7412333,California
-124.152,41.902,200.5786736,California
-124.15,40.478,201.8631852,California
