Longitude,Latitude,Qreq,State
-80.496,32.385,123.4318079,Georgia
-80.557,32.336,115.2064615,Georgia
-80.591,32.397,120.3371386,Georgia
-80.673,32.469,122.0868546,Georgia
-80.694,32.354,110.2081773,Georgia
-80.715,32.238,99.9797061,Georgia
-80.79,32.602,121.5527962,Georgia
-80.811,32.486,112.8747906,Georgia
-80.831,32.371,104.0316853,Georgia
-80.852,32.256,95.41719259,Georgia
-80.873,32.14,87.53531426,Georgia
-80.893,32.025,80.51123385,Georgia
-80.907,32.734,114.4053217,Georgia
-80.928,32.619,110.0775259,Georgia
-80.948,32.504,103.9128383,Georgia
-80.969,32.388,96.88390464,Georgia
-80.989,32.273,90.24128021,Georgia
-81.004,32.982,105.8204848,Georgia
-81.005,31.907,71.06539695,Georgia
-81.009,32.157,83.54721723,Georgia
-81.025,32.867,105.3219785,Georgia
-81.03,32.042,77.21803494,Georgia
-81.045,32.751,103.4813815,Georgia
-81.066,32.636,100.2682813,Georgia
-81.086,32.521,95.73392998,Georgia
-81.102,33.229,95.78307881,Georgia
-81.106,32.405,90.61243101,Georgia
-81.122,33.114,96.95112863,Georgia
-81.126,32.29,84.88561725,Georgia
-81.143,32.999,96.99015973,Georgia
-81.147,32.175,79.38424676,Georgia
-81.163,32.883,96.54431711,Georgia
-81.167,32.059,73.21970815,Georgia
-81.183,32.768,95.0197864,Georgia
-81.203,32.653,92.2022562,Georgia
-81.215,31.934,65.4537123,Georgia
-81.221,33.361,89.36105866,Georgia
-81.224,32.538,88.62140793,Georgia
-81.241,33.246,90.21316135,Georgia
-81.244,32.422,84.46495307,Georgia
-81.246,31.756,52.6725162,Georgia
-81.261,33.131,90.52551497,Georgia
-81.264,32.307,79.60927821,Georgia
-81.276,31.578,39.10802519,Georgia
-81.281,33.016,90.53033754,Georgia
-81.284,32.191,74.49712858,Georgia
-81.301,32.9,89.93037872,Georgia
-81.321,32.785,87.84420951,Georgia
-81.337,31.222,17.14053458,Georgia
-81.341,32.67,85.55692217,Georgia
-81.36,33.378,84.4773027,Georgia
-81.361,32.554,82.30342978,Georgia
-81.38,33.263,84.83757143,Georgia
-81.381,32.439,78.62682448,Georgia
-81.395,32.137,67.77711652,Georgia
-81.4,33.148,85.01349413,Georgia
-81.42,33.032,84.37482548,Georgia
-81.426,31.959,57.60440067,Georgia
-81.44,32.917,83.39618801,Georgia
-81.456,31.782,45.11808759,Georgia
-81.46,32.802,81.65784189,Georgia
-81.479,33.51,79.1405985,Georgia
-81.479,32.686,79.63440149,Georgia
-81.486,31.604,33.34228691,Georgia
-81.499,33.395,80.09218721,Georgia
-81.499,32.571,76.55363713,Georgia
-81.516,31.426,23.034618,Georgia
-81.519,33.279,79.88128926,Georgia
-81.539,33.164,79.60304973,Georgia
-81.546,31.248,14.27279655,Georgia
-81.546,32.518,73.35246463,Georgia
-81.558,33.049,78.80495927,Georgia
-81.576,32.34,67.25199839,Georgia
-81.578,32.933,77.63079124,Georgia
-81.599,33.642,74.75165739,Georgia
-81.604,31.092,7.172841017,Georgia
-81.606,32.162,59.08345555,Georgia
-81.618,33.526,74.65814579,Georgia
-81.636,31.985,48.10307429,Georgia
-81.638,33.253,75.235726,Georgia
-81.638,33.411,74.51930123,Georgia
-81.649,30.825,0.0,Georgia
-81.666,31.807,37.42391254,Georgia
-81.668,33.075,74.04352996,Georgia
-81.693,30.558,0.0,Georgia
-81.695,31.629,27.59910301,Georgia
-81.698,32.898,72.12288453,Georgia
-81.719,33.773,70.30770739,Georgia
-81.725,31.451,18.60773024,Georgia
-81.728,32.72,68.58303359,Georgia
-81.736,30.29,0.0,Georgia
-81.758,32.543,64.0436658,Georgia
-81.779,30.023,0.0,Georgia
-81.788,32.365,57.23203081,Georgia
-81.792,33.632,68.73253847,Georgia
-81.817,32.187,48.71174247,Georgia
-81.822,33.455,67.66134615,Georgia
-81.839,33.904,66.80195089,Georgia
-81.847,32.01,39.62370417,Georgia
-81.852,33.278,66.512616,Georgia
-81.859,33.789,66.7678393,Georgia
-81.873,31.397,12.90246259,Georgia
-81.876,31.832,30.51840299,Georgia
-81.882,33.1,64.30521277,Georgia
-81.905,31.654,22.0714043,Georgia
-81.911,32.923,61.78845577,Georgia
-81.917,31.13,0.0,Georgia
-81.934,31.476,14.37197421,Georgia
-81.941,32.745,57.90874949,Georgia
-81.96,30.862,0.0,Georgia
-81.96,34.036,63.96527619,Georgia
-81.97,32.567,52.65038363,Georgia
-81.98,33.92,64.79340404,Georgia
-81.999,33.805,65.46725615,Georgia
-81.999,32.39,46.40746379,Georgia
-82.003,30.595,0.0,Georgia
-82.007,33.657,64.00257524,Georgia
-82.028,32.212,39.53963671,Georgia
-82.037,33.48,61.02332911,Georgia
-82.046,30.327,0.0,Georgia
-82.057,32.034,31.97389528,Georgia
-82.066,33.302,57.76388383,Georgia
-82.081,34.167,59.93776944,Georgia
-82.086,31.856,24.4717841,Georgia
-82.088,30.06,0.0,Georgia
-82.095,33.125,54.59066071,Georgia
-82.101,34.051,63.00020391,Georgia
-82.115,31.678,16.89602463,Georgia
-82.12,33.936,65.3872006,Georgia
-82.124,32.947,50.62758187,Georgia
