Longitude,Latitude,Qreq,State
-88.651,36.928,170.1201733,Missouri
-88.654,36.893,170.2058459,Missouri
-88.681,37.109,170.3900349,Missouri
-88.684,37.073,170.9183005,Missouri
-88.687,37.038,171.2419784,Missouri
-88.69,37.002,171.7767332,Missouri
-88.693,36.966,171.5253934,Missouri
-88.696,36.931,171.8429253,Missouri
-88.699,36.895,171.4651771,Missouri
-88.702,36.86,170.9883219,Missouri
-88.705,36.824,170.6768223,Missouri
-88.708,36.788,170.380797,Missouri
-88.711,36.753,169.4781977,Missouri
-88.714,36.717,168.9108843,Missouri
-88.717,36.681,168.430357,Missouri
-88.72,36.646,168.0797614,Missouri
-88.721,37.182,171.1090555,Missouri
-88.723,36.61,167.9137707,Missouri
-88.724,37.147,171.3938726,Missouri
-88.726,36.575,167.7931974,Missouri
-88.727,37.111,171.97899,Missouri
-88.729,36.539,167.4878935,Missouri
-88.73,37.076,172.4521422,Missouri
-88.733,37.04,172.5345058,Missouri
-88.736,37.004,172.9711299,Missouri
-88.739,36.969,173.782324,Missouri
-88.742,36.933,172.8488341,Missouri
-88.745,36.898,173.0815187,Missouri
-88.748,36.862,171.9505342,Missouri
-88.751,36.826,171.8150639,Missouri
-88.753,36.791,171.440995,Missouri
-88.756,36.755,170.5895012,Missouri
-88.759,36.719,170.5045865,Missouri
-88.76,37.256,171.1275321,Missouri
-88.762,36.684,170.3097824,Missouri
-88.763,37.22,172.1296892,Missouri
-88.765,36.648,169.7010716,Missouri
-88.766,37.185,172.7708332,Missouri
-88.768,36.612,169.3902103,Missouri
-88.769,37.149,173.0928086,Missouri
-88.771,36.577,169.5751835,Missouri
-88.772,37.114,174.0476264,Missouri
-88.774,36.541,169.1505439,Missouri
-88.775,37.078,174.4767349,Missouri
-88.777,36.506,168.9916817,Missouri
-88.778,37.042,174.450529,Missouri
-88.78,36.47,169.2736827,Missouri
-88.781,37.007,174.9168146,Missouri
-88.783,36.434,169.5300762,Missouri
-88.784,36.971,175.0881706,Missouri
-88.787,36.935,174.8196493,Missouri
-88.79,36.9,174.8036814,Missouri
-88.793,36.864,173.7434242,Missouri
-88.796,36.829,173.4297119,Missouri
-88.799,36.793,172.805187,Missouri
-88.802,36.757,172.12788,Missouri
-88.803,37.294,172.0103524,Missouri
-88.805,36.722,171.8633967,Missouri
-88.805,37.258,172.966723,Missouri
-88.807,36.686,171.4979153,Missouri
-88.808,37.223,174.1446832,Missouri
-88.81,36.65,171.1489248,Missouri
-88.811,37.187,175.132807,Missouri
-88.813,36.615,171.1459246,Missouri
-88.814,37.152,175.3400673,Missouri
-88.816,36.579,171.0025924,Missouri
-88.817,37.116,175.8279762,Missouri
-88.819,36.544,170.8153803,Missouri
-88.82,37.08,176.1011002,Missouri
-88.822,36.508,170.8284192,Missouri
-88.823,37.045,176.0713421,Missouri
-88.825,36.472,170.9169108,Missouri
-88.826,37.009,176.2499095,Missouri
-88.828,36.437,171.2517315,Missouri
-88.829,36.973,176.3355304,Missouri
-88.831,36.401,171.101966,Missouri
-88.832,36.938,175.897478,Missouri
-88.834,36.365,171.6305214,Missouri
-88.835,36.902,175.6336893,Missouri
-88.838,36.867,175.6367699,Missouri
