Longitude,Latitude,Qreq,State
-109.499,31.48,25.85902093,New Mexico
-109.486,34.763,0.0,New Mexico
-109.483,32.571,17.60593024,New Mexico
-109.466,33.661,17.13304381,New Mexico
-109.45,32.394,17.7094673,New Mexico
-109.433,33.484,17.49675337,New Mexico
-109.418,32.217,17.91557612,New Mexico
-109.415,34.573,0.0,New Mexico
-109.4,33.307,17.6146324,New Mexico
-109.386,32.039,18.88480571,New Mexico
-109.382,34.396,6.420285467,New Mexico
-109.368,33.13,17.53047647,New Mexico
-109.354,31.862,20.08973109,New Mexico
-109.349,34.219,11.62280115,New Mexico
-109.335,32.953,17.22142834,New Mexico
-109.322,31.684,22.75332906,New Mexico
-109.316,34.042,14.35656682,New Mexico
-109.303,32.776,17.33316536,New Mexico
-109.29,31.507,26.88526831,New Mexico
-109.284,33.865,15.5959572,New Mexico
-109.271,32.598,17.11921906,New Mexico
-109.251,33.688,16.34533316,New Mexico
-109.239,32.421,17.364994,New Mexico
-109.231,34.776,0.0,New Mexico
-109.219,33.511,16.68184872,New Mexico
-109.208,35.069,0.0,New Mexico
-109.207,32.244,17.64645771,New Mexico
-109.198,34.599,0.0,New Mexico
-109.187,33.334,16.90910683,New Mexico
-109.175,32.066,18.53681676,New Mexico
-109.165,34.423,6.813944979,New Mexico
-109.154,33.157,16.74545792,New Mexico
-109.144,31.889,19.78415238,New Mexico
-109.133,34.246,11.61636737,New Mexico
-109.123,32.98,16.68130653,New Mexico
-109.112,31.711,22.1952663,New Mexico
-109.101,34.069,14.29073788,New Mexico
-109.091,32.802,16.78812013,New Mexico
-109.081,31.533,25.81575879,New Mexico
-109.068,33.892,15.45032989,New Mexico
-109.059,32.625,16.64338738,New Mexico
-109.05,31.356,31.18843388,New Mexico
-109.036,33.715,16.02622709,New Mexico
-109.028,32.448,16.86809186,New Mexico
-109.013,34.803,0.0,New Mexico
-109.004,33.538,16.3307507,New Mexico
-108.996,32.27,17.3806429,New Mexico
-108.981,34.626,0.0,New Mexico
-108.973,33.36,16.38340716,New Mexico
-108.965,32.093,18.01235318,New Mexico
-108.948,34.449,8.432181957,New Mexico
-108.941,33.183,16.48844935,New Mexico
-108.934,31.915,19.10366792,New Mexico
-108.916,34.272,12.32380909,New Mexico
-108.91,33.006,16.44662933,New Mexico
-108.903,31.737,20.72391915,New Mexico
-108.885,34.095,14.70774476,New Mexico
-108.88,35.108,0.0,New Mexico
-108.878,32.829,16.4519999,New Mexico
-108.872,31.56,23.28486773,New Mexico
-108.853,33.918,15.75732432,New Mexico
-108.847,32.651,16.34515716,New Mexico
-108.841,31.382,26.79486747,New Mexico
-108.827,35.006,0.0,New Mexico
-108.821,33.741,16.35739615,New Mexico
-108.816,32.474,16.54275,New Mexico
-108.795,34.829,0.0,New Mexico
-108.79,33.564,16.3638958,New Mexico
-108.785,32.296,16.99420821,New Mexico
-108.763,34.652,5.090342773,New Mexico
-108.759,33.386,16.35115021,New Mexico
-108.754,32.119,17.57113963,New Mexico
-108.731,34.475,10.98725992,New Mexico
-108.727,33.209,16.38067301,New Mexico
-108.724,31.941,18.23830544,New Mexico
-108.7,34.298,13.96728693,New Mexico
-108.696,33.032,16.38022675,New Mexico
-108.693,31.763,19.28165766,New Mexico
-108.668,34.121,15.7864305,New Mexico
-108.666,32.855,16.40839727,New Mexico
-108.663,31.586,20.56096838,New Mexico
-108.64,35.208,0.0,New Mexico
-108.637,33.944,16.4735925,New Mexico
-108.635,32.677,16.30063034,New Mexico
-108.632,31.408,21.99880691,New Mexico
-108.608,35.031,0.0,New Mexico
-108.606,33.767,16.89053737,New Mexico
-108.604,32.5,16.40972257,New Mexico
-108.577,34.855,0.0,New Mexico
-108.575,33.589,16.83800377,New Mexico
-108.574,32.322,16.5261843,New Mexico
-108.545,34.678,9.374834396,New Mexico
-108.544,33.412,16.83102954,New Mexico
-108.543,32.144,16.97846447,New Mexico
-108.514,34.5,13.72629871,New Mexico
-108.514,33.235,16.67662948,New Mexico
-108.513,31.967,17.37263123,New Mexico
-108.483,31.789,17.97078382,New Mexico
-108.483,33.057,16.52367575,New Mexico
-108.483,34.323,16.11448092,New Mexico
-108.453,31.611,18.45192927,New Mexico
-108.453,32.88,16.49592955,New Mexico
-108.452,34.146,17.61444014,New Mexico
-108.452,35.411,0.0,New Mexico
-108.423,31.433,18.52242923,New Mexico
-108.422,32.703,16.40429057,New Mexico
-108.421,33.969,18.20633242,New Mexico
-108.42,35.234,0.0,New Mexico
-108.392,32.525,16.35382353,New Mexico
-108.391,33.792,18.25703383,New Mexico
-108.389,35.057,0.0,New Mexico
-108.362,32.347,16.4540292,New Mexico
-108.36,33.615,18.13683196,New Mexico
-108.358,34.88,8.327304985,New Mexico
-108.332,32.17,16.49694055,New Mexico
-108.33,33.437,18.03569032,New Mexico
-108.327,34.703,14.26300823,New Mexico
-108.303,31.992,16.63180351,New Mexico
-108.3,33.26,17.64433399,New Mexico
-108.297,34.526,17.34431354,New Mexico
-108.273,31.814,17.09308794,New Mexico
-108.27,33.083,17.42802894,New Mexico
-108.266,34.349,19.12491006,New Mexico
-108.244,31.636,16.89169016,New Mexico
-108.24,32.905,17.17685979,New Mexico
-108.236,34.171,20.4723258,New Mexico
-108.232,35.436,0.0,New Mexico
-108.214,31.458,16.31924418,New Mexico
-108.21,32.728,16.82409769,New Mexico
-108.206,33.994,20.93139828,New Mexico
-108.201,35.259,0.0,New Mexico
-108.18,32.55,16.7180209,New Mexico
-108.175,33.817,20.8163071,New Mexico
-108.17,35.082,8.006243513,New Mexico
-108.151,32.372,16.50772796,New Mexico
-108.145,33.64,20.29778274,New Mexico
-108.14,34.905,15.69107744,New Mexico
-108.121,32.195,16.55450132,New Mexico
-108.116,33.462,19.98511849,New Mexico
-108.109,34.728,19.69466218,New Mexico
-108.092,32.017,16.28487467,New Mexico
-108.086,33.285,19.50153863,New Mexico
-108.079,34.55,22.11475662,New Mexico
-108.063,31.839,16.29753635,New Mexico
-108.056,33.107,19.13447675,New Mexico
-108.049,34.373,23.98864507,New Mexico
-108.042,35.637,0.0,New Mexico
-108.027,32.93,18.58276135,New Mexico
-108.019,34.196,25.22473539,New Mexico
-108.012,35.46,0.0,New Mexico
-107.997,32.752,18.05035436,New Mexico
-107.989,34.019,25.36475898,New Mexico
-107.981,35.283,7.948345652,New Mexico
-107.968,32.575,17.64323182,New Mexico
-107.96,33.841,24.8444434,New Mexico
-107.951,35.106,18.10655372,New Mexico
-107.939,32.397,17.01196615,New Mexico
-107.93,33.664,24.07196079,New Mexico
-107.921,34.929,23.10423324,New Mexico
-107.91,32.219,16.62681366,New Mexico
-107.901,33.487,23.13847806,New Mexico
-107.891,34.752,26.21422867,New Mexico
-107.881,32.041,16.49931233,New Mexico
-107.872,33.309,22.46699463,New Mexico
