Longitude,Latitude,Qreq,State
-75.892,36.299,0.0,North Carolina
-76.114,35.423,0.0,North Carolina
-76.443,36.387,0.0,North Carolina
-76.484,36.646,0.0,North Carolina
-76.659,35.51,0.0,North Carolina
-76.743,35.595,0.0,North Carolina
-76.752,36.96,0.0,North Carolina
-76.806,35.331,0.0,North Carolina
-76.816,36.697,0.0,North Carolina
-76.869,35.068,0.0,North Carolina
-76.881,36.435,0.0,North Carolina
-76.932,34.805,0.0,North Carolina
-76.944,36.172,0.0,North Carolina
-77.008,35.908,0.0,North Carolina
-77.071,35.645,0.0,North Carolina
-77.133,35.382,0.0,North Carolina
-77.149,36.748,0.0,North Carolina
-77.195,35.119,0.0,North Carolina
-77.212,36.485,0.0,North Carolina
-77.257,34.855,0.0,North Carolina
-77.275,36.222,0.0,North Carolina
-77.318,34.592,0.0,North Carolina
-77.337,35.958,0.0,North Carolina
-77.399,35.695,0.0,North Carolina
-77.46,35.432,0.0,North Carolina
-77.483,36.797,0.0,North Carolina
-77.521,35.168,0.0,North Carolina
-77.545,36.534,0.0,North Carolina
-77.582,34.904,0.0,North Carolina
-77.606,36.271,0.0,North Carolina
-77.642,34.641,0.0,North Carolina
-77.667,36.007,0.0,North Carolina
-77.702,34.377,0.0,North Carolina
-77.728,35.744,0.0,North Carolina
-77.788,35.48,0.0,North Carolina
-77.817,36.846,0.0,North Carolina
-77.848,35.217,0.0,North Carolina
-77.877,36.583,0.0,North Carolina
-77.908,34.953,0.0,North Carolina
-77.938,36.319,0.0,North Carolina
-77.966,34.034,15.44159537,North Carolina
-77.967,34.689,0.0,North Carolina
-77.989,36.943,0.0,North Carolina
-77.998,36.056,0.0,North Carolina
-78.025,34.425,8.541934521,North Carolina
-78.057,35.792,0.0,North Carolina
-78.117,35.528,0.0,North Carolina
-78.142,34.242,16.89329399,North Carolina
-78.151,36.894,0.0,North Carolina
-78.175,35.264,0.0,North Carolina
-78.181,34.066,23.28392307,North Carolina
-78.21,36.63,0.0,North Carolina
-78.212,36.974,0.0,North Carolina
-78.234,35.0,0.0,North Carolina
-78.27,36.367,0.0,North Carolina
-78.292,34.736,6.886381168,North Carolina
-78.32,34.449,16.40570477,North Carolina
-78.329,36.103,0.0,North Carolina
-78.358,34.273,23.88733881,North Carolina
-78.387,35.839,0.0,North Carolina
-78.396,34.097,31.84961105,North Carolina
-78.434,33.921,40.16567771,North Carolina
-78.445,35.575,0.0,North Carolina
-78.485,36.941,0.0,North Carolina
-78.498,34.657,14.52797603,North Carolina
-78.503,35.311,0.0,North Carolina
-78.536,34.48,22.09771959,North Carolina
-78.544,36.677,0.0,North Carolina
-78.56,35.047,0.0,North Carolina
-78.573,34.304,30.80597278,North Carolina
-78.602,36.413,0.0,North Carolina
-78.611,34.128,40.59613276,North Carolina
-78.648,33.952,51.06815549,North Carolina
-78.66,36.149,0.0,North Carolina
-78.677,34.863,11.59710217,North Carolina
-78.715,34.687,19.02681204,North Carolina
-78.717,35.885,0.0,North Carolina
-78.752,34.511,27.85530937,North Carolina
-78.774,35.621,0.0,North Carolina
-78.789,34.335,37.89123585,North Carolina
-78.821,36.986,0.0,North Carolina
-78.826,34.158,49.58445218,North Carolina
-78.831,35.357,0.0,North Carolina
-78.863,33.982,61.45279166,North Carolina
-78.878,36.722,0.0,North Carolina
-78.887,35.093,8.204173271,North Carolina
-78.894,34.894,15.20093334,North Carolina
-78.9,33.806,70.61186664,North Carolina
-78.931,34.718,23.4578681,North Carolina
-78.935,36.458,0.0,North Carolina
-78.968,34.541,33.21277883,North Carolina
-78.992,36.194,0.0,North Carolina
-78.999,33.779,75.58034476,North Carolina
-79.005,34.365,44.89014354,North Carolina
-79.042,34.189,58.02878666,North Carolina
-79.048,35.93,0.0,North Carolina
-79.078,34.012,68.84789104,North Carolina
-79.104,35.666,0.0,North Carolina
-79.112,34.924,18.50963781,North Carolina
-79.115,33.913,74.56264571,North Carolina
-79.139,33.798,80.14542252,North Carolina
-79.149,34.747,27.79548224,North Carolina
-79.159,35.402,0.0,North Carolina
-79.185,34.571,38.59869972,North Carolina
-79.212,36.767,0.0,North Carolina
-79.221,34.395,51.175518,North Carolina
-79.232,34.047,71.95967431,North Carolina
-79.255,33.932,78.1058355,North Carolina
-79.257,34.218,64.19881239,North Carolina
-79.268,36.503,0.0,North Carolina
-79.293,35.13,13.54856136,North Carolina
-79.324,36.239,0.0,North Carolina
-79.33,34.953,21.80801114,North Carolina
-79.366,34.777,31.67633951,North Carolina
-79.372,34.066,74.99339101,North Carolina
-79.379,35.975,0.0,North Carolina
-79.402,34.6,43.56696771,North Carolina
-79.434,35.71,0.0,North Carolina
-79.438,34.424,56.65894692,North Carolina
-79.473,34.248,68.03513222,North Carolina
-79.488,35.446,6.037319759,North Carolina
-79.488,34.2,70.86982923,North Carolina
-79.512,34.085,76.99988489,North Carolina
-79.512,35.159,15.9732209,North Carolina
-79.547,36.811,0.0,North Carolina
-79.548,34.982,24.80298277,North Carolina
-79.583,34.806,35.0463488,North Carolina
-79.591,36.979,0.0,North Carolina
-79.602,36.547,0.0,North Carolina
-79.619,34.63,46.7872629,North Carolina
-79.629,34.219,72.41324597,North Carolina
-79.654,34.453,60.21315324,North Carolina
-79.656,36.282,0.0,North Carolina
-79.71,36.018,0.0,North Carolina
-79.73,35.188,17.72326835,North Carolina
-79.764,35.754,0.0,North Carolina
-79.766,35.011,26.65713764,North Carolina
-79.801,34.835,37.18568969,North Carolina
-79.817,35.489,8.470575103,North Carolina
-79.836,34.658,49.29024139,North Carolina
-79.851,36.831,0.0,North Carolina
-79.871,34.482,62.03513899,North Carolina
-79.887,36.655,0.0,North Carolina
-79.914,35.392,12.3012534,North Carolina
-79.949,35.216,19.26770604,North Carolina
-79.984,35.039,27.69210946,North Carolina
-79.989,36.325,0.0,North Carolina
-80.019,34.863,38.32042247,North Carolina
-80.042,36.06,0.0,North Carolina
-80.053,34.686,50.50635621,North Carolina
-80.075,36.86,0.0,North Carolina
-80.087,34.51,62.70117329,North Carolina
-80.094,35.796,5.300431523,North Carolina
-80.11,36.683,0.0,North Carolina
-80.133,35.42,13.69647455,North Carolina
-80.145,36.507,0.0,North Carolina
-80.168,35.244,20.11067377,North Carolina
-80.18,36.331,0.0,North Carolina
-80.202,35.067,28.3596315,North Carolina
-80.236,34.891,38.47678806,North Carolina
-80.27,34.714,50.20822048,North Carolina
-80.298,36.887,6.746292733,North Carolina
-80.304,34.537,62.43897663,North Carolina
-80.319,35.625,10.64095905,North Carolina
-80.333,36.711,6.145089432,North Carolina
-80.353,35.448,15.03906529,North Carolina
-80.368,36.534,5.430770065,North Carolina
-80.387,35.272,20.73772515,North Carolina
-80.402,36.358,5.446681177,North Carolina
-80.421,35.095,28.25903149,North Carolina
-80.437,36.182,6.02267684,North Carolina
-80.454,34.918,38.20058946,North Carolina
-80.471,36.005,7.32078963,North Carolina
-80.488,34.742,49.56826767,North Carolina
-80.505,35.829,9.422201225,North Carolina
-80.521,34.565,61.79691258,North Carolina
-80.522,36.915,11.42506656,North Carolina
-80.539,35.652,12.29929518,North Carolina
-80.557,36.738,10.62901982,North Carolina
-80.573,35.475,16.27978431,North Carolina
-80.591,36.562,9.603504893,North Carolina
-80.606,35.299,21.55405811,North Carolina
-80.625,36.385,8.991663815,North Carolina
-80.639,35.122,28.36375609,North Carolina
-80.659,36.209,9.196963612,North Carolina
-80.673,34.945,37.40369958,North Carolina
-80.692,36.032,10.09928832,North Carolina
-80.706,34.769,48.74687465,North Carolina
-80.726,35.855,11.67882753,North Carolina
-80.732,34.478,67.43284128,North Carolina
-80.739,34.592,61.38930066,North Carolina
-80.746,36.941,15.18855427,North Carolina
-80.759,35.679,14.23680046,North Carolina
-80.78,36.765,14.64422737,North Carolina
-80.792,35.502,17.58145193,North Carolina
-80.814,36.588,13.83720223,North Carolina
-80.825,35.325,21.86212153,North Carolina
-80.847,36.412,13.03127478,North Carolina
-80.858,35.149,28.07053784,North Carolina
-80.873,34.495,66.86958471,North Carolina
-80.881,36.235,12.56386469,North Carolina
-80.891,34.972,36.77913392,North Carolina
-80.914,36.059,13.02307843,North Carolina
-80.924,34.795,48.01518117,North Carolina
-80.947,35.882,14.2082297,North Carolina
-80.956,34.618,61.00775818,North Carolina
-80.971,36.968,18.30564602,North Carolina
-80.98,35.705,15.87688278,North Carolina
-81.004,36.791,18.17224161,North Carolina
-81.012,35.529,18.5625006,North Carolina
-81.014,34.512,66.8132416,North Carolina
-81.037,36.615,17.56116334,North Carolina
-81.045,35.352,22.49534919,North Carolina
-81.07,36.438,16.91506058,North Carolina
-81.077,35.175,28.25060169,North Carolina
-81.103,36.261,16.44570974,North Carolina
-81.11,34.998,36.52103192,North Carolina
-81.135,36.085,16.45329574,North Carolina
-81.142,34.821,47.25924349,North Carolina
-81.168,35.908,16.77711513,North Carolina
-81.195,36.994,20.2699183,North Carolina
-81.2,35.731,18.05050923,North Carolina
-81.228,36.817,21.01913998,North Carolina
-81.233,35.555,20.24608159,North Carolina
-81.26,36.641,21.09286866,North Carolina
-81.265,35.378,23.56485669,North Carolina
-81.276,34.661,57.85858781,North Carolina
-81.293,36.464,20.79463627,North Carolina
-81.296,35.201,29.19112245,North Carolina
-81.325,36.287,20.62232555,North Carolina
-81.328,35.024,35.97362539,North Carolina
-81.357,36.111,20.07934429,North Carolina
-81.36,34.847,45.10881413,North Carolina
-81.389,35.934,20.05820692,North Carolina
-81.42,37.02,21.13023314,North Carolina
-81.421,35.757,20.88850505,North Carolina
-81.452,36.843,23.26587909,North Carolina
