Longitude,Latitude,Qreq,State
-94.208,36.994,15.45216582,Oklahoma
-94.211,36.726,18.27907282,Oklahoma
-94.214,36.459,20.63042162,Oklahoma
-94.217,36.191,22.54283205,Oklahoma
-94.219,35.923,24.27563275,Oklahoma
-94.222,35.655,25.21616655,Oklahoma
-94.225,35.387,25.17390217,Oklahoma
-94.228,35.119,24.13016373,Oklahoma
-94.23,34.851,22.04263529,Oklahoma
-94.233,34.582,19.24188284,Oklahoma
-94.236,34.314,15.8145242,Oklahoma
-94.238,34.046,11.80778952,Oklahoma
-94.241,33.777,7.461726666,Oklahoma
-94.244,33.509,0.0,Oklahoma
-94.547,37.264,0.0,Oklahoma
-94.549,36.996,6.932968458,Oklahoma
-94.55,36.728,9.527967899,Oklahoma
-94.552,36.46,11.77223508,Oklahoma
-94.553,36.192,14.08741461,Oklahoma
-94.555,35.925,16.07877233,Oklahoma
-94.556,35.657,17.45825981,Oklahoma
-94.558,35.389,18.18636529,Oklahoma
-94.56,35.121,18.02032813,Oklahoma
-94.561,34.852,16.57254117,Oklahoma
-94.563,34.584,14.23766269,Oklahoma
-94.564,34.316,11.11726692,Oklahoma
-94.566,34.047,7.425749293,Oklahoma
-94.567,33.779,0.0,Oklahoma
-94.569,33.51,0.0,Oklahoma
-94.57,33.242,0.0,Oklahoma
-94.888,37.264,0.0,Oklahoma
-94.889,36.997,0.0,Oklahoma
-94.889,36.729,0.0,Oklahoma
-94.89,36.461,5.61067716,Oklahoma
-94.89,36.193,8.01342172,Oklahoma
-94.89,35.925,10.318271,Oklahoma
-94.891,35.657,12.35512802,Oklahoma
-94.891,35.389,13.94463815,Oklahoma
-94.892,35.121,14.68824809,Oklahoma
-94.892,34.853,14.12642456,Oklahoma
-94.892,34.585,11.78222261,Oklahoma
-94.893,34.317,8.567168768,Oklahoma
-94.893,34.048,5.077389851,Oklahoma
-94.893,33.78,0.0,Oklahoma
-94.894,33.511,0.0,Oklahoma
-95.078,34.567,11.00744351,Oklahoma
-95.078,34.745,12.5985651,Oklahoma
-95.078,34.924,13.52533433,Oklahoma
-95.078,35.103,13.61958283,Oklahoma
-95.219,33.511,0.0,Oklahoma
-95.22,33.78,0.0,Oklahoma
