Longitude,Latitude,Qreq,State
-87.438,45.66,0.0,Wisconsin
-87.539,44.764,0.0,Wisconsin
-87.588,44.316,0.0,Wisconsin
-87.875,42.695,0.0,Wisconsin
-87.902,42.428,0.0,Wisconsin
-87.93,42.16,0.0,Wisconsin
-88.031,46.144,0.0,Wisconsin
-88.078,45.695,0.0,Wisconsin
-88.124,45.246,0.0,Wisconsin
-88.17,44.798,0.0,Wisconsin
-88.215,44.35,0.0,Wisconsin
-88.242,42.715,0.0,Wisconsin
-88.26,43.903,0.0,Wisconsin
-88.268,42.447,0.0,Wisconsin
-88.294,42.179,0.0,Wisconsin
-88.304,43.456,0.0,Wisconsin
-88.347,43.009,0.0,Wisconsin
-88.61,42.733,0.0,Wisconsin
-88.635,42.466,0.0,Wisconsin
-88.659,42.198,0.0,Wisconsin
-88.676,46.175,0.0,Wisconsin
-88.718,45.726,0.0,Wisconsin
-88.76,45.277,0.0,Wisconsin
-88.802,44.828,0.0,Wisconsin
-88.843,44.38,0.0,Wisconsin
-88.883,43.933,0.0,Wisconsin
-88.923,43.486,0.0,Wisconsin
-88.963,43.039,0.0,Wisconsin
-88.978,42.751,0.0,Wisconsin
-89.001,42.483,0.0,Wisconsin
-89.024,42.215,0.0,Wisconsin
-89.321,46.204,0.0,Wisconsin
-89.346,42.767,0.0,Wisconsin
-89.359,45.754,0.0,Wisconsin
-89.367,42.499,0.0,Wisconsin
-89.389,42.232,0.0,Wisconsin
-89.397,45.305,0.0,Wisconsin
-89.434,44.856,0.0,Wisconsin
-89.471,44.408,0.0,Wisconsin
-89.507,43.96,0.0,Wisconsin
-89.543,43.513,0.0,Wisconsin
-89.579,43.066,0.0,Wisconsin
-89.734,42.515,0.0,Wisconsin
-89.754,42.247,0.0,Wisconsin
-89.932,46.679,0.0,Wisconsin
-89.966,46.229,0.0,Wisconsin
-90.0,45.779,0.0,Wisconsin
-90.034,45.33,0.0,Wisconsin
-90.067,44.881,0.0,Wisconsin
-90.1,44.433,0.0,Wisconsin
-90.12,42.261,0.0,Wisconsin
-90.132,43.985,0.0,Wisconsin
-90.164,43.537,0.0,Wisconsin
-90.195,43.09,0.0,Wisconsin
-90.226,42.643,0.0,Wisconsin
-90.612,46.251,0.0,Wisconsin
-90.642,45.801,0.0,Wisconsin
-90.671,45.352,0.0,Wisconsin
-90.7,44.903,0.0,Wisconsin
-90.729,44.454,0.0,Wisconsin
-90.757,44.006,0.0,Wisconsin
-90.784,43.558,0.0,Wisconsin
-90.812,43.111,0.0,Wisconsin
-90.839,42.664,0.0,Wisconsin
-90.866,42.217,0.0,Wisconsin
-91.233,46.721,0.0,Wisconsin
-91.259,46.271,0.0,Wisconsin
-91.284,45.82,0.0,Wisconsin
-91.309,45.371,0.0,Wisconsin
-91.334,44.922,0.0,Wisconsin
-91.358,44.473,0.0,Wisconsin
-91.382,44.025,0.0,Wisconsin
-91.406,43.577,0.0,Wisconsin
-91.429,43.129,0.0,Wisconsin
-91.452,42.682,0.0,Wisconsin
-91.863,47.189,0.0,Wisconsin
-91.906,46.287,0.0,Wisconsin
-91.927,45.837,0.0,Wisconsin
-91.947,45.387,0.0,Wisconsin
-91.968,44.937,0.0,Wisconsin
-91.988,44.489,0.0,Wisconsin
-92.008,44.04,0.0,Wisconsin
-92.536,46.751,0.0,Wisconsin
-92.553,46.3,0.0,Wisconsin
-92.569,45.85,0.0,Wisconsin
-92.586,45.4,0.0,Wisconsin
-92.602,44.95,0.0,Wisconsin
-92.618,44.501,0.0,Wisconsin
-93.212,45.86,0.0,Wisconsin
-93.224,45.41,0.0,Wisconsin
-93.236,44.96,0.0,Wisconsin
