Longitude,Latitude,Qreq,State
-84.363,40.472,0.0,Indiana
-84.378,41.377,0.0,Indiana
-84.38,40.357,0.0,Indiana
-84.382,38.952,0.0,Indiana
-84.397,40.241,0.0,Indiana
-84.398,40.192,0.0,Indiana
-84.418,41.11,0.0,Indiana
-84.42,38.686,0.0,Indiana
-84.425,40.015,0.0,Indiana
-84.53,40.922,0.0,Indiana
-84.556,40.744,0.0,Indiana
-84.582,40.567,0.0,Indiana
-84.608,40.389,0.0,Indiana
-84.615,39.779,0.0,Indiana
-84.634,40.212,0.0,Indiana
-84.653,39.513,0.0,Indiana
-84.659,41.939,0.0,Indiana
-84.66,40.034,0.0,Indiana
-84.691,39.247,0.0,Indiana
-84.698,41.673,0.0,Indiana
-84.729,38.981,0.0,Indiana
-84.737,41.406,0.0,Indiana
-84.767,38.715,0.0,Indiana
-84.776,41.14,0.0,Indiana
-84.804,38.449,0.0,Indiana
-84.815,40.873,0.0,Indiana
-84.819,40.586,0.0,Indiana
-84.844,40.408,0.0,Indiana
-84.853,40.607,0.0,Indiana
-84.87,40.231,0.0,Indiana
-84.929,40.074,0.0,Indiana
-84.966,39.808,0.0,Indiana
-85.003,39.542,0.0,Indiana
-85.021,41.968,0.0,Indiana
-85.04,39.276,0.0,Indiana
-85.043,38.988,0.0,Indiana
-85.059,41.701,0.0,Indiana
-85.067,38.811,0.0,Indiana
-85.092,38.634,0.0,Indiana
-85.097,41.435,0.0,Indiana
-85.116,38.456,0.0,Indiana
-85.135,41.168,0.0,Indiana
-85.14,38.279,0.0,Indiana
-85.172,40.902,0.0,Indiana
-85.203,39.539,0.0,Indiana
-85.209,40.635,0.0,Indiana
-85.227,39.362,0.0,Indiana
-85.245,40.369,0.0,Indiana
-85.251,39.184,0.0,Indiana
-85.275,39.007,0.0,Indiana
-85.282,40.102,0.0,Indiana
-85.299,38.829,0.0,Indiana
-85.318,39.836,0.0,Indiana
-85.322,38.652,0.0,Indiana
-85.346,38.474,0.0,Indiana
-85.369,38.297,0.0,Indiana
-85.384,41.995,0.0,Indiana
-85.393,38.119,0.0,Indiana
-85.413,39.735,0.0,Indiana
-85.416,37.942,0.0,Indiana
-85.421,41.729,0.0,Indiana
-85.437,39.558,0.0,Indiana
-85.457,41.462,0.0,Indiana
-85.46,39.38,0.0,Indiana
-85.484,39.202,0.0,Indiana
-85.493,41.195,0.0,Indiana
-85.507,39.025,0.0,Indiana
-85.529,40.929,0.0,Indiana
-85.53,38.847,0.0,Indiana
-85.553,38.67,0.0,Indiana
-85.565,40.662,0.0,Indiana
-85.576,38.492,0.0,Indiana
-85.599,38.315,0.0,Indiana
-85.6,40.396,0.0,Indiana
-85.622,38.137,0.0,Indiana
-85.635,40.129,0.0,Indiana
-85.644,37.96,0.0,Indiana
-85.647,39.753,0.0,Indiana
-85.667,37.782,0.0,Indiana
-85.67,39.575,0.0,Indiana
-85.693,39.398,0.0,Indiana
-85.716,39.22,0.0,Indiana
-85.739,39.042,0.0,Indiana
-85.747,42.022,0.0,Indiana
-85.762,38.865,0.0,Indiana
-85.782,41.755,0.0,Indiana
-85.784,38.687,0.0,Indiana
-85.807,38.51,0.0,Indiana
-85.817,41.488,0.0,Indiana
-85.829,38.332,0.0,Indiana
-85.851,38.154,0.0,Indiana
-85.852,41.222,0.0,Indiana
-85.859,39.948,0.0,Indiana
-85.873,37.977,0.0,Indiana
-85.882,39.77,0.0,Indiana
-85.887,40.955,0.0,Indiana
-85.895,37.799,0.0,Indiana
-85.904,39.593,0.0,Indiana
-85.917,37.622,0.0,Indiana
-85.921,40.688,0.0,Indiana
-85.927,39.415,0.0,Indiana
-85.949,39.237,0.0,Indiana
-85.955,40.422,0.0,Indiana
-85.971,39.06,0.0,Indiana
-85.989,40.155,0.0,Indiana
-85.993,38.882,0.0,Indiana
-86.015,38.704,0.0,Indiana
-86.037,38.527,0.0,Indiana
-86.059,38.349,0.0,Indiana
-86.081,38.171,0.0,Indiana
-86.094,39.965,0.0,Indiana
-86.102,37.994,0.0,Indiana
-86.11,42.048,0.0,Indiana
-86.116,39.787,0.0,Indiana
-86.124,37.816,0.0,Indiana
-86.138,39.609,0.0,Indiana
-86.144,41.781,0.0,Indiana
-86.145,37.638,0.0,Indiana
-86.16,39.432,0.0,Indiana
-86.178,41.514,0.0,Indiana
-86.182,39.254,0.0,Indiana
-86.203,39.076,0.0,Indiana
-86.211,41.247,0.0,Indiana
-86.225,38.899,0.0,Indiana
-86.244,40.98,0.0,Indiana
-86.246,38.721,0.0,Indiana
-86.268,38.543,0.0,Indiana
-86.277,40.713,0.0,Indiana
-86.289,38.366,0.0,Indiana
-86.31,40.446,0.0,Indiana
-86.31,38.188,0.0,Indiana
-86.33,39.981,0.0,Indiana
