Longitude,Latitude,Qreq,State
-78.181,34.066,0.0,South Carolina
-78.358,34.273,0.0,South Carolina
-78.396,34.097,0.0,South Carolina
-78.434,33.921,0.0,South Carolina
-78.573,34.304,0.0,South Carolina
-78.611,34.128,0.0,South Carolina
-78.648,33.952,0.0,South Carolina
-78.752,34.511,0.0,South Carolina
-78.789,34.335,0.0,South Carolina
-78.826,34.158,0.0,South Carolina
-78.863,33.982,0.0,South Carolina
-78.9,33.806,0.0,South Carolina
-78.931,34.718,0.0,South Carolina
-78.968,34.541,0.0,South Carolina
-78.999,33.779,0.0,South Carolina
-79.005,34.365,0.0,South Carolina
-79.023,33.664,0.0,South Carolina
-79.042,34.189,0.0,South Carolina
-79.047,33.549,0.0,South Carolina
-79.078,34.012,0.0,South Carolina
-79.112,34.924,0.0,South Carolina
-79.115,33.913,0.0,South Carolina
-79.139,33.798,0.0,South Carolina
-79.149,34.747,0.0,South Carolina
-79.162,33.683,0.0,South Carolina
-79.185,34.571,0.0,South Carolina
-79.186,33.569,0.0,South Carolina
-79.209,33.454,0.0,South Carolina
-79.221,34.395,0.0,South Carolina
-79.232,34.047,0.0,South Carolina
-79.232,33.339,0.0,South Carolina
-79.255,33.932,0.0,South Carolina
-79.255,33.224,0.0,South Carolina
-79.257,34.218,0.0,South Carolina
-79.278,33.817,0.0,South Carolina
-79.302,33.703,0.0,South Carolina
-79.325,33.588,0.0,South Carolina
-79.33,34.953,0.0,South Carolina
-79.348,33.473,0.0,South Carolina
-79.366,34.777,0.0,South Carolina
-79.371,33.358,0.0,South Carolina
-79.372,34.066,0.0,South Carolina
-79.394,33.243,0.0,South Carolina
-79.395,33.951,0.0,South Carolina
-79.402,34.6,0.0,South Carolina
-79.417,33.128,0.0,South Carolina
-79.418,33.836,0.0,South Carolina
-79.438,34.424,0.0,South Carolina
-79.44,33.013,0.0,South Carolina
-79.441,33.722,0.0,South Carolina
-79.464,33.607,0.0,South Carolina
-79.473,34.248,0.0,South Carolina
-79.487,33.492,0.0,South Carolina
-79.488,34.2,0.0,South Carolina
-79.51,33.377,0.0,South Carolina
-79.512,34.085,0.0,South Carolina
-79.512,35.159,0.0,South Carolina
-79.534,33.32,0.0,South Carolina
-79.535,33.97,0.0,South Carolina
-79.548,34.982,0.0,South Carolina
-79.55,33.24,9.907528898,South Carolina
-79.557,33.855,0.0,South Carolina
-79.566,33.16,15.65901972,South Carolina
-79.58,33.741,0.0,South Carolina
-79.582,33.081,20.67892366,South Carolina
-79.583,34.806,0.0,South Carolina
-79.594,33.147,19.9279167,South Carolina
-79.597,33.001,24.72403564,South Carolina
-79.603,33.626,0.0,South Carolina
-79.604,33.094,23.79925179,South Carolina
-79.613,32.922,24.51155785,South Carolina
-79.614,33.041,26.12570301,South Carolina
-79.615,33.412,0.0,South Carolina
-79.619,34.63,0.0,South Carolina
-79.625,32.988,27.81487577,South Carolina
-79.626,33.511,0.0,South Carolina
-79.626,33.315,12.63631548,South Carolina
-79.629,34.219,0.0,South Carolina
-79.635,32.935,29.34150274,South Carolina
-79.637,33.262,18.18397122,South Carolina
-79.646,32.882,29.54618208,South Carolina
-79.647,33.209,23.19352866,South Carolina
-79.652,34.104,0.0,South Carolina
-79.654,34.453,0.0,South Carolina
-79.657,33.156,28.47227243,South Carolina
-79.668,33.103,32.55649031,South Carolina
-79.674,33.989,0.0,South Carolina
-79.675,33.069,35.87633876,South Carolina
-79.68,33.376,12.02955788,South Carolina
-79.682,33.034,39.09374545,South Carolina
-79.689,32.998,40.71285963,South Carolina
-79.69,33.216,27.87879716,South Carolina
-79.69,33.323,17.85881144,South Carolina
-79.695,33.505,0.0,South Carolina
-79.696,32.963,41.73857614,South Carolina
-79.697,33.181,33.452339,South Carolina
-79.697,33.874,0.0,South Carolina
-79.703,32.928,42.39523782,South Carolina
-79.704,33.146,36.37074399,South Carolina
-79.709,32.89,41.94979731,South Carolina
-79.711,33.11,40.82830403,South Carolina
-79.718,33.075,43.66631553,South Carolina
