Longitude,Latitude,Qreq,State
-81.26,36.641,0.0,Tennessee
-81.293,36.464,0.0,Tennessee
-81.325,36.287,0.0,Tennessee
-81.357,36.111,0.0,Tennessee
-81.452,36.843,0.0,Tennessee
-81.484,36.666,0.0,Tennessee
-81.516,36.489,0.0,Tennessee
-81.548,36.313,0.0,Tennessee
-81.579,36.136,0.0,Tennessee
-81.611,35.959,0.0,Tennessee
-81.644,37.045,0.0,Tennessee
-81.676,36.868,0.0,Tennessee
-81.707,36.691,0.0,Tennessee
-81.739,36.514,0.0,Tennessee
-81.77,36.338,0.0,Tennessee
-81.801,36.161,0.0,Tennessee
-81.832,35.984,0.0,Tennessee
-81.863,35.807,0.0,Tennessee
-81.9,36.893,0.0,Tennessee
-81.931,36.716,0.0,Tennessee
-81.955,36.615,0.0,Tennessee
-81.975,36.5,0.0,Tennessee
-81.995,36.385,0.0,Tennessee
-82.024,36.185,0.0,Tennessee
-82.054,36.008,0.0,Tennessee
-82.084,35.831,0.0,Tennessee
-82.1,36.631,0.0,Tennessee
-82.12,36.516,0.0,Tennessee
-82.125,36.917,0.0,Tennessee
-82.14,36.401,0.0,Tennessee
-82.155,36.74,0.0,Tennessee
-82.159,36.286,0.0,Tennessee
-82.179,36.171,0.0,Tennessee
-82.199,36.056,0.0,Tennessee
-82.245,36.646,0.0,Tennessee
-82.265,36.531,0.0,Tennessee
-82.285,36.416,0.0,Tennessee
-82.304,36.301,0.0,Tennessee
-82.323,36.186,0.0,Tennessee
-82.343,36.071,0.0,Tennessee
-82.349,36.941,0.0,Tennessee
-82.362,35.956,0.0,Tennessee
-82.379,36.764,0.0,Tennessee
-82.381,35.841,0.0,Tennessee
-82.391,36.662,0.0,Tennessee
-82.401,35.726,0.0,Tennessee
-82.41,36.547,0.0,Tennessee
-82.42,35.611,0.0,Tennessee
-82.43,36.432,0.0,Tennessee
-82.449,36.317,0.0,Tennessee
-82.468,36.202,0.0,Tennessee
-82.487,36.086,0.0,Tennessee
-82.506,35.971,0.0,Tennessee
-82.525,35.856,0.0,Tennessee
