Longitude,Latitude,B&I Strain(%),Ku Strain(%),State
-88.651,36.928,0.0,0.0,Missouri
-88.654,36.893,0.0,0.0,Missouri
-88.681,37.109,0.0,0.0,Missouri
-88.684,37.073,0.0,0.0,Missouri
-88.687,37.038,0.0,0.0,Missouri
-88.69,37.002,0.0,0.0,Missouri
-88.693,36.966,0.0,0.0,Missouri
-88.696,36.931,0.0,0.0,Missouri
-88.699,36.895,0.0,0.0,Missouri
-88.702,36.86,0.0,0.0,Missouri
-88.705,36.824,0.0,0.0,Missouri
-88.708,36.788,0.0,0.0,Missouri
-88.711,36.753,0.0,0.0,Missouri
-88.714,36.717,0.0,0.0,Missouri
-88.717,36.681,0.0,0.0,Missouri
-88.72,36.646,0.0,0.0,Missouri
-88.721,37.182,0.0,0.0,Missouri
-88.723,36.61,0.0,0.0,Missouri
-88.724,37.147,0.0,0.0,Missouri
-88.726,36.575,0.0,0.0,Missouri
-88.727,37.111,0.0,0.0,Missouri
-88.729,36.539,0.0,0.0,Missouri
-88.73,37.076,0.0,0.0,Missouri
-88.733,37.04,0.0,0.0,Missouri
-88.736,37.004,0.0,0.0,Missouri
-88.739,36.969,0.0,0.0,Missouri
-88.742,36.933,0.0,0.0,Missouri
-88.745,36.898,0.0,0.0,Missouri
-88.748,36.862,0.0,0.0,Missouri
-88.751,36.826,0.0,0.0,Missouri
-88.753,36.791,0.0,0.0,Missouri
-88.756,36.755,0.0,0.0,Missouri
-88.759,36.719,0.0,0.0,Missouri
-88.76,37.256,0.0,0.0,Missouri
-88.762,36.684,0.0,0.0,Missouri
-88.763,37.22,0.0,0.0,Missouri
-88.765,36.648,0.0,0.0,Missouri
-88.766,37.185,0.0,0.0,Missouri
-88.768,36.612,0.0,0.0,Missouri
-88.769,37.149,0.0,0.0,Missouri
-88.771,36.577,0.0,0.0,Missouri
-88.772,37.114,0.0,0.0,Missouri
-88.774,36.541,0.0,0.0,Missouri
-88.775,37.078,0.0,0.0,Missouri
-88.777,36.506,0.0,0.0,Missouri
-88.778,37.042,0.0,0.0,Missouri
-88.78,36.47,0.0,0.0,Missouri
-88.781,37.007,0.0,0.0,Missouri
-88.783,36.434,0.0,0.0,Missouri
-88.784,36.971,0.0,0.0,Missouri
-88.787,36.935,0.0,0.0,Missouri
-88.79,36.9,0.0,0.0,Missouri
-88.793,36.864,0.0,0.0,Missouri
-88.796,36.829,0.0,0.0,Missouri
-88.799,36.793,0.0,0.0,Missouri
-88.802,36.757,0.0,0.0,Missouri
-88.803,37.294,0.0,0.0,Missouri
-88.805,36.722,0.0,0.0,Missouri
-88.805,37.258,0.0,0.0,Missouri
-88.807,36.686,0.0,0.0,Missouri
-88.808,37.223,0.0,0.0,Missouri
-88.81,36.65,0.0,0.0,Missouri
-88.811,37.187,0.0,0.0,Missouri
-88.813,36.615,0.0,0.0,Missouri
-88.814,37.152,0.0,0.0,Missouri
-88.816,36.579,0.0,0.0,Missouri
-88.817,37.116,0.0,0.0,Missouri
-88.819,36.544,0.0,0.0,Missouri
-88.82,37.08,0.0,0.0,Missouri
-88.822,36.508,0.0,0.0,Missouri
-88.823,37.045,0.0,0.0,Missouri
-88.825,36.472,0.0,0.0,Missouri
-88.826,37.009,0.0,0.0,Missouri
-88.828,36.437,0.0,0.0,Missouri
-88.829,36.973,0.0,0.0,Missouri
-88.831,36.401,0.0,0.0,Missouri
-88.832,36.938,0.0,0.0,Missouri
-88.834,36.365,0.0,0.0,Missouri
-88.835,36.902,0.0,0.0,Missouri
-88.838,36.867,0.0,0.0,Missouri
-88.841,36.831,0.0,0.0,Missouri
-88.844,36.795,0.0,0.0,Missouri
-88.845,37.332,0.0,0.0,Missouri
-88.847,36.76,0.0,0.0,Missouri
-88.848,37.296,0.0,0.0,Missouri
-88.85,36.724,0.0,0.0,Missouri
-88.851,37.261,0.0,0.0,Missouri
-88.853,36.688,0.0,0.0,Missouri
-88.854,37.225,0.0,0.0,Missouri
-88.855,36.653,0.0,0.0,Missouri
-88.857,37.189,0.0,0.0,Missouri
-88.858,36.617,0.0,0.0,Missouri
-88.86,37.154,0.0,0.0,Missouri
-88.861,36.582,0.0,0.0,Missouri
-88.863,37.118,0.0,0.0,Missouri
-88.864,36.546,0.0,0.0,Missouri
-88.866,37.083,0.0,0.0,Missouri
-88.867,36.51,0.0,0.0,Missouri
-88.869,37.047,0.0,0.0,Missouri
-88.87,36.475,0.0,0.0,Missouri
-88.871,37.011,0.0,0.0,Missouri
-88.873,36.439,0.0,0.0,Missouri
-88.874,36.976,0.0,0.0,Missouri
-88.876,36.403,0.0,0.0,Missouri
-88.877,36.94,0.0,0.0,Missouri
-88.879,36.368,0.0,0.0,Missouri
-88.88,36.904,0.0,0.0,Missouri
-88.882,36.332,0.0,0.0,Missouri
