Longitude,Latitude,B&I Strain(%),Ku Strain(%),State
-96.412,45.574,0.0,0.0,North Dakota
-96.428,45.864,0.0,0.0,North Dakota
-96.438,46.314,0.0,0.0,North Dakota
-96.448,46.765,0.0,0.0,North Dakota
-96.458,47.217,0.0,0.0,North Dakota
-96.468,47.67,0.0,0.0,North Dakota
-97.071,45.856,0.0,0.0,North Dakota
-97.086,46.306,0.0,0.0,North Dakota
-97.1,46.757,0.0,0.0,North Dakota
-97.114,47.209,0.0,0.0,North Dakota
-97.129,47.661,0.0,0.0,North Dakota
-97.144,48.114,0.0,0.0,North Dakota
-97.159,48.568,0.0,0.0,North Dakota
-97.714,45.844,0.0,0.0,North Dakota
-97.733,46.295,0.0,0.0,North Dakota
-97.752,46.746,0.0,0.0,North Dakota
-97.771,47.197,0.0,0.0,North Dakota
-97.79,47.649,0.0,0.0,North Dakota
-97.809,48.102,0.0,0.0,North Dakota
-97.829,48.556,0.0,0.0,North Dakota
-98.357,45.83,0.0,0.0,North Dakota
-98.38,46.28,0.0,0.0,North Dakota
-98.403,46.731,0.0,0.0,North Dakota
-98.426,47.182,0.0,0.0,North Dakota
-98.45,47.635,0.0,0.0,North Dakota
-98.474,48.087,0.0,0.0,North Dakota
-98.499,48.541,0.0,0.0,North Dakota
-98.524,48.996,0.0,0.0,North Dakota
-98.999,45.812,0.0,0.0,North Dakota
-99.026,46.263,0.0,0.0,North Dakota
-99.054,46.713,0.0,0.0,North Dakota
-99.082,47.165,0.0,0.0,North Dakota
-99.11,47.617,0.0,0.0,North Dakota
-99.139,48.069,0.0,0.0,North Dakota
-99.168,48.523,0.0,0.0,North Dakota
-99.198,48.977,0.0,0.0,North Dakota
-99.641,45.792,0.0,0.0,North Dakota
-99.673,46.242,0.0,0.0,North Dakota
-99.705,46.692,0.0,0.0,North Dakota
-99.737,47.144,0.0,0.0,North Dakota
-99.77,47.595,0.0,0.0,North Dakota
-99.803,48.048,0.0,0.0,North Dakota
-99.837,48.501,0.0,0.0,North Dakota
-99.872,48.955,0.0,0.0,North Dakota
-100.283,45.768,0.0,0.0,North Dakota
-100.319,46.218,0.0,0.0,North Dakota
-100.355,46.669,0.0,0.0,North Dakota
-100.392,47.12,0.0,0.0,North Dakota
-100.429,47.571,0.0,0.0,North Dakota
-100.467,48.023,0.0,0.0,North Dakota
-100.506,48.477,0.0,0.0,North Dakota
-100.545,48.93,0.0,0.0,North Dakota
-100.924,45.742,0.0,0.0,North Dakota
-100.964,46.191,0.0,0.0,North Dakota
-101.005,46.642,0.0,0.0,North Dakota
-101.046,47.092,0.0,0.0,North Dakota
-101.088,47.544,0.0,0.0,North Dakota
-101.131,47.996,0.0,0.0,North Dakota
-101.174,48.449,0.0,0.0,North Dakota
-101.218,48.902,0.0,0.0,North Dakota
-101.564,45.712,0.0,0.0,North Dakota
-101.609,46.162,0.0,0.0,North Dakota
-101.654,46.612,0.0,0.0,North Dakota
-101.7,47.062,0.0,0.0,North Dakota
-101.746,47.513,0.0,0.0,North Dakota
-101.793,47.965,0.0,0.0,North Dakota
-101.841,48.418,0.0,0.0,North Dakota
-101.89,48.871,0.0,0.0,North Dakota
-102.204,45.68,0.0,0.0,North Dakota
-102.253,46.129,0.0,0.0,North Dakota
-102.303,46.578,0.0,0.0,North Dakota
-102.353,47.029,0.0,0.0,North Dakota
-102.404,47.48,0.0,0.0,North Dakota
-102.456,47.931,0.0,0.0,North Dakota
-102.508,48.383,0.0,0.0,North Dakota
-102.561,48.836,0.0,0.0,North Dakota
-102.843,45.644,0.0,0.0,North Dakota
-102.897,46.093,0.0,0.0,North Dakota
-102.951,46.542,0.0,0.0,North Dakota
-103.005,46.992,0.0,0.0,North Dakota
-103.061,47.443,0.0,0.0,North Dakota
-103.117,47.894,0.0,0.0,North Dakota
-103.174,48.346,0.0,0.0,North Dakota
-103.232,48.799,0.0,0.0,North Dakota
-103.482,45.606,0.0,0.0,North Dakota
-103.539,46.054,0.0,0.0,North Dakota
-103.598,46.503,0.0,0.0,North Dakota
-103.657,46.953,0.0,0.0,North Dakota
-103.717,47.403,0.0,0.0,North Dakota
-103.729,48.566,0.0,0.0,North Dakota
-103.766,48.838,0.0,0.0,North Dakota
-103.777,47.854,0.0,0.0,North Dakota
-104.091,48.269,0.0,0.0,North Dakota
-104.106,45.545,0.0,0.0,North Dakota
-104.129,48.54,0.0,0.0,North Dakota
-104.168,48.812,0.0,0.0,North Dakota
-104.182,46.012,0.0,0.0,North Dakota
-104.244,46.461,0.0,0.0,North Dakota
-104.308,46.91,0.0,0.0,North Dakota
-104.372,47.36,0.0,0.0,North Dakota
-104.437,47.81,0.0,0.0,North Dakota
-104.489,48.243,0.0,0.0,North Dakota
