Longitude,Latitude,B&I Strain(%),Ku Strain(%),State
-114.499,38.748,0.0,0.0,Utah
-114.488,37.506,0.260702931,0.0,Utah
-114.483,36.915,0.0,0.0,Utah
-114.475,39.167,0.0,0.0,Utah
-114.469,40.394,0.0,0.0,Utah
-114.468,41.42,0.0,0.0,Utah
-114.464,37.984,0.0,0.0,Utah
-114.462,40.828,0.0,0.0,Utah
-114.458,37.392,0.314150457,0.0,Utah
-114.453,36.801,0.0,0.0,Utah
-114.451,38.574,0.0,0.0,Utah
-114.445,39.053,0.0,0.0,Utah
-114.436,41.306,0.0,0.0,Utah
-114.434,37.87,0.0,0.0,Utah
-114.43,40.714,0.0,0.0,Utah
-114.428,37.279,0.310699286,0.0,Utah
-114.421,40.219,0.0,0.0,Utah
-114.404,38.399,0.0,0.0,Utah
-114.404,41.193,0.0,0.0,Utah
-114.403,37.757,0.0,0.0,Utah
-114.398,37.165,0.237145383,0.0,Utah
-114.389,41.866,0.0,0.0,Utah
-114.388,39.417,0.0,0.0,Utah
-114.373,37.643,0.0,0.0,Utah
-114.373,40.044,0.0,0.0,Utah
-114.372,41.079,0.0,0.0,Utah
-114.368,37.052,0.0,0.0,Utah
-114.358,38.224,0.0,0.0,Utah
-114.357,39.304,0.0,0.0,Utah
-114.346,41.557,0.0,0.0,Utah
-114.343,37.53,0.0,0.0,Utah
-114.341,40.965,0.0,0.0,Utah
-114.34,41.691,0.0,0.0,Utah
-114.338,36.938,0.0,0.0,Utah
-114.325,39.869,0.0,0.0,Utah
-114.318,38.959,0.0,0.0,Utah
-114.314,41.444,0.0,0.0,Utah
-114.313,37.416,0.0,0.0,Utah
-114.311,38.049,0.0,0.0,Utah
-114.309,40.852,0.0,0.0,Utah
-114.309,36.824,0.0,0.0,Utah
-114.287,37.894,0.0,0.0,Utah
-114.284,40.605,0.0,0.0,Utah
-114.283,37.302,0.0,0.0,Utah
-114.282,41.33,0.0,0.0,Utah
-114.279,36.711,0.0,0.0,Utah
-114.278,39.694,0.0,0.0,Utah
-114.271,38.785,0.0,0.0,Utah
-114.257,37.78,0.0,0.0,Utah
-114.253,37.189,0.0,0.0,Utah
-114.251,41.216,0.0,0.0,Utah
-114.236,40.43,0.0,0.0,Utah
-114.23,39.52,0.0,0.0,Utah
-114.227,37.667,0.0,0.0,Utah
-114.224,38.61,0.0,0.0,Utah
-114.224,37.075,0.0,0.0,Utah
-114.223,41.695,0.0,0.0,Utah
-114.22,41.102,0.0,0.0,Utah
-114.198,37.553,0.0,0.0,Utah
-114.194,36.961,0.0,0.0,Utah
-114.192,41.581,0.0,0.0,Utah
-114.189,40.255,0.0,0.0,Utah
-114.188,40.989,0.0,0.0,Utah
-114.183,39.345,0.0,0.0,Utah
-114.178,38.435,0.0,0.0,Utah
-114.168,37.439,0.0,0.0,Utah
-114.165,36.848,0.0,0.0,Utah
-114.16,41.467,0.0,0.0,Utah
-114.151,41.902,0.0,0.0,Utah
-114.141,40.08,0.0,0.0,Utah
-114.138,37.326,0.0,0.0,Utah
-114.136,39.17,0.0,0.0,Utah
-114.135,36.734,0.0,0.0,Utah
-114.132,38.26,0.0,0.0,Utah
-114.129,41.353,0.0,0.0,Utah
-114.111,37.803,0.0,0.0,Utah
-114.109,37.212,0.0,0.0,Utah
-114.098,40.815,0.0,0.0,Utah
-114.098,41.239,0.0,0.0,Utah
-114.094,39.905,0.0,0.0,Utah
-114.09,38.995,0.0,0.0,Utah
-114.086,38.085,0.0,0.0,Utah
-114.082,37.69,0.0,0.0,Utah
-114.079,37.098,0.0,0.0,Utah
-114.069,41.718,0.0,0.0,Utah
-114.067,41.126,0.0,0.0,Utah
-114.051,40.64,0.0,0.0,Utah
-114.438,42.041,0.0,0.0,Utah
-114.249,42.252,0.0,0.0,Utah
-114.2,42.077,0.0,0.0,Utah
-114.052,37.576,0.0,0.0,Utah
-114.05,36.985,0.0,0.0,Utah
-114.047,39.73,0.0,0.0,Utah
-114.043,38.82,0.0,0.0,Utah
-114.04,37.91,0.0,0.0,Utah
-114.038,41.604,0.0,0.0,Utah
-114.036,41.012,0.0,0.0,Utah
-114.022,37.462,0.0,0.0,Utah
-114.02,36.871,0.0,0.0,Utah
-114.01,42.288,0.0,0.0,Utah
-114.007,41.49,0.0,0.0,Utah
-114.003,40.465,0.0,0.0,Utah
-114.0,39.555,0.0,0.0,Utah
-113.997,38.645,0.0,0.0,Utah
-113.993,37.349,0.0,0.0,Utah
-113.991,36.757,0.0,0.0,Utah
-113.976,41.376,0.0,0.0,Utah
-113.965,37.827,0.0,0.0,Utah
-113.964,37.235,0.0,0.0,Utah
-113.961,42.112,0.0,0.0,Utah
-113.956,40.291,0.0,0.0,Utah
-113.954,39.38,0.0,0.0,Utah
-113.951,38.471,0.0,0.0,Utah
-113.947,36.65,0.0,0.0,Utah
-113.946,41.855,0.0,0.0,Utah
-113.945,41.262,0.0,0.0,Utah
-113.936,37.713,0.0,0.0,Utah
-113.934,37.121,0.0,0.0,Utah
-113.915,41.741,0.0,0.0,Utah
-113.914,41.149,0.0,0.0,Utah
-113.909,40.116,0.0,0.0,Utah
-113.907,39.205,0.0,0.0,Utah
-113.906,37.599,0.0,0.0,Utah
-113.905,38.296,0.0,0.0,Utah
-113.905,37.008,0.0,0.0,Utah
-113.884,41.627,0.0,0.0,Utah
-113.883,41.035,0.0,0.0,Utah
-113.877,37.485,0.0,0.0,Utah
