Longitude,Latitude,B&I Strain(%),Ku Strain(%),State
-89.22,36.027,2.220973137,2.228566566,Arkansas
-89.223,35.991,2.207956783,2.212794503,Arkansas
-89.226,35.956,2.190503921,2.196272395,Arkansas
-89.229,35.92,2.17047794,2.176583866,Arkansas
-89.231,35.884,2.151616716,2.15638717,Arkansas
-89.234,35.849,2.120556442,2.128741519,Arkansas
-89.237,35.813,2.091984759,2.103064252,Arkansas
-89.239,35.777,2.074896827,2.087423314,Arkansas
-89.242,35.742,2.043375588,2.031805102,Arkansas
-89.245,35.706,2.019350251,2.006055571,Arkansas
-89.257,36.136,2.267499359,2.288549546,Arkansas
-89.26,36.1,2.26276162,2.281176391,Arkansas
-89.262,36.065,2.248831834,2.261921616,Arkansas
-89.265,36.029,2.243025581,2.25370656,Arkansas
-89.268,35.993,2.223847392,2.230734911,Arkansas
-89.271,35.958,2.208779099,2.212447137,Arkansas
-89.273,35.922,2.196982446,2.200934188,Arkansas
-89.276,35.886,2.172221986,2.177331792,Arkansas
-89.279,35.851,2.144055879,2.14955295,Arkansas
-89.281,35.815,2.121091461,2.129150853,Arkansas
-89.284,35.779,2.090025198,2.101095914,Arkansas
-89.287,35.744,2.058882366,2.047197116,Arkansas
-89.289,35.708,2.038000694,2.025697083,Arkansas
-89.292,35.672,2.015428325,2.002360585,Arkansas
-89.299,36.174,2.27345811,2.306061571,Arkansas
-89.302,36.138,2.271368829,2.301105319,Arkansas
-89.304,36.102,2.273068129,2.297301566,Arkansas
-89.307,36.067,2.270282828,2.287848137,Arkansas
-89.31,36.031,2.251686122,2.264645231,Arkansas
-89.313,35.996,2.239192783,2.248088526,Arkansas
-89.315,35.96,2.226152483,2.232539713,Arkansas
-89.318,35.924,2.208684026,2.212623879,Arkansas
-89.319,35.6,1.97092356,1.949744076,Arkansas
-89.321,35.889,2.191200532,2.195438393,Arkansas
-89.323,35.853,2.165754175,2.170159917,Arkansas
-89.326,35.817,2.138150951,2.145089117,Arkansas
-89.329,35.782,2.112096146,2.12121822,Arkansas
-89.331,35.746,2.081788976,2.09344914,Arkansas
-89.334,35.71,2.052438012,2.041122159,Arkansas
-89.337,35.675,2.033674884,2.021360256,Arkansas
-89.339,35.639,2.009536182,1.994126261,Arkansas
-89.341,36.212,2.28178291,2.318867755,Arkansas
-89.344,36.176,2.284729802,2.319975589,Arkansas
-89.347,36.14,2.273414532,2.304673802,Arkansas
-89.349,36.105,2.275509513,2.305130475,Arkansas
-89.352,36.069,2.271840141,2.289626617,Arkansas
-89.355,36.033,2.26248415,2.27725495,Arkansas
-89.357,35.998,2.247042071,2.258229078,Arkansas
-89.36,35.962,2.234201333,2.240823218,Arkansas
-89.363,35.926,2.228191763,2.233763622,Arkansas
-89.365,35.891,2.204323325,2.207552629,Arkansas
-89.368,35.855,2.180138746,2.184840701,Arkansas
-89.37,35.819,2.159729164,2.164855184,Arkansas
-89.373,35.784,2.131403961,2.138544756,Arkansas
-89.376,35.748,2.098268261,2.108301509,Arkansas
-89.378,35.712,2.07651309,2.089181563,Arkansas
-89.381,35.677,2.049994024,2.038513849,Arkansas
-89.383,36.249,2.287825349,2.326543343,Arkansas
-89.384,35.641,2.025494188,2.012314065,Arkansas
-89.386,35.603,2.003278673,1.985503691,Arkansas
-89.386,36.214,2.29106795,2.356340418,Arkansas
-89.386,35.605,2.003692358,1.986543396,Arkansas
-89.389,36.178,2.287134556,2.323984911,Arkansas
-89.39,35.55,1.96716714,1.944084655,Arkansas
-89.391,36.142,2.280050281,2.314411419,Arkansas
-89.394,35.496,1.928304061,1.905318495,Arkansas
-89.394,36.107,2.274005904,2.303439874,Arkansas
-89.397,36.071,2.277445637,2.301923432,Arkansas
-89.399,36.035,2.272360334,2.288651993,Arkansas
-89.402,36.0,2.258487633,2.272252662,Arkansas
-89.405,35.964,2.243620877,2.253868099,Arkansas
-89.407,35.928,2.231202534,2.237835042,Arkansas
-89.41,35.893,2.215822157,2.220196198,Arkansas
-89.412,35.857,2.198985283,2.20285003,Arkansas
-89.415,35.821,2.17423564,2.179274979,Arkansas
-89.418,35.786,2.148910646,2.153905008,Arkansas
-89.42,35.75,2.117075426,2.125303853,Arkansas
-89.423,35.714,2.090986413,2.102527337,Arkansas
-89.423,36.323,2.295787853,2.361909985,Arkansas
-89.426,35.679,2.066013264,2.055166985,Arkansas
-89.426,36.287,2.29724743,2.363630006,Arkansas
-89.428,35.643,2.040438752,2.028782395,Arkansas
-89.428,36.251,2.291900407,2.357552628,Arkansas
-89.431,35.607,2.018874091,2.005007576,Arkansas
-89.431,36.216,2.292137695,2.357672787,Arkansas
-89.434,36.18,2.289352508,2.326744566,Arkansas
-89.436,36.144,2.278583013,2.312071301,Arkansas
-89.439,36.109,2.273262367,2.303589092,Arkansas
-89.441,36.073,2.276995795,2.30345284,Arkansas
-89.444,36.038,2.273166271,2.289577958,Arkansas
-89.447,36.002,2.264216218,2.280565756,Arkansas
-89.449,35.966,2.244781859,2.255200809,Arkansas
-89.452,35.931,2.237747072,2.244987283,Arkansas
-89.454,35.895,2.225672933,2.232335212,Arkansas
-89.456,35.553,1.993973508,1.974799479,Arkansas
-89.457,35.859,2.202833303,2.206293857,Arkansas
-89.46,35.824,2.185864176,2.190944365,Arkansas
-89.46,35.499,1.958699996,1.935772942,Arkansas
-89.462,35.788,2.160311543,2.165262547,Arkansas
-89.464,35.446,1.917692796,1.893779834,Arkansas
-89.465,35.752,2.130091288,2.137893338,Arkansas
-89.465,36.36,2.294491778,2.360449008,Arkansas
-89.467,35.717,2.106077849,2.097490236,Arkansas
-89.468,36.325,2.296299124,2.362728352,Arkansas
-89.47,35.681,2.084432691,2.096542658,Arkansas
-89.47,36.289,2.293469435,2.359619719,Arkansas
-89.473,35.645,2.05755729,2.045973182,Arkansas
