Longitude,Latitude,B&I Strain(%),Ku Strain(%),State
-124.42,42.403,3.473737722,3.513876172,California
-124.407,42.255,3.452711585,3.487688682,California
-124.405,42.369,3.47594546,3.517063258,California
-124.391,40.458,3.821778982,3.858887247,California
-124.39,42.334,3.48177185,3.525061776,California
-124.377,40.424,3.832356211,3.871657392,California
-124.375,42.3,3.482135658,3.525617776,California
-124.373,42.413,3.478805531,3.522161076,California
-124.362,40.39,3.840907645,3.883739044,California
-124.362,42.153,3.471783881,3.510855548,California
-124.36,40.503,3.81114479,3.845875603,California
-124.36,42.266,3.475232588,3.516343319,California
-124.359,42.379,3.483006268,3.543113851,California
-124.348,40.356,3.851862673,3.898988063,California
-124.348,42.119,3.45808729,3.494219451,California
-124.346,40.469,3.817877651,3.854175962,California
-124.346,42.232,3.479666474,3.522336525,California
-124.344,40.582,3.781491459,3.818697874,California
-124.344,42.345,3.483446804,3.543440166,California
-124.333,40.322,3.86535741,3.916683847,California
-124.332,40.435,3.824944577,3.86285813,California
-124.331,42.198,3.479571137,3.52203776,California
-124.33,40.548,3.795998202,3.829389869,California
-124.329,42.311,3.484021784,3.543978184,California
-124.327,42.424,3.445164287,3.482020768,California
-124.319,40.288,3.876281494,3.931847254,California
-124.317,40.401,3.832094232,3.872339946,California
-124.316,42.164,3.467412128,3.506862748,California
-124.315,40.514,3.808852696,3.84354891,California
-124.314,42.277,3.483323643,3.528457325,California
-124.313,40.627,3.768760947,3.808608106,California
-124.312,42.39,3.44751285,3.485276824,California
-124.305,40.254,3.884591191,3.972518303,California
-124.303,40.367,3.836788948,3.879407887,California
-124.301,40.48,3.815188538,3.851376232,California
-124.301,42.13,3.440924105,3.473450874,California
-124.299,40.593,3.781986817,3.820028407,California
-124.299,42.243,3.475085939,3.517437929,California
-124.297,42.356,3.443388021,3.480344059,California
-124.29,40.22,3.896788762,3.986572179,California
-124.288,40.333,3.841992952,3.887168209,California
-124.286,40.446,3.817504559,3.854857571,California
-124.286,42.096,3.413541705,3.439641127,California
-124.284,40.559,3.793942788,3.828796959,California
-124.284,42.209,3.459527526,3.498832221,California
-124.282,40.672,3.759850386,3.802292755,California
-124.282,42.322,3.444665976,3.482122699,California
-124.28,42.435,3.398023103,3.426215704,California
-124.274,40.299,3.849719239,3.89786295,California
-124.272,40.412,3.82326902,3.86201029,California
-124.272,42.062,3.38772669,3.411786284,California
-124.27,40.525,3.805271556,3.839738422,California
-124.27,42.175,3.437845864,3.471296885,California
-124.268,40.638,3.769292981,3.810123138,California
-124.267,42.288,3.445193634,3.482940554,California
-124.265,42.401,3.398638427,3.426887042,California
-124.259,40.265,3.855652424,3.906557007,California
-124.257,40.378,3.82523607,3.865182457,California
-124.255,40.491,3.812665853,3.84898732,California
-124.255,42.141,3.412592238,3.44066171,California
-124.253,40.604,3.782763172,3.821742357,California
-124.253,42.254,3.435710573,3.470507738,California
-124.251,42.367,3.393344611,3.423009214,California
-124.245,40.231,3.863051273,3.917334906,California
-124.243,40.344,3.828425178,3.869774725,California
-124.241,40.457,3.814280704,3.851550839,California
-124.24,42.107,3.385969908,3.412761819,California
-124.239,40.57,3.791660419,3.82849463,California
-124.238,42.22,3.416152695,3.447517671,California
-124.237,40.683,3.769476735,3.810723902,California
-124.236,42.333,3.394170326,3.423900801,California
-124.234,42.446,3.342174926,3.372833382,California
-124.231,40.197,3.864026685,3.919688594,California
-124.229,40.31,3.833882157,3.877020439,California
-124.226,40.423,3.817701623,3.855811713,California
-124.225,42.073,3.360346044,3.384909363,California
-124.224,40.536,3.802839128,3.837758245,California
-124.223,42.186,3.398229137,3.425288598,California
-124.222,40.649,3.778519072,3.819068665,California
-124.221,42.299,3.395562278,3.425068409,California
-124.219,42.412,3.341186512,3.371894944,California
-124.216,40.163,3.856697804,3.911711542,California
-124.215,41.812,3.322532028,3.326717821,California
-124.214,40.276,3.83812014,3.884297327,California
-124.212,40.389,3.821285996,3.860526866,California
-124.211,42.039,3.338627762,3.358171192,California
-124.21,40.502,3.812038179,3.849444222,California
-124.208,40.615,3.789457696,3.828084422,California
-124.208,42.152,3.373073005,3.403609552,California
-124.206,40.727,3.767942768,3.809377529,California
-124.206,42.265,3.385612049,3.417146524,California
-124.204,42.378,3.335625453,3.365732418,California
-124.2,41.778,3.3273922,3.331787191,California
-124.2,40.242,3.839475901,3.88821917,California
-124.198,41.891,3.3092975,3.316053736,California
-124.198,40.355,3.819392746,3.859412328,California
-124.196,40.468,3.812851071,3.850549477,California
-124.196,42.004,3.321871626,3.336322465,California
-124.194,42.118,3.351157632,3.377721844,California
-124.193,40.581,3.794182325,3.831971164,California
-124.191,40.693,3.777731161,3.818579467,California
-124.191,42.231,3.366104138,3.399900198,California
-124.189,42.344,3.3351031,3.365455259,California
-124.186,40.208,3.841461797,3.892336768,California
-124.183,41.857,3.305747051,3.311096649,California
-124.183,40.321,3.823795467,3.865322467,California
-124.181,41.97,3.307687135,3.318804305,California
-124.181,40.434,3.812954362,3.850843486,California
-124.179,40.546,3.802044707,3.838350895,California
-124.179,42.083,3.32862684,3.35007695,California
-124.177,40.659,3.78507066,3.824869351,California
-124.177,42.197,3.348136832,3.377720794,California
-124.175,40.772,3.76638121,3.80761685,California
-124.174,42.31,3.335373897,3.366010219,California
-124.172,42.423,3.290581804,3.31443969,California
-124.171,40.174,3.839062153,3.890417933,California
-124.169,40.287,3.824187036,3.867575445,California
