Longitude,Latitude,B&I Strain(%),Ku Strain(%),State
-78.181,34.066,0.0,0.0,South Carolina
-78.358,34.273,0.0,0.0,South Carolina
-78.396,34.097,0.0,0.0,South Carolina
-78.434,33.921,0.0,0.0,South Carolina
-78.573,34.304,0.0,0.0,South Carolina
-78.611,34.128,0.0,0.0,South Carolina
-78.648,33.952,0.0,0.0,South Carolina
-78.752,34.511,0.0,0.0,South Carolina
-78.789,34.335,0.0,0.0,South Carolina
-78.826,34.158,0.0,0.0,South Carolina
-78.863,33.982,0.0,0.0,South Carolina
-78.9,33.806,0.0,0.0,South Carolina
-78.931,34.718,0.0,0.0,South Carolina
-78.968,34.541,0.0,0.0,South Carolina
-78.999,33.779,0.0,0.0,South Carolina
-79.005,34.365,0.0,0.0,South Carolina
-79.023,33.664,0.0,0.0,South Carolina
-79.042,34.189,0.0,0.0,South Carolina
-79.047,33.549,0.0,0.0,South Carolina
-79.078,34.012,0.0,0.0,South Carolina
-79.112,34.924,0.0,0.0,South Carolina
-79.115,33.913,0.0,0.0,South Carolina
-79.139,33.798,0.0,0.0,South Carolina
-79.149,34.747,0.0,0.0,South Carolina
-79.162,33.683,0.0,0.0,South Carolina
-79.185,34.571,0.0,0.0,South Carolina
-79.186,33.569,0.0,0.0,South Carolina
-79.209,33.454,0.0,0.0,South Carolina
-79.221,34.395,0.0,0.0,South Carolina
-79.232,34.047,0.0,0.0,South Carolina
-79.232,33.339,0.0,0.0,South Carolina
-79.255,33.932,0.0,0.0,South Carolina
-79.255,33.224,0.0,0.0,South Carolina
-79.257,34.218,0.0,0.0,South Carolina
-79.278,33.817,0.0,0.0,South Carolina
-79.302,33.703,0.0,0.0,South Carolina
-79.325,33.588,0.0,0.0,South Carolina
-79.33,34.953,0.0,0.0,South Carolina
-79.348,33.473,0.0,0.0,South Carolina
-79.366,34.777,0.0,0.0,South Carolina
-79.371,33.358,0.0,0.0,South Carolina
-79.372,34.066,0.0,0.0,South Carolina
-79.394,33.243,0.385702561,0.0,South Carolina
-79.395,33.951,0.0,0.0,South Carolina
-79.402,34.6,0.0,0.0,South Carolina
-79.417,33.128,0.644607785,0.0,South Carolina
-79.418,33.836,0.0,0.0,South Carolina
-79.438,34.424,0.0,0.0,South Carolina
-79.44,33.013,0.774392461,0.0,South Carolina
-79.441,33.722,0.0,0.0,South Carolina
-79.464,33.607,0.0,0.0,South Carolina
-79.473,34.248,0.0,0.0,South Carolina
-79.487,33.492,0.0,0.0,South Carolina
-79.488,34.2,0.0,0.0,South Carolina
-79.51,33.377,0.671812151,0.0,South Carolina
-79.512,34.085,0.0,0.0,South Carolina
-79.512,35.159,0.0,0.0,South Carolina
-79.534,33.32,1.081459397,0.350436036,South Carolina
-79.535,33.97,0.0,0.0,South Carolina
-79.548,34.982,0.0,0.0,South Carolina
-79.55,33.24,1.334540096,0.945713009,South Carolina
