Longitude,Latitude,B&I Strain(%),Ku Strain(%),State
-111.503,44.628,2.122779257,2.114554088,Wyoming
-111.497,44.811,2.132961506,2.119607114,Wyoming
-111.494,44.592,2.092596779,2.076425852,Wyoming
-111.488,42.561,1.853631051,1.755023796,Wyoming
-111.488,44.776,2.143580263,2.13571362,Wyoming
-111.485,44.324,1.337298077,0.462911246,Wyoming
-111.48,41.607,1.39185998,0.541974368,Wyoming
-111.479,44.74,2.147676166,2.14408834,Wyoming
-111.476,43.615,0.554359694,0.0,Wyoming
-111.474,42.972,1.768217344,1.551805435,Wyoming
-111.472,40.9,0.380628693,0.0,Wyoming
-111.47,44.705,2.154128763,2.154981302,Wyoming
-111.469,42.482,1.872265409,1.789822268,Wyoming
-111.463,41.993,1.716044399,1.514409294,Wyoming
-111.462,44.669,2.145353859,2.142387542,Wyoming
-111.46,44.978,2.018118359,1.952822863,Wyoming
-111.457,44.209,0.585900402,0.0,Wyoming
-111.455,42.893,1.805962903,1.61885848,Wyoming
-111.453,44.634,2.124336563,2.116349975,Wyoming
-111.453,41.492,1.117951877,0.0,Wyoming
-111.45,42.403,1.85994314,1.775840449,Wyoming
-111.449,43.5,1.076818008,0.0,Wyoming
-111.447,44.925,2.050934866,2.01642072,Wyoming
-111.447,44.817,2.132069283,2.119556348,Wyoming
-111.445,41.913,1.70720401,1.492786237,Wyoming
-111.444,44.599,2.09543159,2.079041315,Wyoming
-111.444,45.189,1.810858613,1.649349708,Wyoming
-111.438,44.782,2.142502981,2.13460595,Wyoming
-111.436,42.813,1.814324897,1.634660165,Wyoming
-111.434,44.871,2.089027077,2.064224266,Wyoming
-111.431,42.324,1.851462641,1.768278024,Wyoming
-111.43,44.544,2.008865868,1.965820157,Wyoming
-111.429,44.746,2.14393164,2.138900573,Wyoming
-111.428,44.094,0.0,0.0,Wyoming
-111.426,41.378,0.848398383,0.0,Wyoming
-111.426,41.834,1.66699175,1.407899889,Wyoming
-111.424,45.109,1.876583722,1.797780316,Wyoming
-111.421,43.385,1.447171892,0.624455349,Wyoming
-111.42,44.711,2.151649286,2.151050569,Wyoming
-111.417,42.734,1.846464307,1.691269554,Wyoming
-111.412,42.244,1.841990211,1.757058525,Wyoming
-111.412,44.676,2.147224063,2.144806711,Wyoming
-111.404,45.029,1.952691894,1.86228668,Wyoming
-111.403,43.145,1.7507795,1.514650213,Wyoming
-111.403,44.64,2.124928819,2.116652005,Wyoming
-111.4,43.979,0.0,0.0,Wyoming
-111.399,44.537,1.989493914,1.927392553,Wyoming
-111.399,41.264,0.519194125,0.0,Wyoming
-111.398,42.655,1.872527828,1.782999118,Wyoming
-111.394,44.605,2.101612226,2.085619067,Wyoming
-111.393,42.165,1.831165178,1.742828436,Wyoming
-111.393,43.271,1.644891411,1.246284883,Wyoming
-111.388,44.788,2.144024422,2.136237732,Wyoming
-111.387,45.284,1.671952315,1.383777457,Wyoming
-111.384,43.065,1.827117813,1.657373956,Wyoming
-111.379,44.752,2.138249594,2.130873733,Wyoming
-111.379,42.575,1.915796345,1.816185173,Wyoming
-111.374,42.086,1.814895585,1.683448121,Wyoming
-111.373,43.864,0.0,0.0,Wyoming
-111.372,44.934,2.03681394,1.999308161,Wyoming
-111.372,41.149,0.259671344,0.0,Wyoming
-111.371,44.717,2.146218467,2.141566915,Wyoming
-111.368,44.606,2.091938333,2.07376894,Wyoming
-111.365,42.986,1.87210918,1.778274967,Wyoming
-111.362,44.682,2.13835184,2.131282171,Wyoming
-111.359,42.37,1.895709674,1.807248549,Wyoming
-111.359,44.881,2.082118891,2.054014288,Wyoming
-111.359,45.169,1.807023162,1.638885542,Wyoming
-111.356,42.006,1.786514744,1.636114831,Wyoming
-111.355,44.553,2.01639677,1.978311741,Wyoming
-111.353,44.646,2.112912923,2.101085396,Wyoming
-111.352,44.459,1.818875686,1.680602858,Wyoming
-111.352,41.741,1.551519515,1.057599638,Wyoming
-111.346,42.317,1.884833554,1.817552432,Wyoming
-111.346,42.906,1.887012383,1.802826371,Wyoming
-111.346,44.828,2.115330676,2.09744415,Wyoming
-111.346,41.035,0.0,0.0,Wyoming
-111.345,43.75,0.424260048,0.0,Wyoming
-111.337,41.927,1.742001933,1.565894639,Wyoming
-111.334,42.264,1.872451143,1.80601722,Wyoming
-111.333,44.774,2.128827337,2.116159714,Wyoming
-111.327,42.827,1.888151769,1.804011565,Wyoming
-111.325,41.627,1.278702176,0.276139866,Wyoming
-111.324,44.344,1.50750492,0.927772864,Wyoming
-111.321,42.211,1.861613006,1.79401812,Wyoming
-111.32,44.721,2.136509617,2.126367054,Wyoming
-111.319,40.92,0.0,0.0,Wyoming
-111.318,41.848,1.683039793,1.443166025,Wyoming
-111.317,43.635,0.889631963,0.0,Wyoming
-111.311,45.123,1.840190049,1.691923748,Wyoming
-111.309,42.159,1.851010775,1.776933314,Wyoming
-111.308,42.748,1.91438551,1.811766926,Wyoming
-111.307,44.668,2.111548625,2.09696322,Wyoming
-111.299,42.432,1.927725737,1.841077071,Wyoming
-111.298,41.512,0.912181471,0.0,Wyoming
-111.296,42.106,1.843888901,1.764928649,Wyoming
-111.296,44.229,1.012523533,0.0,Wyoming
-111.294,44.615,2.073765348,2.049834345,Wyoming
-111.294,43.158,1.841434061,1.678424335,Wyoming
-111.292,45.043,1.912586354,1.812621299,Wyoming
-111.292,40.806,0.0,0.0,Wyoming
-111.29,43.52,1.323527657,0.321797614,Wyoming
-111.289,42.668,1.948211664,1.854450059,Wyoming
-111.287,44.551,2.000886627,1.934921269,Wyoming
-111.287,42.379,1.917516766,1.849373219,Wyoming
-111.284,42.053,1.813739062,1.684843534,Wyoming
-111.284,44.89,2.061558421,2.027497791,Wyoming
-111.275,43.079,1.898610317,1.816670839,Wyoming
-111.272,44.963,1.992318106,1.91018472,Wyoming
-111.272,41.398,0.532130487,0.0,Wyoming
-111.271,42.589,1.966697695,1.899351203,Wyoming
-111.271,44.837,2.094448183,2.067573719,Wyoming
-111.268,44.472,1.845600535,1.717759459,Wyoming
-111.268,44.114,0.516035377,0.0,Wyoming
-111.267,42.099,1.837436605,1.755154026,Wyoming
-111.266,40.692,0.0,0.0,Wyoming
-111.262,43.405,1.574146122,1.02804657,Wyoming
-111.258,44.784,2.11649099,2.095884702,Wyoming
-111.256,43.0,1.963643754,1.891803975,Wyoming
-111.252,42.51,1.951384737,1.884926755,Wyoming
-111.248,42.02,1.796487836,1.654899113,Wyoming
-111.245,44.731,2.118390523,2.10005243,Wyoming
-111.245,41.283,0.28713803,0.0,Wyoming
-111.24,43.999,0.354418894,0.0,Wyoming
-111.237,42.92,1.978557174,1.911067063,Wyoming
-111.235,43.29,1.743712338,1.502591929,Wyoming
-111.233,42.43,1.913369069,1.827072007,Wyoming
-111.232,44.677,2.102828419,2.079221549,Wyoming
-111.229,41.941,1.728468072,1.549865381,Wyoming
-111.224,45.304,1.617927695,1.227997482,Wyoming
-111.219,44.624,2.064277272,2.03436608,Wyoming
-111.218,42.841,1.967741159,1.898350302,Wyoming
-111.218,41.169,0.0,0.0,Wyoming
-111.214,42.351,1.870388226,1.803599699,Wyoming
-111.213,43.884,0.515465073,0.0,Wyoming
-111.209,44.899,2.043020781,2.005105309,Wyoming
-111.203,43.252,1.807196768,1.617976975,Wyoming
-111.199,42.761,1.989801189,1.910716574,Wyoming
-111.197,41.761,1.553976463,1.091728234,Wyoming
-111.196,42.272,1.81481421,1.679941313,Wyoming
-111.196,44.846,2.075334089,2.042602564,Wyoming
-111.195,45.189,1.749637416,1.538801864,Wyoming
-111.192,41.055,0.0,0.0,Wyoming
-111.185,43.769,0.833013063,0.0,Wyoming
-111.184,43.172,1.880957552,1.791791608,Wyoming
-111.183,44.793,2.117092465,2.092826825,Wyoming
-111.181,42.682,2.016267262,1.955181538,Wyoming
-111.179,45.057,1.871989361,1.785220252,Wyoming
-111.177,42.192,1.805293639,1.669225088,Wyoming
-111.175,44.565,1.992948005,1.91915338,Wyoming
-111.17,44.74,2.114030984,2.090699342,Wyoming
-111.17,41.647,1.213920976,0.0,Wyoming
-111.166,40.94,0.0,0.0,Wyoming
-111.165,43.093,1.968404347,1.896694634,Wyoming
-111.162,44.364,1.633572908,1.273402718,Wyoming
-111.162,42.603,2.006058165,1.938735116,Wyoming
-111.16,44.977,1.952440136,1.858902055,Wyoming
-111.159,42.113,1.780409818,1.637277764,Wyoming
-111.158,43.655,1.229289624,0.0,Wyoming
-111.157,44.687,2.11210469,2.086393876,Wyoming
