Longitude,Latitude,B&I Strain(%),Ku Strain(%),State
-117.636,44.241,0.0,0.0,Idaho
-117.605,44.094,0.0,0.0,Idaho
-117.538,44.66,0.0,0.0,Idaho
-117.479,44.485,0.0,0.0,Idaho
-117.477,44.268,0.0,0.0,Idaho
-117.452,46.712,0.0,0.0,Idaho
-117.447,42.095,0.0,0.0,Idaho
-117.442,47.457,0.0,0.0,Idaho
-117.439,44.155,0.0,0.0,Idaho
-117.438,42.833,0.0,0.0,Idaho
-117.433,48.204,0.0,0.0,Idaho
-117.429,43.571,0.0,0.0,Idaho
-117.423,48.954,0.0,0.0,Idaho
-117.391,46.536,0.0,0.0,Idaho
-117.39,41.921,0.0,0.0,Idaho
-117.388,45.004,0.0,0.0,Idaho
-117.381,42.659,0.0,0.0,Idaho
-117.381,47.281,0.0,0.0,Idaho
-117.371,43.397,0.0,0.0,Idaho
-117.37,48.028,0.0,0.0,Idaho
-117.36,48.777,0.0,0.0,Idaho
-117.35,44.89,0.0,0.0,Idaho
-117.334,41.747,0.0,0.0,Idaho
-117.33,46.361,0.0,0.0,Idaho
-117.324,42.485,0.0,0.0,Idaho
-117.32,47.105,0.0,0.0,Idaho
-117.314,43.223,0.0,0.0,Idaho
-117.311,44.777,0.0,0.0,Idaho
-117.308,47.851,0.0,0.0,Idaho
-117.303,43.962,0.0,0.0,Idaho
-117.297,48.6,0.0,0.0,Idaho
-117.273,44.663,0.0,0.0,Idaho
-117.27,46.185,0.0,0.0,Idaho
-117.267,42.311,0.0,0.0,Idaho
-117.266,45.145,0.0,0.0,Idaho
-117.259,46.929,0.0,0.0,Idaho
-117.256,43.048,0.0,0.0,Idaho
-117.247,47.675,0.0,0.0,Idaho
-117.245,43.787,0.0,0.0,Idaho
-117.235,48.423,0.0,0.0,Idaho
-117.234,44.527,0.0,0.0,Idaho
-117.227,45.031,0.0,0.0,Idaho
-117.21,42.137,0.0,0.0,Idaho
-117.21,46.01,0.0,0.0,Idaho
-117.199,42.874,0.0,0.0,Idaho
-117.198,46.754,0.0,0.0,Idaho
