Longitude,Latitude,B&I Strain(%),Ku Strain(%),State
-95.13,40.05,0.0,0.0,Nebraska
-95.131,40.496,0.0,0.0,Nebraska
-95.238,39.673,0.0,0.0,Nebraska
-95.238,39.941,0.0,0.0,Nebraska
-95.59,39.672,0.0,0.0,Nebraska
-95.593,39.94,0.0,0.0,Nebraska
-95.595,40.208,0.0,0.0,Nebraska
-95.726,40.494,0.0,0.0,Nebraska
-95.731,40.941,0.0,0.0,Nebraska
-95.735,41.387,0.0,0.0,Nebraska
-95.74,41.834,0.0,0.0,Nebraska
-95.943,39.67,0.0,0.0,Nebraska
-95.947,39.938,0.0,0.0,Nebraska
-96.296,39.667,0.0,0.0,Nebraska
-96.313,40.043,0.0,0.0,Nebraska
-96.321,40.489,0.0,0.0,Nebraska
-96.329,40.936,0.0,0.0,Nebraska
-96.338,41.382,0.0,0.0,Nebraska
-96.346,41.829,0.0,0.0,Nebraska
-96.355,42.276,0.0,0.0,Nebraska
-96.364,42.723,0.0,0.0,Nebraska
-96.687,41.269,0.0,0.0,Nebraska
-96.693,41.537,0.0,0.0,Nebraska
-96.699,41.805,0.0,0.0,Nebraska
-96.706,42.074,0.0,0.0,Nebraska
-96.713,42.342,0.0,0.0,Nebraska
-96.719,42.61,0.0,0.0,Nebraska
-96.726,42.878,0.0,0.0,Nebraska
-96.733,43.147,0.0,0.0,Nebraska
-96.892,39.589,0.0,0.0,Nebraska
-96.904,40.035,0.0,0.0,Nebraska
-96.916,40.482,0.0,0.0,Nebraska
-96.928,40.928,0.0,0.0,Nebraska
-97.04,40.996,0.0,0.0,Nebraska
-97.047,41.264,0.0,0.0,Nebraska
-97.055,41.532,0.0,0.0,Nebraska
-97.063,41.8,0.0,0.0,Nebraska
-97.071,42.068,0.0,0.0,Nebraska
-97.079,42.336,0.0,0.0,Nebraska
-97.087,42.605,0.0,0.0,Nebraska
-97.095,42.873,0.0,0.0,Nebraska
-97.103,43.142,0.0,0.0,Nebraska
-97.399,40.99,0.0,0.0,Nebraska
-97.408,41.258,0.0,0.0,Nebraska
-97.417,41.526,0.0,0.0,Nebraska
-97.427,41.794,0.0,0.0,Nebraska
-97.436,42.062,0.0,0.0,Nebraska
-97.445,42.33,0.0,0.0,Nebraska
-97.455,42.598,0.0,0.0,Nebraska
-97.464,42.867,0.0,0.0,Nebraska
-97.474,43.135,0.0,0.0,Nebraska
-97.479,39.579,0.0,0.0,Nebraska
