Longitude,Latitude,B&I Strain(%),Ku Strain(%),State
-120.446,39.262,1.669561817,0.92109508,Nevada
-120.441,40.313,1.813372733,1.529454556,Nevada
-120.44,39.702,2.077358354,1.721204722,Nevada
-120.437,41.43,0.0,0.0,Nevada
-120.434,40.224,1.942721841,1.715711925,Nevada
-120.434,39.481,2.040513762,1.682645201,Nevada
-120.424,39.834,1.970390333,1.527139861,Nevada
-120.422,40.952,0.0,0.0,Nevada
-120.422,40.189,1.911001913,1.651982106,Nevada
-120.422,39.65,2.107644489,1.786819934,Nevada
-120.408,40.473,0.957944526,0.0,Nevada
-120.406,39.151,1.505136105,0.574373017,Nevada
-120.405,40.088,1.80212922,1.37767874,Nevada
-120.403,39.599,2.122524684,1.823118275,Nevada
-120.396,39.757,2.027717185,1.59941092,Nevada
-120.395,41.318,0.0,0.0,Nevada
-120.394,39.995,1.809478968,1.258590865,Nevada
-120.389,40.233,1.903478196,1.658008065,Nevada
-120.387,40.341,1.603441513,1.014618965,Nevada
-120.385,40.158,1.889692617,1.607927526,Nevada
-120.384,39.547,2.122433169,1.825493839,Nevada
-120.382,42.164,0.0,0.0,Nevada
-120.381,40.84,0.0,0.0,Nevada
-120.377,40.01,1.801792601,1.256207338,Nevada
-120.376,40.199,1.932743529,1.69182137,Nevada
-120.368,39.679,2.090977459,1.726764997,Nevada
-120.367,40.361,1.474617817,0.697472523,Nevada
-120.366,39.495,2.14258844,1.863813407,Nevada
-120.366,39.039,1.325616831,0.329707871,Nevada
-120.364,40.164,1.909861717,1.642024299,Nevada
-120.358,39.348,1.993513721,1.576211156,Nevada
-120.354,40.275,1.743834651,1.392960006,Nevada
-120.354,41.206,0.0,0.0,Nevada
-120.35,41.766,0.246759661,0.0,Nevada
-120.349,39.933,1.844639685,1.374099756,Nevada
-120.347,39.444,2.112939842,1.816485933,Nevada
-120.341,42.052,0.0,0.0,Nevada
-120.34,40.728,0.258204121,0.0,Nevada
-120.335,39.613,2.141380208,1.828233825,Nevada
-120.33,40.208,1.903593177,1.651985222,Nevada
-120.33,39.271,1.89638982,1.457984255,Nevada
-120.329,39.392,2.086482493,1.758007312,Nevada
-120.327,41.573,0.0,0.0,Nevada
-120.326,38.927,1.150386574,0.0,Nevada
-120.322,41.688,0.321301625,0.0,Nevada
-120.321,39.855,1.903382976,1.446691043,Nevada
-120.318,40.174,1.939358301,1.693658372,Nevada
-120.316,39.561,2.184900063,1.902703197,Nevada
-120.313,41.094,0.0,0.0,Nevada
-120.305,40.139,1.931663879,1.664366812,Nevada
-120.299,40.616,0.435151564,0.0,Nevada
-120.299,41.94,0.0,0.0,Nevada
-120.298,39.51,2.20772111,1.952595504,Nevada
-120.298,40.12,1.92429143,1.644481636,Nevada
-120.293,39.778,2.024651085,1.605453653,Nevada
-120.286,38.815,0.991911011,0.0,Nevada
