Longitude,Latitude,B&I Strain(%),Ku Strain(%),State
-124.521,42.867,2.23426012,2.226994743,Oregon
-124.506,42.833,2.259415078,2.254535836,Oregon
-124.491,42.799,2.272708493,2.269632154,Oregon
-124.489,42.913,2.18294766,2.166708988,Oregon
-124.476,42.765,2.279032372,2.276618414,Oregon
-124.474,42.878,2.215591416,2.20634849,Oregon
-124.461,42.731,2.277715609,2.274065291,Oregon
-124.459,42.844,2.240436511,2.234255916,Oregon
-124.457,42.958,2.131513533,2.116966952,Oregon
-124.446,42.697,2.274701219,2.269297309,Oregon
-124.444,42.81,2.25457478,2.249403996,Oregon
-124.442,42.923,2.158504592,2.141267446,Oregon
-124.441,43.037,2.095123758,2.093929702,Oregon
-124.429,42.776,2.255483454,2.250049236,Oregon
-124.427,42.889,2.189420819,2.1747582,Oregon
-124.426,43.003,2.094138527,2.092954189,Oregon
-124.424,43.116,2.117437648,2.1148027,Oregon
-124.42,42.403,2.420932791,2.43310072,Oregon
-124.414,42.742,2.253104539,2.246505004,Oregon
-124.412,42.855,2.214664669,2.206095056,Oregon
-124.41,42.968,2.102465372,2.100385324,Oregon
-124.409,43.082,2.101197561,2.099241826,Oregon
-124.407,42.255,2.396728706,2.405001838,Oregon
-124.405,42.369,2.423371812,2.436510093,Oregon
-124.403,42.482,2.408068153,2.41945004,Oregon
-124.399,42.708,2.251713976,2.244178047,Oregon
-124.397,42.821,2.226889114,2.220096063,Oregon
-124.395,42.934,2.129037079,2.115433556,Oregon
-124.394,43.048,2.085343135,2.085014332,Oregon
-124.392,43.161,2.153323544,2.156553477,Oregon
-124.39,42.334,2.429825569,2.445097012,Oregon
-124.388,42.448,2.41785486,2.430514543,Oregon
-124.386,42.561,2.319916521,2.319423574,Oregon
-124.384,42.674,2.253200957,2.245050096,Oregon
-124.382,42.787,2.226751042,2.219469128,Oregon
-124.38,42.9,2.153385676,2.137810256,Oregon
-124.379,43.013,2.078704317,2.078781716,Oregon
-124.377,43.127,2.122245768,2.120592469,Oregon
-124.375,42.3,2.430230154,2.44569005,Oregon
-124.375,43.24,2.161691653,2.166989893,Oregon
-124.373,42.413,2.426455297,2.441916085,Oregon
-124.371,42.527,2.343482136,2.348654403,Oregon
-124.369,42.64,2.256917487,2.248645765,Oregon
-124.367,42.753,2.222801503,2.214140915,Oregon
-124.366,42.866,2.176494596,2.162322076,Oregon
-124.364,42.979,2.08073564,2.080545036,Oregon
-124.362,42.153,2.418846606,2.429904459,Oregon
-124.362,43.093,2.093605679,2.092406571,Oregon
-124.36,42.266,2.422591142,2.435725882,Oregon
-124.36,43.206,2.17564479,2.184512573,Oregon
-124.359,42.379,2.43110193,2.464367708,Oregon
-124.358,43.319,2.110462434,2.110542348,Oregon
-124.357,42.493,2.361512533,2.369254157,Oregon
-124.355,42.606,2.267067827,2.260081848,Oregon
-124.353,42.719,2.221707879,2.211952274,Oregon
-124.351,42.832,2.192260742,2.179475973,Oregon
-124.349,42.945,2.08986156,2.088914049,Oregon
-124.348,42.119,2.403680565,2.412028375,Oregon
-124.347,43.058,2.071909453,2.072539836,Oregon
-124.346,42.232,2.427511121,2.442168268,Oregon
-124.344,42.345,2.431598848,2.464718307,Oregon
-124.344,43.172,2.160701459,2.167008638,Oregon
-124.342,42.458,2.370978431,2.380724912,Oregon
-124.342,43.285,2.140522459,2.14145662,Oregon
-124.34,42.572,2.278547714,2.273993227,Oregon
-124.338,42.685,2.221129002,2.210650202,Oregon
-124.336,42.798,2.193170036,2.179804328,Oregon
-124.334,42.911,2.105116055,2.103476403,Oregon
-124.332,43.024,2.060449832,2.061898505,Oregon
-124.331,42.198,2.427416199,2.441856743,Oregon
-124.329,42.311,2.432239261,2.465293704,Oregon
-124.329,43.138,2.117342349,2.116485443,Oregon
-124.327,42.424,2.384506878,2.398197446,Oregon
-124.327,43.251,2.145645783,2.147329554,Oregon
-124.325,42.537,2.291843178,2.290144951,Oregon
-124.325,43.364,2.032497646,2.0407221,Oregon
-124.323,42.651,2.223005742,2.212389233,Oregon
-124.321,42.764,2.188512738,2.173906478,Oregon
-124.319,42.877,2.133941631,2.120879651,Oregon
-124.317,42.99,2.057478481,2.059036619,Oregon
-124.316,42.164,2.413955055,2.425550918,Oregon
-124.314,42.277,2.4314766,2.448668835,Oregon
-124.314,43.103,2.078095703,2.078207316,Oregon
-124.312,42.39,2.388206163,2.402219858,Oregon
-124.312,43.217,2.137233558,2.138626854,Oregon
-124.31,42.503,2.300005181,2.300101317,Oregon
-124.31,43.33,2.074343299,2.077976269,Oregon
-124.308,42.617,2.227954358,2.218138544,Oregon
-124.306,42.73,2.183245806,2.167411171,Oregon
-124.304,42.843,2.146530225,2.132638481,Oregon
-124.302,42.956,2.061114148,2.06221307,Oregon
-124.301,42.13,2.378117802,2.385384414,Oregon
-124.299,42.243,2.422366495,2.4368457,Oregon
-124.299,43.069,2.053019953,2.055141198,Oregon
-124.297,42.356,2.38171346,2.39564873,Oregon
-124.297,43.183,2.122502749,2.122999184,Oregon
-124.295,42.469,2.302935099,2.303995747,Oregon
-124.295,43.296,2.109159335,2.109563048,Oregon
-124.293,42.582,2.234884038,2.226199192,Oregon
-124.293,43.409,1.968332342,1.98382584,Oregon
-124.291,42.696,2.177774433,2.160589748,Oregon
-124.289,42.809,2.14736249,2.13325354,Oregon
-124.287,42.922,2.069227342,2.069461712,Oregon
-124.286,42.096,2.334950465,2.334011763,Oregon
-124.284,42.209,2.405163097,2.416886303,Oregon
-124.284,43.035,2.039554112,2.042390718,Oregon
-124.282,42.322,2.383747922,2.398365624,Oregon
-124.282,43.148,2.084823291,2.084972415,Oregon
-124.28,42.435,2.31092253,2.313261522,Oregon
-124.28,43.262,2.092038992,2.093387443,Oregon
-124.278,42.548,2.241660401,2.234388086,Oregon
-124.278,43.375,1.999793722,2.00904492,Oregon
-124.276,42.662,2.175729436,2.157974353,Oregon
-124.274,42.775,2.142063716,2.127478553,Oregon
-124.272,42.062,2.300016527,2.291663507,Oregon
-124.272,42.888,2.077866088,2.077735556,Oregon
-124.27,42.175,2.373183407,2.382060282,Oregon
-124.27,43.001,2.0336665,2.036559178,Oregon
-124.267,42.288,2.3845927,2.399616246,Oregon
-124.267,43.114,2.051207977,2.053502941,Oregon
-124.265,42.401,2.311610661,2.31428582,Oregon
-124.265,43.228,2.073102153,2.075252366,Oregon
-124.263,42.514,2.24419735,2.237664039,Oregon
-124.263,43.341,2.026016779,2.033365687,Oregon
-124.261,42.627,2.180046986,2.162460111,Oregon
-124.261,43.454,1.918740231,1.934799218,Oregon
-124.259,42.741,2.135956321,2.121097065,Oregon
-124.257,42.854,2.084842787,2.084279456,Oregon
-124.255,42.141,2.333385328,2.335519874,Oregon
-124.255,42.967,2.032944443,2.035453732,Oregon
-124.253,42.254,2.369668569,2.380750314,Oregon
-124.252,43.08,2.029154351,2.03231088,Oregon
-124.251,42.367,2.305765422,2.308389642,Oregon
-124.25,43.193,2.05477384,2.057800973,Oregon
-124.248,42.48,2.244439379,2.23835368,Oregon
-124.248,43.307,2.048411162,2.053648712,Oregon
-124.246,42.593,2.184997498,2.168127757,Oregon
-124.246,43.42,1.933763827,1.948427381,Oregon
-124.244,42.706,2.129983224,2.114855635,Oregon
-124.242,42.82,2.087995618,2.087000214,Oregon
-124.24,42.107,2.298022822,2.293115854,Oregon
-124.24,42.933,2.036262264,2.038094483,Oregon
-124.238,42.22,2.338856147,2.345834591,Oregon
-124.237,43.046,2.016056648,2.01916936,Oregon
-124.236,42.333,2.306691061,2.309752368,Oregon
-124.235,43.159,2.037809008,2.040850002,Oregon
-124.234,42.446,2.248983711,2.244103012,Oregon
-124.233,43.273,2.040623521,2.045638759,Oregon
-124.231,42.559,2.189077402,2.173135357,Oregon
-124.231,43.386,1.953181524,1.966255386,Oregon
-124.229,42.672,2.126119044,2.110683388,Oregon
-124.229,43.499,1.88678354,1.903376541,Oregon
-124.227,42.786,2.087853737,2.086360875,Oregon
-124.225,42.073,2.269684799,2.257518294,Oregon
-124.225,42.899,2.039606278,2.041112182,Oregon
-124.223,42.186,2.311432165,2.312055772,Oregon
