Longitude,Latitude,B&I Strain(%),Ku Strain(%),State
-89.22,36.027,5.416406934,3.784412074,Arkansas
-89.223,35.991,4.800529034,3.169590943,Arkansas
-89.226,35.956,4.133455674,2.670957985,Arkansas
-89.229,35.92,3.563382686,2.294448955,Arkansas
-89.231,35.884,3.131881538,1.973658454,Arkansas
-89.234,35.849,2.522684942,1.626343742,Arkansas
-89.237,35.813,2.11609939,1.385381168,Arkansas
-89.239,35.777,1.911399829,1.263879377,Arkansas
-89.242,35.742,1.59712966,1.055424369,Arkansas
-89.245,35.706,1.389532634,0.93199607,Arkansas
-89.257,36.136,7.266429011,6.543451364,Arkansas
-89.26,36.1,7.123406249,6.236083846,Arkansas
-89.262,36.065,6.600616137,5.325429848,Arkansas
-89.265,36.029,6.382794004,4.939706554,Arkansas
-89.268,35.993,5.567955172,3.884764504,Arkansas
-89.271,35.958,4.856571132,3.163620613,Arkansas
-89.273,35.922,4.369490474,2.799896733,Arkansas
-89.276,35.886,3.634130709,2.323190927,Arkansas
-89.279,35.851,2.964878981,1.890930382,Arkansas
-89.281,35.815,2.549651981,1.649127838,Arkansas
-89.284,35.779,2.099989125,1.376813911,Arkansas
-89.287,35.744,1.744460525,1.146150643,Arkansas
-89.289,35.708,1.551303007,1.02237628,Arkansas
-89.292,35.672,1.369138647,0.923104358,Arkansas
-89.299,36.174,7.416585127,7.188442579,Arkansas
-89.302,36.138,7.359575248,7.022134992,Arkansas
-89.304,36.102,7.456484987,6.891976708,Arkansas
-89.307,36.067,7.390611254,6.531995092,Arkansas
-89.31,36.031,6.715822167,5.470073585,Arkansas
-89.313,35.996,6.234937754,4.673079526,Arkansas
-89.315,35.96,5.689034905,3.974569976,Arkansas
-89.318,35.924,4.861073994,3.183535959,Arkansas
-89.319,35.6,1.137884731,0.77908705,Arkansas
-89.321,35.889,4.19439002,2.674941795,Arkansas
-89.323,35.853,3.476880032,2.210335986,Arkansas
-89.326,35.817,2.848408921,1.842235981,Arkansas
-89.329,35.782,2.41533421,1.567284772,Arkansas
-89.331,35.746,1.994212777,1.315766512,Arkansas
-89.334,35.71,1.68671682,1.112312503,Arkansas
-89.337,35.675,1.512829166,1.009384359,Arkansas
-89.339,35.639,1.340873909,0.901388777,Arkansas
-89.341,36.212,7.679654051,7.628701767,Arkansas
-89.344,36.176,7.774379535,7.664594416,Arkansas
-89.347,36.14,7.417083841,7.1394122,Arkansas
-89.349,36.105,7.510994397,7.168388828,Arkansas
-89.352,36.069,7.434437786,6.592510527,Arkansas
-89.355,36.033,7.123327612,6.068910247,Arkansas
-89.357,35.998,6.539460723,5.150304711,Arkansas
-89.36,35.962,6.04751585,4.341832728,Arkansas
-89.363,35.926,5.802237088,4.043448308,Arkansas
-89.365,35.891,4.662981809,3.009040738,Arkansas
-89.368,35.855,3.861188777,2.455762353,Arkansas
-89.37,35.819,3.335392058,2.13158878,Arkansas
-89.373,35.784,2.730239372,1.760365603,Arkansas
-89.376,35.748,2.222757643,1.443226844,Arkansas
-89.378,35.712,1.934017613,1.285566714,Arkansas
-89.381,35.677,1.671392643,1.10913915,Arkansas
-89.383,36.249,7.869929342,7.874845302,Arkansas
-89.384,35.641,1.445517061,0.968543502,Arkansas
-89.386,35.603,1.302205342,0.878715469,Arkansas
-89.386,36.214,7.973689159,8.713992299,Arkansas
-89.386,35.605,1.302881836,0.880286907,Arkansas
-89.389,36.178,7.850004585,7.79286096,Arkansas
-89.39,35.55,1.131667089,0.774553379,Arkansas
-89.391,36.142,7.630909695,7.489054887,Arkansas
-89.394,35.496,0.97926938,0.683474699,Arkansas
-89.394,36.107,7.444851997,7.097935544,Arkansas
-89.397,36.071,7.592641987,7.067258921,Arkansas
-89.399,36.035,7.463952273,6.562362591,Arkansas
-89.402,36.0,6.986033055,5.835587694,Arkansas
-89.405,35.964,6.419185503,4.95769057,Arkansas
-89.407,35.928,5.927507515,4.217895575,Arkansas
-89.41,35.893,5.21453309,3.469592921,Arkansas
-89.412,35.857,4.447870941,2.87444075,Arkansas
-89.415,35.821,3.707298805,2.373788471,Arkansas
-89.418,35.786,3.081501687,1.960108847,Arkansas
-89.42,35.75,2.491303237,1.611921779,Arkansas
-89.423,35.714,2.119383511,1.399483432,Arkansas
-89.423,36.323,8.107104244,8.856495651,Arkansas
-89.426,35.679,1.820774276,1.213363089,Arkansas
-89.426,36.287,8.147249514,8.900653124,Arkansas
-89.428,35.643,1.580492214,1.051562719,Arkansas
-89.428,36.251,7.999492096,8.745242047,Arkansas
-89.431,35.607,1.401444938,0.939601911,Arkansas
-89.431,36.216,8.007149913,8.748475687,Arkansas
-89.434,36.18,7.920945722,7.882354573,Arkansas
-89.436,36.144,7.584837766,7.403489972,Arkansas
