Longitude,Latitude,B&I Strain(%),Ku Strain(%),State
-124.42,42.403,26.18752889,26.63711674,California
-124.407,42.255,25.8357568,26.22798606,California
-124.405,42.369,26.22378082,26.68617378,California
-124.391,40.458,31.12351972,31.55385963,California
-124.39,42.334,26.31705122,26.80632195,California
-124.377,40.424,31.29970241,31.75537708,California
-124.375,42.3,26.32304689,26.81495968,California
-124.373,42.413,26.27827405,26.76931201,California
-124.362,40.39,31.44140793,31.94615254,California
-124.362,42.153,26.14781405,26.58656543,California
-124.36,40.503,30.94369697,31.33822127,California
-124.36,42.266,26.21261536,26.67618222,California
-124.359,42.379,26.34640799,27.08525778,California
-124.348,40.356,31.61522449,32.17654049,California
-124.348,42.119,25.92388305,26.32882369,California
-124.346,40.469,31.05819534,31.47814102,California
-124.346,42.232,26.28250782,26.76515078,California
-124.344,40.582,30.53295271,30.83854137,California
-124.344,42.345,26.35313318,27.08970147,California
-124.333,40.322,31.82616405,32.4419889,California
-124.332,40.435,31.17717224,31.61764155,California
-124.331,42.198,26.2796815,26.75946227,California
-124.33,40.548,30.70624672,31.0469416,California
-124.329,42.311,26.36244757,27.09741245,California
-124.327,42.424,25.73856426,26.16285725,California
-124.319,40.288,31.99898029,32.66273262,California
-124.317,40.401,31.29676501,31.76803655,California
-124.316,42.164,26.08508946,26.53306919,California
-124.315,40.514,30.90516306,31.29904882,California
-124.314,42.277,26.35051427,26.8648248,California
-124.313,40.627,30.37568472,30.63361791,California
-124.312,42.39,25.7797642,26.21602673,California
-124.305,40.254,32.12392424,33.24057289,California
-124.303,40.367,31.37451214,31.87984891,California
-124.301,40.48,31.01421015,31.43183601,California
-124.301,42.13,25.64257455,26.00834114,California
-124.299,40.593,30.54132282,30.86684196,California
-124.299,42.243,26.21862213,26.69983556,California
-124.297,42.356,25.71171835,26.14023489,California
-124.29,40.22,32.30762376,33.43506821,California
-124.288,40.333,31.46026344,32.0021938,California
-124.286,40.446,31.05485702,31.49300142,California
-124.286,42.096,25.16305056,25.44300156,California
-124.284,40.559,30.68250013,31.03750431,California
-124.284,42.209,25.96804198,26.41799835,California
-124.282,40.672,30.25064158,30.50372384,California
-124.282,42.322,25.73342854,26.16882519,California
-124.28,42.435,24.94105775,25.2477727,California
-124.274,40.299,31.58301468,32.16210439,California
-124.272,40.412,31.15155686,31.6070168,California
-124.272,42.062,24.75334167,24.95335057,California
-124.27,40.525,30.84482893,31.23445949,California
-124.27,42.175,25.6040526,25.98536115,California
-124.268,40.638,30.38002624,30.66629429,California
-124.267,42.288,25.74244946,26.18228393,California
-124.265,42.401,24.95046075,25.26125436,California
-124.259,40.265,31.67543357,32.29290139,California
-124.257,40.378,31.18501575,31.65801863,California
-124.255,40.491,30.97234832,31.39345904,California
-124.255,42.141,25.16022853,25.47495651,California
-124.253,40.604,30.54910036,30.90170977,California
-124.253,42.254,25.58316453,25.98625112,California
-124.251,42.367,24.88139844,25.19472588,California
-124.245,40.231,31.79059047,32.4584677,California
-124.243,40.344,31.23775728,31.73039799,California
-124.241,40.457,31.00165244,31.4381106,California
-124.24,42.107,24.74590772,24.98486366,California
-124.239,40.57,30.65448122,31.03275984,California
-124.238,42.22,25.23938159,25.60420047,California
-124.237,40.683,30.36998992,30.67982835,California
-124.236,42.333,24.89295652,25.21463698,California
-124.234,42.446,24.20614777,24.46668576,California
-124.231,40.197,31.80415488,32.49319864,California
-124.229,40.31,31.3277712,31.84461938,California
-124.226,40.423,31.0594778,31.5102679,California
-124.225,42.073,24.40038229,24.57504816,California
-124.224,40.536,30.80307183,31.20100711,California
-124.223,42.186,24.92609916,25.21901467,California
