Longitude,Latitude,B&I Strain(%),Ku Strain(%),State
-88.651,36.928,2.01646407,1.221134867,Missouri
-88.654,36.893,1.988631017,1.225356052,Missouri
-88.681,37.109,1.815625078,1.12583199,Missouri
-88.684,37.073,1.971361002,1.225688538,Missouri
-88.687,37.038,2.086063098,1.28372643,Missouri
-88.69,37.002,2.321192597,1.403286332,Missouri
-88.693,36.966,2.273545673,1.379344828,Missouri
-88.696,36.931,2.397712595,1.451918517,Missouri
-88.699,36.895,2.335103176,1.406644807,Missouri
-88.702,36.86,2.183002921,1.324097447,Missouri
-88.705,36.824,2.096448348,1.285468163,Missouri
-88.708,36.788,2.020878006,1.242966593,Missouri
-88.711,36.753,1.846293862,1.127934959,Missouri
-88.714,36.717,1.716256457,1.064408196,Missouri
-88.717,36.681,1.620381085,1.012788793,Missouri
-88.72,36.646,1.570941565,0.988050925,Missouri
-88.721,37.182,1.809467809,1.150147293,Missouri
-88.723,36.61,1.526351595,0.96693723,Missouri
-88.724,37.147,1.899995833,1.195795249,Missouri
-88.726,36.575,1.47848914,0.951044425,Missouri
-88.727,37.111,2.065997563,1.293271273,Missouri
-88.729,36.539,1.434647633,0.926140772,Missouri
-88.73,37.076,2.233963461,1.379324057,Missouri
-88.733,37.04,2.336357329,1.419785757,Missouri
-88.736,37.004,2.491700136,1.50471921,Missouri
-88.739,36.969,2.818865009,1.682458731,Missouri
-88.742,36.933,2.624387036,1.552376701,Missouri
-88.745,36.898,2.635591344,1.589623539,Missouri
-88.748,36.862,2.411419524,1.449314935,Missouri
-88.751,36.826,2.412554457,1.44688688,Missouri
-88.753,36.791,2.227718009,1.360084443,Missouri
-88.756,36.755,2.01269234,1.243268995,Missouri
-88.759,36.719,1.957268304,1.221415473,Missouri
-88.76,37.256,1.718821851,1.102212667,Missouri
-88.762,36.684,1.884470351,1.179648028,Missouri
-88.763,37.22,1.893293479,1.218542109,Missouri
-88.765,36.648,1.744177847,1.091890496,Missouri
-88.766,37.185,2.016033152,1.298741728,Missouri
-88.768,36.612,1.661732471,1.047658576,Missouri
-88.769,37.149,2.121043753,1.345071015,Missouri
-88.771,36.577,1.666612943,1.060235129,Missouri
-88.772,37.114,2.393781743,1.485147608,Missouri
-88.774,36.541,1.59676527,1.016979946,Missouri
-88.775,37.078,2.554532484,1.567616903,Missouri
-88.777,36.506,1.548690942,0.99366377,Missouri
-88.778,37.042,2.655235637,1.599600895,Missouri
-88.78,36.47,1.555921041,1.007705856,Missouri
-88.781,37.007,2.827048616,1.697957439,Missouri
-88.783,36.434,1.560260879,1.014626536,Missouri
-88.784,36.971,2.978115219,1.797146043,Missouri
-88.787,36.935,2.960671835,1.771415737,Missouri
-88.79,36.9,3.069727579,1.822914553,Missouri
-88.793,36.864,2.759891455,1.652995862,Missouri
-88.796,36.829,2.732482178,1.635936042,Missouri
-88.799,36.793,2.567830648,1.543211568,Missouri
-88.802,36.757,2.349932633,1.436756886,Missouri
-88.803,37.294,1.780452417,1.159389515,Missouri
-88.805,36.722,2.238445484,1.392325588,Missouri
-88.805,37.258,1.920702397,1.25318382,Missouri
-88.807,36.686,2.091999599,1.316160015,Missouri
-88.808,37.223,2.105586805,1.373177254,Missouri
-88.81,36.65,2.006019834,1.259466403,Missouri
-88.811,37.187,2.341127657,1.490220187,Missouri
-88.813,36.615,1.937484284,1.237831232,Missouri
-88.814,37.152,2.474587167,1.552520064,Missouri
-88.816,36.579,1.859852328,1.194307665,Missouri
-88.817,37.116,2.694594915,1.680213715,Missouri
-88.819,36.544,1.806681617,1.158725872,Missouri
-88.82,37.08,2.884461869,1.789751416,Missouri
-88.822,36.508,1.779706865,1.140980479,Missouri
-88.823,37.045,3.004097282,1.835001924,Missouri
-88.825,36.472,1.758282057,1.142308586,Missouri
-88.826,37.009,3.184954263,1.918345558,Missouri
-88.828,36.437,1.780643466,1.168111839,Missouri
-88.829,36.973,3.337275045,2.000207071,Missouri
-88.831,36.401,1.709725455,1.117944508,Missouri
-88.832,36.938,3.31117699,1.95972554,Missouri
-88.834,36.365,1.759612518,1.169787386,Missouri
-88.835,36.902,3.223661316,1.920875151,Missouri
-88.838,36.867,3.297966168,1.971830034,Missouri
-88.841,36.831,3.040823715,1.817993955,Missouri
-88.844,36.795,2.712117705,1.629969828,Missouri
-88.845,37.332,1.740047777,1.135808281,Missouri
-88.847,36.76,2.555279395,1.553026632,Missouri
-88.848,37.296,1.931653513,1.281961345,Missouri
-88.85,36.724,2.486296963,1.523198131,Missouri
-88.851,37.261,2.145837148,1.396161821,Missouri
-88.853,36.688,2.392025419,1.493744257,Missouri
-88.854,37.225,2.439205974,1.579251994,Missouri
-88.855,36.653,2.211902854,1.393519031,Missouri
-88.857,37.189,2.48628288,1.599502845,Missouri
-88.858,36.617,2.205965948,1.39864839,Missouri
-88.86,37.154,2.731179369,1.740045167,Missouri
-88.861,36.582,2.134179507,1.367618427,Missouri
-88.863,37.118,3.209257136,1.980806529,Missouri
-88.864,36.546,2.022557882,1.310792669,Missouri
-88.866,37.083,3.329369147,2.054729273,Missouri
-88.867,36.51,1.992077264,1.296699345,Missouri
-88.869,37.047,3.427790328,2.093179851,Missouri
-88.87,36.475,1.99197716,1.30921794,Missouri
-88.871,37.011,3.562318928,2.164102891,Missouri
-88.873,36.439,2.011762166,1.330630236,Missouri
-88.874,36.976,3.716899855,2.241627591,Missouri
-88.876,36.403,1.948309296,1.287372219,Missouri
-88.877,36.94,3.811981011,2.28725422,Missouri
-88.879,36.368,1.995286097,1.330395036,Missouri
-88.88,36.904,3.545233871,2.107351066,Missouri
-88.882,36.332,1.995840674,1.336519825,Missouri
-88.883,36.869,3.557346368,2.123852866,Missouri
-88.885,36.296,1.979809055,1.324567313,Missouri
-88.886,36.833,3.299615685,1.984217109,Missouri
-88.889,36.798,3.201454267,1.929502857,Missouri
-88.891,37.334,1.890169923,1.258325409,Missouri
-88.892,36.762,2.931778022,1.799947557,Missouri
-88.893,37.299,2.162161242,1.415033558,Missouri
-88.895,36.726,2.81673175,1.752471373,Missouri
-88.896,37.263,2.319022042,1.517385683,Missouri
-88.898,36.691,2.706723323,1.67114557,Missouri
-88.899,37.227,2.675285278,1.756221177,Missouri
-88.901,36.655,2.420214035,1.503751995,Missouri
-88.902,37.192,2.933590977,1.894029649,Missouri
-88.903,36.619,2.486588012,1.585318247,Missouri
-88.905,37.156,3.259590967,2.054859282,Missouri
-88.906,36.584,2.434424237,1.558092746,Missouri
-88.908,37.121,3.58864769,2.284434816,Missouri
-88.909,36.548,2.380778188,1.506910199,Missouri
-88.911,37.085,3.922890899,2.462564697,Missouri
-88.912,36.513,2.354981377,1.511836974,Missouri
-88.914,37.049,4.005313364,2.449435628,Missouri
-88.915,36.477,2.304207789,1.491953417,Missouri
-88.917,37.014,4.173479563,2.548023152,Missouri
-88.918,36.441,2.33339368,1.516305169,Missouri
-88.92,36.978,4.294715198,2.586302722,Missouri
-88.921,36.406,2.272543919,1.480748267,Missouri
-88.923,36.942,4.108817182,2.454261803,Missouri
-88.924,36.37,2.31427073,1.524348432,Missouri
-88.925,36.907,3.998077778,2.390764765,Missouri
-88.927,36.334,2.366632842,1.572087747,Missouri
-88.928,36.871,3.939434279,2.367161704,Missouri
-88.929,36.299,2.270852622,1.504802269,Missouri
-88.931,36.836,3.845874717,2.309097589,Missouri
-88.932,36.263,2.287669194,1.519966763,Missouri
-88.933,37.372,1.829201185,1.22789521,Missouri
-88.934,36.8,3.415830885,2.06942097,Missouri
-88.935,36.227,2.330863641,1.566162284,Missouri
-88.936,37.337,1.99097805,1.323048625,Missouri
-88.937,36.764,3.215143005,1.955728741,Missouri
-88.939,37.301,2.262480815,1.484072687,Missouri
-88.94,36.729,3.325057568,2.038982446,Missouri
-88.942,37.265,2.64882194,1.724824836,Missouri
-88.943,36.693,2.920717603,1.828530411,Missouri
-88.945,37.23,2.992474905,1.929629445,Missouri
-88.946,36.657,2.827531416,1.784867206,Missouri
-88.948,37.194,3.266252027,2.139522635,Missouri
-88.949,36.622,2.833633325,1.794597141,Missouri
-88.95,37.158,3.667751145,2.351040689,Missouri
-88.951,36.586,2.779386185,1.789709684,Missouri
-88.953,37.123,4.14704885,2.671210692,Missouri
-88.954,36.55,2.698655218,1.733694147,Missouri
-88.956,37.087,4.121847,2.611286165,Missouri
-88.957,36.515,2.627722516,1.694456725,Missouri
-88.959,37.052,4.454829458,2.781777411,Missouri
-88.96,36.479,2.689660651,1.749386947,Missouri
-88.962,37.016,4.81930735,3.004371511,Missouri
-88.963,36.444,2.615558609,1.705440437,Missouri
-88.965,36.98,5.010428344,3.105532334,Missouri
-88.966,36.408,2.631978416,1.725322585,Missouri
-88.968,36.945,4.796921809,2.917047806,Missouri
-88.969,36.372,2.706588627,1.794302846,Missouri
-88.971,36.909,4.54629506,2.752066731,Missouri
-88.971,36.337,2.797837973,1.859564914,Missouri
-88.974,36.873,4.540972279,2.747211166,Missouri
-88.974,36.301,2.716722804,1.809241907,Missouri
-88.976,37.41,1.6576832,1.089276311,Missouri
-88.976,36.838,4.356726686,2.644154278,Missouri
-88.977,36.265,2.832495994,1.895109939,Missouri
-88.979,37.374,1.891716494,1.264336206,Missouri
-88.979,36.802,3.868597155,2.337759075,Missouri
-88.98,36.23,2.751974917,1.849036674,Missouri
-88.981,37.339,2.200983695,1.452655933,Missouri
-88.982,36.767,3.790396405,2.316836509,Missouri
-88.983,36.194,2.69975813,1.807313345,Missouri
-88.984,37.303,2.470340687,1.618195815,Missouri
-88.985,36.731,3.460621624,2.157613557,Missouri
-88.987,37.268,2.814933457,1.858790145,Missouri
-88.988,36.695,3.30486201,2.056140589,Missouri
-88.99,37.232,3.196527747,2.099300625,Missouri
-88.991,36.66,3.225686616,2.030130616,Missouri
-88.993,37.196,3.774164268,2.445106586,Missouri
-88.994,36.624,3.222225771,2.052310943,Missouri
-88.996,37.161,4.06217583,2.652433773,Missouri
-88.996,36.588,3.152881908,2.017651042,Missouri
-88.999,37.125,4.639260681,3.057009288,Missouri
-88.999,36.553,2.922450735,1.872938088,Missouri
-89.002,37.089,5.03615268,3.328777102,Missouri
-89.002,36.517,3.177612388,2.05173611,Missouri
-89.004,37.054,5.035259723,3.219786668,Missouri
-89.005,36.481,3.160374284,2.052395504,Missouri
-89.007,37.018,5.594466382,3.773568266,Missouri
-89.008,36.446,3.061536473,1.973711227,Missouri
-89.01,36.983,5.744586763,3.866458338,Missouri
-89.011,36.41,3.202954238,2.087050545,Missouri
-89.013,37.519,1.211193737,0.811232481,Missouri
-89.013,36.947,5.689172974,3.744102673,Missouri
-89.013,36.375,3.196334134,2.109208555,Missouri
-89.015,37.484,1.364508079,0.90632202,Missouri
-89.016,36.911,5.478323589,3.524008421,Missouri
-89.016,36.339,3.249193948,2.151801275,Missouri
-89.018,37.448,1.51446403,0.994335188,Missouri
-89.019,36.876,5.166114231,3.27050524,Missouri
-89.019,36.303,3.265801129,2.171217501,Missouri
-89.021,37.412,1.743409085,1.155701024,Missouri
-89.022,36.84,5.043603192,3.169294613,Missouri
-89.022,36.268,3.342266086,2.24694531,Missouri
-89.024,37.377,1.957944474,1.308103184,Missouri
-89.024,36.804,4.383636403,2.679243215,Missouri
-89.025,36.232,3.395494787,2.280222846,Missouri
-89.027,37.341,2.236779039,1.471835966,Missouri
-89.027,36.769,4.162531118,2.579235964,Missouri
-89.028,36.196,3.244421678,2.175386156,Missouri
-89.03,37.305,2.555711295,1.682503336,Missouri
-89.03,36.733,4.055031805,2.531029427,Missouri
-89.031,37.572,1.049282617,0.700703484,Missouri
-89.033,37.27,3.093819028,2.035012394,Missouri
-89.033,36.697,3.758671179,2.362464886,Missouri
-89.036,37.234,3.577663849,2.346193778,Missouri
-89.036,36.662,3.602046423,2.290413344,Missouri
-89.038,37.199,3.922391327,2.569310896,Missouri
-89.039,36.626,3.788171737,2.425968868,Missouri
-89.041,37.163,4.584852703,3.014643421,Missouri
-89.041,36.591,3.518818768,2.273318218,Missouri
-89.044,37.127,5.31468885,3.621596749,Missouri
-89.044,36.555,3.5091165,2.280276463,Missouri
-89.047,37.092,5.365949758,3.714786773,Missouri
-89.047,36.519,3.626843901,2.369320725,Missouri
-89.05,37.056,5.924060586,4.189508223,Missouri
-89.05,36.484,3.676082866,2.42070401,Missouri
-89.053,37.02,6.371654899,4.799176941,Missouri
-89.053,36.448,3.632207785,2.39124085,Missouri
-89.055,36.985,6.261650329,4.613407151,Missouri
-89.056,36.412,3.612440378,2.393526306,Missouri
-89.058,37.521,1.249674241,0.834957861,Missouri
-89.058,36.949,6.242220146,4.439223562,Missouri
-89.058,36.377,3.780079612,2.514555628,Missouri
-89.061,37.486,1.359941278,0.898748578,Missouri
-89.061,36.914,6.15329635,4.365948222,Missouri
-89.061,36.341,3.757019341,2.511567838,Missouri
-89.064,37.45,1.49913043,0.993050701,Missouri
-89.064,36.878,6.145444869,4.310801127,Missouri
-89.064,36.305,3.833069336,2.592375833,Missouri
-89.067,37.415,1.756930248,1.167989598,Missouri
-89.067,36.842,5.35166222,3.440794318,Missouri
-89.067,36.27,4.116969482,2.819656782,Missouri
-89.07,36.234,4.175608109,2.860152988,Missouri
-89.07,36.807,4.745376683,3.002281835,Missouri
-89.07,37.379,1.991447469,1.337297929,Missouri
-89.072,36.199,3.971631915,2.706622783,Missouri
-89.072,36.771,4.688758462,2.970014352,Missouri
-89.072,37.343,2.29922285,1.51086437,Missouri
-89.075,36.163,3.982789895,2.718441169,Missouri
-89.075,36.735,4.505084373,2.865292015,Missouri
-89.075,37.308,2.630492589,1.741419591,Missouri
-89.078,36.7,4.16108623,2.64738511,Missouri
-89.078,37.272,3.098871444,2.048042612,Missouri
-89.081,36.664,4.107097797,2.655651404,Missouri
-89.081,37.236,3.650336307,2.403703351,Missouri
-89.084,36.628,4.056921361,2.642961462,Missouri
-89.084,37.201,4.156624818,2.742002993,Missouri
-89.086,36.593,3.984690423,2.595387578,Missouri
-89.087,37.165,4.725741957,3.198324441,Missouri
-89.089,36.557,4.081177381,2.684697102,Missouri
-89.089,37.13,5.293257582,3.699881616,Missouri
-89.092,36.522,4.190934759,2.799837963,Missouri
-89.092,37.094,5.782247878,4.182532197,Missouri
-89.093,37.753,0.689947857,0.0,Missouri
-89.095,37.628,0.933165369,0.615885183,Missouri
-89.095,36.486,4.207974327,2.830177314,Missouri
-89.095,37.058,6.168969825,4.66186894,Missouri
-89.098,36.45,4.034082847,2.675354697,Missouri
-89.098,37.023,6.744245962,5.510003646,Missouri
-89.099,37.575,1.080332293,0.722776333,Missouri
-89.099,37.673,0.835565411,0.534076954,Missouri
-89.1,36.415,4.315770502,2.924511353,Missouri
-89.101,36.987,6.908863757,5.71197315,Missouri
-89.103,36.379,4.505612383,3.071264627,Missouri
-89.104,36.951,6.393766587,4.809929563,Missouri
-89.104,37.524,1.256574748,0.842502945,Missouri
-89.106,36.343,4.65847962,3.189694905,Missouri
-89.106,36.916,6.855937358,5.50278832,Missouri
-89.107,37.488,1.414335186,0.938567047,Missouri
-89.109,36.308,4.840839973,3.368781277,Missouri
-89.109,36.88,6.569589453,5.049434595,Missouri
-89.109,37.452,1.548751743,1.01431,Missouri
-89.112,36.272,4.939496246,3.48056383,Missouri
-89.112,36.844,5.740738994,3.90323721,Missouri
-89.112,37.417,1.717803007,1.147659121,Missouri
-89.114,36.236,4.999084549,3.54301023,Missouri
-89.115,36.809,5.353873168,3.533022894,Missouri
-89.115,37.381,1.960771522,1.320455892,Missouri
-89.117,36.201,5.029565493,3.54386024,Missouri
-89.118,36.773,5.07836011,3.343328505,Missouri
-89.118,37.346,2.28100833,1.501739737,Missouri
-89.12,36.165,4.937162833,3.466961383,Missouri
-89.12,36.738,4.922912056,3.240987416,Missouri
-89.121,37.31,2.644856283,1.758126069,Missouri
-89.123,36.129,4.751979319,3.292451888,Missouri
-89.123,36.702,4.590221233,2.992085735,Missouri
-89.124,37.274,3.087916641,2.056137627,Missouri
-89.126,36.094,4.53330215,3.042353178,Missouri
-89.126,36.666,4.642924645,3.085859845,Missouri
-89.126,37.239,3.748905321,2.489024173,Missouri
-89.129,36.631,4.656868052,3.10797451,Missouri
-89.129,37.203,4.188454372,2.800737355,Missouri
-89.132,36.595,4.45173833,2.958397911,Missouri
-89.132,37.167,5.017461142,3.467189801,Missouri
-89.134,36.559,4.52712981,3.018927735,Missouri
-89.135,37.132,5.321072033,3.831835178,Missouri
-89.137,36.524,4.795924439,3.256077057,Missouri
-89.138,37.096,5.907973729,4.419748209,Missouri
-89.14,36.488,4.767029076,3.257826026,Missouri
-89.14,37.06,6.6926505,5.440043062,Missouri
-89.143,36.452,4.844384242,3.334550578,Missouri
-89.143,37.025,7.203327655,6.255516375,Missouri
-89.145,36.417,5.034503024,3.495450423,Missouri
-89.146,36.989,7.316967968,6.463048191,Missouri
-89.148,36.381,5.310683917,3.766305886,Missouri
-89.149,36.954,7.06919003,5.966872139,Missouri
-89.149,37.526,1.25158757,0.830610544,Missouri
-89.151,36.346,5.371665416,3.8664176,Missouri
-89.152,36.918,6.786008659,5.574461447,Missouri
-89.152,37.49,1.368670495,0.911187149,Missouri
-89.154,36.31,5.55710501,4.149833148,Missouri
-89.154,36.882,6.785444087,5.487618947,Missouri
-89.155,37.455,1.520679837,1.003112391,Missouri
-89.156,36.274,5.786977041,4.41940752,Missouri
-89.157,36.847,6.33248353,4.767138811,Missouri
-89.158,37.419,1.740240239,1.155995043,Missouri
-89.159,36.239,5.801134255,4.411693816,Missouri
-89.16,36.811,5.781987524,4.088487502,Missouri
-89.161,37.383,1.982350089,1.325809962,Missouri
-89.162,36.203,5.803243415,4.447345198,Missouri
-89.163,36.775,5.828463159,4.112202618,Missouri
-89.163,37.632,0.921670162,0.604353814,Missouri
-89.163,37.348,2.194154407,1.457777545,Missouri
-89.165,36.167,5.927033326,4.566563993,Missouri
-89.165,36.74,5.387192576,3.664466607,Missouri
-89.166,37.312,2.587264952,1.717628694,Missouri
-89.167,36.132,5.820562843,4.384421336,Missouri
-89.168,37.578,1.054357038,0.704380801,Missouri
-89.168,36.704,5.180333201,3.531887229,Missouri
-89.169,37.276,3.022270595,2.010281913,Missouri
-89.17,36.096,5.339953618,3.805126862,Missouri
-89.171,36.668,5.346581149,3.709345335,Missouri
-89.172,37.241,3.502056197,2.332757777,Missouri
-89.173,36.06,5.055603924,3.447097714,Missouri
-89.174,36.633,5.366904032,3.741892087,Missouri
-89.175,37.205,4.150487575,2.786878417,Missouri
-89.176,36.025,4.607733073,3.06215843,Missouri
-89.177,36.597,5.177156293,3.579233659,Missouri
-89.177,37.17,4.76370022,3.316153442,Missouri
-89.178,35.989,3.896491979,2.544278309,Missouri
-89.179,36.562,5.40275701,3.833235317,Missouri
-89.18,37.134,5.253287632,3.815215922,Missouri
-89.181,35.953,3.41707139,2.196449435,Missouri
-89.182,36.526,5.467738722,3.910516406,Missouri
-89.183,37.098,6.110987778,4.734096111,Missouri
-89.185,36.49,5.48915545,3.959107287,Missouri
-89.186,37.063,6.781736976,5.664751673,Missouri
-89.188,36.455,5.655947979,4.121194418,Missouri
-89.189,37.027,7.283129186,6.480236491,Missouri
-89.19,37.838,0.561649113,0.0,Missouri
-89.19,36.419,5.70325935,4.265890871,Missouri
-89.191,36.991,7.399926989,6.614353472,Missouri
-89.193,36.383,5.923527386,4.538914115,Missouri
-89.194,36.956,7.463164328,6.668190479,Missouri
-89.195,37.528,1.224640002,0.821750012,Missouri
-89.196,36.348,5.938562031,4.538707751,Missouri
-89.196,37.758,0.680417248,0.0,Missouri
-89.197,36.92,7.387817554,6.52963807,Missouri
-89.198,37.492,1.345870873,0.893542653,Missouri
