Longitude,Latitude,B&I Strain(%),Ku Strain(%),State
-109.499,31.48,0.0,0.0,New Mexico
-109.486,34.763,0.0,0.0,New Mexico
-109.483,32.571,0.0,0.0,New Mexico
-109.466,33.661,0.0,0.0,New Mexico
-109.45,32.394,0.0,0.0,New Mexico
-109.433,33.484,0.0,0.0,New Mexico
-109.418,32.217,0.0,0.0,New Mexico
-109.415,34.573,0.0,0.0,New Mexico
-109.4,33.307,0.0,0.0,New Mexico
-109.386,32.039,0.0,0.0,New Mexico
-109.382,34.396,0.0,0.0,New Mexico
-109.368,33.13,0.0,0.0,New Mexico
-109.354,31.862,0.0,0.0,New Mexico
-109.349,34.219,0.0,0.0,New Mexico
-109.335,32.953,0.0,0.0,New Mexico
-109.322,31.684,0.0,0.0,New Mexico
-109.316,34.042,0.0,0.0,New Mexico
-109.303,32.776,0.0,0.0,New Mexico
-109.29,31.507,0.0,0.0,New Mexico
-109.284,33.865,0.0,0.0,New Mexico
-109.271,32.598,0.0,0.0,New Mexico
-109.251,33.688,0.0,0.0,New Mexico
-109.239,32.421,0.0,0.0,New Mexico
-109.231,34.776,0.0,0.0,New Mexico
-109.219,33.511,0.0,0.0,New Mexico
-109.208,35.069,0.0,0.0,New Mexico
-109.207,32.244,0.0,0.0,New Mexico
-109.198,34.599,0.0,0.0,New Mexico
-109.187,33.334,0.0,0.0,New Mexico
-109.175,32.066,0.0,0.0,New Mexico
-109.165,34.423,0.0,0.0,New Mexico
-109.154,33.157,0.0,0.0,New Mexico
-109.144,31.889,0.0,0.0,New Mexico
-109.133,34.246,0.0,0.0,New Mexico
-109.123,32.98,0.0,0.0,New Mexico
-109.112,31.711,0.0,0.0,New Mexico
-109.101,34.069,0.0,0.0,New Mexico
-109.091,32.802,0.0,0.0,New Mexico
-109.081,31.533,0.0,0.0,New Mexico
-109.068,33.892,0.0,0.0,New Mexico
-109.059,32.625,0.0,0.0,New Mexico
-109.05,31.356,0.0,0.0,New Mexico
-109.036,33.715,0.0,0.0,New Mexico
-109.028,32.448,0.0,0.0,New Mexico
-109.013,34.803,0.0,0.0,New Mexico
-109.004,33.538,0.0,0.0,New Mexico
-108.996,32.27,0.0,0.0,New Mexico
-108.981,34.626,0.0,0.0,New Mexico
-108.973,33.36,0.0,0.0,New Mexico
-108.965,32.093,0.0,0.0,New Mexico
-108.948,34.449,0.0,0.0,New Mexico
-108.941,33.183,0.0,0.0,New Mexico
-108.934,31.915,0.0,0.0,New Mexico
-108.916,34.272,0.0,0.0,New Mexico
-108.91,33.006,0.0,0.0,New Mexico
-108.903,31.737,0.0,0.0,New Mexico
-108.885,34.095,0.0,0.0,New Mexico
-108.88,35.108,0.0,0.0,New Mexico
-108.878,32.829,0.0,0.0,New Mexico
-108.872,31.56,0.0,0.0,New Mexico
-108.853,33.918,0.0,0.0,New Mexico
-108.847,32.651,0.0,0.0,New Mexico
-108.841,31.382,0.0,0.0,New Mexico
-108.827,35.006,0.0,0.0,New Mexico
-108.821,33.741,0.0,0.0,New Mexico
-108.816,32.474,0.0,0.0,New Mexico
-108.795,34.829,0.0,0.0,New Mexico
-108.79,33.564,0.0,0.0,New Mexico
-108.785,32.296,0.0,0.0,New Mexico
-108.763,34.652,0.0,0.0,New Mexico
-108.759,33.386,0.0,0.0,New Mexico
-108.754,32.119,0.0,0.0,New Mexico
-108.731,34.475,0.0,0.0,New Mexico
-108.727,33.209,0.0,0.0,New Mexico
-108.724,31.941,0.0,0.0,New Mexico
-108.7,34.298,0.0,0.0,New Mexico
-108.696,33.032,0.0,0.0,New Mexico
-108.693,31.763,0.0,0.0,New Mexico
-108.668,34.121,0.0,0.0,New Mexico
-108.666,32.855,0.0,0.0,New Mexico
-108.663,31.586,0.0,0.0,New Mexico
-108.64,35.208,0.0,0.0,New Mexico
-108.637,33.944,0.0,0.0,New Mexico
-108.635,32.677,0.0,0.0,New Mexico
-108.632,31.408,0.0,0.0,New Mexico
-108.608,35.031,0.0,0.0,New Mexico
-108.606,33.767,0.0,0.0,New Mexico
-108.604,32.5,0.0,0.0,New Mexico
-108.577,34.855,0.0,0.0,New Mexico
-108.575,33.589,0.0,0.0,New Mexico
-108.574,32.322,0.0,0.0,New Mexico
-108.545,34.678,0.0,0.0,New Mexico
-108.544,33.412,0.0,0.0,New Mexico
-108.543,32.144,0.0,0.0,New Mexico
-108.514,34.5,0.0,0.0,New Mexico
-108.514,33.235,0.0,0.0,New Mexico
-108.513,31.967,0.0,0.0,New Mexico
-108.483,31.789,0.0,0.0,New Mexico
-108.483,33.057,0.0,0.0,New Mexico
-108.483,34.323,0.0,0.0,New Mexico
-108.453,31.611,0.0,0.0,New Mexico
-108.453,32.88,0.0,0.0,New Mexico
-108.452,34.146,0.0,0.0,New Mexico
-108.452,35.411,0.0,0.0,New Mexico
-108.423,31.433,0.0,0.0,New Mexico
-108.422,32.703,0.0,0.0,New Mexico
-108.421,33.969,0.0,0.0,New Mexico
-108.42,35.234,0.0,0.0,New Mexico
-108.392,32.525,0.0,0.0,New Mexico
-108.391,33.792,0.0,0.0,New Mexico
-108.389,35.057,0.0,0.0,New Mexico
-108.362,32.347,0.0,0.0,New Mexico
-108.36,33.615,0.0,0.0,New Mexico
-108.358,34.88,0.0,0.0,New Mexico
-108.332,32.17,0.0,0.0,New Mexico
-108.33,33.437,0.0,0.0,New Mexico
-108.327,34.703,0.0,0.0,New Mexico
-108.303,31.992,0.0,0.0,New Mexico
-108.3,33.26,0.0,0.0,New Mexico
-108.297,34.526,0.0,0.0,New Mexico
-108.273,31.814,0.0,0.0,New Mexico
-108.27,33.083,0.0,0.0,New Mexico
-108.266,34.349,0.0,0.0,New Mexico
-108.244,31.636,0.0,0.0,New Mexico
-108.24,32.905,0.0,0.0,New Mexico
-108.236,34.171,0.0,0.0,New Mexico
-108.232,35.436,0.0,0.0,New Mexico
-108.214,31.458,0.0,0.0,New Mexico
-108.21,32.728,0.0,0.0,New Mexico
-108.206,33.994,0.0,0.0,New Mexico
-108.201,35.259,0.0,0.0,New Mexico
-108.18,32.55,0.0,0.0,New Mexico
-108.175,33.817,0.0,0.0,New Mexico
-108.17,35.082,0.0,0.0,New Mexico
-108.151,32.372,0.0,0.0,New Mexico
-108.145,33.64,0.0,0.0,New Mexico
-108.14,34.905,0.0,0.0,New Mexico
-108.121,32.195,0.0,0.0,New Mexico
-108.116,33.462,0.0,0.0,New Mexico
-108.109,34.728,0.0,0.0,New Mexico
-108.092,32.017,0.0,0.0,New Mexico
-108.086,33.285,0.0,0.0,New Mexico
-108.079,34.55,0.0,0.0,New Mexico
-108.063,31.839,0.0,0.0,New Mexico
-108.056,33.107,0.0,0.0,New Mexico
-108.049,34.373,0.0,0.0,New Mexico
-108.042,35.637,0.0,0.0,New Mexico
-108.027,32.93,0.0,0.0,New Mexico
-108.019,34.196,0.0,0.0,New Mexico
-108.012,35.46,0.0,0.0,New Mexico
-107.997,32.752,0.0,0.0,New Mexico
-107.989,34.019,0.0,0.0,New Mexico
-107.981,35.283,0.0,0.0,New Mexico
-107.968,32.575,0.0,0.0,New Mexico
-107.96,33.841,0.0,0.0,New Mexico
-107.951,35.106,0.0,0.0,New Mexico
-107.939,32.397,0.0,0.0,New Mexico
-107.93,33.664,0.0,0.0,New Mexico
-107.921,34.929,0.0,0.0,New Mexico
-107.91,32.219,0.0,0.0,New Mexico
-107.901,33.487,0.0,0.0,New Mexico
-107.891,34.752,0.0,0.0,New Mexico
-107.881,32.041,0.0,0.0,New Mexico
-107.872,33.309,0.0,0.0,New Mexico
-107.862,34.575,0.0,0.0,New Mexico
-107.853,31.863,0.0,0.0,New Mexico
-107.851,35.838,0.0,0.0,New Mexico
-107.843,33.132,0.0,0.0,New Mexico
-107.832,34.397,0.0,0.0,New Mexico
-107.821,35.661,0.0,0.0,New Mexico
-107.814,32.954,0.0,0.0,New Mexico
-107.803,34.22,0.0,0.0,New Mexico
-107.791,35.484,0.0,0.0,New Mexico
-107.785,32.776,0.0,0.0,New Mexico
-107.773,34.043,0.0,0.0,New Mexico
-107.762,35.307,0.0,0.0,New Mexico
-107.756,32.599,0.0,0.0,New Mexico
-107.744,33.866,0.0,0.0,New Mexico
-107.732,35.13,0.0,0.0,New Mexico
-107.727,32.421,0.0,0.0,New Mexico
-107.715,33.688,0.0,0.0,New Mexico
-107.702,34.953,0.0,0.0,New Mexico
-107.699,32.243,0.0,0.0,New Mexico
-107.686,33.511,0.0,0.0,New Mexico
-107.673,34.776,0.0,0.0,New Mexico
-107.67,32.065,0.0,0.0,New Mexico
-107.66,36.039,0.0,0.0,New Mexico
-107.657,33.333,0.0,0.0,New Mexico
-107.644,34.599,0.0,0.0,New Mexico
-107.642,31.887,0.0,0.0,New Mexico
-107.63,35.862,0.0,0.0,New Mexico
-107.629,33.156,0.0,0.0,New Mexico
-107.615,34.421,0.0,0.0,New Mexico
-107.6,35.685,0.0,0.0,New Mexico
-107.6,32.978,0.0,0.0,New Mexico
-107.586,34.244,0.0,0.0,New Mexico
-107.572,32.8,0.0,0.0,New Mexico
-107.571,35.508,0.0,0.0,New Mexico
-107.557,34.067,0.0,0.0,New Mexico
-107.543,32.623,0.0,0.0,New Mexico
-107.542,35.331,0.0,0.0,New Mexico
-107.528,33.889,0.0,0.0,New Mexico
-107.515,32.445,0.0,0.0,New Mexico
-107.512,35.154,0.0,0.0,New Mexico
-107.5,33.712,0.0,0.0,New Mexico
-107.487,32.267,0.0,0.0,New Mexico
-107.483,34.977,0.0,0.0,New Mexico
-107.471,33.534,0.0,0.0,New Mexico
-107.459,32.089,0.0,0.0,New Mexico
-107.455,34.799,0.0,0.0,New Mexico
-107.443,33.357,0.0,0.0,New Mexico
-107.437,36.063,0.0,0.0,New Mexico
-107.432,31.911,0.0,0.0,New Mexico
-107.426,34.622,0.0,0.0,New Mexico
-107.42,37.325,0.0,0.0,New Mexico
-107.415,33.179,0.0,0.0,New Mexico
-107.408,35.886,0.0,0.0,New Mexico
-107.387,33.001,0.0,0.0,New Mexico
-107.379,35.709,0.0,0.0,New Mexico
-107.359,32.824,0.0,0.0,New Mexico
-107.35,34.463,0.0,0.0,New Mexico
-107.35,35.532,0.0,0.0,New Mexico
-107.332,34.348,0.0,0.0,New Mexico
-107.331,32.646,0.0,0.0,New Mexico
-107.322,35.354,0.0,0.0,New Mexico
-107.314,34.233,0.0,0.0,New Mexico
-107.312,33.913,0.0,0.0,New Mexico
-107.303,32.468,0.0,0.0,New Mexico
-107.302,36.617,0.0,0.0,New Mexico
-107.295,34.117,0.0,0.0,New Mexico
-107.293,35.177,0.0,0.0,New Mexico
-107.284,33.735,0.0,0.0,New Mexico
-107.277,34.002,0.0,0.0,New Mexico
-107.276,32.29,0.0,0.0,New Mexico
-107.273,36.44,0.0,0.0,New Mexico
-107.264,35.0,0.0,0.0,New Mexico
-107.259,33.887,0.0,0.0,New Mexico
-107.256,33.558,0.0,0.0,New Mexico
-107.248,32.112,0.0,0.0,New Mexico
-107.246,34.709,0.0,0.0,New Mexico
-107.244,36.263,0.0,0.0,New Mexico
-107.236,34.823,0.0,0.0,New Mexico
-107.228,33.38,0.0,0.0,New Mexico
-107.227,34.594,0.0,0.0,New Mexico
-107.221,31.934,0.0,0.0,New Mexico
-107.215,36.086,0.0,0.0,New Mexico
-107.209,34.478,0.0,0.0,New Mexico
-107.201,33.202,0.0,0.0,New Mexico
-107.194,37.348,0.0,0.0,New Mexico
-107.191,34.363,0.0,0.0,New Mexico
-107.187,35.909,0.0,0.0,New Mexico
-107.173,33.025,0.0,0.0,New Mexico
-107.173,34.248,0.0,0.0,New Mexico
-107.165,37.171,0.0,0.0,New Mexico
-107.158,35.732,0.0,0.0,New Mexico
-107.154,34.132,0.0,0.0,New Mexico
-107.146,32.847,0.0,0.0,New Mexico
-107.136,34.017,0.0,0.0,New Mexico
-107.136,36.994,0.0,0.0,New Mexico
-107.13,35.554,0.0,0.0,New Mexico
-107.118,33.902,0.0,0.0,New Mexico
-107.118,32.669,0.0,0.0,New Mexico
-107.107,36.817,0.0,0.0,New Mexico
-107.104,34.724,0.0,0.0,New Mexico
-107.101,35.377,0.0,0.0,New Mexico
-107.1,33.786,0.0,0.0,New Mexico
-107.091,32.491,0.0,0.0,New Mexico
-107.086,34.608,0.0,0.0,New Mexico
-107.078,36.64,0.0,0.0,New Mexico
-107.077,37.302,0.0,0.0,New Mexico
-107.073,35.2,0.0,0.0,New Mexico
-107.069,33.758,0.0,0.0,New Mexico
-107.068,34.493,0.0,0.0,New Mexico
-107.064,32.313,0.0,0.0,New Mexico
-107.058,37.186,0.0,0.0,New Mexico
-107.05,36.463,0.0,0.0,New Mexico
-107.049,34.378,0.0,0.0,New Mexico
-107.045,35.023,0.0,0.0,New Mexico
-107.041,33.58,0.0,0.0,New Mexico
-107.04,37.071,0.0,0.0,New Mexico
-107.037,32.135,0.0,0.0,New Mexico
-107.032,34.262,0.0,0.0,New Mexico
-107.021,36.286,0.0,0.0,New Mexico
-107.014,33.403,0.0,0.0,New Mexico
-107.014,34.147,0.0,0.0,New Mexico
-107.01,31.957,0.0,0.0,New Mexico
-106.998,34.969,0.0,0.0,New Mexico
-106.996,34.032,0.0,0.0,New Mexico
-106.993,36.109,0.0,0.0,New Mexico
-106.986,33.225,0.0,0.0,New Mexico
-106.98,34.854,0.0,0.0,New Mexico
-106.978,33.916,0.0,0.0,New Mexico
-106.968,37.371,0.0,0.0,New Mexico
-106.965,35.931,0.0,0.0,New Mexico
-106.962,34.738,0.0,0.0,New Mexico
-106.96,33.801,0.0,0.0,New Mexico
-106.959,33.047,0.0,0.0,New Mexico
-106.944,34.623,0.0,0.0,New Mexico
-106.937,35.754,0.0,0.0,New Mexico
-106.932,32.869,0.0,0.0,New Mexico
-106.93,37.316,0.0,0.0,New Mexico
-106.926,34.508,0.0,0.0,New Mexico
-106.912,37.201,0.0,0.0,New Mexico
-106.909,35.329,0.0,0.0,New Mexico
-106.909,35.577,0.0,0.0,New Mexico
-106.908,34.392,0.0,0.0,New Mexico
-106.906,32.692,0.0,0.0,New Mexico
-106.893,37.086,0.0,0.0,New Mexico
-106.891,35.214,0.0,0.0,New Mexico
-106.89,34.277,0.0,0.0,New Mexico
-106.879,32.514,0.0,0.0,New Mexico
-106.875,36.971,0.0,0.0,New Mexico
-106.873,35.099,0.0,0.0,New Mexico
-106.873,34.162,0.0,0.0,New Mexico
-106.856,36.856,0.0,0.0,New Mexico
-106.855,34.984,0.0,0.0,New Mexico
-106.855,34.046,0.0,0.0,New Mexico
-106.854,36.662,0.0,0.0,New Mexico
-106.852,32.336,0.0,0.0,New Mexico
-106.838,34.868,0.0,0.0,New Mexico
-106.837,33.931,0.0,0.0,New Mexico
-106.826,36.485,0.0,0.0,New Mexico
-106.826,33.603,0.0,0.0,New Mexico
-106.826,32.158,0.0,0.0,New Mexico
-106.82,34.753,0.0,0.0,New Mexico
-106.82,33.815,0.0,0.0,New Mexico
-106.802,34.638,0.0,0.0,New Mexico
-106.802,35.574,0.0,0.0,New Mexico
-106.799,31.98,0.0,0.0,New Mexico
-106.799,33.425,0.0,0.0,New Mexico
-106.798,36.308,0.0,0.0,New Mexico
-106.784,34.522,0.0,0.0,New Mexico
-106.784,35.459,0.0,0.0,New Mexico
-106.773,31.801,0.0,0.0,New Mexico
-106.772,33.247,0.0,0.0,New Mexico
-106.77,36.131,0.0,0.0,New Mexico
-106.767,34.407,0.0,0.0,New Mexico
-106.766,35.344,0.0,0.0,New Mexico
-106.765,37.215,0.0,0.0,New Mexico
-106.749,34.291,0.0,0.0,New Mexico
-106.748,35.229,0.0,0.0,New Mexico
-106.747,37.1,0.0,0.0,New Mexico
-106.746,33.07,0.0,0.0,New Mexico
-106.743,35.954,0.0,0.0,New Mexico
-106.741,37.393,0.0,0.0,New Mexico
-106.732,34.176,0.0,0.0,New Mexico
-106.731,35.113,0.0,0.0,New Mexico
-106.728,36.985,0.0,0.0,New Mexico
-106.719,32.892,0.0,0.0,New Mexico
-106.715,35.776,0.0,0.0,New Mexico
-106.714,34.061,0.0,0.0,New Mexico
-106.713,37.216,0.0,0.0,New Mexico
-106.713,34.998,0.0,0.0,New Mexico
-106.71,36.87,0.0,0.0,New Mexico
-106.697,33.945,0.0,0.0,New Mexico
-106.695,34.883,0.0,0.0,New Mexico
-106.693,32.714,0.0,0.0,New Mexico
-106.679,33.83,0.0,0.0,New Mexico
-106.678,34.767,0.0,0.0,New Mexico
-106.676,35.704,0.0,0.0,New Mexico
-106.666,32.536,0.0,0.0,New Mexico
-106.66,34.652,0.0,0.0,New Mexico
-106.658,35.589,0.0,0.0,New Mexico
-106.643,34.537,0.0,0.0,New Mexico
-106.641,35.473,0.0,0.0,New Mexico
-106.64,32.358,0.0,0.0,New Mexico
-106.637,33.803,0.0,0.0,New Mexico
-106.63,36.684,0.0,0.0,New Mexico
-106.625,34.421,0.0,0.0,New Mexico
-106.623,35.358,0.0,0.0,New Mexico
-106.614,32.18,0.0,0.0,New Mexico
-106.61,33.625,0.0,0.0,New Mexico
-106.608,34.306,0.0,0.0,New Mexico
-106.605,35.243,0.0,0.0,New Mexico
-106.603,36.179,0.0,0.0,New Mexico
-106.602,36.507,0.0,0.0,New Mexico
-106.591,34.19,0.0,0.0,New Mexico
-106.588,32.002,0.0,0.0,New Mexico
-106.588,35.127,0.0,0.0,New Mexico
-106.585,36.064,0.0,0.0,New Mexico
-106.584,33.447,0.0,0.0,New Mexico
-106.575,36.33,0.0,0.0,New Mexico
-106.573,34.075,0.0,0.0,New Mexico
-106.57,35.012,0.0,0.0,New Mexico
-106.567,35.948,0.0,0.0,New Mexico
-106.562,31.823,0.0,0.0,New Mexico
-106.558,33.269,0.0,0.0,New Mexico
-106.556,33.959,0.0,0.0,New Mexico
-106.553,34.897,0.0,0.0,New Mexico
-106.55,35.833,0.0,0.0,New Mexico
-106.536,34.781,0.0,0.0,New Mexico
-106.532,35.718,0.0,0.0,New Mexico
-106.532,33.091,0.0,0.0,New Mexico
-106.518,34.666,0.0,0.0,New Mexico
-106.515,37.415,0.0,0.0,New Mexico
-106.515,35.603,0.0,0.0,New Mexico
-106.506,32.914,0.0,0.0,New Mexico
-106.501,34.551,0.0,0.0,New Mexico
-106.497,35.487,0.0,0.0,New Mexico
-106.487,37.238,0.0,0.0,New Mexico
-106.484,34.435,0.0,0.0,New Mexico
-106.48,35.372,0.0,0.0,New Mexico
-106.48,32.736,0.0,0.0,New Mexico
-106.476,36.308,0.0,0.0,New Mexico
-106.475,32.443,0.0,0.0,New Mexico
-106.467,34.32,0.0,0.0,New Mexico
-106.462,35.257,0.0,0.0,New Mexico
-106.46,37.061,0.0,0.0,New Mexico
-106.458,32.327,0.0,0.0,New Mexico
-106.458,36.193,0.0,0.0,New Mexico
-106.454,32.558,0.0,0.0,New Mexico
-106.45,34.204,0.0,0.0,New Mexico
-106.445,35.141,0.0,0.0,New Mexico
-106.442,32.211,0.0,0.0,New Mexico
-106.44,36.078,0.0,0.0,New Mexico
-106.433,36.883,0.0,0.0,New Mexico
-106.432,34.089,0.0,0.0,New Mexico
-106.428,35.026,0.0,0.0,New Mexico
-106.423,35.962,0.0,0.0,New Mexico
-106.421,33.824,0.0,0.0,New Mexico
-106.411,34.911,0.0,0.0,New Mexico
-106.406,36.706,0.0,0.0,New Mexico
-106.406,35.847,0.0,0.0,New Mexico
-106.395,33.646,0.0,0.0,New Mexico
-106.393,34.795,0.0,0.0,New Mexico
-106.388,35.732,0.0,0.0,New Mexico
-106.379,36.529,0.0,0.0,New Mexico
-106.377,32.023,0.0,0.0,New Mexico
-106.376,34.68,0.0,0.0,New Mexico
-106.371,35.617,0.0,0.0,New Mexico
-106.369,33.469,0.0,0.0,New Mexico
-106.361,34.911,0.0,0.0,New Mexico
-106.359,34.565,0.0,0.0,New Mexico
-106.354,35.501,0.0,0.0,New Mexico
-106.352,31.845,0.0,0.0,New Mexico
