Longitude,Latitude,B&I Strain(%),Ku Strain(%),State
-124.687,48.164,20.430061,20.52203854,Washington
-124.672,48.015,20.5304223,20.63389373,Washington
-124.671,48.13,20.48859635,20.57759528,Washington
-124.669,48.244,20.43867601,20.51185363,Washington
-124.667,48.359,20.38025856,20.43347352,Washington
-124.656,47.98,20.59199653,20.97279626,Washington
-124.654,48.095,20.55298729,20.64208103,Washington
-124.653,48.21,20.50256448,20.57358053,Washington
-124.651,48.325,20.44056193,20.49467298,Washington
-124.639,47.946,20.65460574,21.03111745,Washington
-124.638,48.06,20.62184696,20.99514414,Washington
-124.636,48.175,20.57030109,20.64352616,Washington
-124.634,48.29,20.50939162,20.56024377,Washington
-124.623,47.911,20.72318694,21.09399768,Washington
-124.622,48.026,20.68277038,21.05130852,Washington
-124.62,48.141,20.63638561,20.71321963,Washington
-124.618,48.255,20.5733696,20.62794112,Washington
-124.605,47.991,20.75322,21.11442289,Washington
-124.603,48.106,20.708374,21.06623972,Washington
-124.602,48.221,20.64250664,20.70082295,Washington
-124.6,48.336,20.57163241,20.61443205,Washington
-124.589,47.957,20.81808294,21.17098294,Washington
-124.587,48.072,20.77426699,21.12425503,Washington
-124.585,48.186,20.71675242,21.06357853,Washington
-124.584,48.301,20.64521177,20.99439246,Washington
-124.573,47.922,20.890006,21.23591253,Washington
-124.571,48.037,20.84239541,21.18576646,Washington
-124.569,48.152,20.78342779,21.1232162,Washington
-124.567,48.267,20.71500434,21.0545425,Washington
-124.556,47.888,20.96219904,21.29992303,Washington
-124.555,48.003,20.91099275,21.24701266,Washington
-124.553,48.117,20.85326028,21.18559706,Washington
-124.551,48.232,20.78391111,21.11437495,Washington
-124.549,48.347,20.71140589,21.04975242,Washington
-124.54,47.853,21.03450349,21.3655717,Washington
-124.538,47.968,20.98305422,21.31022131,Washington
-124.537,48.083,20.9277747,21.25188638,Washington
-124.535,48.197,20.86544851,21.1852072,Washington
-124.533,48.312,20.7876247,21.11621324,Washington
-124.522,47.933,21.06365828,21.38636135,Washington
-124.52,48.048,21.01059087,21.32550286,Washington
-124.518,48.163,20.94650054,21.25682798,Washington
-124.516,48.278,20.87090306,21.18824581,Washington
-124.506,47.899,21.13540662,21.45458244,Washington
-124.504,48.014,21.08612088,21.39866666,Washington
-124.502,48.128,21.02393846,21.32920043,Washington
-124.5,48.243,20.94567625,21.25331939,Washington
-124.49,47.864,21.21393563,21.52548237,Washington
-124.488,47.979,21.15830745,21.46565743,Washington
-124.486,48.094,21.09656482,21.39698972,Washington
-124.484,48.209,21.02583385,21.32447455,Washington
-124.482,48.323,20.94345097,21.24924838,Washington
-124.473,47.83,21.29328626,21.59254324,Washington
-124.472,47.945,21.23619273,21.5343141,Washington
-124.47,48.059,21.17700844,21.47137064,Washington
-124.468,48.174,21.10423092,21.39491543,Washington
-124.466,48.289,21.02529512,21.32075245,Washington
-124.457,47.795,21.37283511,21.66268298,Washington
-124.455,47.91,21.32349368,21.61119591,Washington
-124.453,48.025,21.25470366,21.53933877,Washington
-124.451,48.139,21.18787467,21.46904375,Washington
-124.449,48.254,21.10691413,21.39420756,Washington
-124.441,47.761,21.4567047,21.73598893,Washington
-124.439,47.875,21.40450423,21.68208143,Washington
-124.437,47.99,21.34050365,21.61600271,Washington
-124.435,48.105,21.27093805,21.54372179,Washington
-124.433,48.22,21.19734199,21.47712105,Washington
-124.423,47.841,21.48353454,21.74998686,Washington
-124.421,47.956,21.4272292,21.69234724,Washington
-124.419,48.07,21.36402008,21.62699399,Washington
-124.417,48.185,21.28585942,21.55597593,Washington
-124.415,48.3,21.20016787,21.47497278,Washington
-124.409,47.692,21.61445872,21.87344959,Washington
-124.407,47.806,21.5752733,21.82974312,Washington
-124.405,47.921,21.51952666,21.77189014,Washington
-124.403,48.036,21.45243883,21.70468247,Washington
-124.401,48.15,21.37420537,21.63167417,Washington
-124.399,48.265,21.29285453,21.55844387,Washington
-124.391,47.772,21.65219839,21.90151332,Washington
-124.389,47.887,21.60487093,21.84944359,Washington
-124.387,48.001,21.54429705,21.78353973,Washington
-124.384,48.116,21.4730485,21.71456347,Washington
-124.382,48.231,21.39030483,21.6411207,Washington
-124.377,47.623,21.78767269,22.03046208,Washington
-124.375,47.737,21.74212213,21.98343124,Washington
-124.372,47.852,21.68677268,21.92383181,Washington
-124.37,47.967,21.62588749,21.85836428,Washington
-124.368,48.081,21.56320526,21.79519741,Washington
-124.366,48.196,21.48674945,21.72136914,Washington
-124.361,47.588,21.8759145,22.10463122,Washington
-124.359,47.703,21.82565817,22.0544844,Washington
-124.356,47.817,21.77196862,22.00020481,Washington
-124.354,47.932,21.70989269,21.93455293,Washington
-124.352,48.047,21.64388041,21.86659135,Washington
-124.35,48.162,21.57480585,21.80118227,Washington
-124.348,48.276,21.48014733,21.70435161,Washington
-124.345,47.554,21.95874557,22.17376428,Washington
-124.342,47.668,21.91823569,22.13108303,Washington
-124.34,47.783,21.8602124,22.07389221,Washington
-124.338,47.898,21.79641695,22.01037059,Washington
-124.336,48.012,21.73083409,21.94295883,Washington
-124.334,48.127,21.66316449,21.88026794,Washington
-124.331,48.242,21.57883758,21.79534371,Washington
-124.331,47.405,22.0453783,22.2582069,Washington
-124.329,47.519,22.04110456,22.24655479,Washington
-124.326,47.634,22.00716312,22.20799867,Washington
-124.324,47.748,21.95278194,22.15316233,Washington
-124.322,47.863,21.88919983,22.0873813,Washington
-124.32,47.978,21.81964136,22.01749336,Washington
-124.318,48.092,21.75165928,21.9575071,Washington
-124.315,48.207,21.67961417,21.88835312,Washington
-124.315,47.37,22.10987818,22.31537659,Washington
-124.313,47.485,22.12046208,22.31692783,Washington
-124.31,47.599,22.09609117,22.28753803,Washington
-124.308,47.714,22.04082184,22.22876491,Washington
-124.306,47.828,21.97629843,22.16149336,Washington
-124.304,47.943,21.90739199,22.09131682,Washington
-124.301,48.058,21.8457397,22.03603459,Washington
-124.299,48.173,21.76979336,21.96655265,Washington
-124.297,47.45,22.19862272,22.3840866,Washington
-124.294,47.565,22.18529685,22.36468759,Washington
-124.292,47.679,22.1328825,22.30924807,Washington
-124.29,47.794,22.06710026,22.24060647,Washington
-124.287,47.909,22.00632337,22.17429429,Washington
-124.285,48.023,21.93683782,22.11173286,Washington
-124.283,48.138,21.86108779,22.04516514,Washington
-124.281,48.253,21.75963578,21.94014096,Washington
-124.281,47.416,22.27997343,22.45341937,Washington
-124.278,47.53,22.27429396,22.43959259,Washington
-124.276,47.645,22.22686585,22.38992518,Washington
-124.274,47.759,22.16325737,22.32434011,Washington
-124.271,47.874,22.10168675,22.25815434,Washington
-124.269,47.989,22.02776852,22.18710541,Washington
-124.267,48.103,21.95330205,22.12052442,Washington
-124.265,47.381,22.35128732,22.5160141,Washington
-124.264,48.218,21.86611319,22.03719394,Washington
-124.262,47.496,22.36379591,22.51877311,Washington
-124.26,47.61,22.32842203,22.47901818,Washington
-124.258,47.725,22.26309927,22.40922819,Washington
-124.255,47.839,22.19494206,22.33777746,Washington
-124.253,47.954,22.1199976,22.26435782,Washington
-124.251,48.069,22.04138541,22.1925753,Washington
-124.249,47.347,22.42064437,22.57566394,Washington
-124.248,48.184,21.96102411,22.11551355,Washington
-124.246,47.461,22.44888771,22.5910765,Washington
-124.244,47.576,22.4151417,22.5542881,Washington
-124.242,47.69,22.36052438,22.4988185,Washington
-124.239,47.805,22.29137397,22.42282909,Washington
-124.237,47.92,22.21508655,22.34360675,Washington
-124.235,48.034,22.13730143,22.27332596,Washington
-124.233,47.312,22.47591857,22.62212907,Washington
-124.232,48.149,22.05880146,22.19800584,Washington
-124.23,47.427,22.52380771,22.65274482,Washington
-124.228,47.541,22.50776423,22.62909868,Washington
-124.226,47.656,22.45312651,22.57640073,Washington
-124.223,47.77,22.38669032,22.50903843,Washington
-124.221,47.885,22.31306058,22.43174811,Washington
-124.218,48.0,22.2414582,22.36163489,Washington
-124.217,47.278,22.5300166,22.66750979,Washington
-124.216,48.114,22.15946836,22.28264229,Washington
-124.214,47.392,22.59659451,22.71360745,Washington
-124.214,48.229,22.04340789,22.16514694,Washington
-124.212,47.507,22.60187577,22.70885786,Washington
-124.21,47.621,22.55849017,22.66404861,Washington
-124.207,47.736,22.48970709,22.59396627,Washington
-124.205,47.85,22.40971204,22.51656138,Washington
-124.202,47.965,22.33550429,22.44668564,Washington
-124.201,47.243,22.5705096,22.70118251,Washington
-124.2,48.08,22.25691457,22.36817243,Washington
-124.198,47.358,22.6734654,22.77694813,Washington
-124.197,48.195,22.15729443,22.26072614,Washington
-124.196,47.472,22.69135244,22.78223682,Washington
-124.194,47.587,22.65354051,22.74227336,Washington
-124.191,47.701,22.59194389,22.68045962,Washington
-124.189,47.816,22.5149194,22.60130199,Washington
-124.186,47.93,22.43718056,22.53217179,Washington
-124.185,47.209,22.60982552,22.73475587,Washington
-124.184,48.045,22.3568791,22.45702248,Washington
-124.183,47.323,22.72789722,22.82175453,Washington
-124.181,48.16,22.25824902,22.35246518,Washington
-124.18,47.438,22.77258425,22.85137151,Washington
-124.178,47.552,22.75406383,22.82618547,Washington
-124.175,47.667,22.69365501,22.76384156,Washington
-124.173,47.781,22.61605285,22.6856834,Washington
-124.172,47.06,22.39954185,22.56809399,Washington
-124.17,47.896,22.54489866,22.61817015,Washington
-124.169,47.174,22.63459342,22.75618517,Washington
-124.168,48.011,22.466706,22.54619068,Washington
-124.167,47.289,22.78353397,22.86957946,Washington
-124.165,48.125,22.36375021,22.44589021,Washington
-124.164,47.403,22.85094327,22.92080514,Washington
-124.162,47.518,22.84685614,22.90910931,Washington
-124.159,47.632,22.79643847,22.85420709,Washington
-124.157,47.747,22.72423164,22.77540853,Washington
-124.156,47.026,22.3865664,22.55722608,Washington
-124.154,47.861,22.64538409,22.69871365,Washington
-124.153,47.14,22.65250912,22.77155073,Washington
-124.152,47.976,22.56662598,22.62514232,Washington
-124.151,47.254,22.82420485,22.90514589,Washington
-124.149,48.091,22.47852801,22.53880307,Washington
-124.148,47.369,22.92257176,22.98150339,Washington
-124.147,48.205,22.34473634,22.41026394,Washington
-124.146,47.483,22.94068185,22.98926772,Washington
-124.143,47.598,22.90050383,22.94586198,Washington
-124.141,47.712,22.82647187,22.86825894,Washington
-124.138,47.827,22.75035477,22.7887759,Washington
-124.137,47.105,22.65362067,22.77217054,Washington
-124.136,47.941,22.67008606,22.7075019,Washington
-124.135,47.22,22.86189895,22.93869749,Washington
-124.133,48.056,22.58699212,22.62512341,Washington
-124.132,47.334,22.98418186,23.03068486,Washington
-124.131,48.171,22.45900804,22.5045956,Washington
-124.13,47.449,23.02508985,23.0545473,Washington
-124.127,47.563,23.00341547,23.03034686,Washington
-124.125,47.678,22.931155,22.96011156,Washington
-124.122,47.792,22.84865003,22.87525459,Washington
-124.122,47.071,22.64116739,22.7623985,Washington
-124.12,47.907,22.77228491,22.79848157,Washington
-124.119,47.185,22.88592533,22.95952184,Washington
-124.117,48.022,22.69989428,22.72080029,Washington
-124.117,47.3,23.04278262,23.07683324,Washington
-124.114,48.136,22.57780174,22.59816405,Washington
-124.114,47.414,23.11101761,23.1216375,Washington
-124.111,47.529,23.09574841,23.10158242,Washington
-124.109,47.643,23.03790913,23.04749542,Washington
-124.106,47.758,22.95844755,22.97077524,Washington
-124.104,47.872,22.87591173,22.88961283,Washington
-124.103,47.151,22.90246069,22.97319868,Washington
-124.101,47.987,22.80434309,22.81416907,Washington
-124.101,47.265,23.08431282,23.10807505,Washington
-124.098,48.102,22.69779045,22.70013032,Washington
-124.098,47.38,23.18716341,23.17872044,Washington
-124.096,47.494,23.1988125,23.18107426,Washington
-124.095,46.774,21.81868834,22.08640561,Washington
-124.093,47.609,23.14400153,23.13025857,Washington
-124.093,46.888,22.22032603,22.41959099,Washington
-124.09,47.723,23.07003455,23.06213345,Washington
-124.088,47.838,22.98397085,22.98218475,Washington
-124.087,47.116,22.9059252,22.97657441,Washington
-124.085,47.952,22.91186917,22.9081955,Washington
-124.085,47.231,23.12514284,23.14015994,Washington
-124.082,48.067,22.81162613,22.80200702,Washington
-124.082,47.345,23.25576431,23.23115769,Washington
-124.08,48.182,22.66899211,22.65495712,Washington
-124.08,47.46,23.28592905,23.24780183,Washington
-124.079,46.739,21.74037115,22.02043521,Washington
-124.077,47.574,23.25837826,23.21676346,Washington
-124.074,47.689,23.18500228,23.15283517,Washington
-124.072,47.803,23.09196115,23.0699612,Washington
-124.072,47.082,22.89067798,22.96359233,Washington
