Longitude,Latitude,B&I Strain(%),Ku Strain(%),State
-111.503,44.628,3.041322694,2.446021175,Wyoming
-111.497,44.811,3.30763786,2.597841445,Wyoming
-111.494,44.592,2.613289164,2.088208344,Wyoming
-111.488,42.561,1.109278021,0.836192674,Wyoming
-111.488,44.776,3.492355637,2.770435888,Wyoming
-111.485,44.324,0.0,0.0,Wyoming
-111.48,41.607,0.0,0.0,Wyoming
-111.479,44.74,3.571289216,2.856989184,Wyoming
-111.476,43.615,0.0,0.0,Wyoming
-111.474,42.972,0.905098575,0.676794503,Wyoming
-111.472,40.9,0.0,0.0,Wyoming
-111.47,44.705,3.696797772,2.960317854,Wyoming
-111.469,42.482,1.146686242,0.865040678,Wyoming
-111.463,41.993,0.743182071,0.567153057,Wyoming
-111.462,44.669,3.47872772,2.781255231,Wyoming
-111.46,44.978,1.924443976,1.490322254,Wyoming
-111.457,44.209,0.0,0.0,Wyoming
-111.455,42.893,0.986528615,0.742022068,Wyoming
-111.453,44.634,3.075878199,2.474750762,Wyoming
-111.453,41.492,0.0,0.0,Wyoming
-111.45,42.403,1.089887839,0.833648624,Wyoming
-111.449,43.5,0.0,0.0,Wyoming
-111.447,44.925,2.246999332,1.754706471,Wyoming
-111.447,44.817,3.290113156,2.593995946,Wyoming
-111.445,41.913,0.717678676,0.543705137,Wyoming
-111.444,44.599,2.659741233,2.120566206,Wyoming
-111.444,45.189,0.983613843,0.757784899,Wyoming
-111.438,44.782,3.474721502,2.760037436,Wyoming
-111.436,42.813,1.013360907,0.76605204,Wyoming
-111.434,44.871,2.66388435,2.099920059,Wyoming
-111.431,42.324,1.032035876,0.800919068,Wyoming
-111.43,44.544,1.799756809,1.442083378,Wyoming
-111.429,44.746,3.499346976,2.805034475,Wyoming
-111.428,44.094,0.0,0.0,Wyoming
-111.426,41.378,0.0,0.0,Wyoming
-111.426,41.834,0.650669749,0.0,Wyoming
-111.424,45.109,1.220910459,0.937341198,Wyoming
-111.421,43.385,0.0,0.0,Wyoming
-111.42,44.711,3.65069504,2.927206207,Wyoming
-111.417,42.734,1.118093493,0.845434436,Wyoming
-111.412,42.244,0.978406281,0.760613626,Wyoming
-111.412,44.676,3.527853283,2.823425078,Wyoming
-111.404,45.029,1.548568256,1.200995069,Wyoming
-111.403,43.145,0.869490904,0.644374906,Wyoming
-111.403,44.64,3.096673471,2.48987184,Wyoming
-111.4,43.979,0.0,0.0,Wyoming
-111.399,44.537,1.686220427,1.356437285,Wyoming
-111.399,41.264,0.0,0.0,Wyoming
-111.398,42.655,1.212359249,0.915225183,Wyoming
-111.394,44.605,2.751938413,2.187777047,Wyoming
-111.393,42.165,0.932551459,0.724130476,Wyoming
-111.393,43.271,0.685310215,0.504740918,Wyoming
-111.388,44.788,3.508399546,2.784125065,Wyoming
-111.387,45.284,0.728772819,0.564161672,Wyoming
-111.384,43.065,1.050762389,0.792127183,Wyoming
-111.379,44.752,3.404795763,2.722958045,Wyoming
-111.379,42.575,1.357134806,1.023281196,Wyoming
-111.374,42.086,0.88221738,0.682207814,Wyoming
-111.373,43.864,0.0,0.0,Wyoming
-111.372,44.934,2.116728144,1.652035479,Wyoming
-111.372,41.149,0.0,0.0,Wyoming
-111.371,44.717,3.543726573,2.830663932,Wyoming
-111.368,44.606,2.637028518,2.10498838,Wyoming
-111.365,42.986,1.212595409,0.911693005,Wyoming
-111.362,44.682,3.378742088,2.698066826,Wyoming
-111.359,42.37,1.202812631,0.917184031,Wyoming
-111.359,44.881,2.574581482,2.026734046,Wyoming
-111.359,45.169,0.985147187,0.759535304,Wyoming
-111.356,42.006,0.815258932,0.620395649,Wyoming
-111.355,44.553,1.874148867,1.501460138,Wyoming
-111.353,44.646,2.944220988,2.373376256,Wyoming
-111.352,44.459,1.017419852,0.820965526,Wyoming
-111.352,41.741,0.528287069,0.0,Wyoming
-111.346,42.317,1.140358664,0.877683261,Wyoming
-111.346,42.906,1.271921871,0.962999608,Wyoming
-111.346,44.828,3.02909001,2.399790449,Wyoming
-111.346,41.035,0.0,0.0,Wyoming
-111.345,43.75,0.0,0.0,Wyoming
-111.337,41.927,0.744149163,0.56108606,Wyoming
-111.334,42.264,1.076772496,0.837412251,Wyoming
-111.333,44.774,3.250112137,2.581555884,Wyoming
-111.327,42.827,1.281117973,0.972046869,Wyoming
-111.325,41.627,0.0,0.0,Wyoming
-111.324,44.344,0.542703934,0.0,Wyoming
-111.321,42.211,1.022241282,0.804692531,Wyoming
-111.32,44.721,3.384396775,2.681567232,Wyoming
-111.319,40.92,0.0,0.0,Wyoming
-111.318,41.848,0.661981622,0.0,Wyoming
-111.317,43.635,0.0,0.0,Wyoming
-111.311,45.123,1.095270553,0.846325622,Wyoming
-111.309,42.159,0.979678159,0.767620366,Wyoming
-111.308,42.748,1.383594539,1.052236319,Wyoming
-111.307,44.668,2.959096523,2.377009183,Wyoming
