Longitude,Latitude,B&I Strain(%),Ku Strain(%),State
-84.584,31.07,0.0,0.0,Alabama
-84.603,32.498,0.0,0.0,Alabama
-84.638,32.23,0.0,0.0,Alabama
-84.672,31.963,0.0,0.0,Alabama
-84.707,31.695,0.0,0.0,Alabama
-84.741,31.427,0.0,0.0,Alabama
-84.819,33.329,0.0,0.0,Alabama
-84.853,33.061,0.0,0.0,Alabama
-84.884,33.406,0.0,0.0,Alabama
-84.888,32.794,0.0,0.0,Alabama
-84.922,32.527,0.0,0.0,Alabama
-84.956,32.259,0.0,0.0,Alabama
-84.989,31.991,0.0,0.0,Alabama
-85.023,31.724,0.0,0.0,Alabama
-85.031,33.959,0.0,0.0,Alabama
-85.049,34.46,1.282285975,0.0,Alabama
-85.054,33.781,0.0,0.0,Alabama
-85.056,31.456,0.0,0.0,Alabama
-85.064,34.344,0.934212309,0.0,Alabama
-85.077,33.603,0.0,0.0,Alabama
-85.079,34.229,0.653409432,0.0,Alabama
-85.094,34.113,0.0,0.0,Alabama
-85.099,33.425,0.0,0.0,Alabama
-85.106,31.118,0.0,0.0,Alabama
-85.147,34.819,2.661868449,0.979550783,Alabama
-85.161,30.671,0.0,0.0,Alabama
-85.162,34.703,2.19859947,0.807917686,Alabama
-85.175,33.09,0.0,0.0,Alabama
-85.176,34.588,1.824333076,0.6688707,Alabama
-85.191,34.472,1.42277068,0.520903204,Alabama
-85.206,34.356,1.105663993,0.0,Alabama
-85.208,32.822,0.0,0.0,Alabama
-85.22,34.241,0.765424938,0.0,Alabama
-85.235,34.125,0.526391662,0.0,Alabama
-85.241,32.555,0.0,0.0,Alabama
-85.245,35.177,1.971050295,0.765035007,Alabama
-85.248,33.978,0.0,0.0,Alabama
-85.249,34.009,0.0,0.0,Alabama
-85.26,35.062,2.079891784,0.790030346,Alabama
-85.27,33.8,0.0,0.0,Alabama
-85.274,32.287,0.0,0.0,Alabama
-85.275,34.946,2.17070988,0.817018218,Alabama
-85.289,34.831,2.18899018,0.821191316,Alabama
-85.292,33.621,0.0,0.0,Alabama
-85.304,34.715,2.102791042,0.789404617,Alabama
-85.307,32.019,0.0,0.0,Alabama
-85.315,33.443,0.0,0.0,Alabama
-85.318,34.599,1.788938115,0.660816914,Alabama
-85.333,34.484,1.45617186,0.538164692,Alabama
-85.337,33.265,0.0,0.0,Alabama
-85.339,31.751,0.0,0.0,Alabama
-85.347,34.368,1.107834434,0.0,Alabama
-85.362,34.252,0.790226039,0.0,Alabama
-85.371,31.483,0.0,0.0,Alabama
-85.374,35.305,1.272520802,0.514626815,Alabama
-85.376,34.137,0.569433995,0.0,Alabama
-85.388,35.189,1.475832529,0.593932559,Alabama
-85.391,34.021,0.0,0.0,Alabama
-85.403,35.074,1.614510888,0.640345408,Alabama
-85.417,34.958,1.751776939,0.680264306,Alabama
-85.432,34.842,1.795900654,0.68741161,Alabama
-85.446,34.727,1.87113019,0.714675501,Alabama
-85.461,34.611,1.573144376,0.59727082,Alabama
-85.475,34.495,1.31869136,0.0,Alabama
-85.487,33.818,0.0,0.0,Alabama
-85.489,34.38,1.055633281,0.0,Alabama
-85.503,34.264,0.794026453,0.0,Alabama
-85.508,33.639,0.0,0.0,Alabama
-85.517,35.316,1.019909215,0.0,Alabama
-85.518,34.148,0.583012779,0.0,Alabama
-85.529,32.849,0.0,0.0,Alabama
-85.53,33.461,0.0,0.0,Alabama
-85.532,35.201,1.106584943,0.0,Alabama
-85.532,34.033,0.0,0.0,Alabama
-85.546,35.085,1.260271818,0.515344397,Alabama
-85.552,33.283,0.0,0.0,Alabama
-85.56,34.97,1.431093021,0.581813919,Alabama
-85.561,32.582,0.0,0.0,Alabama
-85.573,33.105,0.0,0.0,Alabama
-85.574,34.854,1.418965453,0.563371738,Alabama
-85.589,34.738,1.422164294,0.559000997,Alabama
-85.593,32.314,0.0,0.0,Alabama
-85.603,34.623,1.347724482,0.530016052,Alabama
-85.617,34.507,1.159093838,0.0,Alabama
-85.624,32.046,0.0,0.0,Alabama
-85.63,31.164,0.0,0.0,Alabama
