Longitude,Latitude,B&I Strain(%),Ku Strain(%),State
-115.243,32.731,35.82959782,35.5003257,Arizona
-115.234,32.696,35.95513076,35.73751015,Arizona
-115.21,32.774,34.07901566,33.54360485,Arizona
-115.202,32.828,32.94152994,32.14252147,Arizona
-115.201,32.739,34.28186075,33.81888081,Arizona
-115.192,32.704,34.47960835,34.12506619,Arizona
-115.188,32.776,33.37853404,32.7995194,Arizona
-115.174,32.723,33.63705889,33.1986131,Arizona
-115.167,33.353,24.06965546,21.76918497,Arizona
-115.161,36.089,8.897645508,4.888315334,Arizona
-115.144,32.828,31.44013677,30.71585386,Arizona
-115.137,33.239,25.03746472,22.76250123,Arizona
-115.13,35.976,6.983584936,3.509002163,Arizona
-115.108,33.126,26.0431456,23.96176767,Arizona
-115.099,35.862,6.462000012,3.242286838,Arizona
-115.088,33.605,19.43299339,16.69086122,Arizona
-115.079,36.34,11.96546409,8.192875684,Arizona
-115.078,33.012,26.82885708,24.90325615,Arizona
-115.069,35.749,5.029599847,2.484340975,Arizona
-115.066,34.822,4.886892972,2.531968658,Arizona
-115.059,33.491,20.05165957,17.41114615,Arizona
-115.049,32.898,27.8021105,26.03511376,Arizona
-115.049,36.227,12.44048798,9.114209746,Arizona
-115.035,35.558,3.826057154,1.897776279,Arizona
-115.029,33.378,20.68132705,18.10408636,Arizona
-115.029,32.766,29.23387485,27.69970895,Arizona
-115.02,34.647,5.626205098,2.956768453,Arizona
-115.02,32.784,28.71658533,27.17503421,Arizona
-115.018,36.113,9.458243262,5.325282333,Arizona
-115.0,33.264,21.52507373,19.05226578,Arizona
-114.989,35.383,3.231964393,1.61947922,Arizona
-114.988,36.0,8.747122177,4.740319487,Arizona
-114.98,33.743,15.54978652,12.0295593,Arizona
-114.971,33.15,22.55074236,20.04037151,Arizona
-114.967,36.478,10.82498344,6.779723376,Arizona
-114.957,35.886,10.37400933,6.779962381,Arizona
-114.95,33.63,16.13600176,12.75444389,Arizona
-114.942,35.208,2.943517945,1.490111529,Arizona
-114.941,33.036,23.52266181,20.96897686,Arizona
-114.936,36.365,12.06971142,8.702299648,Arizona
-114.927,35.773,6.095180095,3.060300466,Arizona
-114.921,33.516,16.83962693,13.44479264,Arizona
-114.912,32.922,24.48756662,21.95897419,Arizona
-114.906,36.251,10.44411448,6.503540943,Arizona
-114.897,35.659,4.125122507,2.013735244,Arizona
-114.896,35.034,2.826533183,1.449635365,Arizona
-114.892,33.402,17.56217169,14.19920773,Arizona
-114.883,32.808,25.20567808,22.88028964,Arizona
-114.883,34.122,8.785379191,5.053015091,Arizona
-114.876,36.138,8.278623163,4.346307552,Arizona
-114.863,33.288,18.4245284,15.17376484,Arizona
-114.85,34.859,2.92296245,1.515611999,Arizona
-114.845,36.024,7.990486916,4.151281278,Arizona
-114.838,33.947,9.902434358,6.023672261,Arizona
-114.834,33.174,19.27748037,16.13562252,Arizona
-114.823,36.502,13.03572673,10.24411619,Arizona
-114.817,35.595,3.516161739,1.721652038,Arizona
-114.815,35.911,8.937265731,5.060423322,Arizona
-114.805,34.684,3.217087547,1.685976496,Arizona
-114.804,33.06,20.12419025,17.64226794,Arizona
-114.793,33.772,10.95208681,7.050173911,Arizona
-114.793,36.389,13.56163139,11.22797724,Arizona
-114.785,35.797,6.068583217,3.039385639,Arizona
-114.783,33.54,13.24121903,9.461685104,Arizona
-114.776,32.946,20.95350033,18.08698106,Arizona
-114.771,35.42,2.70990754,1.340812195,Arizona
-114.763,36.275,10.39408379,6.750531423,Arizona
-114.759,34.509,3.540230124,1.882772283,Arizona
-114.755,35.683,3.914213813,1.898921499,Arizona
-114.754,33.426,13.76690852,9.983943457,Arizona
-114.748,33.596,11.78449055,7.892441243,Arizona
-114.747,32.832,21.55176523,18.85034998,Arizona
-114.733,36.162,7.270746995,3.772568915,Arizona
-114.726,35.246,2.286162744,1.143158256,Arizona
-114.725,33.312,14.46843182,10.74878175,Arizona
-114.714,34.334,4.088711119,2.212278454,Arizona
-114.703,33.421,12.48702892,8.576992033,Arizona
-114.696,33.198,15.61261591,11.90348601,Arizona
-114.68,36.526,13.69561596,11.4872856,Arizona
-114.68,35.071,2.045028413,1.039065904,Arizona
-114.669,34.159,4.764522932,2.620012518,Arizona
-114.65,36.413,11.89120558,9.13936873,Arizona
-114.639,32.97,17.61789805,13.93711465,Arizona
-114.624,33.984,5.446608459,3.05832987,Arizona
-114.62,36.299,8.462721344,4.851176151,Arizona
-114.61,32.856,18.29410544,14.71562721,Arizona
-114.59,36.186,6.152609879,3.122270913,Arizona
-114.589,34.721,1.957463511,1.026879078,Arizona
-114.581,32.742,18.61906851,15.21665806,Arizona
-114.58,33.808,6.015489232,3.425663419,Arizona
-114.545,34.546,2.10703394,1.119298338,Arizona
-114.537,36.55,9.610404018,5.936726929,Arizona
-114.535,33.633,6.510516032,3.733566279,Arizona
-114.507,36.436,7.299163596,3.961681838,Arizona
-114.502,32.994,13.60544047,9.540833292,Arizona
-114.5,34.37,2.395809335,1.287992938,Arizona
-114.483,36.915,9.425593607,5.041141049,Arizona
-114.477,36.323,5.779992052,2.968740346,Arizona
-114.473,32.88,14.25059627,10.21710324,Arizona
-114.455,34.195,2.688046971,1.474482385,Arizona
-114.453,36.801,8.047640637,4.15719067,Arizona
-114.447,36.209,4.718725607,2.348332335,Arizona
-114.423,36.687,7.053089504,3.670136583,Arizona
-114.398,37.165,10.45459457,5.823013814,Arizona
-114.393,36.574,6.007427954,3.093333366,Arizona
-114.368,37.052,9.096936483,4.76418659,Arizona
-114.363,36.46,4.872235663,2.462441678,Arizona
-114.338,36.938,7.702016694,3.876341852,Arizona
-114.334,36.346,4.193161725,2.092335415,Arizona
-114.309,36.824,6.3299424,3.144033756,Arizona
-114.304,36.233,3.6748453,1.812293416,Arizona
-114.283,37.302,9.478065565,5.076274798,Arizona
-114.279,36.711,5.145934691,2.559242052,Arizona
-114.253,37.189,8.94165024,4.667829757,Arizona
-114.253,36.054,3.02739228,1.473929715,Arizona
-114.25,36.597,4.342431693,2.17076297,Arizona
-114.241,34.232,1.607213631,0.86955261,Arizona
-114.224,37.075,7.811612732,3.931989794,Arizona
-114.22,36.483,3.790287878,1.889741745,Arizona
-114.194,36.961,6.408464776,3.161188309,Arizona
-114.165,36.848,5.148850788,2.533024275,Arizona
-114.138,37.326,8.195384866,4.166174981,Arizona
-114.135,36.734,4.286158287,2.123448678,Arizona
-114.123,36.44,3.192865177,1.592910672,Arizona
-114.109,37.212,7.893476531,3.996765301,Arizona
-114.079,37.098,6.853657093,3.409853084,Arizona
-114.078,36.265,2.689803554,1.343863601,Arizona
-114.718,32.718,11.77689722,10.12913743,Arizona
-114.703,36.048,1.369205929,0.707139889,Arizona
-114.689,32.604,12.28350357,10.7986199,Arizona
-114.673,35.934,1.209599603,0.618708251,Arizona
-114.667,33.084,7.049682899,4.847602572,Arizona
-114.661,32.49,12.64719836,11.27262338,Arizona
-114.643,35.821,0.949096358,0.0,Arizona
-114.635,34.896,0.0,0.0,Arizona
-114.599,35.632,0.628373201,0.0,Arizona
-114.56,36.072,1.105805279,0.559529667,Arizona
-114.554,35.457,0.0,0.0,Arizona
-114.553,32.628,9.923346829,7.799467461,Arizona
-114.531,35.958,0.935072862,0.0,Arizona
-114.524,32.514,10.39188465,8.267677409,Arizona
-114.509,35.282,0.0,0.0,Arizona
-114.501,35.845,0.763039406,0.0,Arizona
-114.496,32.4,10.54771577,8.309476941,Arizona
-114.491,33.458,1.934764942,1.300835214,Arizona
-114.463,35.107,0.0,0.0,Arizona
-114.447,33.283,2.178428451,1.467707071,Arizona
-114.445,32.766,5.809104566,3.881385585,Arizona
-114.426,35.843,0.671570601,0.0,Arizona
-114.419,34.932,0.0,0.0,Arizona
-114.418,36.096,0.885437514,0.0,Arizona
-114.416,32.652,6.406477514,4.318131481,Arizona
-114.411,34.02,0.818838119,0.530129135,Arizona
-114.403,33.107,2.586816438,1.721452448,Arizona
-114.388,32.538,7.0785216,4.791077309,Arizona
-114.388,35.982,0.739881209,0.0,Arizona
-114.381,35.668,0.0,0.0,Arizona
-114.374,34.757,0.0,0.0,Arizona
-114.367,33.845,0.883772046,0.57271227,Arizona
-114.36,32.423,7.301633801,4.913851694,Arizona
-114.36,32.932,3.114665351,2.070990161,Arizona
-114.336,35.493,0.0,0.0,Arizona
-114.329,34.582,0.0,0.0,Arizona
-114.323,33.67,0.949347589,0.611732287,Arizona
-114.316,32.756,3.584957988,2.336089379,Arizona
-114.291,35.318,0.0,0.0,Arizona
-114.285,34.407,0.0,0.0,Arizona
-114.279,33.494,1.031135215,0.665838599,Arizona
-114.252,32.561,4.029495731,2.630131591,Arizona
-114.247,35.143,0.0,0.0,Arizona
-114.235,33.319,1.148609921,0.74466581,Arizona
-114.224,32.447,4.118310753,2.65484297,Arizona
-114.208,35.879,0.507142434,0.0,Arizona
-114.202,34.968,0.0,0.0,Arizona
-114.197,34.056,0.0,0.0,Arizona
-114.196,32.333,3.835728895,2.429160575,Arizona
-114.192,33.143,1.318494734,0.863244442,Arizona
-114.163,35.704,0.0,0.0,Arizona
-114.158,34.793,0.0,0.0,Arizona
-114.153,33.881,0.0,0.0,Arizona
-114.149,32.968,1.514730641,0.994327441,Arizona
-114.118,35.529,0.0,0.0,Arizona
-114.114,34.618,0.0,0.0,Arizona
-114.11,33.705,0.520461144,0.0,Arizona
-114.106,32.792,1.694268271,1.100660331,Arizona
-114.086,34.367,0.0,0.0,Arizona
-114.074,35.354,0.0,0.0,Arizona
-114.067,33.53,0.572563677,0.0,Arizona
-114.063,32.616,1.879231803,1.204444875,Arizona
-114.05,36.985,1.292614252,0.670383374,Arizona
-114.033,36.09,0.0,0.0,Arizona
-114.03,35.179,0.0,0.0,Arizona
-114.024,33.355,0.642754808,0.0,Arizona
-114.021,34.104,0.0,0.0,Arizona
-114.02,32.441,1.95802847,1.236454666,Arizona
-114.02,36.871,1.077727011,0.556559024,Arizona
-113.993,37.349,1.713731321,0.894019514,Arizona
-113.991,36.757,0.898110908,0.0,Arizona
-113.989,35.915,0.0,0.0,Arizona
-113.986,35.004,0.0,0.0,Arizona
-113.981,33.179,0.735763049,0.0,Arizona
-113.978,32.265,1.996984656,1.242786831,Arizona
-113.964,37.235,1.622207825,0.848075652,Arizona
-113.956,33.841,0.0,0.0,Arizona
-113.947,36.65,0.748991592,0.0,Arizona
-113.944,35.74,0.0,0.0,Arizona
-113.942,34.829,0.0,0.0,Arizona
-113.938,33.003,0.832443711,0.525556431,Arizona
-113.934,37.121,1.474038472,0.767602927,Arizona
-113.905,37.008,1.2816713,0.670895142,Arizona
-113.902,36.475,0.605967204,0.0,Arizona
-113.9,35.565,0.0,0.0,Arizona
-113.899,34.653,0.0,0.0,Arizona
-113.895,32.828,0.923123402,0.573910571,Arizona
-113.876,36.894,1.087788217,0.565759472,Arizona
-113.858,36.3,0.501642315,0.0,Arizona
-113.856,35.39,0.0,0.0,Arizona
-113.855,34.478,0.0,0.0,Arizona
-113.854,33.566,0.0,0.0,Arizona
-113.853,32.652,1.008235792,0.615548208,Arizona
-113.848,37.372,1.754326036,0.925834342,Arizona
-113.847,36.78,0.900558937,0.0,Arizona
-113.819,37.258,1.740977209,0.92263827,Arizona
-113.813,36.125,0.0,0.0,Arizona
-113.813,35.214,0.0,0.0,Arizona
-113.811,33.39,0.0,0.0,Arizona
-113.811,32.476,1.078026739,0.652274119,Arizona
-113.79,37.144,1.598444839,0.850775384,Arizona
-113.769,35.95,0.0,0.0,Arizona
-113.769,35.039,0.0,0.0,Arizona
-113.769,33.214,0.0,0.0,Arizona
-113.769,32.3,1.178088251,0.705820827,Arizona
-113.761,37.03,1.437545147,0.766616494,Arizona
-113.732,36.917,1.244123172,0.664240454,Arizona
-113.727,33.039,0.0,0.0,Arizona
-113.726,34.864,0.0,0.0,Arizona
-113.726,35.775,0.0,0.0,Arizona
-113.725,36.686,0.788832332,0.0,Arizona
-113.703,36.803,1.017048002,0.534210025,Arizona
-113.702,37.394,2.153566477,1.149760241,Arizona
-113.7,34.157,0.0,0.0,Arizona
-113.685,32.863,0.52671773,0.0,Arizona
-113.683,34.689,0.0,0.0,Arizona
-113.682,35.6,0.0,0.0,Arizona
-113.681,36.511,0.621275414,0.0,Arizona
-113.674,36.689,0.810939666,0.0,Arizona
-113.673,37.281,2.095344938,1.126112996,Arizona
-113.645,37.167,1.945427419,1.059757129,Arizona
-113.643,32.687,0.585835184,0.0,Arizona
-113.64,34.513,0.0,0.0,Arizona
-113.639,35.425,0.0,0.0,Arizona
-113.637,36.335,0.504507982,0.0,Arizona
-113.636,33.894,0.0,0.0,Arizona
