Longitude,Latitude,B&I Strain(%),Ku Strain(%),State
-80.496,32.385,6.262761848,4.245628471,Georgia
-80.557,32.336,4.178364346,2.750396961,Georgia
-80.591,32.397,5.398708933,3.597647128,Georgia
-80.673,32.469,5.842305134,3.927720188,Georgia
-80.694,32.354,3.254760218,2.120652479,Georgia
-80.715,32.238,1.937429485,1.26862398,Georgia
-80.79,32.602,5.885248559,3.899422015,Georgia
-80.811,32.486,3.775345999,2.444366422,Georgia
-80.831,32.371,2.391216759,1.551064027,Georgia
-80.852,32.256,1.558363103,1.008874183,Georgia
-80.873,32.14,1.087969483,0.690618536,Georgia
-80.893,32.025,0.784225002,0.0,Georgia
-80.907,32.734,4.322685802,2.761640991,Georgia
-80.928,32.619,3.34685385,2.161887921,Georgia
-80.948,32.504,2.424665915,1.560911876,Georgia
-80.969,32.388,1.708931776,1.101586245,Georgia
-80.989,32.273,1.234555474,0.792151096,Georgia
-81.004,32.982,3.015177845,1.859445867,Georgia
-81.005,31.907,0.0,0.0,Georgia
-81.009,32.157,0.9114223,0.565681541,Georgia
-81.025,32.867,2.838583047,1.775715502,Georgia
-81.03,32.042,0.680127648,0.0,Georgia
-81.045,32.751,2.527137987,1.588979873,Georgia
-81.066,32.636,2.08733102,1.332881927,Georgia
-81.086,32.521,1.641873203,1.050947641,Georgia
-81.102,33.229,1.906019769,1.152012227,Georgia
-81.106,32.405,1.280337917,0.816480705,Georgia
-81.122,33.114,1.98439445,1.208691162,Georgia
-81.126,32.29,0.974163569,0.609128695,Georgia
-81.143,32.999,1.943576631,1.194957022,Georgia
-81.147,32.175,0.758403899,0.0,Georgia
-81.163,32.883,1.85663605,1.153092337,Georgia
-81.167,32.059,0.0,0.0,Georgia
-81.183,32.768,1.663430236,1.046478624,Georgia
-81.203,32.653,1.443374296,0.908542768,Georgia
-81.215,31.934,0.0,0.0,Georgia
-81.221,33.361,1.424702871,0.853483078,Georgia
-81.224,32.538,1.196518705,0.75383382,Georgia
-81.241,33.246,1.458294049,0.881105075,Georgia
-81.244,32.422,0.976296878,0.605808713,Georgia
-81.246,31.756,0.0,0.0,Georgia
-81.261,33.131,1.456598464,0.885704496,Georgia
-81.264,32.307,0.778743652,0.0,Georgia
-81.276,31.578,0.0,0.0,Georgia
-81.281,33.016,1.424331251,0.874438964,Georgia
-81.284,32.191,0.611849945,0.0,Georgia
-81.301,32.9,1.3544605,0.837635852,Georgia
-81.321,32.785,1.214202555,0.748431179,Georgia
-81.337,31.222,0.0,0.0,Georgia
-81.341,32.67,1.068877536,0.657862577,Georgia
-81.36,33.378,1.152017142,0.672618278,Georgia
-81.361,32.554,0.914198143,0.55427552,Georgia
-81.38,33.263,1.149129978,0.679395064,Georgia
-81.381,32.439,0.763195322,0.0,Georgia
-81.395,32.137,0.0,0.0,Georgia
-81.4,33.148,1.139868822,0.678474448,Georgia
-81.42,33.032,1.084702475,0.649726978,Georgia
-81.426,31.959,0.0,0.0,Georgia
-81.44,32.917,1.022248487,0.610739082,Georgia
-81.456,31.782,0.0,0.0,Georgia
-81.46,32.802,0.928951074,0.552653828,Georgia
-81.479,33.51,0.939898119,0.52449223,Georgia
-81.479,32.686,0.830400543,0.0,Georgia
-81.486,31.604,0.0,0.0,Georgia
-81.499,33.395,0.955328419,0.542141552,Georgia
-81.499,32.571,0.715249779,0.0,Georgia
-81.516,31.426,0.0,0.0,Georgia
-81.519,33.279,0.930396298,0.532079618,Georgia
-81.539,33.164,0.904367285,0.519974756,Georgia
-81.546,31.248,0.0,0.0,Georgia
-81.546,32.518,0.619206348,0.0,Georgia
-81.558,33.049,0.859046297,0.0,Georgia
-81.576,32.34,0.0,0.0,Georgia
-81.578,32.933,0.803767062,0.0,Georgia
-81.599,33.642,0.808362975,0.0,Georgia
-81.604,31.092,0.0,0.0,Georgia
-81.606,32.162,0.0,0.0,Georgia
-81.618,33.526,0.785802638,0.0,Georgia
-81.636,31.985,0.0,0.0,Georgia
-81.638,33.253,0.766657893,0.0,Georgia
-81.638,33.411,0.767630369,0.0,Georgia
-81.649,30.825,0.0,0.0,Georgia
-81.666,31.807,0.0,0.0,Georgia
-81.668,33.075,0.70948494,0.0,Georgia
-81.693,30.558,0.0,0.0,Georgia
-81.695,31.629,0.0,0.0,Georgia
-81.698,32.898,0.6327231,0.0,Georgia
-81.719,33.773,0.703090249,0.0,Georgia
-81.725,31.451,0.0,0.0,Georgia
-81.728,32.72,0.0,0.0,Georgia
-81.736,30.29,0.0,0.0,Georgia
-81.758,32.543,0.0,0.0,Georgia
-81.779,30.023,0.0,0.0,Georgia
-81.788,32.365,0.0,0.0,Georgia
-81.792,33.632,0.647102151,0.0,Georgia
