Longitude,Latitude,B&I Strain(%),Ku Strain(%),State
-86.899,41.561,0.0,0.0,Illinois
-87.095,39.495,0.0,0.0,Illinois
-87.114,39.317,0.0,0.0,Illinois
-87.149,39.162,0.688679774,0.0,Illinois
-87.161,39.047,0.849632415,0.0,Illinois
-87.174,38.931,1.061880437,0.575603434,Illinois
-87.186,38.815,1.27100926,0.700479657,Illinois
-87.198,38.7,1.57797815,0.878046396,Illinois
-87.211,38.584,1.857108011,1.047510235,Illinois
-87.223,38.469,2.199063816,1.245222435,Illinois
-87.235,38.353,2.508461915,1.424476451,Illinois
-87.261,41.584,0.0,0.0,Illinois
-87.272,40.043,0.0,0.0,Illinois
-87.29,41.316,0.0,0.0,Illinois
-87.291,39.865,0.0,0.0,Illinois
-87.3,39.172,0.802842414,0.0,Illinois
-87.31,39.687,0.0,0.0,Illinois
-87.312,39.056,1.026304028,0.547340436,Illinois
-87.319,41.049,0.0,0.0,Illinois
-87.325,38.94,1.308257564,0.712881396,Illinois
-87.329,39.509,0.0,0.0,Illinois
-87.337,38.825,1.698985908,0.929532076,Illinois
-87.348,39.331,0.595992774,0.0,Illinois
-87.348,40.782,0.0,0.0,Illinois
-87.349,38.709,2.071083387,1.13179306,Illinois
-87.361,38.594,2.49226837,1.353997597,Illinois
-87.373,38.478,3.049506305,1.664321257,Illinois
-87.377,40.515,0.0,0.0,Illinois
-87.385,38.362,3.454852654,1.903561622,Illinois
-87.397,38.247,3.900873248,2.176585643,Illinois
-87.405,40.248,0.0,0.0,Illinois
-87.409,38.131,4.311366623,2.476278625,Illinois
-87.439,39.297,0.693712207,0.0,Illinois
-87.451,39.181,0.918577224,0.0,Illinois
-87.463,39.065,1.206897266,0.650567357,Illinois
-87.475,38.95,1.576625139,0.854511415,Illinois
-87.487,38.834,2.080529531,1.121735326,Illinois
-87.499,38.718,2.693702805,1.4306465,Illinois
-87.507,40.057,0.0,0.0,Illinois
-87.511,38.603,3.414851014,1.795676456,Illinois
-87.523,38.487,4.123618693,2.181626302,Illinois
-87.526,39.879,0.0,0.0,Illinois
-87.535,38.372,4.943407519,2.65627601,Illinois
-87.544,39.701,0.0,0.0,Illinois
-87.547,38.256,5.33804523,2.936261256,Illinois
-87.558,38.14,5.763240199,3.277430773,Illinois
-87.563,39.523,0.0,0.0,Illinois
-87.57,38.025,6.11053096,3.61376844,Illinois
-87.582,37.909,6.423789758,3.933514443,Illinois
-87.591,39.306,0.758405479,0.0,Illinois
-87.593,37.793,6.768372717,4.31913796,Illinois
-87.603,39.19,1.00822022,0.542983153,Illinois
-87.605,37.678,6.798943178,4.502049421,Illinois
-87.615,39.074,1.340964795,0.735329249,Illinois
-87.616,37.562,6.669279414,4.518916516,Illinois
-87.622,41.605,0.0,0.0,Illinois
-87.626,38.959,1.842680353,1.001257758,Illinois
-87.628,37.446,6.683105985,4.639613605,Illinois
-87.638,38.843,2.501441408,1.329071757,Illinois
-87.65,38.728,3.433698172,1.77685482,Illinois
-87.65,41.338,0.0,0.0,Illinois
-87.661,38.612,4.295346002,2.215910562,Illinois
-87.673,38.496,5.237135608,2.733862536,Illinois
-87.678,41.071,0.0,0.0,Illinois
-87.685,38.381,6.138440069,3.287689609,Illinois
-87.696,38.265,6.771260844,3.812122638,Illinois
-87.705,40.803,0.0,0.0,Illinois
-87.708,38.149,7.210611586,4.208733074,Illinois
-87.719,38.034,7.478893906,4.593161418,Illinois
-87.731,37.918,7.910409399,5.116460821,Illinois
-87.733,40.536,0.0,0.0,Illinois
-87.742,37.802,7.911776487,5.315492618,Illinois
-87.743,39.315,0.792991096,0.0,Illinois
-87.743,40.071,0.0,0.0,Illinois
-87.753,37.687,8.209582274,5.752052332,Illinois
-87.754,39.199,1.070383642,0.58576656,Illinois
-87.76,40.269,0.0,0.0,Illinois
-87.761,39.893,0.0,0.0,Illinois
-87.765,37.571,8.345278677,6.036991453,Illinois
-87.766,39.083,1.491793482,0.823720952,Illinois
-87.776,37.455,8.216516229,6.031962922,Illinois
-87.777,38.968,2.041362212,1.110646027,Illinois
-87.779,39.715,0.0,0.0,Illinois
-87.787,37.34,8.414267871,6.343431973,Illinois
-87.789,38.852,2.89362235,1.520565472,Illinois
-87.797,39.537,0.0,0.0,Illinois
-87.798,37.224,8.673274238,6.714932033,Illinois
-87.8,38.736,3.894579089,2.038415881,Illinois
-87.812,38.621,5.129380523,2.665025192,Illinois
-87.815,39.359,0.736080821,0.0,Illinois
-87.823,38.505,6.346901374,3.327872056,Illinois
-87.834,38.389,7.252030118,3.99143815,Illinois
-87.846,38.274,8.153745723,4.807011699,Illinois
-87.857,38.158,7.972777657,4.891882393,Illinois
-87.868,38.042,8.299450978,5.379493963,Illinois
-87.875,42.695,0.0,0.0,Illinois
-87.879,37.927,8.695645938,5.972125922,Illinois
-87.891,37.811,9.249677818,6.700306987,Illinois
-87.894,39.323,0.816671645,0.0,Illinois
-87.902,37.695,9.4451668,7.065844835,Illinois
-87.902,42.428,0.0,0.0,Illinois
-87.906,39.208,1.105537929,0.616180476,Illinois
-87.913,37.58,9.464276629,7.261832335,Illinois
-87.917,39.092,1.515681251,0.848947754,Illinois
-87.924,37.464,9.717055374,7.731530408,Illinois
-87.928,38.976,2.118852345,1.171493931,Illinois
-87.93,42.16,0.0,0.0,Illinois
-87.935,37.348,9.856915324,7.944191562,Illinois
-87.94,38.861,2.963884144,1.596205174,Illinois
-87.946,37.233,10.22637892,8.454775344,Illinois
-87.951,38.745,4.106911262,2.167085503,Illinois
-87.957,41.893,0.0,0.0,Illinois
-87.957,37.117,10.5860291,8.943002216,Illinois
-87.962,38.629,5.764429315,3.017215788,Illinois
-87.973,38.514,6.995386362,3.803554482,Illinois
