Longitude,Latitude,B&I Strain(%),Ku Strain(%),State
-90.49,48.058,0.0,0.0,Minnesota
-90.784,43.558,0.0,0.0,Minnesota
-91.154,48.078,0.0,0.0,Minnesota
-91.181,47.625,0.0,0.0,Minnesota
-91.233,46.721,0.0,0.0,Minnesota
-91.382,44.025,0.0,0.0,Minnesota
-91.406,43.577,0.0,0.0,Minnesota
-91.429,43.129,0.0,0.0,Minnesota
-91.819,48.094,0.0,0.0,Minnesota
-91.841,47.642,0.0,0.0,Minnesota
-91.863,47.189,0.0,0.0,Minnesota
-91.906,46.287,0.0,0.0,Minnesota
-91.927,45.837,0.0,0.0,Minnesota
-91.988,44.489,0.0,0.0,Minnesota
-92.008,44.04,0.0,0.0,Minnesota
-92.027,43.592,0.0,0.0,Minnesota
-92.046,43.145,0.0,0.0,Minnesota
-92.484,48.108,0.0,0.0,Minnesota
-92.502,47.655,0.0,0.0,Minnesota
-92.519,47.203,0.0,0.0,Minnesota
-92.536,46.751,0.0,0.0,Minnesota
-92.553,46.3,0.0,0.0,Minnesota
-92.569,45.85,0.0,0.0,Minnesota
-92.586,45.4,0.0,0.0,Minnesota
-92.602,44.95,0.0,0.0,Minnesota
-92.618,44.501,0.0,0.0,Minnesota
-92.633,44.053,0.0,0.0,Minnesota
-92.649,43.605,0.0,0.0,Minnesota
-92.664,43.157,0.0,0.0,Minnesota
-93.137,48.572,0.0,0.0,Minnesota
-93.15,48.118,0.0,0.0,Minnesota
-93.163,47.665,0.0,0.0,Minnesota
-93.175,47.213,0.0,0.0,Minnesota
-93.188,46.761,0.0,0.0,Minnesota
-93.2,46.31,0.0,0.0,Minnesota
-93.212,45.86,0.0,0.0,Minnesota
-93.224,45.41,0.0,0.0,Minnesota
-93.236,44.96,0.0,0.0,Minnesota
-93.248,44.511,0.0,0.0,Minnesota
-93.259,44.063,0.0,0.0,Minnesota
-93.271,43.614,0.0,0.0,Minnesota
-93.282,43.167,0.0,0.0,Minnesota
-93.815,48.126,0.0,0.0,Minnesota
-93.824,47.673,0.0,0.0,Minnesota
-93.832,47.22,0.0,0.0,Minnesota
-93.84,46.768,0.0,0.0,Minnesota
-93.848,46.317,0.0,0.0,Minnesota
-93.855,45.866,0.0,0.0,Minnesota
-93.863,45.416,0.0,0.0,Minnesota
-93.871,44.967,0.0,0.0,Minnesota
-93.878,44.518,0.0,0.0,Minnesota
-93.886,44.069,0.0,0.0,Minnesota
-93.893,43.621,0.0,0.0,Minnesota
-93.9,43.173,0.0,0.0,Minnesota
-94.477,48.584,0.0,0.0,Minnesota
-94.481,48.13,0.0,0.0,Minnesota
-94.485,47.677,0.0,0.0,Minnesota
-94.488,47.224,0.0,0.0,Minnesota
-94.492,46.772,0.0,0.0,Minnesota
-94.495,46.321,0.0,0.0,Minnesota
-94.499,45.87,0.0,0.0,Minnesota
-94.502,45.42,0.0,0.0,Minnesota
-94.505,44.971,0.0,0.0,Minnesota
-94.509,44.522,0.0,0.0,Minnesota
-94.512,44.073,0.0,0.0,Minnesota
-94.515,43.625,0.0,0.0,Minnesota
-94.518,43.177,0.0,0.0,Minnesota
-95.136,43.178,0.0,0.0,Minnesota
-95.137,43.626,0.0,0.0,Minnesota
-95.138,44.074,0.0,0.0,Minnesota
-95.139,44.523,0.0,0.0,Minnesota
-95.14,44.972,0.0,0.0,Minnesota
-95.141,45.421,0.0,0.0,Minnesota
-95.142,45.871,0.0,0.0,Minnesota
-95.143,46.322,0.0,0.0,Minnesota
-95.144,46.773,0.0,0.0,Minnesota
-95.145,47.225,0.0,0.0,Minnesota
-95.146,47.677,0.0,0.0,Minnesota
-95.147,48.131,0.0,0.0,Minnesota
-95.148,48.585,0.0,0.0,Minnesota
-95.149,49.04,0.0,0.0,Minnesota
-95.755,43.176,0.0,0.0,Minnesota
-95.759,43.624,0.0,0.0,Minnesota
-95.764,44.072,0.0,0.0,Minnesota
-95.77,44.52,0.0,0.0,Minnesota
-95.775,44.969,0.0,0.0,Minnesota
-95.78,45.419,0.0,0.0,Minnesota
-95.785,45.869,0.0,0.0,Minnesota
-95.791,46.32,0.0,0.0,Minnesota
-95.796,46.771,0.0,0.0,Minnesota
-95.801,47.223,0.0,0.0,Minnesota
-95.807,47.675,0.0,0.0,Minnesota
-95.813,48.128,0.0,0.0,Minnesota
-95.818,48.582,0.0,0.0,Minnesota
-96.373,43.171,0.0,0.0,Minnesota
-96.382,43.619,0.0,0.0,Minnesota
-96.391,44.067,0.0,0.0,Minnesota
-96.4,44.515,0.0,0.0,Minnesota
-96.409,44.964,0.0,0.0,Minnesota
-96.412,45.574,0.0,0.0,Minnesota
-96.419,45.414,0.0,0.0,Minnesota
-96.428,45.864,0.0,0.0,Minnesota
-96.438,46.314,0.0,0.0,Minnesota
-96.448,46.765,0.0,0.0,Minnesota
-96.458,47.217,0.0,0.0,Minnesota
-96.468,47.67,0.0,0.0,Minnesota
-96.478,48.123,0.0,0.0,Minnesota
-96.489,48.577,0.0,0.0,Minnesota
-96.739,43.416,0.0,0.0,Minnesota
-96.746,43.684,0.0,0.0,Minnesota
-96.753,43.953,0.0,0.0,Minnesota
-96.76,44.222,0.0,0.0,Minnesota
-96.767,44.491,0.0,0.0,Minnesota
-97.057,45.406,0.0,0.0,Minnesota
-97.071,45.856,0.0,0.0,Minnesota
-97.086,46.306,0.0,0.0,Minnesota
-97.1,46.757,0.0,0.0,Minnesota
-97.114,47.209,0.0,0.0,Minnesota
-97.129,47.661,0.0,0.0,Minnesota
-97.144,48.114,0.0,0.0,Minnesota
-97.159,48.568,0.0,0.0,Minnesota
