Longitude,Latitude,B&I Strain(%),Ku Strain(%),State
-87.719,35.007,1.715017599,1.190133637,Mississippi
-87.729,34.891,1.529038349,1.049846258,Mississippi
-87.74,34.775,1.390169563,0.949796625,Mississippi
-87.825,34.525,1.155224794,0.764878598,Mississippi
-87.84,35.248,2.646304829,1.887122135,Mississippi
-87.841,34.347,1.007442445,0.644149902,Mississippi
-87.851,35.132,2.323492379,1.646274661,Mississippi
-87.858,34.168,0.902339255,0.55768675,Mississippi
-87.862,35.016,2.026756795,1.418298345,Mississippi
-87.873,34.9,1.765790345,1.230388589,Mississippi
-87.874,33.99,0.795334876,0.0,Mississippi
-87.883,34.784,1.562203651,1.075843382,Mississippi
-87.89,33.811,0.716253946,0.0,Mississippi
-87.894,34.668,1.388108402,0.949906163,Mississippi
-87.906,33.633,0.623230307,0.0,Mississippi
-87.923,33.454,0.542622075,0.0,Mississippi
-87.939,33.276,0.0,0.0,Mississippi
-87.955,33.097,0.0,0.0,Mississippi
-87.971,30.866,0.0,0.0,Mississippi
-87.971,32.918,0.0,0.0,Mississippi
-87.973,35.372,3.917982257,2.834875866,Mississippi
-87.984,35.256,3.335310841,2.390223265,Mississippi
-87.986,32.739,0.0,0.0,Mississippi
-87.994,35.14,2.843280762,2.04239526,Mississippi
-88.002,32.561,0.0,0.0,Mississippi
-88.005,35.024,2.416178085,1.716427276,Mississippi
-88.016,34.909,2.063719617,1.447084221,Mississippi
-88.018,32.382,0.0,0.0,Mississippi
-88.026,34.793,1.772762511,1.237547179,Mississippi
-88.034,32.203,0.0,0.0,Mississippi
-88.037,34.677,1.549707702,1.069086572,Mississippi
-88.044,34.538,1.32638481,0.902155671,Mississippi
-88.06,34.36,1.110633069,0.736394934,Mississippi
-88.076,34.181,0.942688804,0.602864895,Mississippi
-88.091,34.003,0.809274744,0.0,Mississippi
-88.107,33.824,0.686799446,0.0,Mississippi
-88.117,35.381,5.091334394,3.768230204,Mississippi
-88.123,33.646,0.583337351,0.0,Mississippi
-88.128,35.265,4.250643178,3.087649086,Mississippi
-88.138,35.149,3.50470368,2.53336747,Mississippi
-88.139,33.467,0.0,0.0,Mississippi
-88.148,35.033,2.909638862,2.08669685,Mississippi
-88.154,33.289,0.0,0.0,Mississippi
-88.159,34.917,2.439959666,1.736271793,Mississippi
-88.169,34.801,2.035828106,1.430818639,Mississippi
-88.17,33.11,0.0,0.0,Mississippi
-88.179,34.685,1.744015887,1.221957404,Mississippi
-88.185,32.931,0.0,0.0,Mississippi
-88.189,34.569,1.501539271,1.038638342,Mississippi
-88.194,31.961,0.0,0.0,Mississippi
-88.201,32.752,0.0,0.0,Mississippi
-88.216,32.574,0.0,0.0,Mississippi
-88.217,31.692,0.0,0.0,Mississippi
-88.231,32.395,0.0,0.0,Mississippi
-88.24,31.424,0.0,0.0,Mississippi
-88.246,32.216,0.0,0.0,Mississippi
-88.261,32.037,0.0,0.0,Mississippi
-88.261,35.389,6.382345521,4.864659464,Mississippi
-88.262,31.155,0.0,0.0,Mississippi
-88.271,35.273,5.369331712,3.997276015,Mississippi
-88.278,34.373,1.230864443,0.835008262,Mississippi
-88.281,35.157,4.377032013,3.186788893,Mississippi
-88.284,30.886,0.0,0.0,Mississippi
-88.292,35.041,3.553138169,2.580705561,Mississippi
-88.294,34.194,1.009720437,0.665528969,Mississippi
-88.302,34.925,2.903260761,2.087533098,Mississippi
-88.306,30.616,0.0,0.0,Mississippi
-88.309,34.016,0.823495175,0.522949654,Mississippi
-88.312,34.809,2.389923603,1.703443937,Mississippi
-88.322,34.693,1.985068194,1.396334795,Mississippi
-88.324,33.837,0.672019057,0.0,Mississippi
-88.332,34.578,1.685894673,1.179468705,Mississippi
-88.34,33.659,0.54561494,0.0,Mississippi
-88.342,34.462,1.441750381,0.999338397,Mississippi
