Longitude,Latitude,B&I Strain(%),Ku Strain(%),State
-70.433,43.408,0.0,0.0,New Hampshire
-70.548,43.551,0.0,0.0,New Hampshire
-70.573,44.399,0.0,0.0,New Hampshire
-70.581,43.918,0.0,0.0,New Hampshire
-70.589,43.438,0.0,0.0,New Hampshire
-70.615,44.286,0.0,0.0,New Hampshire
-70.622,43.806,0.0,0.0,New Hampshire
-70.63,43.325,0.0,0.0,New Hampshire
-70.656,44.173,0.0,0.0,New Hampshire
-70.663,43.693,0.0,0.0,New Hampshire
-70.668,45.081,0.0,0.0,New Hampshire
-70.671,43.213,0.0,0.0,New Hampshire
-70.697,44.061,0.0,0.0,New Hampshire
-70.704,43.58,0.0,0.0,New Hampshire
-70.712,43.1,0.0,0.0,New Hampshire
-70.718,42.62,0.0,0.0,New Hampshire
-70.731,44.429,0.0,0.0,New Hampshire
-70.732,44.907,0.0,0.0,New Hampshire
-70.738,43.948,0.0,0.0,New Hampshire
-70.745,43.467,0.0,0.0,New Hampshire
-70.773,44.316,0.0,0.0,New Hampshire
-70.779,43.835,0.0,0.0,New Hampshire
-70.786,43.355,0.0,0.0,New Hampshire
-70.796,44.733,0.0,0.0,New Hampshire
-70.814,44.203,0.0,0.0,New Hampshire
-70.82,43.722,0.0,0.0,New Hampshire
-70.826,43.242,0.0,0.0,New Hampshire
-70.833,42.762,0.0,0.0,New Hampshire
-70.855,44.09,0.0,0.0,New Hampshire
-70.86,44.559,0.0,0.0,New Hampshire
-70.861,43.609,0.0,0.0,New Hampshire
-70.867,43.129,0.0,0.0,New Hampshire
-70.873,42.65,0.0,0.0,New Hampshire
-70.896,43.977,0.0,0.0,New Hampshire
-70.902,43.497,0.0,0.0,New Hampshire
-70.907,43.017,0.0,0.0,New Hampshire
-70.913,42.537,0.0,0.0,New Hampshire
-70.914,45.126,0.0,0.0,New Hampshire
-70.923,44.385,0.0,0.0,New Hampshire
-70.931,44.345,0.0,0.0,New Hampshire
-70.936,43.864,0.0,0.0,New Hampshire
-70.942,43.384,0.0,0.0,New Hampshire
-70.947,42.904,0.0,0.0,New Hampshire
-70.972,44.232,0.0,0.0,New Hampshire
-70.977,43.751,0.0,0.0,New Hampshire
-70.978,44.952,0.0,0.0,New Hampshire
-70.982,43.271,0.0,0.0,New Hampshire
-70.987,42.791,0.0,0.0,New Hampshire
-71.013,44.119,0.0,0.0,New Hampshire
-71.018,43.639,0.0,0.0,New Hampshire
-71.022,43.159,0.0,0.0,New Hampshire
-71.027,42.679,0.0,0.0,New Hampshire
-71.041,44.778,0.0,0.0,New Hampshire
-71.053,44.006,0.0,0.0,New Hampshire
-71.058,43.526,0.0,0.0,New Hampshire
-71.062,43.046,0.56428229,0.0,New Hampshire
-71.067,42.566,0.0,0.0,New Hampshire
-71.094,43.893,0.0,0.0,New Hampshire
-71.098,43.413,0.0,0.0,New Hampshire
-71.102,42.933,0.620227774,0.0,New Hampshire
-71.104,44.604,0.0,0.0,New Hampshire
-71.107,42.454,0.0,0.0,New Hampshire
-71.13,44.261,0.0,0.0,New Hampshire
-71.134,43.781,0.0,0.0,New Hampshire
-71.138,43.3,0.5491249,0.0,New Hampshire
-71.142,42.82,0.642448034,0.0,New Hampshire
-71.161,45.171,0.0,0.0,New Hampshire
-71.167,44.43,0.0,0.0,New Hampshire
-71.17,44.148,0.0,0.0,New Hampshire
-71.174,43.668,0.0,0.0,New Hampshire
-71.178,43.188,0.644199535,0.0,New Hampshire
-71.182,42.708,0.552706618,0.0,New Hampshire
-71.211,44.035,0.0,0.0,New Hampshire
-71.214,43.555,0.0,0.0,New Hampshire
-71.218,43.075,0.702531,0.0,New Hampshire
-71.221,42.595,0.0,0.0,New Hampshire
-71.224,44.997,0.0,0.0,New Hampshire
-71.229,44.256,0.0,0.0,New Hampshire
-71.251,43.922,0.0,0.0,New Hampshire
-71.254,43.442,0.559957413,0.0,New Hampshire
-71.258,42.962,0.777647216,0.0,New Hampshire
-71.261,42.482,0.0,0.0,New Hampshire
-71.286,44.822,0.0,0.0,New Hampshire
-71.291,43.809,0.0,0.0,New Hampshire
-71.294,43.329,0.653842252,0.0,New Hampshire
-71.297,42.849,0.784946469,0.0,New Hampshire
-71.3,42.37,0.0,0.0,New Hampshire
-71.328,44.177,0.0,0.0,New Hampshire
-71.331,43.696,0.0,0.0,New Hampshire
-71.334,43.216,0.7709427,0.0,New Hampshire
-71.337,42.736,0.65730594,0.0,New Hampshire
-71.349,44.648,0.0,0.0,New Hampshire
-71.369,44.064,0.0,0.0,New Hampshire
-71.371,43.584,0.0,0.0,New Hampshire
-71.373,43.103,0.873237898,0.0,New Hampshire
-71.376,42.624,0.0,0.0,New Hampshire
-71.409,43.951,0.0,0.0,New Hampshire
-71.411,43.471,0.603721361,0.0,New Hampshire
-71.411,44.474,0.0,0.0,New Hampshire
-71.413,42.991,0.933972511,0.0,New Hampshire
-71.415,42.511,0.0,0.0,New Hampshire
-71.421,42.258,0.0,0.0,New Hampshire
-71.448,43.838,0.0,0.0,New Hampshire
-71.45,43.358,0.725156048,0.0,New Hampshire
-71.452,42.878,0.992372732,0.0,New Hampshire
-71.47,45.041,0.0,0.0,New Hampshire
-71.473,44.3,0.0,0.0,New Hampshire
-71.488,43.725,0.0,0.0,New Hampshire
-71.49,43.245,0.8335169,0.0,New Hampshire
-71.491,42.765,0.753871958,0.0,New Hampshire
-71.526,44.093,0.0,0.0,New Hampshire
-71.528,43.612,0.0,0.0,New Hampshire
-71.529,43.132,0.962534777,0.0,New Hampshire
-71.53,42.652,0.0,0.0,New Hampshire
-71.532,44.867,0.0,0.0,New Hampshire
-71.534,44.126,0.0,0.0,New Hampshire
-71.566,43.98,0.0,0.0,New Hampshire
-71.567,43.499,0.589053354,0.0,New Hampshire
-71.568,43.019,1.047002763,0.0,New Hampshire
-71.569,42.539,0.0,0.0,New Hampshire
-71.594,44.692,0.0,0.0,New Hampshire
-71.606,43.867,0.0,0.0,New Hampshire
-71.607,43.386,0.693216861,0.0,New Hampshire
-71.607,42.906,1.024576485,0.0,New Hampshire
-71.645,43.754,0.0,0.0,New Hampshire
-71.646,43.273,0.842242714,0.0,New Hampshire
-71.646,42.793,0.766401144,0.0,New Hampshire
-71.655,44.518,0.0,0.0,New Hampshire
-71.657,42.302,0.0,0.0,New Hampshire
-71.685,43.641,0.0,0.0,New Hampshire
-71.685,43.16,0.875459204,0.0,New Hampshire
-71.685,42.681,0.0,0.0,New Hampshire
-71.716,44.344,0.0,0.0,New Hampshire
-71.724,42.568,0.0,0.0,New Hampshire
-71.724,43.047,0.922623916,0.0,New Hampshire
-71.724,43.528,0.0,0.0,New Hampshire
-71.724,44.008,0.0,0.0,New Hampshire
