Longitude,Latitude,B&I Strain(%),Ku Strain(%),State
-124.521,42.867,31.12897393,31.66014699,Oregon
-124.506,42.833,31.43731217,31.93817579,Oregon
-124.491,42.799,31.59529172,32.09614777,Oregon
-124.489,42.913,30.60664408,31.21329103,Oregon
-124.476,42.765,31.66597768,32.16739599,Oregon
-124.474,42.878,30.91483048,31.47277022,Oregon
-124.461,42.731,31.63760428,32.1283063,Oregon
-124.459,42.844,31.20898573,31.73150955,Oregon
-124.457,42.958,30.25293816,30.90016279,Oregon
-124.446,42.697,31.58801128,32.06439462,Oregon
-124.444,42.81,31.38194166,31.88482128,Oregon
-124.442,42.923,30.43604852,31.05883278,Oregon
-124.441,43.037,30.07077745,30.72925163,Oregon
-124.429,42.776,31.3869787,31.88569226,Oregon
-124.427,42.889,30.65927144,31.25676889,Oregon
-124.426,43.003,30.05040349,30.70377551,Oregon
-124.424,43.116,30.24029394,30.89285638,Oregon
-124.42,42.403,33.27085461,33.95595654,Oregon
-124.414,42.742,31.34524056,31.83761006,Oregon
-124.412,42.855,30.9105716,31.46879843,Oregon
-124.41,42.968,30.10674719,30.7527049,Oregon
-124.409,43.082,30.11400471,30.76960959,Oregon
-124.407,42.255,32.91492457,33.54309277,Oregon
-124.405,42.369,33.30812006,34.00721038,Oregon
-124.403,42.482,33.0934121,33.76703121,Oregon
-124.399,42.708,31.3176349,31.80378234,Oregon
-124.397,42.821,31.05387701,31.59499453,Oregon
-124.395,42.934,30.22465633,30.86368018,Oregon
-124.394,43.048,29.97509806,30.62991605,Oregon
-124.392,43.161,30.53193416,31.15343832,Oregon
-124.39,42.334,33.40376802,34.12628287,Oregon
-124.388,42.448,33.23777568,33.92826533,Oregon
-124.386,42.561,32.09805878,32.60841935,Oregon
-124.384,42.674,31.32615085,31.80360531,Oregon
-124.382,42.787,31.04631739,31.58293225,Oregon
-124.38,42.9,30.39567473,31.01983497,Oregon
-124.379,43.013,29.90429524,30.5598708,Oregon
-124.377,43.127,30.26478894,30.90623212,Oregon
-124.375,42.3,33.40992489,34.13487844,Oregon
-124.375,43.24,30.60497212,31.23867053,Oregon
-124.373,42.413,33.36506428,34.09038483,Oregon
-124.371,42.527,32.36536395,32.93997788,Oregon
-124.369,42.64,31.36437116,31.83407012,Oregon
-124.367,42.753,30.9918004,31.52487373,Oregon
-124.366,42.866,30.56499529,31.16999318,Oregon
-124.364,42.979,29.91174093,30.5638335,Oregon
-124.362,42.153,33.22922951,33.90225164,Oregon
-124.362,43.093,30.03071356,30.67887248,Oregon
-124.36,42.266,33.29665138,33.99724922,Oregon
-124.36,43.206,30.72642625,31.34903054,Oregon
-124.359,42.379,33.43502949,34.40946977,Oregon
-124.358,43.319,30.18127714,30.8520957,Oregon
-124.357,42.493,32.56726852,33.16437806,Oregon
-124.355,42.606,31.48802244,31.9542345,Oregon
-124.353,42.719,30.9695125,31.49614933,Oregon
-124.351,42.832,30.68281181,31.27403429,Oregon
-124.349,42.945,29.98367546,30.62750899,Oregon
-124.348,42.119,33.00445544,33.64244014,Oregon
-124.347,43.058,29.8350274,30.49355355,Oregon
-124.346,42.232,33.36822313,34.08547147,Oregon
-124.344,42.345,33.4418579,34.41413288,Oregon
-124.344,43.172,30.5949827,31.21705181,Oregon
-124.342,42.458,32.67153706,33.29004003,Oregon
-124.342,43.285,30.42803649,31.08104216,Oregon
-124.34,42.572,31.62389795,32.10546188,Oregon
-124.338,42.685,30.95476838,31.47519807,Oregon
