Longitude,Latitude,B&I Strain(%),Ku Strain(%),State
-78.181,34.066,0.0,0.0,South Carolina
-78.358,34.273,0.0,0.0,South Carolina
-78.396,34.097,0.0,0.0,South Carolina
-78.434,33.921,0.0,0.0,South Carolina
-78.573,34.304,0.0,0.0,South Carolina
-78.611,34.128,0.0,0.0,South Carolina
-78.648,33.952,0.0,0.0,South Carolina
-78.752,34.511,0.0,0.0,South Carolina
-78.789,34.335,0.0,0.0,South Carolina
-78.826,34.158,0.0,0.0,South Carolina
-78.863,33.982,0.0,0.0,South Carolina
-78.9,33.806,0.0,0.0,South Carolina
-78.931,34.718,0.0,0.0,South Carolina
-78.968,34.541,0.0,0.0,South Carolina
-78.999,33.779,0.0,0.0,South Carolina
-79.005,34.365,0.0,0.0,South Carolina
-79.023,33.664,0.758920994,0.0,South Carolina
-79.042,34.189,0.0,0.0,South Carolina
-79.047,33.549,0.940523505,0.604226532,South Carolina
-79.078,34.012,0.0,0.0,South Carolina
-79.112,34.924,0.0,0.0,South Carolina
-79.115,33.913,0.0,0.0,South Carolina
-79.139,33.798,0.752183883,0.0,South Carolina
-79.149,34.747,0.0,0.0,South Carolina
-79.162,33.683,0.963450714,0.618378426,South Carolina
-79.185,34.571,0.0,0.0,South Carolina
-79.186,33.569,1.249514986,0.820707925,South Carolina
-79.209,33.454,1.629752584,1.080357193,South Carolina
-79.221,34.395,0.0,0.0,South Carolina
-79.232,34.047,0.0,0.0,South Carolina
-79.232,33.339,2.097764519,1.395036396,South Carolina
-79.255,33.932,0.701089149,0.0,South Carolina
-79.255,33.224,2.624230863,1.740260092,South Carolina
-79.257,34.218,0.0,0.0,South Carolina
-79.278,33.817,0.909920274,0.574467549,South Carolina
-79.302,33.703,1.224148838,0.798364638,South Carolina
-79.325,33.588,1.659204928,1.098626405,South Carolina
-79.33,34.953,0.0,0.0,South Carolina
-79.348,33.473,2.416208816,1.610345585,South Carolina
-79.366,34.777,0.0,0.0,South Carolina
-79.371,33.358,3.418275638,2.28297148,South Carolina
-79.372,34.066,0.617429951,0.0,South Carolina
-79.394,33.243,4.753670542,3.155573206,South Carolina
-79.395,33.951,0.813351231,0.501108641,South Carolina
-79.402,34.6,0.0,0.0,South Carolina
-79.417,33.128,5.684949105,3.826983135,South Carolina
-79.418,33.836,1.071153468,0.685957671,South Carolina
-79.438,34.424,0.0,0.0,South Carolina
-79.44,33.013,6.118597499,4.065421867,South Carolina
-79.441,33.722,1.491276437,0.981724818,South Carolina
-79.464,33.607,2.219083709,1.46709568,South Carolina
-79.473,34.248,0.0,0.0,South Carolina
-79.487,33.492,3.55532016,2.364246107,South Carolina
-79.488,34.2,0.0,0.0,South Carolina
-79.51,33.377,5.796343726,3.976324351,South Carolina
-79.512,34.085,0.695548291,0.0,South Carolina
-79.512,35.159,0.0,0.0,South Carolina
