Longitude,Latitude,D (m),log(D)
-114.496,32.4,0.32069,-0.4939145823619582
-114.36,32.423,0.15149,-0.8196160344102362
-114.661,32.49,0.18953,-0.7223220373937465
-114.524,32.514,0.21763,-0.6622812379425513
-114.388,32.538,0.13662,-0.8644857190012136
-117.048,32.552,1.38292,0.14079705750376742
-114.252,32.561,0.08704,-1.0602811176458953
-116.819,32.567,0.47132,-0.32668413099074217
-116.683,32.593,0.44024,-0.35631050019689986
-114.689,32.604,0.17856,-0.7482158227425153
-116.275,32.619,1.15105,0.061094189183622985
-116.548,32.619,0.56616,-0.24706081740279853
-114.553,32.628,0.16701,-0.7772575239733992
-117.07,32.63,1.31649,0.11941756457287814
-115.942,32.637,2.7743,0.4431534218778309
-116.207,32.642,1.47411,0.16852989234972607
-116.412,32.646,0.92087,-0.03580167519684465
-115.881,32.651,4.61521,0.6641914669580843
-114.416,32.652,0.11513,-0.9388114953379288
-116.986,32.654,0.73592,-0.1331693941501723
-116.145,32.654,1.81924,0.2598899963697679
-115.662,32.654,1.68169,0.22574594170120127
-115.839,32.658,10.10156,1.004388447750506
-117.16,32.662,5.17612,0.7140043361949792
-115.62,32.662,1.40613,0.14802547407834074
-116.082,32.666,2.35538,0.3720609830529742
-115.797,32.666,4.58788,0.6616120500270977
-115.578,32.67,1.25459,0.09850182157041547
-115.974,32.67,3.15217,0.49860963142888176
-117.118,32.67,1.9607,0.29241114883782504
-115.755,32.674,2.78052,0.4441260232605723
-115.536,32.678,1.35385,0.13157054929670228
-115.932,32.678,3.82112,0.582190676662367
-116.391,32.68,1.17163,0.06879048341554578
-116.851,32.68,0.51539,-0.2878640122246782
-115.318,32.681,9.43593,0.9747847104324541
-115.713,32.682,2.01438,0.3041414008432367
-115.495,32.685,1.8633,0.27028278396521316
-115.89,32.686,5.61207,0.7491230793955485
-117.212,32.688,2.50444,0.39871063156114933
-115.276,32.688,3.85212,0.5856998076648748
-115.671,32.689,1.59235,0.20203853222214938
-115.453,32.693,2.98056,0.47429786879479896
-115.848,32.693,7.82745,0.8936203021217922
-116.222,32.695,2.07486,0.31698879826320336
-115.234,32.696,2.16374,0.33520507374082537
-117.17,32.697,4.78999,0.6803346067445524
-116.025,32.697,3.53976,0.548973817333963
-115.629,32.697,1.39926,0.14589841933385073
-116.296,32.698,1.92403,0.28421183939248124
-115.411,32.701,6.11458,0.7863666314546013
-115.806,32.701,4.13502,0.6164776144613907
-115.192,32.704,1.44587,0.1601292467478003
-117.128,32.705,2.2504,0.3522597191571445
-115.983,32.705,4.04332,0.6067381140110557
-115.588,32.705,1.39399,0.1442596582954222
-116.159,32.706,2.54892,0.40635620498524455
-116.715,32.707,0.58716,-0.23124353819243693
-115.369,32.708,15.39173,1.1872874364155033
-115.764,32.709,2.70817,0.43267592284346384
-115.546,32.713,1.57696,0.197820677476275
-115.941,32.713,4.67072,0.6693838330125167
-115.327,32.716,5.7967,0.7631808246564441
-115.723,32.717,2.07852,0.31775420774425384
-114.718,32.718,0.13212,-0.8790314349806234
-115.504,32.72,2.29209,0.3602316664087844
-115.899,32.721,6.83065,0.8344620328149852
