Longitude,Latitude,D (m),log(D)
-116.766,36.062,11.60548,1.0646631074839052
-116.781,36.114,11.09451,1.0451081259465382
-116.797,36.166,11.0571,1.043641237353428
-116.858,36.375,10.7301,1.0306037694259527
-116.874,36.427,10.90148,1.0374854623626908
-116.889,36.479,10.94038,1.0390324069185275
-116.904,36.531,10.22215,1.0095422495104645
-116.92,36.584,10.79263,1.0331272885483764
-117.001,36.623,10.89756,1.0373292688433973
-117.083,36.663,9.04502,0.9564095314921327
-117.017,36.676,7.81638,0.8930056648217036
-117.098,36.715,10.55113,1.023298973992423
-117.18,36.755,9.87067,0.9943466326521284
-117.114,36.767,6.74246,0.8288183786576236
-117.196,36.807,11.49148,1.0603759655412732
-117.277,36.847,7.01993,0.8463327815364571
-117.211,36.859,9.24272,0.9657997966699653
-117.293,36.899,10.16323,1.0070317540349012
-117.227,36.911,6.58047,0.8182569135405359
-117.375,36.939,5.86346,0.768153966779899
-117.309,36.951,12.49524,1.0967446021731255
-117.854,36.902,2.01628,0.3045508422631205
-117.391,36.991,8.19596,0.9135998301803937
-117.325,37.003,8.10762,0.908893385337875
-117.87,36.954,1.90139,0.2790712054905111
-117.473,37.03,5.78298,0.762151690331494
-117.341,37.055,5.81108,0.7642568543269848
-117.952,36.993,1.93239,0.28609478137292954
-117.555,37.07,4.27486,0.6309218963219543
-117.489,37.082,8.35825,0.9221153569962539
-117.423,37.095,7.84086,0.8943636995174707
-117.571,37.122,5.56893,0.7457717589555166
-117.439,37.147,5.73268,0.7583576999967354
-118.117,37.072,2.03453,0.30846409809119585
-117.587,37.174,7.52245,0.8763593097658887
-117.521,37.186,8.5732,0.9331429552889912
-118.133,37.124,1.90348,0.2795483180112899
-117.67,37.213,5.18673,0.7148936409833504
-117.537,37.238,6.15372,0.7891377315569704
-118.15,37.176,1.89215,0.27695556208166633
-118.084,37.189,1.59565,0.20293763655223795
-118.017,37.201,1.57592,0.19753416718881678
-117.752,37.252,4.08478,0.611168671062089
-117.686,37.265,7.10806,0.8517510850813416
-117.553,37.29,4.80203,0.6814248689225411
-118.034,37.253,5.44798,0.7362355045755105
-117.968,37.266,1.99053,0.29896872737918506
-117.835,37.292,3.84631,0.5850442840272202
-117.769,37.305,6.149,0.7888044930446484
-117.636,37.33,6.53925,0.815527941055229
-118.183,37.28,2.21828,0.34601636362560323
-117.984,37.318,3.78,0.5774917998372253
-117.918,37.331,3.25488,0.5125349817525968
-117.851,37.344,5.89449,0.7704462352551412
-117.718,37.369,5.92793,0.7729030666323335
-117.652,37.382,4.21966,0.6252774590013516
-118.199,37.332,1.99252,0.2994026893384363
-118.133,37.344,3.21051,0.506574026982012
-117.735,37.421,3.83282,0.583518424043727
-118.216,37.383,2.04747,0.311217547096726
-118.15,37.396,2.04069,0.3097770363109987
-118.083,37.409,6.24573,0.7955832059517183
-117.817,37.461,4.75526,0.6771742675359582
-118.299,37.422,4.92166,0.6921116083054091
-118.232,37.435,2.30016,0.3617580467568422
-118.166,37.448,2.09823,0.32185309217783503
-118.1,37.461,2.8907,0.4610030224540994
-117.834,37.513,3.86445,0.5870876925720636
-118.448,37.448,1.90225,0.279267592772589
-118.382,37.461,3.3791,0.5288010443364723
-118.316,37.474,5.42838,0.7346702417376383
-118.249,37.487,2.72426,0.4352485537461862
-118.183,37.5,2.51288,0.40017174980142367
-118.116,37.513,3.18953,0.5037266913816615
-117.85,37.565,3.25983,0.5131949522191637
-118.465,37.5,2.04882,0.3115038049406756
-118.399,37.513,3.2875,0.5168657614978143
-118.332,37.526,6.32432,0.8010138363895545
-118.266,37.539,3.74118,0.573008603981722
-118.199,37.552,3.03303,0.4818767059816237
-118.133,37.565,4.35727,0.6392144720030071
-117.933,37.604,4.05144,0.6076094115852612
-118.482,37.552,2.13842,0.33009300759332727
-118.415,37.565,2.83824,0.45304911637469286
-118.349,37.578,6.07764,0.783734971715649
-118.282,37.591,3.2668,0.5141225469164648
-118.216,37.604,3.31836,0.520923499690873
-117.949,37.656,3.43385,0.5357813200633651
-118.565,37.591,5.2117,0.7169794085573584
-118.499,37.604,1.98769,0.2983486528040572
-118.432,37.617,2.38319,0.37715866788660674
-118.366,37.63,5.2455,0.719786891364926
-118.299,37.643,3.48219,0.5418524639956567
-118.232,37.656,3.66686,0.5642943289984699
-117.966,37.708,3.29997,0.5185099917282877
-117.899,37.721,2.52569,0.402380044734241
-118.582,37.643,2.0722,0.31643166936693035
-118.515,37.656,1.77862,0.2500831715064655
-118.449,37.669,2.42826,0.3852951859122589
-118.382,37.682,4.74754,0.6764686325361944
-118.316,37.695,3.91066,0.5922500592294043
-117.915,37.773,2.88145,0.4596110879421901
-118.599,37.695,1.62573,0.2110484199500789
-118.532,37.708,1.76935,0.24781375039621364
-118.466,37.721,2.51714,0.40090737110521335
-118.399,37.734,4.48211,0.6514825107904724
-118.332,37.747,4.30152,0.6336219465019733
-117.865,37.837,2.06822,0.3155967335051785
-118.682,37.733,1.79185,0.2533016510298476
-118.616,37.747,1.53355,0.18569794032508852
-118.549,37.76,1.96074,0.2924200087358608
-118.482,37.773,2.88158,0.4596306812056841
-117.881,37.889,2.59548,0.41421768668313874
-118.699,37.785,1.50334,0.17705721307190758
-118.633,37.799,1.58135,0.1990280029151406
-118.566,37.812,2.04739,0.3112005777456094
-118.499,37.825,3.02382,0.4805559351977495
-117.898,37.941,4.04755,0.6071922223642556
-119.049,37.771,2.09029,0.32020654288747574
-118.783,37.824,1.41676,0.15129628673050344
-118.716,37.837,1.463,0.16524432612531087
-118.65,37.85,1.7096,0.232894509156013
-118.583,37.864,2.13827,0.33006254283094694
-118.516,37.877,2.79115,0.4457831766612531
-118.182,37.942,3.88054,0.5888921644349596
-118.115,37.955,4.3881,0.6422765161117281
-117.847,38.006,2.21215,0.3448145719832977
-119.067,37.822,3.19587,0.5045891049877227
-118.933,37.849,3.64045,0.5611550705824475
-118.867,37.863,1.37588,0.13858055772912067
