Longitude,Latitude,D (m),log(D)
-111.463,31.497,0.00116,-2.9355420107730814
-112.001,32.51,0.00106,-2.9746941347352296
-112.375,32.726,0.00099,-3.00436480540245
-112.058,32.775,0.00087,-3.0604807473813813
-111.741,32.822,0.00094,-3.0268721464003012
-112.751,32.941,0.00101,-2.9956786262173574
-112.434,32.991,0.00081,-3.0915149811213505
-112.116,33.039,0.00077,-3.113509274827518
-111.798,33.087,0.0009,-3.0457574905606752
-113.447,33.103,0.0017,-2.769551078621726
-113.129,33.155,0.00117,-2.9318141382538383
-112.811,33.205,0.00086,-3.065501548756432
-112.493,33.255,0.00076,-3.1191864077192086
-112.174,33.304,0.0008,-3.0969100130080562
-111.855,33.352,0.00095,-3.0222763947111524
-113.509,33.367,0.0015,-2.8239087409443187
-113.191,33.419,0.00106,-2.9746941347352296
-112.872,33.469,0.00085,-3.070581074285707
-112.552,33.519,0.00086,-3.065501548756432
-113.572,33.631,0.00141,-2.85078088734462
-113.253,33.682,0.00107,-2.9706162223147903
-113.956,33.841,0.00198,-2.703334809738469
-113.636,33.894,0.00137,-2.8632794328435933
-114.021,34.104,0.00177,-2.752026733638193
-113.7,34.157,0.00138,-2.8601209135987635
-114.086,34.367,0.00159,-2.7986028756795487
-109.486,34.763,0.00049,-3.309803919971486
-109.864,34.987,0.00038,-3.42021640338319
-109.536,35.028,0.0003,-3.5228787452803374
-109.208,35.069,0.00031,-3.5086383061657274
-108.88,35.108,0.00039,-3.408935392973501
-110.244,35.21,0.00042,-3.3767507096020997
-109.915,35.252,0.00027,-3.5686362358410126
-109.587,35.293,0.00021,-3.677780705266081
-109.258,35.334,0.0002,-3.6989700043360187
-108.929,35.373,0.00025,-3.6020599913279625
-108.599,35.412,0.00036,-3.4436974992327127
-110.297,35.474,0.00035,-3.4559319556497243
-109.968,35.517,0.00022,-3.657577319177794
-109.638,35.558,0.00016,-3.795880017344075
-109.308,35.599,0.00015,-3.8239087409443187
-108.977,35.639,0.00017,-3.769551078621726
-108.647,35.677,0.00024,-3.619788758288394
-110.02,35.781,0.0002,-3.6989700043360187
-109.689,35.823,0.00014,-3.853871964321762
-109.358,35.864,0.00012,-3.9208187539523753
-109.027,35.904,0.00013,-3.886056647693163
-108.695,35.943,0.00017,-3.769551078621726
-109.741,36.088,0.00013,-3.886056647693163
-109.409,36.129,0.0001,-4.0
-109.076,36.169,0.0001,-4.0
-108.743,36.208,0.00013,-3.886056647693163
-109.46,36.393,0.0001,-4.0
-109.126,36.434,9e-05,-4.045757490560675
-108.792,36.473,0.0001,-4.0
-109.176,36.698,8e-05,-4.096910013008056
-108.841,36.738,9e-05,-4.045757490560675
-108.505,36.776,0.00013,-3.886056647693163
-108.89,37.003,9e-05,-4.045757490560675
-108.553,37.041,0.00012,-3.9208187539523753
-110.542,31.338,0.00105,-2.978810700930062
-109.05,31.356,0.00216,-2.665546248849069
-110.333,31.367,0.0012,-2.9208187539523753
-108.841,31.382,0.00198,-2.703334809738469
-110.125,31.396,0.0014,-2.853871964321762
-108.632,31.408,0.00178,-2.749579997691106
-109.917,31.424,0.0016,-2.795880017344075
-111.201,31.426,0.00099,-3.00436480540245
-109.708,31.452,0.0018,-2.744727494896694
-110.993,31.456,0.00107,-2.9706162223147903
-109.499,31.48,0.002,-2.6989700043360187
-110.784,31.486,0.00117,-2.9318141382538383
-109.29,31.507,0.00207,-2.684029654543082
-110.576,31.515,0.00126,-2.899629454882437
-109.081,31.533,0.002,-2.6989700043360187
-110.367,31.545,0.00135,-2.869666231504994
-108.872,31.56,0.00187,-2.728158393463501
-111.445,31.572,0.00121,-2.91721462968355
-110.159,31.573,0.00148,-2.8297382846050425
-108.663,31.586,0.00175,-2.7569619513137056
-109.95,31.602,0.00162,-2.7904849854573692
-111.237,31.603,0.00122,-2.9136401693252516
-109.741,31.63,0.00173,-2.7619538968712045
-111.028,31.633,0.00126,-2.899629454882437
-109.531,31.657,0.00182,-2.7399286120149253
-110.819,31.663,0.00132,-2.87942606879415
-109.322,31.684,0.00188,-2.72584215073632
-111.899,31.686,0.00184,-2.7351821769904636
-110.611,31.693,0.00142,-2.8477116556169437
-109.112,31.711,0.00187,-2.728158393463501
-111.691,31.718,0.00141,-2.85078088734462
-110.401,31.722,0.00149,-2.826813731587726
-108.903,31.737,0.00178,-2.749579997691106
-111.482,31.749,0.00128,-2.8927900303521317
-110.192,31.751,0.00154,-2.812479279163537
-108.693,31.763,0.0017,-2.769551078621726
-109.983,31.779,0.00163,-2.7878123955960423
-111.273,31.78,0.00135,-2.869666231504994
-112.354,31.799,0.00415,-2.381951903287907
-109.773,31.807,0.0017,-2.769551078621726
