Longitude,Latitude,D (m),log(D)
-122.45,45.254,0.11541,-0.9377565589735221
-122.291,45.287,0.08394,-1.0760310351245288
-122.132,45.32,0.05639,-1.248797905411647
-122.656,45.333,0.17855,-0.7482401454711993
-120.765,45.353,0.01015,-1.9935339577507682
-121.973,45.353,0.04274,-1.3691654821719494
-122.497,45.366,0.13097,-0.8828281724857332
-121.289,45.37,0.01711,-1.7667499904588997
-121.814,45.386,0.03577,-1.4464810598510305
-122.338,45.4,0.10161,-0.9930635486357072
-121.129,45.402,0.01422,-1.8471004036062526
-122.863,45.411,0.28117,-0.5510310191056321
-120.445,45.415,0.00777,-2.109578981199086
-122.976,45.418,0.35398,-0.4510212750787642
-121.654,45.418,0.0297,-1.5272435506827877
-122.179,45.433,0.06765,-1.1697321990663583
-120.969,45.434,0.01212,-1.9164973801697325
-122.704,45.445,0.20794,-0.6820619603639438
-120.284,45.446,0.00666,-2.176525770829699
-121.494,45.451,0.02432,-1.6140364293993026
-120.809,45.465,0.01093,-1.9613798380502971
-122.019,45.466,0.04925,-1.3075937651663694
-123.119,45.472,0.48973,-0.3100432910494005
-120.124,45.476,0.00597,-2.224025668870631
-121.334,45.483,0.0196,-1.7077439286435239
-122.645,45.488,0.1876,-0.7267671659569543
-123.009,45.495,0.40016,-0.39776632561357267
-120.649,45.496,0.01011,-1.995248844408999
-121.86,45.498,0.03961,-1.402195157595707
-119.963,45.507,0.00548,-2.261219441515631
-122.535,45.511,0.14909,-0.8265514852556856
-122.385,45.512,0.11616,-0.9349433966439815
-121.174,45.515,0.01589,-1.7988761027926203
-122.899,45.519,0.31673,-0.4993107992191657
-120.489,45.528,0.00885,-2.0530567293021744
-121.7,45.531,0.0331,-1.4801720062242814
-119.803,45.537,0.00507,-2.294992040666664
-122.789,45.542,0.25355,-0.595936385116108
-122.226,45.545,0.08286,-1.081655071037725
-121.014,45.546,0.01326,-1.8774564759312458
-123.153,45.549,0.53988,-0.2677027607868083
-120.328,45.558,0.00765,-2.1163385648463824
-121.54,45.563,0.02761,-1.558933593360737
-119.642,45.567,0.00487,-2.3124710387853655
-123.043,45.573,0.43245,-0.36406409855611094
-122.066,45.578,0.05826,-1.2346295197083514
-120.854,45.578,0.01178,-1.9288547095489172
-120.167,45.589,0.00689,-2.1617807780923743
-122.593,45.59,0.18002,-0.7446792426348918
-121.38,45.595,0.02277,-1.6426369693848573
-122.932,45.596,0.34811,-0.45828350075351826
-119.481,45.597,0.0048,-2.318758762624413
-120.693,45.609,0.01091,-1.9621752494116582
-121.906,45.611,0.046,-1.337242168318426
-120.007,45.62,0.00624,-2.204815410317576
-122.822,45.62,0.28322,-0.5478760815509572
-122.433,45.624,0.13046,-0.8845226258135311
-119.32,45.627,0.00461,-2.336299074610352
-123.187,45.627,0.60099,-0.22113275425508147
-121.22,45.627,0.018,-1.744727494896694
-120.533,45.64,0.00999,-2.0004345117740177
-121.746,45.643,0.03693,-1.4326206923490212
-119.846,45.65,0.00569,-2.2448877336049287
-123.076,45.65,0.47929,-0.31940163211842443
-119.158,45.656,0.00445,-2.3516399890190685
-122.273,45.657,0.10233,-0.9899970258729404
-121.059,45.659,0.01476,-1.8309136425129773
-122.8,45.669,0.27627,-0.5586662723105184
-120.372,45.671,0.00889,-2.0510982390297863
-122.966,45.674,0.38666,-0.41267075339318987
-121.586,45.676,0.03156,-1.5008630054626173
-119.685,45.68,0.00554,-2.25649023527157
-118.997,45.686,0.00445,-2.3516399890190685
-122.113,45.69,0.07259,-1.1391232035967023
-120.899,45.691,0.013,-1.8860566476931633
-122.855,45.697,0.31381,-0.5033332211199514
-116.842,45.701,0.00276,-2.5590909179347823
-120.211,45.702,0.00799,-2.0974532206860084
-122.64,45.703,0.20816,-0.681602720782489
-123.22,45.704,0.66328,-0.1783030978630745
-121.426,45.708,0.02625,-1.5808706922580242
-119.523,45.71,0.00534,-2.272458742971444
-117.459,45.713,0.00305,-2.515700160653214
-118.835,45.715,0.00443,-2.3535962737769305
-118.147,45.716,0.00403,-2.3946949538588904
-120.738,45.722,0.01169,-1.9321854888381598
-121.953,45.723,0.05242,-1.2805029833894184
-123.11,45.728,0.52886,-0.2766592793342231
-120.05,45.733,0.00706,-2.1511952989481964
-122.48,45.736,0.15125,-0.8203046166754935
-121.265,45.74,0.02081,-1.681727919788373
-119.362,45.74,0.00503,-2.2984320149440727
-118.674,45.744,0.0044,-2.3565473235138126
-117.985,45.744,0.0038,-2.42021640338319
-122.999,45.752,0.42514,-0.37146803179593474
-120.577,45.753,0.01085,-1.9645702618154517
-121.793,45.756,0.04232,-1.3734543409728706
-119.889,45.763,0.00651,-2.186419011431808
-122.32,45.769,0.11763,-0.9294819029801308
-119.2,45.77,0.00487,-2.3124710387853655
-121.105,45.772,0.01695,-1.7708302974608991
-117.823,45.772,0.00359,-2.444905551421681
-118.512,45.772,0.00449,-2.3477536589966768
-122.848,45.781,0.31936,-0.49571948039272296
-120.416,45.784,0.01025,-1.9892761346082268
-121.632,45.788,0.03623,-1.4409316659654632
-117.401,45.793,0.00298,-2.5257837359237447
-119.727,45.793,0.00623,-2.2055119533408303
-119.039,45.799,0.00478,-2.3205721033878812
-117.661,45.8,0.00336,-2.473660722610156
-118.35,45.801,0.00449,-2.3477536589966768
-122.16,45.802,0.08938,-1.0487596496756597
-120.944,45.803,0.01439,-1.8419392060633948
-123.144,45.805,0.58049,-0.23620525737627113
-122.688,45.815,0.23852,-0.6224751993262984
-120.255,45.815,0.00918,-2.0371573187987577
-121.472,45.82,0.03052,-1.5154154707171572
-119.566,45.823,0.00584,-2.2335871528876003
-118.877,45.828,0.00469,-2.3288271572849166
-123.033,45.829,0.4651,-0.3324536604884835
-118.188,45.829,0.00431,-2.3655227298392685
-117.151,45.835,0.00268,-2.571865205971211
-120.783,45.835,0.01276,-1.8941493256148565
-122.0,45.835,0.06362,-1.1964063352286556
-120.094,45.846,0.0081,-2.0915149811213505
-122.528,45.848,0.17812,-0.7492873135408147
-121.311,45.852,0.02471,-1.6071272545979207
-119.404,45.853,0.00547,-2.262012673666569
-118.715,45.857,0.00469,-2.3288271572849166
-118.025,45.858,0.00404,-2.393618634889395
-123.288,45.859,0.79446,-0.09992796405331872
-120.622,45.866,0.01182,-1.9273825234547635
-121.839,45.868,0.0501,-1.3001622741327543
-123.528,45.875,1.35392,0.13159300365120064
-116.9,45.876,0.00253,-2.596879478824182
-119.932,45.876,0.00744,-2.1284270644541214
-122.368,45.882,0.13598,-0.8665249631619079
-119.243,45.883,0.00525,-2.279840696594043
-123.177,45.883,0.63289,-0.19867176635599426
-121.15,45.884,0.01993,-1.7004927012995124
-117.863,45.886,0.00379,-2.421360790031928
-118.553,45.886,0.00478,-2.3205721033878812
-122.897,45.893,0.36895,-0.43303248531903
-120.46,45.897,0.01119,-1.95116991347165
-121.678,45.901,0.04299,-1.3666325548829932
-119.771,45.906,0.00693,-2.1592667653881934
-123.067,45.907,0.50932,-0.29300926959429724
-123.624,45.91,1.72046,0.23564457990305882
-119.081,45.912,0.00508,-2.2941362877160807
-123.433,45.913,1.10504,0.043377998803810394
-117.701,45.913,0.00347,-2.4596705252091264
-118.391,45.915,0.00478,-2.3205721033878812
-122.207,45.915,0.11018,-0.9578972319626974
-120.989,45.916,0.01656,-1.7809396675511386
-116.65,45.917,0.00241,-2.6179829574251317
-123.821,45.926,2.76261,0.4413195795228178
-123.55,45.926,1.45522,0.1629286548775478
-122.736,45.927,0.27161,-0.5660542444619708
-120.299,45.928,0.01036,-1.9846402445907858
-123.795,45.93,2.60384,0.4156142943155196
-122.956,45.93,0.41141,-0.3857251562678447
-121.518,45.933,0.03611,-1.4423725115731734
-119.609,45.937,0.00631,-2.1999706407558657
-123.322,45.937,0.87083,-0.0600666179749562
-123.935,45.939,3.65971,0.5634466727196413
-118.919,45.942,0.00488,-2.3115801779972895
-118.228,45.943,0.00449,-2.3477536589966768
